{'loss': 580.0, 'grad_norm_square': 180224.0, 'tokens': 455}
{'loss': 366.0, 'grad_norm_square': 108544.0, 'tokens': 312}
{'loss': 584.0, 'grad_norm_square': 177152.0, 'tokens': 432}
{'loss': 612.0, 'grad_norm_square': 179200.0, 'tokens': 471}
{'loss': 306.0, 'grad_norm_square': 86016.0, 'tokens': 327}
{'loss': 318.0, 'grad_norm_square': 80384.0, 'tokens': 314}
{'loss': 556.0, 'grad_norm_square': 112128.0, 'tokens': 457}
{'loss': 220.0, 'grad_norm_square': 86016.0, 'tokens': 255}
{'loss': 390.0, 'grad_norm_square': 99328.0, 'tokens': 437}
{'loss': 246.0, 'grad_norm_square': 75264.0, 'tokens': 371}
{'loss': 478.0, 'grad_norm_square': 124928.0, 'tokens': 471}
{'loss': 402.0, 'grad_norm_square': 104448.0, 'tokens': 452}
{'loss': 260.0, 'grad_norm_square': 83456.0, 'tokens': 261}
{'loss': 470.0, 'grad_norm_square': 94208.0, 'tokens': 419}
{'loss': 528.0, 'grad_norm_square': 115712.0, 'tokens': 450}
{'loss': 388.0, 'grad_norm_square': 130560.0, 'tokens': 446}
{'loss': 584.0, 'grad_norm_square': 109568.0, 'tokens': 452}
{'loss': 213.0, 'grad_norm_square': 77824.0, 'tokens': 262}
{'loss': 412.0, 'grad_norm_square': 114688.0, 'tokens': 375}
{'loss': 476.0, 'grad_norm_square': 107008.0, 'tokens': 405}
{'loss': 430.0, 'grad_norm_square': 82944.0, 'tokens': 409}
{'loss': 370.0, 'grad_norm_square': 86016.0, 'tokens': 410}
{'loss': 462.0, 'grad_norm_square': 112128.0, 'tokens': 429}
{'loss': 412.0, 'grad_norm_square': 84992.0, 'tokens': 408}
{'loss': 382.0, 'grad_norm_square': 106496.0, 'tokens': 427}
{'loss': 504.0, 'grad_norm_square': 107520.0, 'tokens': 445}
{'loss': 424.0, 'grad_norm_square': 117248.0, 'tokens': 461}
{'loss': 446.0, 'grad_norm_square': 103936.0, 'tokens': 444}
{'loss': 434.0, 'grad_norm_square': 89088.0, 'tokens': 459}
{'loss': 296.0, 'grad_norm_square': 86528.0, 'tokens': 295}
{'loss': 528.0, 'grad_norm_square': 108032.0, 'tokens': 420}
{'loss': 476.0, 'grad_norm_square': 112640.0, 'tokens': 476}
{'loss': 442.0, 'grad_norm_square': 111104.0, 'tokens': 430}
{'loss': 456.0, 'grad_norm_square': 104448.0, 'tokens': 441}
{'loss': 374.0, 'grad_norm_square': 103936.0, 'tokens': 402}
{'loss': 400.0, 'grad_norm_square': 74752.0, 'tokens': 328}
{'loss': 418.0, 'grad_norm_square': 81408.0, 'tokens': 453}
{'loss': 310.0, 'grad_norm_square': 91648.0, 'tokens': 375}
{'loss': 444.0, 'grad_norm_square': 145408.0, 'tokens': 434}
{'loss': 302.0, 'grad_norm_square': 78848.0, 'tokens': 383}
{'loss': 444.0, 'grad_norm_square': 87552.0, 'tokens': 411}
{'loss': 452.0, 'grad_norm_square': 76288.0, 'tokens': 469}
{'loss': 374.0, 'grad_norm_square': 72704.0, 'tokens': 392}
{'loss': 370.0, 'grad_norm_square': 66048.0, 'tokens': 460}
{'loss': 346.0, 'grad_norm_square': 75264.0, 'tokens': 398}
{'loss': 235.0, 'grad_norm_square': 68608.0, 'tokens': 284}
{'loss': 169.0, 'grad_norm_square': 52992.0, 'tokens': 275}
{'loss': 420.0, 'grad_norm_square': 75776.0, 'tokens': 435}
{'loss': 196.0, 'grad_norm_square': 64768.0, 'tokens': 287}
{'loss': 426.0, 'grad_norm_square': 105472.0, 'tokens': 440}
{'loss': 356.0, 'grad_norm_square': 82432.0, 'tokens': 326}
{'loss': 290.0, 'grad_norm_square': 75264.0, 'tokens': 349}
{'loss': 114.0, 'grad_norm_square': 42752.0, 'tokens': 255}
{'loss': 223.0, 'grad_norm_square': 67072.0, 'tokens': 281}
{'loss': 446.0, 'grad_norm_square': 89088.0, 'tokens': 435}
{'loss': 656.0, 'grad_norm_square': 101376.0, 'tokens': 393}
{'loss': 512.0, 'grad_norm_square': 86528.0, 'tokens': 480}
