{'model_params': 2506172416, 'peft_params': 1091552}
{'loss': 580.0, 'grad_norm_square': 22784.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 36608.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 48128.0, 'tokens': 432}
{'loss': 760.0, 'grad_norm_square': 30720.0, 'tokens': 471}
{'loss': 360.0, 'grad_norm_square': 18304.0, 'tokens': 327}
{'loss': 382.0, 'grad_norm_square': 17792.0, 'tokens': 314}
{'loss': 728.0, 'grad_norm_square': 27904.0, 'tokens': 457}
{'loss': 314.0, 'grad_norm_square': 23936.0, 'tokens': 255}
{'loss': 544.0, 'grad_norm_square': 30080.0, 'tokens': 437}
{'loss': 384.0, 'grad_norm_square': 30592.0, 'tokens': 371}
{'loss': 676.0, 'grad_norm_square': 28416.0, 'tokens': 471}
{'loss': 588.0, 'grad_norm_square': 26112.0, 'tokens': 452}
{'loss': 308.0, 'grad_norm_square': 16384.0, 'tokens': 261}
{'loss': 664.0, 'grad_norm_square': 24704.0, 'tokens': 419}
{'loss': 712.0, 'grad_norm_square': 33792.0, 'tokens': 450}
{'loss': 520.0, 'grad_norm_square': 24960.0, 'tokens': 446}
{'loss': 716.0, 'grad_norm_square': 21632.0, 'tokens': 452}
{'loss': 278.0, 'grad_norm_square': 15872.0, 'tokens': 262}
{'loss': 524.0, 'grad_norm_square': 20352.0, 'tokens': 375}
{'loss': 604.0, 'grad_norm_square': 24064.0, 'tokens': 405}
{'loss': 552.0, 'grad_norm_square': 20864.0, 'tokens': 409}
{'loss': 510.0, 'grad_norm_square': 21888.0, 'tokens': 410}
{'loss': 580.0, 'grad_norm_square': 20736.0, 'tokens': 429}
{'loss': 552.0, 'grad_norm_square': 20992.0, 'tokens': 408}
{'loss': 548.0, 'grad_norm_square': 27776.0, 'tokens': 427}
{'loss': 760.0, 'grad_norm_square': 31360.0, 'tokens': 445}
{'loss': 652.0, 'grad_norm_square': 45312.0, 'tokens': 461}
{'loss': 620.0, 'grad_norm_square': 26368.0, 'tokens': 444}
{'loss': 608.0, 'grad_norm_square': 22144.0, 'tokens': 459}
{'loss': 384.0, 'grad_norm_square': 14848.0, 'tokens': 295}
{'loss': 628.0, 'grad_norm_square': 20096.0, 'tokens': 420}
{'loss': 712.0, 'grad_norm_square': 31232.0, 'tokens': 476}
{'loss': 564.0, 'grad_norm_square': 18944.0, 'tokens': 430}
{'loss': 596.0, 'grad_norm_square': 24064.0, 'tokens': 441}
{'loss': 494.0, 'grad_norm_square': 19584.0, 'tokens': 402}
{'loss': 480.0, 'grad_norm_square': 15040.0, 'tokens': 328}
{'loss': 524.0, 'grad_norm_square': 17152.0, 'tokens': 453}
{'loss': 362.0, 'grad_norm_square': 13568.0, 'tokens': 375}
{'loss': 548.0, 'grad_norm_square': 18688.0, 'tokens': 434}
{'loss': 424.0, 'grad_norm_square': 17408.0, 'tokens': 383}
{'loss': 500.0, 'grad_norm_square': 17408.0, 'tokens': 411}
{'loss': 584.0, 'grad_norm_square': 23552.0, 'tokens': 469}
{'loss': 496.0, 'grad_norm_square': 19456.0, 'tokens': 392}
{'loss': 524.0, 'grad_norm_square': 19072.0, 'tokens': 460}
{'loss': 444.0, 'grad_norm_square': 17152.0, 'tokens': 398}
{'loss': 294.0, 'grad_norm_square': 13184.0, 'tokens': 284}
{'loss': 227.0, 'grad_norm_square': 23296.0, 'tokens': 275}
{'loss': 640.0, 'grad_norm_square': 25856.0, 'tokens': 435}
{'loss': 258.0, 'grad_norm_square': 11776.0, 'tokens': 287}
