{'model_params': 2506172416, 'peft_params': 5612544}
{'loss': 580.0, 'grad_norm_square': 16384.0, 'tokens': 455}
{'loss': 410.0, 'grad_norm_square': 22784.0, 'tokens': 312}
{'loss': 704.0, 'grad_norm_square': 24448.0, 'tokens': 432}
{'loss': 708.0, 'grad_norm_square': 16128.0, 'tokens': 471}
{'loss': 332.0, 'grad_norm_square': 8960.0, 'tokens': 327}
{'loss': 346.0, 'grad_norm_square': 8960.0, 'tokens': 314}
{'loss': 632.0, 'grad_norm_square': 12864.0, 'tokens': 457}
{'loss': 268.0, 'grad_norm_square': 8576.0, 'tokens': 255}
{'loss': 460.0, 'grad_norm_square': 9856.0, 'tokens': 437}
{'loss': 294.0, 'grad_norm_square': 7552.0, 'tokens': 371}
{'loss': 568.0, 'grad_norm_square': 11008.0, 'tokens': 471}
{'loss': 474.0, 'grad_norm_square': 8640.0, 'tokens': 452}
{'loss': 276.0, 'grad_norm_square': 5824.0, 'tokens': 261}
{'loss': 552.0, 'grad_norm_square': 8320.0, 'tokens': 419}
{'loss': 592.0, 'grad_norm_square': 8320.0, 'tokens': 450}
{'loss': 424.0, 'grad_norm_square': 10368.0, 'tokens': 446}
{'loss': 628.0, 'grad_norm_square': 9664.0, 'tokens': 452}
{'loss': 236.0, 'grad_norm_square': 6304.0, 'tokens': 262}
{'loss': 444.0, 'grad_norm_square': 8384.0, 'tokens': 375}
{'loss': 516.0, 'grad_norm_square': 8640.0, 'tokens': 405}
{'loss': 466.0, 'grad_norm_square': 8096.0, 'tokens': 409}
{'loss': 420.0, 'grad_norm_square': 7968.0, 'tokens': 410}
{'loss': 510.0, 'grad_norm_square': 11520.0, 'tokens': 429}
{'loss': 448.0, 'grad_norm_square': 8192.0, 'tokens': 408}
{'loss': 442.0, 'grad_norm_square': 10368.0, 'tokens': 427}
{'loss': 600.0, 'grad_norm_square': 10304.0, 'tokens': 445}
{'loss': 466.0, 'grad_norm_square': 15168.0, 'tokens': 461}
{'loss': 490.0, 'grad_norm_square': 10944.0, 'tokens': 444}
{'loss': 478.0, 'grad_norm_square': 10048.0, 'tokens': 459}
{'loss': 336.0, 'grad_norm_square': 8256.0, 'tokens': 295}
{'loss': 548.0, 'grad_norm_square': 10496.0, 'tokens': 420}
{'loss': 544.0, 'grad_norm_square': 10880.0, 'tokens': 476}
{'loss': 476.0, 'grad_norm_square': 11328.0, 'tokens': 430}
{'loss': 486.0, 'grad_norm_square': 9472.0, 'tokens': 441}
{'loss': 410.0, 'grad_norm_square': 9792.0, 'tokens': 402}
{'loss': 426.0, 'grad_norm_square': 7168.0, 'tokens': 328}
{'loss': 442.0, 'grad_norm_square': 9664.0, 'tokens': 453}
{'loss': 320.0, 'grad_norm_square': 8256.0, 'tokens': 375}
{'loss': 462.0, 'grad_norm_square': 8320.0, 'tokens': 434}
{'loss': 326.0, 'grad_norm_square': 7392.0, 'tokens': 383}
{'loss': 440.0, 'grad_norm_square': 7264.0, 'tokens': 411}
{'loss': 486.0, 'grad_norm_square': 8032.0, 'tokens': 469}
{'loss': 404.0, 'grad_norm_square': 7520.0, 'tokens': 392}
{'loss': 386.0, 'grad_norm_square': 6592.0, 'tokens': 460}
{'loss': 362.0, 'grad_norm_square': 6464.0, 'tokens': 398}
{'loss': 248.0, 'grad_norm_square': 6464.0, 'tokens': 284}
{'loss': 170.0, 'grad_norm_square': 4992.0, 'tokens': 275}
{'loss': 460.0, 'grad_norm_square': 8128.0, 'tokens': 435}
{'loss': 204.0, 'grad_norm_square': 5632.0, 'tokens': 287}
{'loss': 452.0, 'grad_norm_square': 10048.0, 'tokens': 440}
{'loss': 372.0, 'grad_norm_square': 9152.0, 'tokens': 326}
{'loss': 292.0, 'grad_norm_square': 7040.0, 'tokens': 349}
{'loss': 123.5, 'grad_norm_square': 5408.0, 'tokens': 255}
{'loss': 218.0, 'grad_norm_square': 5664.0, 'tokens': 281}
{'loss': 444.0, 'grad_norm_square': 9088.0, 'tokens': 435}
{'loss': 640.0, 'grad_norm_square': 10240.0, 'tokens': 393}
{'loss': 500.0, 'grad_norm_square': 8960.0, 'tokens': 480}
{'loss': 496.0, 'grad_norm_square': 8512.0, 'tokens': 459}
{'loss': 528.0, 'grad_norm_square': 11456.0, 'tokens': 477}
{'loss': 366.0, 'grad_norm_square': 9344.0, 'tokens': 464}
{'loss': 227.0, 'grad_norm_square': 5824.0, 'tokens': 263}
{'loss': 588.0, 'grad_norm_square': 9216.0, 'tokens': 489}
{'loss': 402.0, 'grad_norm_square': 7104.0, 'tokens': 376}
{'loss': 408.0, 'grad_norm_square': 8160.0, 'tokens': 455}
{'loss': 488.0, 'grad_norm_square': 7616.0, 'tokens': 420}
{'loss': 392.0, 'grad_norm_square': 8320.0, 'tokens': 414}
{'loss': 225.0, 'grad_norm_square': 5504.0, 'tokens': 260}
{'loss': 368.0, 'grad_norm_square': 6432.0, 'tokens': 379}
{'loss': 215.0, 'grad_norm_square': 7200.0, 'tokens': 257}
{'loss': 370.0, 'grad_norm_square': 6944.0, 'tokens': 413}
{'loss': 376.0, 'grad_norm_square': 7680.0, 'tokens': 386}
{'loss': 272.0, 'grad_norm_square': 5888.0, 'tokens': 258}
{'loss': 278.0, 'grad_norm_square': 6464.0, 'tokens': 281}
{'loss': 388.0, 'grad_norm_square': 7808.0, 'tokens': 472}
{'loss': 294.0, 'grad_norm_square': 6720.0, 'tokens': 334}
{'loss': 520.0, 'grad_norm_square': 11072.0, 'tokens': 437}
{'loss': 508.0, 'grad_norm_square': 7776.0, 'tokens': 499}
{'loss': 394.0, 'grad_norm_square': 6784.0, 'tokens': 448}
{'loss': 213.0, 'grad_norm_square': 5184.0, 'tokens': 248}
{'loss': 282.0, 'grad_norm_square': 7520.0, 'tokens': 310}
{'loss': 324.0, 'grad_norm_square': 7360.0, 'tokens': 271}
{'loss': 300.0, 'grad_norm_square': 6240.0, 'tokens': 416}
{'loss': 476.0, 'grad_norm_square': 9856.0, 'tokens': 445}
{'loss': 224.0, 'grad_norm_square': 6944.0, 'tokens': 261}
{'loss': 288.0, 'grad_norm_square': 6496.0, 'tokens': 316}
{'loss': 243.0, 'grad_norm_square': 7168.0, 'tokens': 299}
{'loss': 288.0, 'grad_norm_square': 9536.0, 'tokens': 378}
{'loss': 209.0, 'grad_norm_square': 5856.0, 'tokens': 261}
{'loss': 422.0, 'grad_norm_square': 7232.0, 'tokens': 403}
{'loss': 556.0, 'grad_norm_square': 10752.0, 'tokens': 467}
{'loss': 208.0, 'grad_norm_square': 5408.0, 'tokens': 292}
{'loss': 432.0, 'grad_norm_square': 9344.0, 'tokens': 439}
{'loss': 516.0, 'grad_norm_square': 12928.0, 'tokens': 438}
{'loss': 306.0, 'grad_norm_square': 6656.0, 'tokens': 363}
{'loss': 490.0, 'grad_norm_square': 9984.0, 'tokens': 482}
{'loss': 306.0, 'grad_norm_square': 6688.0, 'tokens': 341}
{'loss': 386.0, 'grad_norm_square': 9408.0, 'tokens': 469}
{'loss': 274.0, 'grad_norm_square': 5728.0, 'tokens': 252}
{'loss': 326.0, 'grad_norm_square': 6752.0, 'tokens': 386}
{'loss': 448.0, 'grad_norm_square': 9792.0, 'tokens': 438}
{'loss': 388.0, 'grad_norm_square': 8448.0, 'tokens': 440}
{'loss': 356.0, 'grad_norm_square': 7552.0, 'tokens': 281}
{'loss': 412.0, 'grad_norm_square': 8896.0, 'tokens': 436}
{'loss': 312.0, 'grad_norm_square': 8320.0, 'tokens': 361}
{'loss': 512.0, 'grad_norm_square': 8768.0, 'tokens': 394}
{'loss': 197.0, 'grad_norm_square': 6752.0, 'tokens': 278}
{'loss': 302.0, 'grad_norm_square': 6656.0, 'tokens': 364}
{'loss': 436.0, 'grad_norm_square': 8160.0, 'tokens': 425}
{'loss': 450.0, 'grad_norm_square': 9024.0, 'tokens': 411}
{'loss': 256.0, 'grad_norm_square': 6848.0, 'tokens': 281}
{'loss': 454.0, 'grad_norm_square': 8448.0, 'tokens': 434}
{'loss': 438.0, 'grad_norm_square': 7136.0, 'tokens': 404}
{'loss': 568.0, 'grad_norm_square': 10304.0, 'tokens': 457}
{'loss': 420.0, 'grad_norm_square': 9856.0, 'tokens': 472}
{'loss': 382.0, 'grad_norm_square': 8512.0, 'tokens': 400}
{'loss': 210.0, 'grad_norm_square': 5888.0, 'tokens': 294}
{'loss': 520.0, 'grad_norm_square': 10496.0, 'tokens': 418}
{'loss': 428.0, 'grad_norm_square': 8512.0, 'tokens': 446}
{'loss': 424.0, 'grad_norm_square': 8960.0, 'tokens': 428}
{'loss': 280.0, 'grad_norm_square': 7904.0, 'tokens': 363}
{'loss': 450.0, 'grad_norm_square': 7040.0, 'tokens': 424}
{'loss': 412.0, 'grad_norm_square': 8320.0, 'tokens': 430}
{'loss': 324.0, 'grad_norm_square': 5696.0, 'tokens': 414}
{'loss': 402.0, 'grad_norm_square': 6624.0, 'tokens': 433}
{'loss': 524.0, 'grad_norm_square': 10112.0, 'tokens': 399}
{'loss': 262.0, 'grad_norm_square': 7136.0, 'tokens': 275}
{'loss': 237.0, 'grad_norm_square': 5216.0, 'tokens': 303}
{'loss': 358.0, 'grad_norm_square': 7424.0, 'tokens': 249}
{'loss': 540.0, 'grad_norm_square': 9792.0, 'tokens': 446}
{'loss': 402.0, 'grad_norm_square': 9088.0, 'tokens': 415}
{'loss': 360.0, 'grad_norm_square': 9024.0, 'tokens': 429}
{'loss': 568.0, 'grad_norm_square': 11200.0, 'tokens': 462}
{'loss': 292.0, 'grad_norm_square': 6912.0, 'tokens': 278}
{'loss': 470.0, 'grad_norm_square': 8576.0, 'tokens': 417}
{'loss': 268.0, 'grad_norm_square': 6816.0, 'tokens': 251}
{'loss': 384.0, 'grad_norm_square': 6560.0, 'tokens': 443}
{'loss': 268.0, 'grad_norm_square': 6528.0, 'tokens': 350}
{'loss': 396.0, 'grad_norm_square': 7872.0, 'tokens': 462}
{'loss': 223.0, 'grad_norm_square': 5344.0, 'tokens': 287}
{'loss': 404.0, 'grad_norm_square': 7040.0, 'tokens': 359}
{'loss': 322.0, 'grad_norm_square': 6304.0, 'tokens': 395}
{'loss': 380.0, 'grad_norm_square': 6816.0, 'tokens': 394}
{'loss': 456.0, 'grad_norm_square': 9152.0, 'tokens': 458}
{'loss': 440.0, 'grad_norm_square': 7616.0, 'tokens': 470}
{'loss': 346.0, 'grad_norm_square': 6592.0, 'tokens': 393}
{'loss': 438.0, 'grad_norm_square': 8640.0, 'tokens': 463}
{'loss': 193.0, 'grad_norm_square': 4736.0, 'tokens': 303}
{'loss': 386.0, 'grad_norm_square': 11584.0, 'tokens': 457}
{'loss': 436.0, 'grad_norm_square': 7552.0, 'tokens': 430}
{'loss': 264.0, 'grad_norm_square': 6208.0, 'tokens': 373}
{'loss': 456.0, 'grad_norm_square': 9280.0, 'tokens': 446}
{'loss': 446.0, 'grad_norm_square': 8640.0, 'tokens': 445}
{'loss': 462.0, 'grad_norm_square': 9088.0, 'tokens': 463}
