{'model_params': 2506172416, 'peft_params': 1806840}
{'loss': 580.0, 'grad_norm_square': 185344.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 294912.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 387072.0, 'tokens': 432}
{'loss': 760.0, 'grad_norm_square': 242688.0, 'tokens': 471}
{'loss': 360.0, 'grad_norm_square': 143360.0, 'tokens': 327}
{'loss': 382.0, 'grad_norm_square': 146432.0, 'tokens': 314}
{'loss': 728.0, 'grad_norm_square': 222208.0, 'tokens': 457}
{'loss': 314.0, 'grad_norm_square': 208896.0, 'tokens': 255}
{'loss': 544.0, 'grad_norm_square': 250880.0, 'tokens': 437}
{'loss': 384.0, 'grad_norm_square': 241664.0, 'tokens': 371}
{'loss': 676.0, 'grad_norm_square': 233472.0, 'tokens': 471}
{'loss': 588.0, 'grad_norm_square': 214016.0, 'tokens': 452}
{'loss': 308.0, 'grad_norm_square': 134144.0, 'tokens': 261}
{'loss': 668.0, 'grad_norm_square': 196608.0, 'tokens': 419}
{'loss': 712.0, 'grad_norm_square': 284672.0, 'tokens': 450}
{'loss': 520.0, 'grad_norm_square': 191488.0, 'tokens': 446}
{'loss': 716.0, 'grad_norm_square': 169984.0, 'tokens': 452}
{'loss': 278.0, 'grad_norm_square': 127488.0, 'tokens': 262}
{'loss': 520.0, 'grad_norm_square': 155648.0, 'tokens': 375}
{'loss': 604.0, 'grad_norm_square': 195584.0, 'tokens': 405}
{'loss': 552.0, 'grad_norm_square': 160768.0, 'tokens': 409}
{'loss': 512.0, 'grad_norm_square': 173056.0, 'tokens': 410}
{'loss': 580.0, 'grad_norm_square': 165888.0, 'tokens': 429}
{'loss': 552.0, 'grad_norm_square': 164864.0, 'tokens': 408}
{'loss': 552.0, 'grad_norm_square': 229376.0, 'tokens': 427}
{'loss': 764.0, 'grad_norm_square': 248832.0, 'tokens': 445}
{'loss': 656.0, 'grad_norm_square': 358400.0, 'tokens': 461}
{'loss': 620.0, 'grad_norm_square': 207872.0, 'tokens': 444}
{'loss': 612.0, 'grad_norm_square': 173056.0, 'tokens': 459}
{'loss': 384.0, 'grad_norm_square': 111104.0, 'tokens': 295}
{'loss': 628.0, 'grad_norm_square': 156672.0, 'tokens': 420}
{'loss': 716.0, 'grad_norm_square': 257024.0, 'tokens': 476}
{'loss': 568.0, 'grad_norm_square': 144384.0, 'tokens': 430}
{'loss': 596.0, 'grad_norm_square': 194560.0, 'tokens': 441}
{'loss': 496.0, 'grad_norm_square': 146432.0, 'tokens': 402}
{'loss': 480.0, 'grad_norm_square': 111104.0, 'tokens': 328}
{'loss': 524.0, 'grad_norm_square': 129024.0, 'tokens': 453}
{'loss': 364.0, 'grad_norm_square': 99840.0, 'tokens': 375}
{'loss': 548.0, 'grad_norm_square': 135168.0, 'tokens': 434}
{'loss': 424.0, 'grad_norm_square': 134144.0, 'tokens': 383}
{'loss': 500.0, 'grad_norm_square': 132096.0, 'tokens': 411}
{'loss': 588.0, 'grad_norm_square': 189440.0, 'tokens': 469}
