{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 507233490173952.0, 'tokens': 319}
{'loss': 19331.8125, 'grad_norm_square': 1.8396387115451875e+19, 'tokens': 252}
{'loss': 53966.171875, 'grad_norm_square': 6.847343737111712e+21, 'tokens': 311}
{'loss': 5535.0908203125, 'grad_norm_square': 6.979084812682774e+16, 'tokens': 308}
{'loss': 29198.04296875, 'grad_norm_square': 5.740347008417731e+17, 'tokens': 335}
{'loss': 10341.623046875, 'grad_norm_square': 3.054882654700056e+16, 'tokens': 434}
{'loss': 30795.96484375, 'grad_norm_square': 1.851347088978949e+19, 'tokens': 378}
{'loss': 6300.24267578125, 'grad_norm_square': 5362975713944356.0, 'tokens': 299}
{'loss': 9934.052734375, 'grad_norm_square': 1.0523360995210314e+16, 'tokens': 377}
{'loss': 10360.138671875, 'grad_norm_square': 5490059622275638.0, 'tokens': 294}
{'loss': 9001.7880859375, 'grad_norm_square': 4807235843718776.0, 'tokens': 315}
{'loss': 8082.6416015625, 'grad_norm_square': 4146109191734619.5, 'tokens': 328}
{'loss': 9123.75390625, 'grad_norm_square': 3341576054662916.0, 'tokens': 394}
{'loss': 4495.04248046875, 'grad_norm_square': 1190297823704740.0, 'tokens': 291}
{'loss': 4816.47607421875, 'grad_norm_square': 538895755391419.4, 'tokens': 274}
{'loss': 4656.8857421875, 'grad_norm_square': 683926581575659.2, 'tokens': 342}
{'loss': 6914.7265625, 'grad_norm_square': 1719845411822095.8, 'tokens': 441}
{'loss': 5176.47705078125, 'grad_norm_square': 917576147484218.2, 'tokens': 360}
{'loss': 4622.40380859375, 'grad_norm_square': 654392240880024.4, 'tokens': 306}
{'loss': 4259.7314453125, 'grad_norm_square': 451337900068706.4, 'tokens': 343}
{'loss': 3484.82763671875, 'grad_norm_square': 586337122375533.8, 'tokens': 230}
{'loss': 7034.17724609375, 'grad_norm_square': 2185525508640823.8, 'tokens': 438}
{'loss': 4453.5966796875, 'grad_norm_square': 617678034648734.5, 'tokens': 330}
{'loss': 6839.61767578125, 'grad_norm_square': 986655792251944.4, 'tokens': 488}
{'loss': 4016.912353515625, 'grad_norm_square': 686503263634805.5, 'tokens': 343}
{'loss': 4288.6845703125, 'grad_norm_square': 534251403438255.3, 'tokens': 360}
{'loss': 2519.1552734375, 'grad_norm_square': 204412335252606.03, 'tokens': 227}
{'loss': 4430.16259765625, 'grad_norm_square': 359433045253667.44, 'tokens': 400}
{'loss': 3926.51025390625, 'grad_norm_square': 239074372577055.38, 'tokens': 389}
{'loss': 3346.7568359375, 'grad_norm_square': 35840342192772.44, 'tokens': 347}
{'loss': 3091.371826171875, 'grad_norm_square': 190838183611599.5, 'tokens': 281}
{'loss': 2971.11669921875, 'grad_norm_square': 196018574612282.47, 'tokens': 299}
{'loss': 3451.407958984375, 'grad_norm_square': 384251974727976.8, 'tokens': 305}
{'loss': 3390.227783203125, 'grad_norm_square': 438502591024210.0, 'tokens': 304}
{'loss': 2510.185302734375, 'grad_norm_square': 166081652424666.5, 'tokens': 289}
{'loss': 4360.6259765625, 'grad_norm_square': 7.02782335668155e+16, 'tokens': 381}
{'loss': 3794.685546875, 'grad_norm_square': 456256356485570.8, 'tokens': 395}
{'loss': 3301.73974609375, 'grad_norm_square': 354993560077932.3, 'tokens': 267}
{'loss': 4115.1455078125, 'grad_norm_square': 477808066714285.44, 'tokens': 299}
{'loss': 4796.828125, 'grad_norm_square': 522388015106968.1, 'tokens': 407}
{'loss': 5659.4013671875, 'grad_norm_square': 651041776240139.4, 'tokens': 347}
{'loss': 3596.580322265625, 'grad_norm_square': 177892523406520.7, 'tokens': 248}
{'loss': 4393.0283203125, 'grad_norm_square': 276662506073976.12, 'tokens': 309}
{'loss': 4210.55810546875, 'grad_norm_square': 166517027267165.47, 'tokens': 335}
{'loss': 5582.16357421875, 'grad_norm_square': 333379153695031.2, 'tokens': 420}
{'loss': 4819.224609375, 'grad_norm_square': 266112810080814.38, 'tokens': 293}
{'loss': 3389.822265625, 'grad_norm_square': 123973284326456.66, 'tokens': 251}
