{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.0, 'grad_norm_square': 15137734656.0, 'tokens': 319}
{'loss': 536.0, 'grad_norm_square': 1158684928400.5938, 'tokens': 252}
{'loss': 988.0, 'grad_norm_square': 11539484375420.0, 'tokens': 311}
{'loss': 4768.0, 'grad_norm_square': 38502383930896.0, 'tokens': 308}
{'loss': 1248.0, 'grad_norm_square': 262991117522.75, 'tokens': 335}
{'loss': 1312.0, 'grad_norm_square': 234574184011.25, 'tokens': 434}
{'loss': 756.0, 'grad_norm_square': 1175780579534.0, 'tokens': 378}
{'loss': 676.0, 'grad_norm_square': 1509445369250.75, 'tokens': 299}
{'loss': 692.0, 'grad_norm_square': 18276880641.125, 'tokens': 377}
{'loss': 648.0, 'grad_norm_square': 28643834484.25, 'tokens': 294}
{'loss': 572.0, 'grad_norm_square': 177763706277.25, 'tokens': 315}
{'loss': 552.0, 'grad_norm_square': 21782471530.5, 'tokens': 328}
{'loss': 668.0, 'grad_norm_square': 51143632608.0, 'tokens': 394}
{'loss': 524.0, 'grad_norm_square': 15169710574.25, 'tokens': 291}
{'loss': 502.0, 'grad_norm_square': 21252428917.25, 'tokens': 274}
{'loss': 540.0, 'grad_norm_square': 9033159582.8125, 'tokens': 342}
{'loss': 492.0, 'grad_norm_square': 59393849858.5, 'tokens': 441}
{'loss': 588.0, 'grad_norm_square': 19506979852.75, 'tokens': 360}
{'loss': 490.0, 'grad_norm_square': 11604039192.75, 'tokens': 306}
{'loss': 374.0, 'grad_norm_square': 5552944704.75, 'tokens': 343}
{'loss': 354.0, 'grad_norm_square': 22193489990.5, 'tokens': 230}
{'loss': 788.0, 'grad_norm_square': 563310784826.0, 'tokens': 438}
{'loss': 564.0, 'grad_norm_square': 30225446436.75, 'tokens': 330}
{'loss': 1112.0, 'grad_norm_square': 111054487773.5, 'tokens': 488}
{'loss': 462.0, 'grad_norm_square': 12625528880.625, 'tokens': 343}
{'loss': 680.0, 'grad_norm_square': 24392573105.75, 'tokens': 360}
{'loss': 386.0, 'grad_norm_square': 7444417419.75, 'tokens': 227}
{'loss': 644.0, 'grad_norm_square': 26785160342.25, 'tokens': 400}
{'loss': 490.0, 'grad_norm_square': 233651384161.0, 'tokens': 389}
{'loss': 560.0, 'grad_norm_square': 17277284555.5, 'tokens': 347}
{'loss': 476.0, 'grad_norm_square': 27746541164.75, 'tokens': 281}
{'loss': 318.0, 'grad_norm_square': 6005417511.375, 'tokens': 299}
{'loss': 556.0, 'grad_norm_square': 26199642847.625, 'tokens': 305}
{'loss': 632.0, 'grad_norm_square': 14768153141.25, 'tokens': 304}
{'loss': 322.0, 'grad_norm_square': 7277010381.6875, 'tokens': 289}
{'loss': 696.0, 'grad_norm_square': 48201347143.0, 'tokens': 381}
{'loss': 532.0, 'grad_norm_square': 10864741440.8125, 'tokens': 395}
{'loss': 356.0, 'grad_norm_square': 5233319831.4375, 'tokens': 267}
{'loss': 506.0, 'grad_norm_square': 5234313627.125, 'tokens': 299}
{'loss': 592.0, 'grad_norm_square': 9385922282.875, 'tokens': 407}
{'loss': 540.0, 'grad_norm_square': 27178065235.0, 'tokens': 347}
{'loss': 456.0, 'grad_norm_square': 282540562926.0, 'tokens': 248}
{'loss': 584.0, 'grad_norm_square': 13596630224.5, 'tokens': 309}
{'loss': 528.0, 'grad_norm_square': 17776164822.5, 'tokens': 335}
{'loss': 652.0, 'grad_norm_square': 29808278118.5, 'tokens': 420}
{'loss': 508.0, 'grad_norm_square': 38479046039.0, 'tokens': 293}
{'loss': 336.0, 'grad_norm_square': 7986338998.375, 'tokens': 251}
{'loss': 672.0, 'grad_norm_square': 378208366193.0, 'tokens': 348}
{'loss': 612.0, 'grad_norm_square': 6723360315.5, 'tokens': 336}
{'loss': 468.0, 'grad_norm_square': 5094371549.25, 'tokens': 334}
{'loss': 398.0, 'grad_norm_square': 6849221921.125, 'tokens': 312}
{'loss': 656.0, 'grad_norm_square': 19285898062.875, 'tokens': 332}
{'loss': 390.0, 'grad_norm_square': 5819978580.9375, 'tokens': 272}
{'loss': 360.0, 'grad_norm_square': 9447651109.75, 'tokens': 258}
{'loss': 532.0, 'grad_norm_square': 6122561571.5, 'tokens': 314}
{'loss': 294.0, 'grad_norm_square': 14460027456.875, 'tokens': 261}
{'loss': 612.0, 'grad_norm_square': 1080735136296.0, 'tokens': 291}
{'loss': 684.0, 'grad_norm_square': 14113238459.75, 'tokens': 383}
{'loss': 600.0, 'grad_norm_square': 17113710686.5, 'tokens': 323}
{'loss': 644.0, 'grad_norm_square': 29905274829.5, 'tokens': 350}
{'loss': 452.0, 'grad_norm_square': 14173962948.6875, 'tokens': 358}
{'loss': 392.0, 'grad_norm_square': 6414706054.75, 'tokens': 240}
{'loss': 434.0, 'grad_norm_square': 7808955863.5, 'tokens': 256}
{'loss': 406.0, 'grad_norm_square': 9135938412.625, 'tokens': 314}
{'loss': 466.0, 'grad_norm_square': 260350727187.5, 'tokens': 249}
{'loss': 624.0, 'grad_norm_square': 26914716973.0, 'tokens': 352}
{'loss': 580.0, 'grad_norm_square': 30563498916.5, 'tokens': 330}
{'loss': 460.0, 'grad_norm_square': 10883971847.4375, 'tokens': 243}
{'loss': 384.0, 'grad_norm_square': 26258099173.0, 'tokens': 292}
{'loss': 456.0, 'grad_norm_square': 5036693338.40625, 'tokens': 293}
{'loss': 422.0, 'grad_norm_square': 4886974752.125, 'tokens': 327}
{'loss': 462.0, 'grad_norm_square': 4548906131.75, 'tokens': 310}
{'loss': 356.0, 'grad_norm_square': 3205484618.8125, 'tokens': 254}
{'loss': 608.0, 'grad_norm_square': 6983098974.0, 'tokens': 433}
{'loss': 616.0, 'grad_norm_square': 9421756200.5, 'tokens': 352}
{'loss': 316.0, 'grad_norm_square': 3965087466.0, 'tokens': 206}
{'loss': 418.0, 'grad_norm_square': 15068642838.25, 'tokens': 243}
{'loss': 434.0, 'grad_norm_square': 8113475269.5, 'tokens': 312}
{'loss': 584.0, 'grad_norm_square': 16141255259.75, 'tokens': 374}
{'loss': 428.0, 'grad_norm_square': 4852380600.375, 'tokens': 279}
{'loss': 290.0, 'grad_norm_square': 3460958227.75, 'tokens': 286}
{'loss': 332.0, 'grad_norm_square': 2803674542.25, 'tokens': 288}
{'loss': 402.0, 'grad_norm_square': 9431878872.5, 'tokens': 270}
{'loss': 418.0, 'grad_norm_square': 3995260424.75, 'tokens': 309}
{'loss': 400.0, 'grad_norm_square': 4081593502.25, 'tokens': 319}
{'loss': 254.0, 'grad_norm_square': 2415414985.25, 'tokens': 210}
{'loss': 396.0, 'grad_norm_square': 6200075880.0, 'tokens': 347}
{'loss': 318.0, 'grad_norm_square': 3026627932.3125, 'tokens': 336}
{'loss': 548.0, 'grad_norm_square': 11420282852.0, 'tokens': 375}
{'loss': 296.0, 'grad_norm_square': 5208151976.375, 'tokens': 237}
{'loss': 628.0, 'grad_norm_square': 5341366797.25, 'tokens': 464}
{'loss': 382.0, 'grad_norm_square': 5730190988.75, 'tokens': 354}
{'loss': 374.0, 'grad_norm_square': 3802027240.9375, 'tokens': 300}
{'loss': 408.0, 'grad_norm_square': 4675023603.0, 'tokens': 419}
{'loss': 400.0, 'grad_norm_square': 4551111993.375, 'tokens': 338}
{'loss': 382.0, 'grad_norm_square': 3699585837.875, 'tokens': 314}
{'loss': 504.0, 'grad_norm_square': 5348179237.5, 'tokens': 334}
{'loss': 408.0, 'grad_norm_square': 3232879430.5, 'tokens': 354}
{'loss': 672.0, 'grad_norm_square': 14856384028.5, 'tokens': 389}
{'loss': 332.0, 'grad_norm_square': 2807872901.4375, 'tokens': 348}
{'loss': 524.0, 'grad_norm_square': 61809657665.0, 'tokens': 431}
{'loss': 298.0, 'grad_norm_square': 1621588235.78125, 'tokens': 254}
{'loss': 438.0, 'grad_norm_square': 6690147755.0, 'tokens': 408}
{'loss': 462.0, 'grad_norm_square': 5064957331.75, 'tokens': 378}
{'loss': 398.0, 'grad_norm_square': 3441532381.75, 'tokens': 412}
{'loss': 428.0, 'grad_norm_square': 3563505605.5, 'tokens': 319}
{'loss': 480.0, 'grad_norm_square': 4653975241.8125, 'tokens': 389}
{'loss': 560.0, 'grad_norm_square': 8797510064.375, 'tokens': 379}
{'loss': 222.0, 'grad_norm_square': 1533512890.0, 'tokens': 230}
{'loss': 294.0, 'grad_norm_square': 3719320042.75, 'tokens': 328}
{'loss': 348.0, 'grad_norm_square': 2618958771.25, 'tokens': 279}
{'loss': 310.0, 'grad_norm_square': 6346423446.375, 'tokens': 289}
{'loss': 422.0, 'grad_norm_square': 10581330926.8125, 'tokens': 406}
{'loss': 348.0, 'grad_norm_square': 3669033683.25, 'tokens': 284}
{'loss': 428.0, 'grad_norm_square': 2564929412.9375, 'tokens': 300}
{'loss': 376.0, 'grad_norm_square': 3398210166.25, 'tokens': 263}
{'loss': 412.0, 'grad_norm_square': 3554213434.9375, 'tokens': 315}
{'loss': 432.0, 'grad_norm_square': 6644132960.25, 'tokens': 289}
{'loss': 308.0, 'grad_norm_square': 1905449473.3125, 'tokens': 287}
{'loss': 668.0, 'grad_norm_square': 10719705642.25, 'tokens': 445}
{'loss': 384.0, 'grad_norm_square': 2807390539.375, 'tokens': 312}
{'loss': 436.0, 'grad_norm_square': 5541156024.875, 'tokens': 386}
{'loss': 286.0, 'grad_norm_square': 16997670376.25, 'tokens': 246}
{'loss': 488.0, 'grad_norm_square': 7421163018.5, 'tokens': 366}
{'loss': 498.0, 'grad_norm_square': 5629783323.375, 'tokens': 367}
{'loss': 340.0, 'grad_norm_square': 1885265665.9375, 'tokens': 387}
{'loss': 272.0, 'grad_norm_square': 2277227245.5625, 'tokens': 288}
{'loss': 320.0, 'grad_norm_square': 3023358759.875, 'tokens': 284}
{'loss': 384.0, 'grad_norm_square': 2358267751.5625, 'tokens': 291}
{'loss': 346.0, 'grad_norm_square': 2577904581.375, 'tokens': 313}
{'loss': 510.0, 'grad_norm_square': 5512855802.125, 'tokens': 404}
{'loss': 318.0, 'grad_norm_square': 2044299545.875, 'tokens': 301}
{'loss': 460.0, 'grad_norm_square': 3757327003.125, 'tokens': 417}
{'loss': 352.0, 'grad_norm_square': 3236588284.78125, 'tokens': 269}
{'loss': 356.0, 'grad_norm_square': 2483757166.4375, 'tokens': 286}
{'loss': 334.0, 'grad_norm_square': 2534194672.4375, 'tokens': 282}
{'loss': 314.0, 'grad_norm_square': 1972004566.25, 'tokens': 330}
{'loss': 532.0, 'grad_norm_square': 6478613135.375, 'tokens': 420}
{'loss': 426.0, 'grad_norm_square': 3513971273.25, 'tokens': 342}
{'loss': 404.0, 'grad_norm_square': 2724645117.625, 'tokens': 366}
{'loss': 330.0, 'grad_norm_square': 3554844718.5, 'tokens': 267}
{'loss': 292.0, 'grad_norm_square': 2685223650.8125, 'tokens': 284}
{'loss': 260.0, 'grad_norm_square': 1831363417.375, 'tokens': 226}
{'loss': 286.0, 'grad_norm_square': 2903776444.8125, 'tokens': 249}
{'loss': 510.0, 'grad_norm_square': 4384687032.875, 'tokens': 477}
{'loss': 260.0, 'grad_norm_square': 1828870030.25, 'tokens': 305}
{'loss': 384.0, 'grad_norm_square': 3041564934.5, 'tokens': 300}
{'loss': 520.0, 'grad_norm_square': 6153679037.25, 'tokens': 339}
{'loss': 446.0, 'grad_norm_square': 5865714987.5, 'tokens': 331}
{'loss': 320.0, 'grad_norm_square': 2699492907.0625, 'tokens': 307}
{'loss': 326.0, 'grad_norm_square': 3613270890.375, 'tokens': 314}
{'loss': 328.0, 'grad_norm_square': 5922051271.5, 'tokens': 273}
{'loss': 436.0, 'grad_norm_square': 2753265357.125, 'tokens': 370}
{'loss': 496.0, 'grad_norm_square': 3283815421.5, 'tokens': 358}
{'loss': 648.0, 'grad_norm_square': 9920721131.0, 'tokens': 471}
{'loss': 324.0, 'grad_norm_square': 2430378823.0625, 'tokens': 362}
{'loss': 406.0, 'grad_norm_square': 3437500197.875, 'tokens': 354}
{'loss': 426.0, 'grad_norm_square': 2930999544.6875, 'tokens': 332}
{'loss': 282.0, 'grad_norm_square': 1791062823.09375, 'tokens': 241}
{'loss': 536.0, 'grad_norm_square': 3328082989.875, 'tokens': 342}
{'loss': 330.0, 'grad_norm_square': 3059598656.5, 'tokens': 226}
{'loss': 346.0, 'grad_norm_square': 2950025298.125, 'tokens': 282}
{'loss': 270.0, 'grad_norm_square': 1448518813.28125, 'tokens': 228}
{'loss': 348.0, 'grad_norm_square': 5937748847.75, 'tokens': 360}
{'loss': 294.0, 'grad_norm_square': 2706028065.875, 'tokens': 359}
{'loss': 370.0, 'grad_norm_square': 2033394393.4375, 'tokens': 356}
{'loss': 484.0, 'grad_norm_square': 4388661635.25, 'tokens': 352}
{'loss': 284.0, 'grad_norm_square': 7516969091.25, 'tokens': 321}
{'loss': 484.0, 'grad_norm_square': 7020935467.375, 'tokens': 391}
{'loss': 374.0, 'grad_norm_square': 2184504005.75, 'tokens': 264}
{'loss': 400.0, 'grad_norm_square': 2267964842.25, 'tokens': 350}
{'loss': 274.0, 'grad_norm_square': 3275137827.25, 'tokens': 239}
{'loss': 328.0, 'grad_norm_square': 1999677178.9375, 'tokens': 258}
{'loss': 398.0, 'grad_norm_square': 2440495027.8125, 'tokens': 329}
{'loss': 320.0, 'grad_norm_square': 1774600420.5, 'tokens': 323}
{'loss': 572.0, 'grad_norm_square': 10260919608.0, 'tokens': 426}
{'loss': 444.0, 'grad_norm_square': 7429569578.75, 'tokens': 335}
{'loss': 276.0, 'grad_norm_square': 1258103281.8125, 'tokens': 247}
{'loss': 284.0, 'grad_norm_square': 1510948353.8125, 'tokens': 273}
{'loss': 312.0, 'grad_norm_square': 2153473907.8125, 'tokens': 261}
{'loss': 290.0, 'grad_norm_square': 1532784146.5, 'tokens': 290}
{'loss': 316.0, 'grad_norm_square': 2656485102.25, 'tokens': 307}
{'loss': 400.0, 'grad_norm_square': 3134617595.0, 'tokens': 302}
{'loss': 388.0, 'grad_norm_square': 2237879997.0625, 'tokens': 335}
{'loss': 446.0, 'grad_norm_square': 2524326820.3125, 'tokens': 316}
{'loss': 624.0, 'grad_norm_square': 4221457899.9375, 'tokens': 387}
{'loss': 376.0, 'grad_norm_square': 3043739757.625, 'tokens': 356}
{'loss': 464.0, 'grad_norm_square': 2876322582.375, 'tokens': 345}
{'loss': 424.0, 'grad_norm_square': 6896039976.0, 'tokens': 373}
{'loss': 360.0, 'grad_norm_square': 2408294336.125, 'tokens': 406}
{'loss': 278.0, 'grad_norm_square': 1490912787.46875, 'tokens': 335}
{'loss': 370.0, 'grad_norm_square': 2636621159.5, 'tokens': 331}
{'loss': 490.0, 'grad_norm_square': 4305997512.3125, 'tokens': 407}
{'loss': 430.0, 'grad_norm_square': 2943843505.0625, 'tokens': 377}
{'loss': 274.0, 'grad_norm_square': 1578949868.71875, 'tokens': 244}
{'loss': 266.0, 'grad_norm_square': 1623163592.203125, 'tokens': 321}
{'loss': 282.0, 'grad_norm_square': 1574302067.1875, 'tokens': 264}
{'loss': 496.0, 'grad_norm_square': 4512488078.625, 'tokens': 399}
{'loss': 376.0, 'grad_norm_square': 3612095137.0, 'tokens': 327}
{'loss': 460.0, 'grad_norm_square': 5540101749.75, 'tokens': 387}
{'loss': 296.0, 'grad_norm_square': 2260788772.25, 'tokens': 232}
{'loss': 348.0, 'grad_norm_square': 3997571783.125, 'tokens': 365}
{'loss': 402.0, 'grad_norm_square': 2530105298.5, 'tokens': 320}
{'loss': 476.0, 'grad_norm_square': 2953412650.0, 'tokens': 338}
{'loss': 394.0, 'grad_norm_square': 2766190164.125, 'tokens': 367}
{'loss': 342.0, 'grad_norm_square': 4632102753.25, 'tokens': 367}
{'loss': 580.0, 'grad_norm_square': 5561623751.125, 'tokens': 427}
{'loss': 552.0, 'grad_norm_square': 4296111740.75, 'tokens': 424}
{'loss': 324.0, 'grad_norm_square': 2088459732.0625, 'tokens': 363}
{'loss': 352.0, 'grad_norm_square': 2430705671.0, 'tokens': 325}
{'loss': 428.0, 'grad_norm_square': 2892251370.875, 'tokens': 355}
{'loss': 241.0, 'grad_norm_square': 2008618387.15625, 'tokens': 293}
{'loss': 402.0, 'grad_norm_square': 2021023112.75, 'tokens': 328}
{'loss': 280.0, 'grad_norm_square': 1703799121.78125, 'tokens': 308}
{'loss': 183.0, 'grad_norm_square': 996784396.59375, 'tokens': 225}
{'loss': 484.0, 'grad_norm_square': 4022917643.125, 'tokens': 396}
{'loss': 211.0, 'grad_norm_square': 1077441518.09375, 'tokens': 257}
{'loss': 316.0, 'grad_norm_square': 2178630971.25, 'tokens': 261}
{'loss': 434.0, 'grad_norm_square': 25134733067.5, 'tokens': 255}
{'loss': 300.0, 'grad_norm_square': 1162964263.78125, 'tokens': 308}
{'loss': 466.0, 'grad_norm_square': 3416953538.75, 'tokens': 414}
{'loss': 402.0, 'grad_norm_square': 2580273881.8125, 'tokens': 355}
{'loss': 480.0, 'grad_norm_square': 4255746348.875, 'tokens': 422}
{'loss': 264.0, 'grad_norm_square': 1386171004.03125, 'tokens': 290}
{'loss': 494.0, 'grad_norm_square': 5664202864.375, 'tokens': 375}
{'loss': 428.0, 'grad_norm_square': 3176143754.6875, 'tokens': 427}
{'loss': 418.0, 'grad_norm_square': 2561080114.875, 'tokens': 397}
{'loss': 364.0, 'grad_norm_square': 3225799413.25, 'tokens': 362}
{'loss': 332.0, 'grad_norm_square': 2594778309.5625, 'tokens': 349}
{'loss': 282.0, 'grad_norm_square': 2715476838.4375, 'tokens': 303}
{'loss': 410.0, 'grad_norm_square': 3056275906.875, 'tokens': 342}
{'loss': 210.0, 'grad_norm_square': 1604401176.375, 'tokens': 248}
{'loss': 458.0, 'grad_norm_square': 2883271573.625, 'tokens': 355}
{'loss': 306.0, 'grad_norm_square': 1988364686.8125, 'tokens': 248}
{'loss': 352.0, 'grad_norm_square': 3107360900.5, 'tokens': 333}
{'loss': 294.0, 'grad_norm_square': 1717411432.5, 'tokens': 326}
{'loss': 482.0, 'grad_norm_square': 4122648334.5, 'tokens': 374}
{'loss': 284.0, 'grad_norm_square': 2293366885.3125, 'tokens': 275}
{'loss': 372.0, 'grad_norm_square': 2396657152.6875, 'tokens': 353}
{'loss': 392.0, 'grad_norm_square': 3024992987.0, 'tokens': 398}
{'loss': 352.0, 'grad_norm_square': 1769842004.8125, 'tokens': 339}
{'loss': 214.0, 'grad_norm_square': 1143974577.46875, 'tokens': 296}
{'loss': 338.0, 'grad_norm_square': 1624423347.875, 'tokens': 299}
{'loss': 506.0, 'grad_norm_square': 3314521101.375, 'tokens': 355}
{'loss': 270.0, 'grad_norm_square': 1278991607.84375, 'tokens': 264}
{'loss': 314.0, 'grad_norm_square': 2613147755.875, 'tokens': 318}
{'loss': 388.0, 'grad_norm_square': 3013652282.875, 'tokens': 314}
{'loss': 290.0, 'grad_norm_square': 1275085610.0625, 'tokens': 255}
{'loss': 338.0, 'grad_norm_square': 2538942817.875, 'tokens': 250}
{'loss': 282.0, 'grad_norm_square': 1505643123.6875, 'tokens': 312}
{'loss': 528.0, 'grad_norm_square': 3852375686.875, 'tokens': 377}
{'loss': 318.0, 'grad_norm_square': 2255770910.5625, 'tokens': 313}
{'loss': 266.0, 'grad_norm_square': 2154124796.8125, 'tokens': 214}
{'loss': 326.0, 'grad_norm_square': 1497340596.5, 'tokens': 332}
{'loss': 262.0, 'grad_norm_square': 1159265421.640625, 'tokens': 299}
{'loss': 392.0, 'grad_norm_square': 3007845895.875, 'tokens': 387}
{'loss': 221.0, 'grad_norm_square': 1259726258.6875, 'tokens': 247}
{'loss': 300.0, 'grad_norm_square': 1462403192.65625, 'tokens': 283}
{'loss': 250.0, 'grad_norm_square': 1095787847.78125, 'tokens': 222}
{'loss': 432.0, 'grad_norm_square': 3870648143.75, 'tokens': 421}
{'loss': 468.0, 'grad_norm_square': 3368245960.375, 'tokens': 365}
{'loss': 364.0, 'grad_norm_square': 2103076003.6875, 'tokens': 245}
{'loss': 247.0, 'grad_norm_square': 1597202740.65625, 'tokens': 256}
{'loss': 288.0, 'grad_norm_square': 2478541383.125, 'tokens': 289}
{'loss': 278.0, 'grad_norm_square': 1774199744.875, 'tokens': 306}
{'loss': 262.0, 'grad_norm_square': 1957845591.4375, 'tokens': 294}
{'loss': 512.0, 'grad_norm_square': 3831171412.875, 'tokens': 397}
{'loss': 334.0, 'grad_norm_square': 2826768001.0625, 'tokens': 287}
{'loss': 406.0, 'grad_norm_square': 2608795649.6875, 'tokens': 444}
{'loss': 500.0, 'grad_norm_square': 3577486891.125, 'tokens': 459}
{'loss': 364.0, 'grad_norm_square': 2877187595.5, 'tokens': 304}
{'loss': 456.0, 'grad_norm_square': 4252187623.25, 'tokens': 449}
{'loss': 452.0, 'grad_norm_square': 3364846056.375, 'tokens': 386}
{'loss': 304.0, 'grad_norm_square': 3344237985.5625, 'tokens': 308}
{'loss': 426.0, 'grad_norm_square': 2782115300.75, 'tokens': 383}
{'loss': 284.0, 'grad_norm_square': 2089540254.25, 'tokens': 318}
{'loss': 342.0, 'grad_norm_square': 1931110374.8125, 'tokens': 287}
{'loss': 388.0, 'grad_norm_square': 3313625768.875, 'tokens': 359}
{'loss': 225.0, 'grad_norm_square': 1109629869.0, 'tokens': 216}
{'loss': 221.0, 'grad_norm_square': 1391211839.625, 'tokens': 251}
{'loss': 292.0, 'grad_norm_square': 1865217768.5625, 'tokens': 253}
{'loss': 472.0, 'grad_norm_square': 2540812100.375, 'tokens': 388}
{'loss': 404.0, 'grad_norm_square': 2502957995.5, 'tokens': 265}
{'loss': 302.0, 'grad_norm_square': 1643650117.75, 'tokens': 286}
{'loss': 332.0, 'grad_norm_square': 2233074462.5, 'tokens': 321}
{'loss': 314.0, 'grad_norm_square': 2115178471.625, 'tokens': 298}
{'loss': 432.0, 'grad_norm_square': 3358730312.875, 'tokens': 330}
{'loss': 478.0, 'grad_norm_square': 4030907218.625, 'tokens': 423}
{'loss': 402.0, 'grad_norm_square': 3806088477.625, 'tokens': 415}
{'loss': 258.0, 'grad_norm_square': 4212400658.8125, 'tokens': 231}
{'loss': 436.0, 'grad_norm_square': 2139023746.75, 'tokens': 350}
{'loss': 466.0, 'grad_norm_square': 3134829375.375, 'tokens': 366}
{'loss': 628.0, 'grad_norm_square': 4343357994.75, 'tokens': 399}
{'loss': 466.0, 'grad_norm_square': 2649351648.5, 'tokens': 401}
{'loss': 418.0, 'grad_norm_square': 3055777146.0, 'tokens': 310}
{'loss': 312.0, 'grad_norm_square': 2684313584.0, 'tokens': 284}
{'loss': 330.0, 'grad_norm_square': 3294074599.5, 'tokens': 294}
{'loss': 336.0, 'grad_norm_square': 2302663590.0625, 'tokens': 383}
{'loss': 278.0, 'grad_norm_square': 1644069789.3125, 'tokens': 287}
{'loss': 552.0, 'grad_norm_square': 2724789623.0625, 'tokens': 408}
{'loss': 272.0, 'grad_norm_square': 1858275733.0, 'tokens': 278}
{'loss': 241.0, 'grad_norm_square': 1017575777.15625, 'tokens': 287}
{'loss': 418.0, 'grad_norm_square': 3341585554.0, 'tokens': 375}
{'loss': 229.0, 'grad_norm_square': 876646272.3125, 'tokens': 284}
{'loss': 360.0, 'grad_norm_square': 2887747682.625, 'tokens': 260}
{'loss': 394.0, 'grad_norm_square': 4369130541.25, 'tokens': 356}
{'loss': 366.0, 'grad_norm_square': 1974402019.0625, 'tokens': 264}
{'loss': 238.0, 'grad_norm_square': 1120561834.875, 'tokens': 285}
{'loss': 316.0, 'grad_norm_square': 2096166216.75, 'tokens': 322}
{'loss': 390.0, 'grad_norm_square': 2192957223.4375, 'tokens': 328}
{'loss': 334.0, 'grad_norm_square': 1991346947.75, 'tokens': 326}
{'loss': 418.0, 'grad_norm_square': 2756391202.125, 'tokens': 413}
{'loss': 205.0, 'grad_norm_square': 1439605715.375, 'tokens': 285}
{'loss': 276.0, 'grad_norm_square': 1919298861.8125, 'tokens': 282}
{'loss': 382.0, 'grad_norm_square': 3186723451.0, 'tokens': 336}
{'loss': 200.0, 'grad_norm_square': 663641282.375, 'tokens': 210}
{'loss': 540.0, 'grad_norm_square': 7290833890.75, 'tokens': 435}
{'loss': 247.0, 'grad_norm_square': 1085813516.375, 'tokens': 252}
{'loss': 187.0, 'grad_norm_square': 1454357272.09375, 'tokens': 218}
{'loss': 568.0, 'grad_norm_square': 3639389693.75, 'tokens': 341}
{'loss': 324.0, 'grad_norm_square': 1484298028.3125, 'tokens': 297}
{'loss': 296.0, 'grad_norm_square': 1245057543.96875, 'tokens': 335}
{'loss': 406.0, 'grad_norm_square': 3708359003.75, 'tokens': 377}
{'loss': 460.0, 'grad_norm_square': 5011433069.625, 'tokens': 420}
{'loss': 292.0, 'grad_norm_square': 1425669649.375, 'tokens': 298}
{'loss': 320.0, 'grad_norm_square': 1591021095.8125, 'tokens': 301}
{'loss': 290.0, 'grad_norm_square': 2000223605.6875, 'tokens': 303}
{'loss': 420.0, 'grad_norm_square': 2305443344.375, 'tokens': 306}
{'loss': 364.0, 'grad_norm_square': 2668860700.25, 'tokens': 434}
{'loss': 342.0, 'grad_norm_square': 2459117193.125, 'tokens': 345}
{'loss': 408.0, 'grad_norm_square': 3155033014.5, 'tokens': 334}
{'loss': 476.0, 'grad_norm_square': 3502609744.25, 'tokens': 380}
{'loss': 418.0, 'grad_norm_square': 2967581658.375, 'tokens': 393}
{'loss': 352.0, 'grad_norm_square': 1819387312.4375, 'tokens': 375}
{'loss': 292.0, 'grad_norm_square': 1624076473.1875, 'tokens': 298}
{'loss': 199.0, 'grad_norm_square': 1174994442.21875, 'tokens': 187}
{'loss': 458.0, 'grad_norm_square': 2854880622.6875, 'tokens': 316}
{'loss': 354.0, 'grad_norm_square': 1583238437.375, 'tokens': 319}
{'loss': 296.0, 'grad_norm_square': 1712873376.9375, 'tokens': 296}
{'loss': 434.0, 'grad_norm_square': 3410197203.875, 'tokens': 423}
{'loss': 446.0, 'grad_norm_square': 4797756594.25, 'tokens': 315}
{'loss': 304.0, 'grad_norm_square': 1667483657.75, 'tokens': 318}
{'loss': 414.0, 'grad_norm_square': 2553946208.0, 'tokens': 351}
{'loss': 294.0, 'grad_norm_square': 2253097988.5625, 'tokens': 327}
{'loss': 390.0, 'grad_norm_square': 2173551498.25, 'tokens': 427}
{'loss': 502.0, 'grad_norm_square': 3568847508.875, 'tokens': 429}
{'loss': 434.0, 'grad_norm_square': 3475633460.875, 'tokens': 419}
{'loss': 249.0, 'grad_norm_square': 1086004897.65625, 'tokens': 247}
{'loss': 392.0, 'grad_norm_square': 2317903675.0, 'tokens': 313}
{'loss': 322.0, 'grad_norm_square': 1965457257.375, 'tokens': 250}
{'loss': 366.0, 'grad_norm_square': 2028593080.25, 'tokens': 346}
{'loss': 400.0, 'grad_norm_square': 5345014755.25, 'tokens': 382}
{'loss': 406.0, 'grad_norm_square': 2937812954.625, 'tokens': 277}
{'loss': 258.0, 'grad_norm_square': 1056014226.40625, 'tokens': 230}
{'loss': 378.0, 'grad_norm_square': 4536986891.0, 'tokens': 303}
{'loss': 378.0, 'grad_norm_square': 2215224222.75, 'tokens': 251}
{'loss': 215.0, 'grad_norm_square': 1226015565.8125, 'tokens': 271}
{'loss': 390.0, 'grad_norm_square': 2165394737.625, 'tokens': 345}
{'loss': 426.0, 'grad_norm_square': 3635172479.25, 'tokens': 346}
{'loss': 480.0, 'grad_norm_square': 2797444817.625, 'tokens': 416}
{'loss': 382.0, 'grad_norm_square': 3428944544.75, 'tokens': 334}
