{'model_params': 2506172416, 'peft_params': 9175544}
{'loss': 466.0, 'grad_norm_square': 10880.0, 'tokens': 319}
{'loss': 360.0, 'grad_norm_square': 7872.0, 'tokens': 252}
{'loss': 292.0, 'grad_norm_square': 7744.0, 'tokens': 311}
{'loss': 324.0, 'grad_norm_square': 10176.0, 'tokens': 308}
{'loss': 488.0, 'grad_norm_square': 13120.0, 'tokens': 335}
{'loss': 628.0, 'grad_norm_square': 17664.0, 'tokens': 434}
{'loss': 368.0, 'grad_norm_square': 8640.0, 'tokens': 378}
{'loss': 334.0, 'grad_norm_square': 6592.0, 'tokens': 299}
{'loss': 390.0, 'grad_norm_square': 9408.0, 'tokens': 377}
{'loss': 356.0, 'grad_norm_square': 8448.0, 'tokens': 294}
{'loss': 282.0, 'grad_norm_square': 7200.0, 'tokens': 315}
{'loss': 296.0, 'grad_norm_square': 10560.0, 'tokens': 328}
{'loss': 376.0, 'grad_norm_square': 9408.0, 'tokens': 394}
{'loss': 300.0, 'grad_norm_square': 12480.0, 'tokens': 291}
{'loss': 270.0, 'grad_norm_square': 7136.0, 'tokens': 274}
{'loss': 368.0, 'grad_norm_square': 10176.0, 'tokens': 342}
{'loss': 312.0, 'grad_norm_square': 11840.0, 'tokens': 441}
{'loss': 356.0, 'grad_norm_square': 8000.0, 'tokens': 360}
{'loss': 332.0, 'grad_norm_square': 9920.0, 'tokens': 306}
{'loss': 278.0, 'grad_norm_square': 7520.0, 'tokens': 343}
{'loss': 201.0, 'grad_norm_square': 5504.0, 'tokens': 230}
{'loss': 412.0, 'grad_norm_square': 9984.0, 'tokens': 438}
{'loss': 308.0, 'grad_norm_square': 5856.0, 'tokens': 330}
{'loss': 474.0, 'grad_norm_square': 10048.0, 'tokens': 488}
{'loss': 310.0, 'grad_norm_square': 10368.0, 'tokens': 343}
{'loss': 408.0, 'grad_norm_square': 9728.0, 'tokens': 360}
{'loss': 253.0, 'grad_norm_square': 9408.0, 'tokens': 227}
{'loss': 456.0, 'grad_norm_square': 8832.0, 'tokens': 400}
{'loss': 298.0, 'grad_norm_square': 6784.0, 'tokens': 389}
{'loss': 352.0, 'grad_norm_square': 7072.0, 'tokens': 347}
{'loss': 308.0, 'grad_norm_square': 6144.0, 'tokens': 281}
{'loss': 222.0, 'grad_norm_square': 5024.0, 'tokens': 299}
{'loss': 316.0, 'grad_norm_square': 6496.0, 'tokens': 305}
{'loss': 416.0, 'grad_norm_square': 8768.0, 'tokens': 304}
{'loss': 212.0, 'grad_norm_square': 4992.0, 'tokens': 289}
{'loss': 454.0, 'grad_norm_square': 8128.0, 'tokens': 381}
{'loss': 326.0, 'grad_norm_square': 6944.0, 'tokens': 395}
{'loss': 260.0, 'grad_norm_square': 4896.0, 'tokens': 267}
{'loss': 370.0, 'grad_norm_square': 7680.0, 'tokens': 299}
{'loss': 412.0, 'grad_norm_square': 8704.0, 'tokens': 407}
{'loss': 344.0, 'grad_norm_square': 7008.0, 'tokens': 347}
{'loss': 220.0, 'grad_norm_square': 5312.0, 'tokens': 248}
{'loss': 408.0, 'grad_norm_square': 8320.0, 'tokens': 309}
{'loss': 326.0, 'grad_norm_square': 5728.0, 'tokens': 335}
{'loss': 380.0, 'grad_norm_square': 13568.0, 'tokens': 420}
{'loss': 292.0, 'grad_norm_square': 6208.0, 'tokens': 293}
{'loss': 250.0, 'grad_norm_square': 5472.0, 'tokens': 251}
{'loss': 376.0, 'grad_norm_square': 7200.0, 'tokens': 348}
{'loss': 458.0, 'grad_norm_square': 7584.0, 'tokens': 336}
{'loss': 340.0, 'grad_norm_square': 6464.0, 'tokens': 334}
{'loss': 250.0, 'grad_norm_square': 4832.0, 'tokens': 312}
{'loss': 422.0, 'grad_norm_square': 8128.0, 'tokens': 332}
{'loss': 249.0, 'grad_norm_square': 5568.0, 'tokens': 272}
{'loss': 192.0, 'grad_norm_square': 5376.0, 'tokens': 258}
{'loss': 366.0, 'grad_norm_square': 6048.0, 'tokens': 314}
{'loss': 211.0, 'grad_norm_square': 4288.0, 'tokens': 261}
{'loss': 286.0, 'grad_norm_square': 6080.0, 'tokens': 291}
{'loss': 476.0, 'grad_norm_square': 10560.0, 'tokens': 383}
{'loss': 388.0, 'grad_norm_square': 5856.0, 'tokens': 323}
{'loss': 358.0, 'grad_norm_square': 6976.0, 'tokens': 350}
{'loss': 280.0, 'grad_norm_square': 4896.0, 'tokens': 358}
{'loss': 264.0, 'grad_norm_square': 5312.0, 'tokens': 240}
{'loss': 226.0, 'grad_norm_square': 5216.0, 'tokens': 256}
{'loss': 310.0, 'grad_norm_square': 4960.0, 'tokens': 314}
{'loss': 236.0, 'grad_norm_square': 4256.0, 'tokens': 249}
{'loss': 366.0, 'grad_norm_square': 6816.0, 'tokens': 352}
{'loss': 352.0, 'grad_norm_square': 6560.0, 'tokens': 330}
{'loss': 264.0, 'grad_norm_square': 5792.0, 'tokens': 243}
{'loss': 268.0, 'grad_norm_square': 4768.0, 'tokens': 292}
{'loss': 312.0, 'grad_norm_square': 5504.0, 'tokens': 293}
{'loss': 286.0, 'grad_norm_square': 6432.0, 'tokens': 327}
{'loss': 346.0, 'grad_norm_square': 6112.0, 'tokens': 310}
{'loss': 272.0, 'grad_norm_square': 6176.0, 'tokens': 254}
{'loss': 424.0, 'grad_norm_square': 6144.0, 'tokens': 433}
{'loss': 410.0, 'grad_norm_square': 7456.0, 'tokens': 352}
{'loss': 206.0, 'grad_norm_square': 5152.0, 'tokens': 206}
{'loss': 288.0, 'grad_norm_square': 5600.0, 'tokens': 243}
