{'loss': 580.0, 'grad_norm_square': 94720.0, 'tokens': 455}
{'loss': 372.0, 'grad_norm_square': 63744.0, 'tokens': 312}
{'loss': 592.0, 'grad_norm_square': 76800.0, 'tokens': 432}
{'loss': 612.0, 'grad_norm_square': 63744.0, 'tokens': 471}
{'loss': 310.0, 'grad_norm_square': 46336.0, 'tokens': 327}
{'loss': 314.0, 'grad_norm_square': 39168.0, 'tokens': 314}
{'loss': 564.0, 'grad_norm_square': 68608.0, 'tokens': 457}
{'loss': 229.0, 'grad_norm_square': 45312.0, 'tokens': 255}
{'loss': 400.0, 'grad_norm_square': 49920.0, 'tokens': 437}
{'loss': 251.0, 'grad_norm_square': 39424.0, 'tokens': 371}
{'loss': 480.0, 'grad_norm_square': 61440.0, 'tokens': 471}
{'loss': 406.0, 'grad_norm_square': 52736.0, 'tokens': 452}
{'loss': 254.0, 'grad_norm_square': 40192.0, 'tokens': 261}
{'loss': 474.0, 'grad_norm_square': 52736.0, 'tokens': 419}
{'loss': 528.0, 'grad_norm_square': 59136.0, 'tokens': 450}
{'loss': 378.0, 'grad_norm_square': 74752.0, 'tokens': 446}
{'loss': 584.0, 'grad_norm_square': 67584.0, 'tokens': 452}
{'loss': 219.0, 'grad_norm_square': 42496.0, 'tokens': 262}
{'loss': 408.0, 'grad_norm_square': 53248.0, 'tokens': 375}
{'loss': 478.0, 'grad_norm_square': 58112.0, 'tokens': 405}
{'loss': 426.0, 'grad_norm_square': 45568.0, 'tokens': 409}
{'loss': 364.0, 'grad_norm_square': 42752.0, 'tokens': 410}
{'loss': 468.0, 'grad_norm_square': 66048.0, 'tokens': 429}
{'loss': 410.0, 'grad_norm_square': 44032.0, 'tokens': 408}
{'loss': 376.0, 'grad_norm_square': 49920.0, 'tokens': 427}
{'loss': 502.0, 'grad_norm_square': 57088.0, 'tokens': 445}
{'loss': 420.0, 'grad_norm_square': 56320.0, 'tokens': 461}
{'loss': 434.0, 'grad_norm_square': 58368.0, 'tokens': 444}
{'loss': 434.0, 'grad_norm_square': 50432.0, 'tokens': 459}
{'loss': 288.0, 'grad_norm_square': 40192.0, 'tokens': 295}
{'loss': 520.0, 'grad_norm_square': 58112.0, 'tokens': 420}
{'loss': 480.0, 'grad_norm_square': 58880.0, 'tokens': 476}
{'loss': 440.0, 'grad_norm_square': 54528.0, 'tokens': 430}
{'loss': 450.0, 'grad_norm_square': 51712.0, 'tokens': 441}
{'loss': 368.0, 'grad_norm_square': 50176.0, 'tokens': 402}
{'loss': 400.0, 'grad_norm_square': 40448.0, 'tokens': 328}
{'loss': 412.0, 'grad_norm_square': 40448.0, 'tokens': 453}
{'loss': 318.0, 'grad_norm_square': 48896.0, 'tokens': 375}
{'loss': 426.0, 'grad_norm_square': 44800.0, 'tokens': 434}
{'loss': 292.0, 'grad_norm_square': 36608.0, 'tokens': 383}
{'loss': 446.0, 'grad_norm_square': 44288.0, 'tokens': 411}
{'loss': 462.0, 'grad_norm_square': 43264.0, 'tokens': 469}
{'loss': 366.0, 'grad_norm_square': 37888.0, 'tokens': 392}
{'loss': 362.0, 'grad_norm_square': 35072.0, 'tokens': 460}
{'loss': 336.0, 'grad_norm_square': 38912.0, 'tokens': 398}
{'loss': 240.0, 'grad_norm_square': 39936.0, 'tokens': 284}
{'loss': 165.0, 'grad_norm_square': 32256.0, 'tokens': 275}
{'loss': 414.0, 'grad_norm_square': 43264.0, 'tokens': 435}
{'loss': 186.0, 'grad_norm_square': 32000.0, 'tokens': 287}
{'loss': 410.0, 'grad_norm_square': 58624.0, 'tokens': 440}
{'loss': 348.0, 'grad_norm_square': 45568.0, 'tokens': 326}
{'loss': 274.0, 'grad_norm_square': 35840.0, 'tokens': 349}
{'loss': 114.0, 'grad_norm_square': 22912.0, 'tokens': 255}
{'loss': 216.0, 'grad_norm_square': 32256.0, 'tokens': 281}
{'loss': 436.0, 'grad_norm_square': 51968.0, 'tokens': 435}
{'loss': 652.0, 'grad_norm_square': 58368.0, 'tokens': 393}
{'loss': 494.0, 'grad_norm_square': 51200.0, 'tokens': 480}
{'loss': 468.0, 'grad_norm_square': 42496.0, 'tokens': 459}
{'loss': 512.0, 'grad_norm_square': 61952.0, 'tokens': 477}
{'loss': 346.0, 'grad_norm_square': 42752.0, 'tokens': 464}
{'loss': 228.0, 'grad_norm_square': 28672.0, 'tokens': 263}
{'loss': 588.0, 'grad_norm_square': 45056.0, 'tokens': 489}
{'loss': 400.0, 'grad_norm_square': 42752.0, 'tokens': 376}
{'loss': 378.0, 'grad_norm_square': 58880.0, 'tokens': 455}
{'loss': 480.0, 'grad_norm_square': 44544.0, 'tokens': 420}
{'loss': 398.0, 'grad_norm_square': 44288.0, 'tokens': 414}
{'loss': 222.0, 'grad_norm_square': 27904.0, 'tokens': 260}
{'loss': 350.0, 'grad_norm_square': 34304.0, 'tokens': 379}
{'loss': 202.0, 'grad_norm_square': 35840.0, 'tokens': 257}
{'loss': 360.0, 'grad_norm_square': 41984.0, 'tokens': 413}
{'loss': 380.0, 'grad_norm_square': 42752.0, 'tokens': 386}
{'loss': 264.0, 'grad_norm_square': 30464.0, 'tokens': 258}
{'loss': 272.0, 'grad_norm_square': 31872.0, 'tokens': 281}
{'loss': 370.0, 'grad_norm_square': 37120.0, 'tokens': 472}
{'loss': 290.0, 'grad_norm_square': 36096.0, 'tokens': 334}
{'loss': 520.0, 'grad_norm_square': 49408.0, 'tokens': 437}
{'loss': 510.0, 'grad_norm_square': 41728.0, 'tokens': 499}
{'loss': 402.0, 'grad_norm_square': 36864.0, 'tokens': 448}
{'loss': 214.0, 'grad_norm_square': 28288.0, 'tokens': 248}
{'loss': 286.0, 'grad_norm_square': 47104.0, 'tokens': 310}
{'loss': 320.0, 'grad_norm_square': 35328.0, 'tokens': 271}
{'loss': 290.0, 'grad_norm_square': 32000.0, 'tokens': 416}
{'loss': 450.0, 'grad_norm_square': 49152.0, 'tokens': 445}
{'loss': 227.0, 'grad_norm_square': 31488.0, 'tokens': 261}
{'loss': 286.0, 'grad_norm_square': 35840.0, 'tokens': 316}
{'loss': 244.0, 'grad_norm_square': 37888.0, 'tokens': 299}
{'loss': 288.0, 'grad_norm_square': 50176.0, 'tokens': 378}
{'loss': 202.0, 'grad_norm_square': 28800.0, 'tokens': 261}
{'loss': 418.0, 'grad_norm_square': 38400.0, 'tokens': 403}
{'loss': 540.0, 'grad_norm_square': 45056.0, 'tokens': 467}
{'loss': 196.0, 'grad_norm_square': 26240.0, 'tokens': 292}
{'loss': 428.0, 'grad_norm_square': 54528.0, 'tokens': 439}
{'loss': 502.0, 'grad_norm_square': 50944.0, 'tokens': 438}
{'loss': 302.0, 'grad_norm_square': 37888.0, 'tokens': 363}
{'loss': 476.0, 'grad_norm_square': 40960.0, 'tokens': 482}
{'loss': 300.0, 'grad_norm_square': 32768.0, 'tokens': 341}
{'loss': 382.0, 'grad_norm_square': 39424.0, 'tokens': 469}
{'loss': 284.0, 'grad_norm_square': 31488.0, 'tokens': 252}
{'loss': 332.0, 'grad_norm_square': 35840.0, 'tokens': 386}
{'loss': 470.0, 'grad_norm_square': 46080.0, 'tokens': 438}
{'loss': 388.0, 'grad_norm_square': 37120.0, 'tokens': 440}
{'loss': 358.0, 'grad_norm_square': 44288.0, 'tokens': 281}
{'loss': 414.0, 'grad_norm_square': 39680.0, 'tokens': 436}
{'loss': 318.0, 'grad_norm_square': 36096.0, 'tokens': 361}
{'loss': 516.0, 'grad_norm_square': 46848.0, 'tokens': 394}
{'loss': 203.0, 'grad_norm_square': 39168.0, 'tokens': 278}
{'loss': 306.0, 'grad_norm_square': 39424.0, 'tokens': 364}
{'loss': 426.0, 'grad_norm_square': 40960.0, 'tokens': 425}
{'loss': 452.0, 'grad_norm_square': 44544.0, 'tokens': 411}
{'loss': 255.0, 'grad_norm_square': 30592.0, 'tokens': 281}
{'loss': 448.0, 'grad_norm_square': 45568.0, 'tokens': 434}
{'loss': 444.0, 'grad_norm_square': 37632.0, 'tokens': 404}
{'loss': 576.0, 'grad_norm_square': 45312.0, 'tokens': 457}
{'loss': 434.0, 'grad_norm_square': 77312.0, 'tokens': 472}
{'loss': 368.0, 'grad_norm_square': 37120.0, 'tokens': 400}
{'loss': 217.0, 'grad_norm_square': 25472.0, 'tokens': 294}
{'loss': 524.0, 'grad_norm_square': 43264.0, 'tokens': 418}
{'loss': 444.0, 'grad_norm_square': 51200.0, 'tokens': 446}
{'loss': 424.0, 'grad_norm_square': 41472.0, 'tokens': 428}
{'loss': 276.0, 'grad_norm_square': 35072.0, 'tokens': 363}
{'loss': 442.0, 'grad_norm_square': 37120.0, 'tokens': 424}
{'loss': 400.0, 'grad_norm_square': 34816.0, 'tokens': 430}
{'loss': 326.0, 'grad_norm_square': 28672.0, 'tokens': 414}
{'loss': 402.0, 'grad_norm_square': 33280.0, 'tokens': 433}
{'loss': 520.0, 'grad_norm_square': 42240.0, 'tokens': 399}
{'loss': 262.0, 'grad_norm_square': 35584.0, 'tokens': 275}
{'loss': 242.0, 'grad_norm_square': 30080.0, 'tokens': 303}
{'loss': 376.0, 'grad_norm_square': 53248.0, 'tokens': 249}
{'loss': 536.0, 'grad_norm_square': 44288.0, 'tokens': 446}
{'loss': 402.0, 'grad_norm_square': 39424.0, 'tokens': 415}
{'loss': 372.0, 'grad_norm_square': 37888.0, 'tokens': 429}
{'loss': 564.0, 'grad_norm_square': 49920.0, 'tokens': 462}
{'loss': 296.0, 'grad_norm_square': 36352.0, 'tokens': 278}
{'loss': 470.0, 'grad_norm_square': 44800.0, 'tokens': 417}
{'loss': 274.0, 'grad_norm_square': 29696.0, 'tokens': 251}
{'loss': 392.0, 'grad_norm_square': 37120.0, 'tokens': 443}
{'loss': 278.0, 'grad_norm_square': 39424.0, 'tokens': 350}
{'loss': 412.0, 'grad_norm_square': 43008.0, 'tokens': 462}
{'loss': 227.0, 'grad_norm_square': 27904.0, 'tokens': 287}
{'loss': 408.0, 'grad_norm_square': 37888.0, 'tokens': 359}
{'loss': 324.0, 'grad_norm_square': 33280.0, 'tokens': 395}
{'loss': 384.0, 'grad_norm_square': 38400.0, 'tokens': 394}
{'loss': 460.0, 'grad_norm_square': 41216.0, 'tokens': 458}
{'loss': 440.0, 'grad_norm_square': 37120.0, 'tokens': 470}
{'loss': 368.0, 'grad_norm_square': 39168.0, 'tokens': 393}
{'loss': 436.0, 'grad_norm_square': 46592.0, 'tokens': 463}
{'loss': 189.0, 'grad_norm_square': 24576.0, 'tokens': 303}
{'loss': 388.0, 'grad_norm_square': 43776.0, 'tokens': 457}
{'loss': 438.0, 'grad_norm_square': 38912.0, 'tokens': 430}
{'loss': 264.0, 'grad_norm_square': 28416.0, 'tokens': 373}
{'loss': 450.0, 'grad_norm_square': 43008.0, 'tokens': 446}
{'loss': 446.0, 'grad_norm_square': 43008.0, 'tokens': 445}
{'loss': 478.0, 'grad_norm_square': 47360.0, 'tokens': 463}
{'loss': 364.0, 'grad_norm_square': 61440.0, 'tokens': 413}
{'loss': 348.0, 'grad_norm_square': 37120.0, 'tokens': 419}
{'loss': 260.0, 'grad_norm_square': 27904.0, 'tokens': 401}
{'loss': 278.0, 'grad_norm_square': 34560.0, 'tokens': 263}
{'loss': 486.0, 'grad_norm_square': 37376.0, 'tokens': 468}
{'loss': 416.0, 'grad_norm_square': 39424.0, 'tokens': 401}
{'loss': 432.0, 'grad_norm_square': 44800.0, 'tokens': 436}
{'loss': 446.0, 'grad_norm_square': 40448.0, 'tokens': 471}
{'loss': 294.0, 'grad_norm_square': 49152.0, 'tokens': 371}
{'loss': 272.0, 'grad_norm_square': 27904.0, 'tokens': 367}
{'loss': 426.0, 'grad_norm_square': 39680.0, 'tokens': 389}
{'loss': 250.0, 'grad_norm_square': 28544.0, 'tokens': 296}
{'loss': 420.0, 'grad_norm_square': 39424.0, 'tokens': 412}
{'loss': 446.0, 'grad_norm_square': 40448.0, 'tokens': 402}
{'loss': 362.0, 'grad_norm_square': 39168.0, 'tokens': 396}
{'loss': 410.0, 'grad_norm_square': 57344.0, 'tokens': 461}
{'loss': 438.0, 'grad_norm_square': 38400.0, 'tokens': 477}
{'loss': 237.0, 'grad_norm_square': 31872.0, 'tokens': 317}
{'loss': 326.0, 'grad_norm_square': 36096.0, 'tokens': 412}
{'loss': 460.0, 'grad_norm_square': 39168.0, 'tokens': 425}
{'loss': 378.0, 'grad_norm_square': 50432.0, 'tokens': 298}
{'loss': 354.0, 'grad_norm_square': 37120.0, 'tokens': 423}
{'loss': 304.0, 'grad_norm_square': 36864.0, 'tokens': 393}
{'loss': 300.0, 'grad_norm_square': 32000.0, 'tokens': 325}
{'loss': 380.0, 'grad_norm_square': 37376.0, 'tokens': 430}
{'loss': 324.0, 'grad_norm_square': 37888.0, 'tokens': 298}
{'loss': 183.0, 'grad_norm_square': 26112.0, 'tokens': 268}
{'loss': 197.0, 'grad_norm_square': 28160.0, 'tokens': 268}
{'loss': 362.0, 'grad_norm_square': 38656.0, 'tokens': 414}
{'loss': 394.0, 'grad_norm_square': 68608.0, 'tokens': 376}
{'loss': 432.0, 'grad_norm_square': 41216.0, 'tokens': 425}
{'loss': 252.0, 'grad_norm_square': 37888.0, 'tokens': 347}
{'loss': 478.0, 'grad_norm_square': 41472.0, 'tokens': 357}
{'loss': 416.0, 'grad_norm_square': 47104.0, 'tokens': 459}
{'loss': 426.0, 'grad_norm_square': 38912.0, 'tokens': 458}
{'loss': 316.0, 'grad_norm_square': 32512.0, 'tokens': 406}
{'loss': 376.0, 'grad_norm_square': 31488.0, 'tokens': 441}
{'loss': 206.0, 'grad_norm_square': 23936.0, 'tokens': 260}
{'loss': 290.0, 'grad_norm_square': 36352.0, 'tokens': 313}
{'loss': 410.0, 'grad_norm_square': 35584.0, 'tokens': 406}
{'loss': 428.0, 'grad_norm_square': 38912.0, 'tokens': 449}
{'loss': 378.0, 'grad_norm_square': 34816.0, 'tokens': 397}
{'loss': 366.0, 'grad_norm_square': 36864.0, 'tokens': 436}
{'loss': 234.0, 'grad_norm_square': 29696.0, 'tokens': 378}
{'loss': 434.0, 'grad_norm_square': 40960.0, 'tokens': 321}
{'loss': 360.0, 'grad_norm_square': 38656.0, 'tokens': 455}
{'loss': 364.0, 'grad_norm_square': 39168.0, 'tokens': 278}
