{'loss': 580.0, 'grad_norm_square': 41984.0, 'tokens': 455}
{'loss': 398.0, 'grad_norm_square': 50944.0, 'tokens': 312}
{'loss': 672.0, 'grad_norm_square': 52224.0, 'tokens': 432}
{'loss': 680.0, 'grad_norm_square': 39168.0, 'tokens': 471}
{'loss': 324.0, 'grad_norm_square': 22912.0, 'tokens': 327}
{'loss': 334.0, 'grad_norm_square': 19840.0, 'tokens': 314}
{'loss': 600.0, 'grad_norm_square': 28928.0, 'tokens': 457}
{'loss': 254.0, 'grad_norm_square': 22656.0, 'tokens': 255}
{'loss': 440.0, 'grad_norm_square': 24960.0, 'tokens': 437}
{'loss': 278.0, 'grad_norm_square': 17024.0, 'tokens': 371}
{'loss': 548.0, 'grad_norm_square': 27904.0, 'tokens': 471}
{'loss': 458.0, 'grad_norm_square': 24064.0, 'tokens': 452}
{'loss': 272.0, 'grad_norm_square': 18304.0, 'tokens': 261}
{'loss': 536.0, 'grad_norm_square': 23936.0, 'tokens': 419}
{'loss': 568.0, 'grad_norm_square': 24448.0, 'tokens': 450}
{'loss': 404.0, 'grad_norm_square': 24832.0, 'tokens': 446}
{'loss': 616.0, 'grad_norm_square': 28672.0, 'tokens': 452}
{'loss': 231.0, 'grad_norm_square': 17408.0, 'tokens': 262}
{'loss': 428.0, 'grad_norm_square': 23552.0, 'tokens': 375}
{'loss': 500.0, 'grad_norm_square': 25600.0, 'tokens': 405}
{'loss': 452.0, 'grad_norm_square': 20480.0, 'tokens': 409}
{'loss': 394.0, 'grad_norm_square': 20992.0, 'tokens': 410}
{'loss': 496.0, 'grad_norm_square': 35840.0, 'tokens': 429}
{'loss': 430.0, 'grad_norm_square': 25088.0, 'tokens': 408}
{'loss': 414.0, 'grad_norm_square': 27008.0, 'tokens': 427}
{'loss': 556.0, 'grad_norm_square': 29312.0, 'tokens': 445}
{'loss': 430.0, 'grad_norm_square': 33536.0, 'tokens': 461}
{'loss': 464.0, 'grad_norm_square': 32128.0, 'tokens': 444}
{'loss': 460.0, 'grad_norm_square': 26496.0, 'tokens': 459}
{'loss': 322.0, 'grad_norm_square': 21376.0, 'tokens': 295}
{'loss': 532.0, 'grad_norm_square': 28672.0, 'tokens': 420}
{'loss': 500.0, 'grad_norm_square': 29696.0, 'tokens': 476}
{'loss': 456.0, 'grad_norm_square': 29824.0, 'tokens': 430}
{'loss': 472.0, 'grad_norm_square': 26240.0, 'tokens': 441}
{'loss': 396.0, 'grad_norm_square': 28288.0, 'tokens': 402}
{'loss': 422.0, 'grad_norm_square': 22272.0, 'tokens': 328}
{'loss': 426.0, 'grad_norm_square': 23552.0, 'tokens': 453}
{'loss': 314.0, 'grad_norm_square': 24576.0, 'tokens': 375}
{'loss': 444.0, 'grad_norm_square': 26368.0, 'tokens': 434}
{'loss': 304.0, 'grad_norm_square': 19968.0, 'tokens': 383}
{'loss': 436.0, 'grad_norm_square': 21504.0, 'tokens': 411}
{'loss': 472.0, 'grad_norm_square': 22912.0, 'tokens': 469}
{'loss': 388.0, 'grad_norm_square': 22272.0, 'tokens': 392}
{'loss': 368.0, 'grad_norm_square': 21248.0, 'tokens': 460}
{'loss': 346.0, 'grad_norm_square': 22144.0, 'tokens': 398}
{'loss': 241.0, 'grad_norm_square': 21376.0, 'tokens': 284}
{'loss': 163.0, 'grad_norm_square': 15680.0, 'tokens': 275}
{'loss': 430.0, 'grad_norm_square': 26112.0, 'tokens': 435}
{'loss': 195.0, 'grad_norm_square': 17664.0, 'tokens': 287}
{'loss': 428.0, 'grad_norm_square': 31232.0, 'tokens': 440}
{'loss': 354.0, 'grad_norm_square': 25856.0, 'tokens': 326}
{'loss': 282.0, 'grad_norm_square': 22400.0, 'tokens': 349}
{'loss': 114.5, 'grad_norm_square': 12864.0, 'tokens': 255}
{'loss': 214.0, 'grad_norm_square': 17536.0, 'tokens': 281}
{'loss': 434.0, 'grad_norm_square': 27136.0, 'tokens': 435}
{'loss': 636.0, 'grad_norm_square': 29056.0, 'tokens': 393}
{'loss': 486.0, 'grad_norm_square': 25344.0, 'tokens': 480}
{'loss': 480.0, 'grad_norm_square': 26752.0, 'tokens': 459}
{'loss': 510.0, 'grad_norm_square': 48128.0, 'tokens': 477}
{'loss': 354.0, 'grad_norm_square': 25216.0, 'tokens': 464}
{'loss': 223.0, 'grad_norm_square': 15040.0, 'tokens': 263}
{'loss': 576.0, 'grad_norm_square': 25088.0, 'tokens': 489}
{'loss': 398.0, 'grad_norm_square': 21632.0, 'tokens': 376}
{'loss': 396.0, 'grad_norm_square': 22016.0, 'tokens': 455}
{'loss': 490.0, 'grad_norm_square': 26368.0, 'tokens': 420}
{'loss': 390.0, 'grad_norm_square': 22656.0, 'tokens': 414}
{'loss': 227.0, 'grad_norm_square': 16320.0, 'tokens': 260}
{'loss': 364.0, 'grad_norm_square': 18944.0, 'tokens': 379}
{'loss': 212.0, 'grad_norm_square': 17536.0, 'tokens': 257}
{'loss': 364.0, 'grad_norm_square': 22016.0, 'tokens': 413}
{'loss': 372.0, 'grad_norm_square': 23552.0, 'tokens': 386}
{'loss': 268.0, 'grad_norm_square': 17536.0, 'tokens': 258}
{'loss': 276.0, 'grad_norm_square': 16768.0, 'tokens': 281}
{'loss': 380.0, 'grad_norm_square': 20480.0, 'tokens': 472}
{'loss': 292.0, 'grad_norm_square': 19328.0, 'tokens': 334}
{'loss': 506.0, 'grad_norm_square': 26624.0, 'tokens': 437}
{'loss': 502.0, 'grad_norm_square': 23040.0, 'tokens': 499}
{'loss': 388.0, 'grad_norm_square': 19328.0, 'tokens': 448}
{'loss': 215.0, 'grad_norm_square': 18432.0, 'tokens': 248}
{'loss': 278.0, 'grad_norm_square': 22272.0, 'tokens': 310}
{'loss': 320.0, 'grad_norm_square': 19840.0, 'tokens': 271}
{'loss': 292.0, 'grad_norm_square': 18304.0, 'tokens': 416}
{'loss': 452.0, 'grad_norm_square': 26496.0, 'tokens': 445}
{'loss': 223.0, 'grad_norm_square': 17280.0, 'tokens': 261}
{'loss': 286.0, 'grad_norm_square': 22528.0, 'tokens': 316}
{'loss': 243.0, 'grad_norm_square': 19584.0, 'tokens': 299}
{'loss': 288.0, 'grad_norm_square': 28672.0, 'tokens': 378}
{'loss': 207.0, 'grad_norm_square': 14976.0, 'tokens': 261}
{'loss': 416.0, 'grad_norm_square': 21888.0, 'tokens': 403}
{'loss': 548.0, 'grad_norm_square': 28800.0, 'tokens': 467}
{'loss': 202.0, 'grad_norm_square': 15232.0, 'tokens': 292}
{'loss': 426.0, 'grad_norm_square': 25600.0, 'tokens': 439}
{'loss': 512.0, 'grad_norm_square': 28160.0, 'tokens': 438}
{'loss': 304.0, 'grad_norm_square': 19456.0, 'tokens': 363}
{'loss': 480.0, 'grad_norm_square': 24064.0, 'tokens': 482}
{'loss': 298.0, 'grad_norm_square': 18304.0, 'tokens': 341}
{'loss': 384.0, 'grad_norm_square': 23424.0, 'tokens': 469}
{'loss': 270.0, 'grad_norm_square': 15936.0, 'tokens': 252}
{'loss': 326.0, 'grad_norm_square': 19584.0, 'tokens': 386}
{'loss': 450.0, 'grad_norm_square': 26240.0, 'tokens': 438}
{'loss': 380.0, 'grad_norm_square': 21376.0, 'tokens': 440}
{'loss': 354.0, 'grad_norm_square': 23808.0, 'tokens': 281}
{'loss': 414.0, 'grad_norm_square': 22400.0, 'tokens': 436}
{'loss': 308.0, 'grad_norm_square': 20096.0, 'tokens': 361}
{'loss': 516.0, 'grad_norm_square': 25728.0, 'tokens': 394}
{'loss': 197.0, 'grad_norm_square': 19712.0, 'tokens': 278}
{'loss': 294.0, 'grad_norm_square': 19456.0, 'tokens': 364}
{'loss': 426.0, 'grad_norm_square': 22912.0, 'tokens': 425}
{'loss': 454.0, 'grad_norm_square': 28928.0, 'tokens': 411}
{'loss': 258.0, 'grad_norm_square': 18304.0, 'tokens': 281}
{'loss': 446.0, 'grad_norm_square': 24576.0, 'tokens': 434}
{'loss': 444.0, 'grad_norm_square': 22400.0, 'tokens': 404}
{'loss': 556.0, 'grad_norm_square': 25344.0, 'tokens': 457}
{'loss': 418.0, 'grad_norm_square': 25216.0, 'tokens': 472}
{'loss': 376.0, 'grad_norm_square': 22144.0, 'tokens': 400}
{'loss': 212.0, 'grad_norm_square': 14784.0, 'tokens': 294}
{'loss': 516.0, 'grad_norm_square': 26240.0, 'tokens': 418}
{'loss': 430.0, 'grad_norm_square': 26496.0, 'tokens': 446}
{'loss': 420.0, 'grad_norm_square': 25728.0, 'tokens': 428}
{'loss': 276.0, 'grad_norm_square': 18816.0, 'tokens': 363}
{'loss': 446.0, 'grad_norm_square': 27648.0, 'tokens': 424}
{'loss': 402.0, 'grad_norm_square': 21248.0, 'tokens': 430}
{'loss': 320.0, 'grad_norm_square': 17280.0, 'tokens': 414}
{'loss': 400.0, 'grad_norm_square': 19072.0, 'tokens': 433}
{'loss': 540.0, 'grad_norm_square': 31488.0, 'tokens': 399}
{'loss': 258.0, 'grad_norm_square': 19328.0, 'tokens': 275}
{'loss': 238.0, 'grad_norm_square': 15040.0, 'tokens': 303}
{'loss': 362.0, 'grad_norm_square': 22400.0, 'tokens': 249}
{'loss': 532.0, 'grad_norm_square': 23936.0, 'tokens': 446}
{'loss': 394.0, 'grad_norm_square': 22272.0, 'tokens': 415}
{'loss': 362.0, 'grad_norm_square': 22016.0, 'tokens': 429}
{'loss': 576.0, 'grad_norm_square': 29312.0, 'tokens': 462}
{'loss': 292.0, 'grad_norm_square': 18944.0, 'tokens': 278}
{'loss': 470.0, 'grad_norm_square': 24320.0, 'tokens': 417}
{'loss': 268.0, 'grad_norm_square': 17408.0, 'tokens': 251}
{'loss': 388.0, 'grad_norm_square': 18432.0, 'tokens': 443}
{'loss': 268.0, 'grad_norm_square': 19456.0, 'tokens': 350}
{'loss': 402.0, 'grad_norm_square': 23040.0, 'tokens': 462}
{'loss': 223.0, 'grad_norm_square': 15808.0, 'tokens': 287}
{'loss': 406.0, 'grad_norm_square': 22016.0, 'tokens': 359}
{'loss': 316.0, 'grad_norm_square': 16768.0, 'tokens': 395}
{'loss': 382.0, 'grad_norm_square': 20736.0, 'tokens': 394}
{'loss': 462.0, 'grad_norm_square': 27648.0, 'tokens': 458}
{'loss': 436.0, 'grad_norm_square': 22144.0, 'tokens': 470}
{'loss': 352.0, 'grad_norm_square': 20992.0, 'tokens': 393}
{'loss': 434.0, 'grad_norm_square': 27392.0, 'tokens': 463}
{'loss': 199.0, 'grad_norm_square': 14976.0, 'tokens': 303}
{'loss': 380.0, 'grad_norm_square': 27392.0, 'tokens': 457}
{'loss': 428.0, 'grad_norm_square': 22656.0, 'tokens': 430}
{'loss': 258.0, 'grad_norm_square': 16896.0, 'tokens': 373}
{'loss': 454.0, 'grad_norm_square': 26496.0, 'tokens': 446}
{'loss': 448.0, 'grad_norm_square': 26112.0, 'tokens': 445}
{'loss': 464.0, 'grad_norm_square': 26112.0, 'tokens': 463}
{'loss': 344.0, 'grad_norm_square': 23040.0, 'tokens': 413}
{'loss': 344.0, 'grad_norm_square': 22528.0, 'tokens': 419}
{'loss': 264.0, 'grad_norm_square': 17152.0, 'tokens': 401}
{'loss': 278.0, 'grad_norm_square': 19200.0, 'tokens': 263}
{'loss': 478.0, 'grad_norm_square': 21504.0, 'tokens': 468}
{'loss': 404.0, 'grad_norm_square': 23040.0, 'tokens': 401}
{'loss': 420.0, 'grad_norm_square': 25728.0, 'tokens': 436}
{'loss': 442.0, 'grad_norm_square': 23040.0, 'tokens': 471}
{'loss': 274.0, 'grad_norm_square': 18688.0, 'tokens': 371}
{'loss': 270.0, 'grad_norm_square': 16192.0, 'tokens': 367}
{'loss': 414.0, 'grad_norm_square': 21120.0, 'tokens': 389}
{'loss': 250.0, 'grad_norm_square': 16064.0, 'tokens': 296}
{'loss': 414.0, 'grad_norm_square': 22144.0, 'tokens': 412}
{'loss': 450.0, 'grad_norm_square': 23424.0, 'tokens': 402}
{'loss': 364.0, 'grad_norm_square': 21632.0, 'tokens': 396}
{'loss': 406.0, 'grad_norm_square': 24704.0, 'tokens': 461}
{'loss': 424.0, 'grad_norm_square': 24704.0, 'tokens': 477}
{'loss': 234.0, 'grad_norm_square': 16512.0, 'tokens': 317}
{'loss': 322.0, 'grad_norm_square': 21376.0, 'tokens': 412}
{'loss': 458.0, 'grad_norm_square': 21376.0, 'tokens': 425}
{'loss': 376.0, 'grad_norm_square': 23040.0, 'tokens': 298}
{'loss': 352.0, 'grad_norm_square': 21632.0, 'tokens': 423}
{'loss': 296.0, 'grad_norm_square': 17920.0, 'tokens': 393}
{'loss': 290.0, 'grad_norm_square': 17792.0, 'tokens': 325}
{'loss': 374.0, 'grad_norm_square': 20352.0, 'tokens': 430}
{'loss': 340.0, 'grad_norm_square': 22528.0, 'tokens': 298}
{'loss': 182.0, 'grad_norm_square': 15616.0, 'tokens': 268}
{'loss': 197.0, 'grad_norm_square': 18688.0, 'tokens': 268}
{'loss': 348.0, 'grad_norm_square': 19072.0, 'tokens': 414}
