{'model_params': 2506172416, 'peft_params': 1263584}
{'loss': 466.0, 'grad_norm_square': 103022592.0, 'tokens': 319}
{'loss': 406.0, 'grad_norm_square': 76985983.5625, 'tokens': 252}
{'loss': 342.0, 'grad_norm_square': 94556672.25, 'tokens': 311}
{'loss': 356.0, 'grad_norm_square': 67554654.75, 'tokens': 308}
{'loss': 524.0, 'grad_norm_square': 133708189.5, 'tokens': 335}
{'loss': 640.0, 'grad_norm_square': 134976376.25, 'tokens': 434}
{'loss': 396.0, 'grad_norm_square': 115021151.0, 'tokens': 378}
{'loss': 354.0, 'grad_norm_square': 71304895.625, 'tokens': 299}
{'loss': 396.0, 'grad_norm_square': 132148546.5, 'tokens': 377}
{'loss': 378.0, 'grad_norm_square': 150797410.0, 'tokens': 294}
{'loss': 294.0, 'grad_norm_square': 122773833.0, 'tokens': 315}
{'loss': 298.0, 'grad_norm_square': 100955926.0, 'tokens': 328}
{'loss': 384.0, 'grad_norm_square': 192168980.5, 'tokens': 394}
{'loss': 292.0, 'grad_norm_square': 245490890.0, 'tokens': 291}
{'loss': 274.0, 'grad_norm_square': 146226283.5, 'tokens': 274}
{'loss': 368.0, 'grad_norm_square': 243772813.0, 'tokens': 342}
{'loss': 300.0, 'grad_norm_square': 187012207.0, 'tokens': 441}
{'loss': 366.0, 'grad_norm_square': 241756752.0, 'tokens': 360}
{'loss': 332.0, 'grad_norm_square': 188606270.25, 'tokens': 306}
{'loss': 274.0, 'grad_norm_square': 96468038.75, 'tokens': 343}
{'loss': 211.0, 'grad_norm_square': 97719512.0, 'tokens': 230}
{'loss': 414.0, 'grad_norm_square': 208323000.0, 'tokens': 438}
{'loss': 310.0, 'grad_norm_square': 80884448.25, 'tokens': 330}
{'loss': 472.0, 'grad_norm_square': 331652460.0, 'tokens': 488}
{'loss': 306.0, 'grad_norm_square': 114532991.0, 'tokens': 343}
{'loss': 400.0, 'grad_norm_square': 248504468.0, 'tokens': 360}
{'loss': 242.0, 'grad_norm_square': 80281449.0, 'tokens': 227}
{'loss': 446.0, 'grad_norm_square': 170451577.0, 'tokens': 400}
{'loss': 308.0, 'grad_norm_square': 111259951.0, 'tokens': 389}
{'loss': 350.0, 'grad_norm_square': 127609231.0, 'tokens': 347}
{'loss': 304.0, 'grad_norm_square': 78445067.0, 'tokens': 281}
{'loss': 222.0, 'grad_norm_square': 59741932.0, 'tokens': 299}
{'loss': 320.0, 'grad_norm_square': 83589578.0, 'tokens': 305}
{'loss': 420.0, 'grad_norm_square': 140898282.0, 'tokens': 304}
{'loss': 214.0, 'grad_norm_square': 54246582.5, 'tokens': 289}
{'loss': 448.0, 'grad_norm_square': 104882080.0, 'tokens': 381}
{'loss': 340.0, 'grad_norm_square': 971062084.0, 'tokens': 395}
{'loss': 258.0, 'grad_norm_square': 43904243.0, 'tokens': 267}
{'loss': 368.0, 'grad_norm_square': 101178077.0, 'tokens': 299}
{'loss': 402.0, 'grad_norm_square': 122259402.0, 'tokens': 407}
{'loss': 352.0, 'grad_norm_square': 112504119.0, 'tokens': 347}
{'loss': 224.0, 'grad_norm_square': 59485925.5, 'tokens': 248}
{'loss': 402.0, 'grad_norm_square': 156162564.0, 'tokens': 309}
{'loss': 336.0, 'grad_norm_square': 59230860.0, 'tokens': 335}
{'loss': 372.0, 'grad_norm_square': 122337056.5, 'tokens': 420}
{'loss': 298.0, 'grad_norm_square': 90070330.0, 'tokens': 293}
{'loss': 244.0, 'grad_norm_square': 51351937.5, 'tokens': 251}
{'loss': 370.0, 'grad_norm_square': 93825064.0, 'tokens': 348}
{'loss': 452.0, 'grad_norm_square': 69177322.5, 'tokens': 336}
{'loss': 342.0, 'grad_norm_square': 65479618.0, 'tokens': 334}
{'loss': 266.0, 'grad_norm_square': 48825224.25, 'tokens': 312}
{'loss': 426.0, 'grad_norm_square': 94436094.0, 'tokens': 332}
{'loss': 242.0, 'grad_norm_square': 43963451.0, 'tokens': 272}
{'loss': 191.0, 'grad_norm_square': 47594710.5, 'tokens': 258}
{'loss': 374.0, 'grad_norm_square': 67203838.0, 'tokens': 314}
{'loss': 220.0, 'grad_norm_square': 43873895.25, 'tokens': 261}
{'loss': 294.0, 'grad_norm_square': 67719215.0, 'tokens': 291}
{'loss': 462.0, 'grad_norm_square': 173992503.0, 'tokens': 383}
{'loss': 388.0, 'grad_norm_square': 81614340.0, 'tokens': 323}
{'loss': 352.0, 'grad_norm_square': 91633338.0, 'tokens': 350}
{'loss': 288.0, 'grad_norm_square': 51099369.5, 'tokens': 358}
{'loss': 264.0, 'grad_norm_square': 51444276.5, 'tokens': 240}
{'loss': 224.0, 'grad_norm_square': 49229562.0, 'tokens': 256}
{'loss': 308.0, 'grad_norm_square': 50712400.25, 'tokens': 314}
{'loss': 225.0, 'grad_norm_square': 32777561.5, 'tokens': 249}
{'loss': 364.0, 'grad_norm_square': 105819488.0, 'tokens': 352}
