{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 303971328.0, 'tokens': 319}
{'loss': 580.461181640625, 'grad_norm_square': 7195585984.0, 'tokens': 252}
{'loss': 1163.2537841796875, 'grad_norm_square': 14321224320.0, 'tokens': 311}
{'loss': 663.1617431640625, 'grad_norm_square': 17221376000.0, 'tokens': 308}
{'loss': 20608.8203125, 'grad_norm_square': 52373030436864.0, 'tokens': 335}
{'loss': 5389.1767578125, 'grad_norm_square': 1652060717056.0, 'tokens': 434}
{'loss': 40854.86328125, 'grad_norm_square': 425217465778176.0, 'tokens': 378}
{'loss': 4161.64697265625, 'grad_norm_square': 138854632448.0, 'tokens': 299}
{'loss': 5279.607421875, 'grad_norm_square': 155124524360.0, 'tokens': 377}
{'loss': 15437.20703125, 'grad_norm_square': 285852332720128.0, 'tokens': 294}
{'loss': 16147.2216796875, 'grad_norm_square': 18769831723008.0, 'tokens': 315}
{'loss': 39766.34765625, 'grad_norm_square': 97080183750656.0, 'tokens': 328}
{'loss': 6431.830078125, 'grad_norm_square': 102037769632.0, 'tokens': 394}
{'loss': 3354.245849609375, 'grad_norm_square': 17225713583.0, 'tokens': 291}
{'loss': 3450.474609375, 'grad_norm_square': 23666625298.0, 'tokens': 274}
{'loss': 3522.13720703125, 'grad_norm_square': 46962204318.0, 'tokens': 342}
{'loss': 5603.2890625, 'grad_norm_square': 3382855800200.0, 'tokens': 441}
{'loss': 5331.96875, 'grad_norm_square': 85684841440.0, 'tokens': 360}
{'loss': 5608.8876953125, 'grad_norm_square': 67974695947.0, 'tokens': 306}
{'loss': 5129.9482421875, 'grad_norm_square': 23136696858.75, 'tokens': 343}
{'loss': 4685.3515625, 'grad_norm_square': 21401942111.9375, 'tokens': 230}
{'loss': 10063.716796875, 'grad_norm_square': 96340246670.14062, 'tokens': 438}
{'loss': 5834.58203125, 'grad_norm_square': 41231472731.640625, 'tokens': 330}
{'loss': 8210.083984375, 'grad_norm_square': 66521773769.984375, 'tokens': 488}
{'loss': 4199.4208984375, 'grad_norm_square': 21750353319.684784, 'tokens': 343}
{'loss': 4329.05859375, 'grad_norm_square': 42692883206.60449, 'tokens': 360}
{'loss': 2379.2353515625, 'grad_norm_square': 8130341366.357239, 'tokens': 227}
{'loss': 4858.31640625, 'grad_norm_square': 126928334575.93774, 'tokens': 400}
{'loss': 3821.96337890625, 'grad_norm_square': 29613415808.104584, 'tokens': 389}
{'loss': 3733.0810546875, 'grad_norm_square': 54114785171.58655, 'tokens': 347}
{'loss': 3158.585205078125, 'grad_norm_square': 42822405859.217896, 'tokens': 281}
{'loss': 2706.68701171875, 'grad_norm_square': 14871365967.306892, 'tokens': 299}
{'loss': 3191.843994140625, 'grad_norm_square': 21037230014.913147, 'tokens': 305}
{'loss': 3000.96630859375, 'grad_norm_square': 16039420347.327477, 'tokens': 304}
{'loss': 2360.85009765625, 'grad_norm_square': 8505193345.840132, 'tokens': 289}
{'loss': 3275.51123046875, 'grad_norm_square': 23636430143.11827, 'tokens': 381}
{'loss': 3389.784912109375, 'grad_norm_square': 22190693701.24002, 'tokens': 395}
{'loss': 2429.2412109375, 'grad_norm_square': 4493183883.077225, 'tokens': 267}
{'loss': 2600.75634765625, 'grad_norm_square': 4691427883.755188, 'tokens': 299}
{'loss': 3182.03857421875, 'grad_norm_square': 10008789908.771431, 'tokens': 407}
{'loss': 3254.185546875, 'grad_norm_square': 7960885089.444639, 'tokens': 347}
