{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 234290688.0, 'tokens': 319}
{'loss': 355.71087646484375, 'grad_norm_square': 91237814.28125, 'tokens': 252}
{'loss': 295.1456298828125, 'grad_norm_square': 118517023.875, 'tokens': 311}
{'loss': 319.1402587890625, 'grad_norm_square': 76646324.9375, 'tokens': 308}
{'loss': 492.691162109375, 'grad_norm_square': 209248363.5, 'tokens': 335}
{'loss': 626.26123046875, 'grad_norm_square': 173512398.5, 'tokens': 434}
{'loss': 383.729736328125, 'grad_norm_square': 138870047.25, 'tokens': 378}
{'loss': 340.00640869140625, 'grad_norm_square': 80534792.0, 'tokens': 299}
{'loss': 396.904296875, 'grad_norm_square': 160376690.0, 'tokens': 377}
{'loss': 371.5782775878906, 'grad_norm_square': 122467564.5, 'tokens': 294}
{'loss': 290.37530517578125, 'grad_norm_square': 82531409.5, 'tokens': 315}
{'loss': 294.75347900390625, 'grad_norm_square': 59716652.0, 'tokens': 328}
{'loss': 378.7972717285156, 'grad_norm_square': 100917484.5, 'tokens': 394}
{'loss': 291.847900390625, 'grad_norm_square': 77584365.5, 'tokens': 291}
{'loss': 272.6134033203125, 'grad_norm_square': 73709020.0, 'tokens': 274}
{'loss': 359.27386474609375, 'grad_norm_square': 96584420.0, 'tokens': 342}
{'loss': 304.7269592285156, 'grad_norm_square': 88840140.0, 'tokens': 441}
{'loss': 362.5521545410156, 'grad_norm_square': 103545528.5, 'tokens': 360}
{'loss': 332.2785339355469, 'grad_norm_square': 67369444.25, 'tokens': 306}
{'loss': 281.1182861328125, 'grad_norm_square': 45115695.0, 'tokens': 343}
{'loss': 201.72654724121094, 'grad_norm_square': 31342186.75, 'tokens': 230}
{'loss': 417.4446105957031, 'grad_norm_square': 118452954.0, 'tokens': 438}
{'loss': 307.19732666015625, 'grad_norm_square': 43098863.5, 'tokens': 330}
{'loss': 480.4876708984375, 'grad_norm_square': 105815529.0, 'tokens': 488}
{'loss': 303.501953125, 'grad_norm_square': 52004231.5, 'tokens': 343}
{'loss': 406.6175537109375, 'grad_norm_square': 70973988.0, 'tokens': 360}
{'loss': 246.60943603515625, 'grad_norm_square': 48934429.5, 'tokens': 227}
{'loss': 456.73797607421875, 'grad_norm_square': 85875802.0, 'tokens': 400}
{'loss': 302.58514404296875, 'grad_norm_square': 48959750.5, 'tokens': 389}
{'loss': 350.3814697265625, 'grad_norm_square': 59326539.75, 'tokens': 347}
{'loss': 310.79742431640625, 'grad_norm_square': 44553676.5, 'tokens': 281}
{'loss': 222.79696655273438, 'grad_norm_square': 34139002.75, 'tokens': 299}
{'loss': 319.00628662109375, 'grad_norm_square': 41733349.125, 'tokens': 305}
{'loss': 423.2447814941406, 'grad_norm_square': 72460147.5, 'tokens': 304}
{'loss': 214.56451416015625, 'grad_norm_square': 26167259.75, 'tokens': 289}
{'loss': 450.5324401855469, 'grad_norm_square': 67060314.5, 'tokens': 381}
{'loss': 332.85357666015625, 'grad_norm_square': 59593618.0, 'tokens': 395}
{'loss': 260.3561096191406, 'grad_norm_square': 34173377.5, 'tokens': 267}
{'loss': 371.22137451171875, 'grad_norm_square': 48482084.5, 'tokens': 299}
{'loss': 392.7654724121094, 'grad_norm_square': 66060786.5, 'tokens': 407}
{'loss': 343.525146484375, 'grad_norm_square': 40535343.5, 'tokens': 347}
{'loss': 217.39471435546875, 'grad_norm_square': 31763476.0, 'tokens': 248}
{'loss': 407.3052062988281, 'grad_norm_square': 62106546.75, 'tokens': 309}
{'loss': 333.9306640625, 'grad_norm_square': 37728610.5, 'tokens': 335}
{'loss': 376.7696533203125, 'grad_norm_square': 108276840.0, 'tokens': 420}
{'loss': 296.837646484375, 'grad_norm_square': 42290166.5, 'tokens': 293}
{'loss': 243.3519287109375, 'grad_norm_square': 27227105.5, 'tokens': 251}
{'loss': 377.58831787109375, 'grad_norm_square': 47991035.25, 'tokens': 348}
{'loss': 460.597900390625, 'grad_norm_square': 53162805.5, 'tokens': 336}
{'loss': 335.68017578125, 'grad_norm_square': 38438708.5, 'tokens': 334}
{'loss': 266.0678405761719, 'grad_norm_square': 41598094.0, 'tokens': 312}
{'loss': 417.5417785644531, 'grad_norm_square': 55313815.0, 'tokens': 332}
{'loss': 247.92214965820312, 'grad_norm_square': 29042665.25, 'tokens': 272}
{'loss': 190.3571319580078, 'grad_norm_square': 38674307.75, 'tokens': 258}
{'loss': 370.9554138183594, 'grad_norm_square': 44086488.5, 'tokens': 314}
{'loss': 209.24288940429688, 'grad_norm_square': 19404983.75, 'tokens': 261}
{'loss': 295.3184814453125, 'grad_norm_square': 40959866.0, 'tokens': 291}
{'loss': 459.9133605957031, 'grad_norm_square': 77624816.0, 'tokens': 383}
{'loss': 388.6909484863281, 'grad_norm_square': 47961440.0, 'tokens': 323}
{'loss': 351.8404541015625, 'grad_norm_square': 48904872.0, 'tokens': 350}
{'loss': 281.6096496582031, 'grad_norm_square': 29571032.0, 'tokens': 358}
{'loss': 265.400146484375, 'grad_norm_square': 30953735.0, 'tokens': 240}
{'loss': 225.48040771484375, 'grad_norm_square': 32753254.0, 'tokens': 256}
{'loss': 317.97637939453125, 'grad_norm_square': 36297668.5, 'tokens': 314}
{'loss': 227.60809326171875, 'grad_norm_square': 18670145.5, 'tokens': 249}
{'loss': 370.22454833984375, 'grad_norm_square': 60142920.0, 'tokens': 352}
{'loss': 350.8069152832031, 'grad_norm_square': 46531349.0, 'tokens': 330}
{'loss': 263.6631164550781, 'grad_norm_square': 38804823.0, 'tokens': 243}
{'loss': 260.32891845703125, 'grad_norm_square': 30656232.5, 'tokens': 292}
{'loss': 315.79156494140625, 'grad_norm_square': 34394356.0, 'tokens': 293}
{'loss': 291.30718994140625, 'grad_norm_square': 44819846.0, 'tokens': 327}
{'loss': 340.72149658203125, 'grad_norm_square': 30301919.0, 'tokens': 310}
{'loss': 268.3766784667969, 'grad_norm_square': 37045903.0, 'tokens': 254}
{'loss': 434.0640869140625, 'grad_norm_square': 57200611.0, 'tokens': 433}
{'loss': 404.1695556640625, 'grad_norm_square': 36417098.0, 'tokens': 352}
{'loss': 200.857666015625, 'grad_norm_square': 24504670.5, 'tokens': 206}
{'loss': 284.12896728515625, 'grad_norm_square': 36300728.0, 'tokens': 243}
{'loss': 305.83648681640625, 'grad_norm_square': 36404848.0, 'tokens': 312}
{'loss': 441.68310546875, 'grad_norm_square': 59437786.0, 'tokens': 374}
{'loss': 317.2074890136719, 'grad_norm_square': 41224740.0, 'tokens': 279}
{'loss': 219.6429443359375, 'grad_norm_square': 19767026.0, 'tokens': 286}
