{'model_params': 2506172416, 'peft_params': 2892736}
{'loss': 466.0, 'grad_norm_square': 11584.0, 'tokens': 319}
{'loss': 390.0, 'grad_norm_square': 8960.0, 'tokens': 252}
{'loss': 318.0, 'grad_norm_square': 8448.0, 'tokens': 311}
{'loss': 340.0, 'grad_norm_square': 7392.0, 'tokens': 308}
{'loss': 512.0, 'grad_norm_square': 12480.0, 'tokens': 335}
{'loss': 628.0, 'grad_norm_square': 9984.0, 'tokens': 434}
{'loss': 394.0, 'grad_norm_square': 9856.0, 'tokens': 378}
{'loss': 352.0, 'grad_norm_square': 7616.0, 'tokens': 299}
{'loss': 396.0, 'grad_norm_square': 9408.0, 'tokens': 377}
{'loss': 374.0, 'grad_norm_square': 9408.0, 'tokens': 294}
{'loss': 294.0, 'grad_norm_square': 8512.0, 'tokens': 315}
{'loss': 296.0, 'grad_norm_square': 7456.0, 'tokens': 328}
{'loss': 378.0, 'grad_norm_square': 8640.0, 'tokens': 394}
{'loss': 288.0, 'grad_norm_square': 8832.0, 'tokens': 291}
{'loss': 272.0, 'grad_norm_square': 7744.0, 'tokens': 274}
{'loss': 366.0, 'grad_norm_square': 10624.0, 'tokens': 342}
{'loss': 294.0, 'grad_norm_square': 9408.0, 'tokens': 441}
{'loss': 368.0, 'grad_norm_square': 12480.0, 'tokens': 360}
{'loss': 332.0, 'grad_norm_square': 9152.0, 'tokens': 306}
{'loss': 278.0, 'grad_norm_square': 7904.0, 'tokens': 343}
{'loss': 210.0, 'grad_norm_square': 7616.0, 'tokens': 230}
{'loss': 422.0, 'grad_norm_square': 12864.0, 'tokens': 438}
{'loss': 310.0, 'grad_norm_square': 6944.0, 'tokens': 330}
{'loss': 478.0, 'grad_norm_square': 10176.0, 'tokens': 488}
{'loss': 308.0, 'grad_norm_square': 7648.0, 'tokens': 343}
{'loss': 410.0, 'grad_norm_square': 9280.0, 'tokens': 360}
{'loss': 249.0, 'grad_norm_square': 8384.0, 'tokens': 227}
{'loss': 446.0, 'grad_norm_square': 9216.0, 'tokens': 400}
{'loss': 296.0, 'grad_norm_square': 7616.0, 'tokens': 389}
{'loss': 350.0, 'grad_norm_square': 8160.0, 'tokens': 347}
{'loss': 310.0, 'grad_norm_square': 6720.0, 'tokens': 281}
{'loss': 217.0, 'grad_norm_square': 5344.0, 'tokens': 299}
{'loss': 320.0, 'grad_norm_square': 7296.0, 'tokens': 305}
{'loss': 426.0, 'grad_norm_square': 9856.0, 'tokens': 304}
{'loss': 214.0, 'grad_norm_square': 5696.0, 'tokens': 289}
{'loss': 452.0, 'grad_norm_square': 8704.0, 'tokens': 381}
{'loss': 330.0, 'grad_norm_square': 7296.0, 'tokens': 395}
{'loss': 260.0, 'grad_norm_square': 6592.0, 'tokens': 267}
{'loss': 374.0, 'grad_norm_square': 7488.0, 'tokens': 299}
{'loss': 400.0, 'grad_norm_square': 9280.0, 'tokens': 407}
{'loss': 348.0, 'grad_norm_square': 6720.0, 'tokens': 347}
{'loss': 223.0, 'grad_norm_square': 6208.0, 'tokens': 248}
{'loss': 396.0, 'grad_norm_square': 7872.0, 'tokens': 309}
{'loss': 330.0, 'grad_norm_square': 6304.0, 'tokens': 335}
{'loss': 370.0, 'grad_norm_square': 11008.0, 'tokens': 420}
{'loss': 298.0, 'grad_norm_square': 8384.0, 'tokens': 293}
{'loss': 247.0, 'grad_norm_square': 6080.0, 'tokens': 251}
{'loss': 376.0, 'grad_norm_square': 8064.0, 'tokens': 348}
{'loss': 460.0, 'grad_norm_square': 7968.0, 'tokens': 336}
{'loss': 338.0, 'grad_norm_square': 10624.0, 'tokens': 334}
{'loss': 262.0, 'grad_norm_square': 6464.0, 'tokens': 312}
{'loss': 422.0, 'grad_norm_square': 8256.0, 'tokens': 332}
{'loss': 246.0, 'grad_norm_square': 5888.0, 'tokens': 272}
{'loss': 192.0, 'grad_norm_square': 6176.0, 'tokens': 258}
{'loss': 370.0, 'grad_norm_square': 7136.0, 'tokens': 314}
{'loss': 215.0, 'grad_norm_square': 5088.0, 'tokens': 261}
{'loss': 288.0, 'grad_norm_square': 6496.0, 'tokens': 291}
{'loss': 460.0, 'grad_norm_square': 12096.0, 'tokens': 383}
{'loss': 386.0, 'grad_norm_square': 7264.0, 'tokens': 323}
{'loss': 350.0, 'grad_norm_square': 7648.0, 'tokens': 350}
{'loss': 282.0, 'grad_norm_square': 5664.0, 'tokens': 358}
{'loss': 264.0, 'grad_norm_square': 6016.0, 'tokens': 240}
{'loss': 225.0, 'grad_norm_square': 5920.0, 'tokens': 256}
{'loss': 316.0, 'grad_norm_square': 6304.0, 'tokens': 314}
{'loss': 231.0, 'grad_norm_square': 5152.0, 'tokens': 249}
{'loss': 366.0, 'grad_norm_square': 8576.0, 'tokens': 352}
{'loss': 354.0, 'grad_norm_square': 7744.0, 'tokens': 330}
{'loss': 264.0, 'grad_norm_square': 6624.0, 'tokens': 243}
{'loss': 264.0, 'grad_norm_square': 5760.0, 'tokens': 292}
{'loss': 308.0, 'grad_norm_square': 6272.0, 'tokens': 293}
{'loss': 296.0, 'grad_norm_square': 7680.0, 'tokens': 327}
{'loss': 342.0, 'grad_norm_square': 6848.0, 'tokens': 310}
{'loss': 278.0, 'grad_norm_square': 6880.0, 'tokens': 254}
{'loss': 428.0, 'grad_norm_square': 8000.0, 'tokens': 433}
{'loss': 400.0, 'grad_norm_square': 6528.0, 'tokens': 352}
{'loss': 209.0, 'grad_norm_square': 5760.0, 'tokens': 206}
{'loss': 290.0, 'grad_norm_square': 6816.0, 'tokens': 243}
{'loss': 304.0, 'grad_norm_square': 6592.0, 'tokens': 312}
{'loss': 436.0, 'grad_norm_square': 7488.0, 'tokens': 374}
{'loss': 324.0, 'grad_norm_square': 7072.0, 'tokens': 279}
{'loss': 220.0, 'grad_norm_square': 4960.0, 'tokens': 286}
{'loss': 243.0, 'grad_norm_square': 5568.0, 'tokens': 288}
{'loss': 266.0, 'grad_norm_square': 5184.0, 'tokens': 270}
{'loss': 326.0, 'grad_norm_square': 5344.0, 'tokens': 309}
{'loss': 310.0, 'grad_norm_square': 6240.0, 'tokens': 319}
{'loss': 188.0, 'grad_norm_square': 4384.0, 'tokens': 210}
{'loss': 280.0, 'grad_norm_square': 5984.0, 'tokens': 347}
{'loss': 231.0, 'grad_norm_square': 5024.0, 'tokens': 336}
{'loss': 362.0, 'grad_norm_square': 8256.0, 'tokens': 375}
{'loss': 204.0, 'grad_norm_square': 5312.0, 'tokens': 237}
{'loss': 508.0, 'grad_norm_square': 8896.0, 'tokens': 464}
{'loss': 280.0, 'grad_norm_square': 5760.0, 'tokens': 354}
{'loss': 282.0, 'grad_norm_square': 5472.0, 'tokens': 300}
{'loss': 304.0, 'grad_norm_square': 5792.0, 'tokens': 419}
{'loss': 312.0, 'grad_norm_square': 7232.0, 'tokens': 338}
{'loss': 312.0, 'grad_norm_square': 6272.0, 'tokens': 314}
{'loss': 402.0, 'grad_norm_square': 6880.0, 'tokens': 334}
{'loss': 332.0, 'grad_norm_square': 5344.0, 'tokens': 354}
{'loss': 476.0, 'grad_norm_square': 8640.0, 'tokens': 389}
{'loss': 270.0, 'grad_norm_square': 5120.0, 'tokens': 348}
{'loss': 326.0, 'grad_norm_square': 6944.0, 'tokens': 431}
{'loss': 242.0, 'grad_norm_square': 4832.0, 'tokens': 254}
{'loss': 322.0, 'grad_norm_square': 5664.0, 'tokens': 408}
{'loss': 344.0, 'grad_norm_square': 24320.0, 'tokens': 378}
{'loss': 288.0, 'grad_norm_square': 5376.0, 'tokens': 412}
{'loss': 330.0, 'grad_norm_square': 5376.0, 'tokens': 319}
{'loss': 350.0, 'grad_norm_square': 5952.0, 'tokens': 389}
{'loss': 392.0, 'grad_norm_square': 6848.0, 'tokens': 379}
{'loss': 183.0, 'grad_norm_square': 4384.0, 'tokens': 230}
{'loss': 237.0, 'grad_norm_square': 4800.0, 'tokens': 328}
{'loss': 266.0, 'grad_norm_square': 5824.0, 'tokens': 279}
{'loss': 251.0, 'grad_norm_square': 6112.0, 'tokens': 289}
{'loss': 336.0, 'grad_norm_square': 5952.0, 'tokens': 406}
{'loss': 286.0, 'grad_norm_square': 5184.0, 'tokens': 284}
{'loss': 364.0, 'grad_norm_square': 6080.0, 'tokens': 300}
{'loss': 274.0, 'grad_norm_square': 5824.0, 'tokens': 263}
{'loss': 312.0, 'grad_norm_square': 6432.0, 'tokens': 315}
{'loss': 306.0, 'grad_norm_square': 6464.0, 'tokens': 289}
{'loss': 268.0, 'grad_norm_square': 5664.0, 'tokens': 287}
{'loss': 516.0, 'grad_norm_square': 9920.0, 'tokens': 445}
{'loss': 294.0, 'grad_norm_square': 5856.0, 'tokens': 312}
{'loss': 336.0, 'grad_norm_square': 7328.0, 'tokens': 386}
{'loss': 196.0, 'grad_norm_square': 6272.0, 'tokens': 246}
{'loss': 378.0, 'grad_norm_square': 6784.0, 'tokens': 366}
{'loss': 410.0, 'grad_norm_square': 8192.0, 'tokens': 367}
{'loss': 292.0, 'grad_norm_square': 5568.0, 'tokens': 387}
{'loss': 190.0, 'grad_norm_square': 5504.0, 'tokens': 288}
{'loss': 252.0, 'grad_norm_square': 6432.0, 'tokens': 284}
{'loss': 310.0, 'grad_norm_square': 5376.0, 'tokens': 291}
{'loss': 266.0, 'grad_norm_square': 5408.0, 'tokens': 313}
{'loss': 374.0, 'grad_norm_square': 8192.0, 'tokens': 404}
{'loss': 238.0, 'grad_norm_square': 4832.0, 'tokens': 301}
{'loss': 366.0, 'grad_norm_square': 7456.0, 'tokens': 417}
{'loss': 280.0, 'grad_norm_square': 7232.0, 'tokens': 269}
{'loss': 332.0, 'grad_norm_square': 8896.0, 'tokens': 286}
{'loss': 262.0, 'grad_norm_square': 5344.0, 'tokens': 282}
{'loss': 258.0, 'grad_norm_square': 5216.0, 'tokens': 330}
{'loss': 454.0, 'grad_norm_square': 7200.0, 'tokens': 420}
{'loss': 342.0, 'grad_norm_square': 5888.0, 'tokens': 342}
{'loss': 330.0, 'grad_norm_square': 5728.0, 'tokens': 366}
{'loss': 270.0, 'grad_norm_square': 5664.0, 'tokens': 267}
{'loss': 230.0, 'grad_norm_square': 5568.0, 'tokens': 284}
{'loss': 227.0, 'grad_norm_square': 4480.0, 'tokens': 226}
{'loss': 216.0, 'grad_norm_square': 5376.0, 'tokens': 249}
{'loss': 402.0, 'grad_norm_square': 8096.0, 'tokens': 477}
{'loss': 220.0, 'grad_norm_square': 4416.0, 'tokens': 305}
{'loss': 304.0, 'grad_norm_square': 6080.0, 'tokens': 300}
{'loss': 400.0, 'grad_norm_square': 7104.0, 'tokens': 339}
{'loss': 324.0, 'grad_norm_square': 8000.0, 'tokens': 331}
{'loss': 262.0, 'grad_norm_square': 5600.0, 'tokens': 307}
{'loss': 278.0, 'grad_norm_square': 6240.0, 'tokens': 314}
{'loss': 234.0, 'grad_norm_square': 8512.0, 'tokens': 273}
{'loss': 352.0, 'grad_norm_square': 6592.0, 'tokens': 370}
{'loss': 440.0, 'grad_norm_square': 175104.0, 'tokens': 358}
{'loss': 508.0, 'grad_norm_square': 8512.0, 'tokens': 471}
{'loss': 260.0, 'grad_norm_square': 4736.0, 'tokens': 362}
{'loss': 352.0, 'grad_norm_square': 7456.0, 'tokens': 354}
{'loss': 348.0, 'grad_norm_square': 6368.0, 'tokens': 332}
{'loss': 280.0, 'grad_norm_square': 6496.0, 'tokens': 241}
{'loss': 458.0, 'grad_norm_square': 7616.0, 'tokens': 342}
{'loss': 243.0, 'grad_norm_square': 6560.0, 'tokens': 226}
{'loss': 310.0, 'grad_norm_square': 7264.0, 'tokens': 282}
{'loss': 243.0, 'grad_norm_square': 5824.0, 'tokens': 228}
{'loss': 282.0, 'grad_norm_square': 6912.0, 'tokens': 360}
{'loss': 239.0, 'grad_norm_square': 6720.0, 'tokens': 359}
{'loss': 320.0, 'grad_norm_square': 6240.0, 'tokens': 356}
{'loss': 406.0, 'grad_norm_square': 8704.0, 'tokens': 352}
{'loss': 238.0, 'grad_norm_square': 7776.0, 'tokens': 321}
{'loss': 380.0, 'grad_norm_square': 8160.0, 'tokens': 391}
{'loss': 320.0, 'grad_norm_square': 6720.0, 'tokens': 264}
{'loss': 348.0, 'grad_norm_square': 7584.0, 'tokens': 350}
{'loss': 202.0, 'grad_norm_square': 5504.0, 'tokens': 239}
{'loss': 260.0, 'grad_norm_square': 7136.0, 'tokens': 258}
{'loss': 340.0, 'grad_norm_square': 7008.0, 'tokens': 329}
{'loss': 282.0, 'grad_norm_square': 6560.0, 'tokens': 323}
{'loss': 460.0, 'grad_norm_square': 9024.0, 'tokens': 426}
{'loss': 350.0, 'grad_norm_square': 9408.0, 'tokens': 335}
{'loss': 239.0, 'grad_norm_square': 5696.0, 'tokens': 247}
{'loss': 229.0, 'grad_norm_square': 5344.0, 'tokens': 273}
{'loss': 282.0, 'grad_norm_square': 7136.0, 'tokens': 261}
{'loss': 258.0, 'grad_norm_square': 5728.0, 'tokens': 290}
{'loss': 233.0, 'grad_norm_square': 7040.0, 'tokens': 307}
{'loss': 368.0, 'grad_norm_square': 7680.0, 'tokens': 302}
{'loss': 330.0, 'grad_norm_square': 6752.0, 'tokens': 335}
{'loss': 360.0, 'grad_norm_square': 7552.0, 'tokens': 316}
{'loss': 532.0, 'grad_norm_square': 9536.0, 'tokens': 387}
{'loss': 312.0, 'grad_norm_square': 7584.0, 'tokens': 356}
{'loss': 394.0, 'grad_norm_square': 6752.0, 'tokens': 345}
{'loss': 310.0, 'grad_norm_square': 9664.0, 'tokens': 373}
{'loss': 310.0, 'grad_norm_square': 6496.0, 'tokens': 406}
{'loss': 241.0, 'grad_norm_square': 4832.0, 'tokens': 335}
{'loss': 292.0, 'grad_norm_square': 6144.0, 'tokens': 331}
{'loss': 386.0, 'grad_norm_square': 8160.0, 'tokens': 407}
{'loss': 364.0, 'grad_norm_square': 6976.0, 'tokens': 377}
{'loss': 251.0, 'grad_norm_square': 5504.0, 'tokens': 244}
{'loss': 227.0, 'grad_norm_square': 5568.0, 'tokens': 321}
{'loss': 236.0, 'grad_norm_square': 4928.0, 'tokens': 264}
{'loss': 408.0, 'grad_norm_square': 7488.0, 'tokens': 399}
{'loss': 286.0, 'grad_norm_square': 5952.0, 'tokens': 327}
{'loss': 348.0, 'grad_norm_square': 7648.0, 'tokens': 387}
{'loss': 250.0, 'grad_norm_square': 6272.0, 'tokens': 232}
{'loss': 282.0, 'grad_norm_square': 7648.0, 'tokens': 365}
{'loss': 344.0, 'grad_norm_square': 6560.0, 'tokens': 320}
{'loss': 410.0, 'grad_norm_square': 8064.0, 'tokens': 338}
{'loss': 334.0, 'grad_norm_square': 6240.0, 'tokens': 367}
{'loss': 290.0, 'grad_norm_square': 9792.0, 'tokens': 367}
{'loss': 466.0, 'grad_norm_square': 8896.0, 'tokens': 427}
{'loss': 432.0, 'grad_norm_square': 6688.0, 'tokens': 424}
{'loss': 304.0, 'grad_norm_square': 26880.0, 'tokens': 363}
{'loss': 304.0, 'grad_norm_square': 6624.0, 'tokens': 325}
{'loss': 348.0, 'grad_norm_square': 6080.0, 'tokens': 355}
{'loss': 196.0, 'grad_norm_square': 6688.0, 'tokens': 293}
{'loss': 334.0, 'grad_norm_square': 5984.0, 'tokens': 328}
{'loss': 236.0, 'grad_norm_square': 6016.0, 'tokens': 308}
{'loss': 166.0, 'grad_norm_square': 4160.0, 'tokens': 225}
{'loss': 402.0, 'grad_norm_square': 6336.0, 'tokens': 396}
{'loss': 192.0, 'grad_norm_square': 4640.0, 'tokens': 257}
{'loss': 272.0, 'grad_norm_square': 5888.0, 'tokens': 261}
{'loss': 310.0, 'grad_norm_square': 6656.0, 'tokens': 255}
{'loss': 282.0, 'grad_norm_square': 5984.0, 'tokens': 308}
{'loss': 378.0, 'grad_norm_square': 7264.0, 'tokens': 414}
{'loss': 356.0, 'grad_norm_square': 6784.0, 'tokens': 355}
