{'model_params': 2506172416, 'peft_params': 2506172416}
{'loss': 466.0, 'grad_norm_square': 26375643.4375, 'tokens': 319}
{'loss': 336.0, 'grad_norm_square': 16473887.84375, 'tokens': 252}
{'loss': 464.0, 'grad_norm_square': 7414820784.0, 'tokens': 311}
{'loss': 346.0, 'grad_norm_square': 13327295.90625, 'tokens': 308}
{'loss': 540.0, 'grad_norm_square': 28213903.0625, 'tokens': 335}
{'loss': 728.0, 'grad_norm_square': 58992746.59375, 'tokens': 434}
{'loss': 520.0, 'grad_norm_square': 43940667.5, 'tokens': 378}
{'loss': 372.0, 'grad_norm_square': 9915181.46875, 'tokens': 299}
{'loss': 494.0, 'grad_norm_square': 18686383.6875, 'tokens': 377}
{'loss': 442.0, 'grad_norm_square': 21010648.75, 'tokens': 294}
{'loss': 322.0, 'grad_norm_square': 9437950.96875, 'tokens': 315}
{'loss': 354.0, 'grad_norm_square': 8645383.0, 'tokens': 328}
{'loss': 458.0, 'grad_norm_square': 23825957.8125, 'tokens': 394}
{'loss': 344.0, 'grad_norm_square': 11598176.375, 'tokens': 291}
{'loss': 326.0, 'grad_norm_square': 10036489.390625, 'tokens': 274}
{'loss': 392.0, 'grad_norm_square': 14712421.875, 'tokens': 342}
{'loss': 368.0, 'grad_norm_square': 18255428.625, 'tokens': 441}
{'loss': 384.0, 'grad_norm_square': 16622073.75, 'tokens': 360}
{'loss': 392.0, 'grad_norm_square': 18766286.75, 'tokens': 306}
{'loss': 290.0, 'grad_norm_square': 5344823.953125, 'tokens': 343}
{'loss': 248.0, 'grad_norm_square': 9033442.5625, 'tokens': 230}
{'loss': 528.0, 'grad_norm_square': 38683542.875, 'tokens': 438}
{'loss': 368.0, 'grad_norm_square': 11864713.125, 'tokens': 330}
{'loss': 556.0, 'grad_norm_square': 31820742.875, 'tokens': 488}
{'loss': 342.0, 'grad_norm_square': 8509946.78125, 'tokens': 343}
{'loss': 464.0, 'grad_norm_square': 11909195.1875, 'tokens': 360}
{'loss': 300.0, 'grad_norm_square': 6253588.09375, 'tokens': 227}
{'loss': 500.0, 'grad_norm_square': 13322302.0625, 'tokens': 400}
{'loss': 372.0, 'grad_norm_square': 18981981.75, 'tokens': 389}
{'loss': 422.0, 'grad_norm_square': 19069073.25, 'tokens': 347}
{'loss': 354.0, 'grad_norm_square': 8075177.0, 'tokens': 281}
{'loss': 266.0, 'grad_norm_square': 13216122.71875, 'tokens': 299}
{'loss': 350.0, 'grad_norm_square': 7541137.921875, 'tokens': 305}
{'loss': 486.0, 'grad_norm_square': 14987163.625, 'tokens': 304}
{'loss': 246.0, 'grad_norm_square': 4945265.078125, 'tokens': 289}
{'loss': 494.0, 'grad_norm_square': 15385598.96875, 'tokens': 381}
{'loss': 378.0, 'grad_norm_square': 10078059.515625, 'tokens': 395}
{'loss': 286.0, 'grad_norm_square': 6424888.5, 'tokens': 267}
{'loss': 402.0, 'grad_norm_square': 6556022.828125, 'tokens': 299}
{'loss': 402.0, 'grad_norm_square': 8543769.625, 'tokens': 407}
{'loss': 374.0, 'grad_norm_square': 9624993.28125, 'tokens': 347}
{'loss': 252.0, 'grad_norm_square': 7119842.15625, 'tokens': 248}
{'loss': 420.0, 'grad_norm_square': 9913749.375, 'tokens': 309}
{'loss': 360.0, 'grad_norm_square': 8371483.515625, 'tokens': 335}
{'loss': 442.0, 'grad_norm_square': 17536889.5625, 'tokens': 420}
{'loss': 322.0, 'grad_norm_square': 10688687.40625, 'tokens': 293}
{'loss': 258.0, 'grad_norm_square': 4582156.640625, 'tokens': 251}
{'loss': 420.0, 'grad_norm_square': 8113043.0625, 'tokens': 348}
{'loss': 494.0, 'grad_norm_square': 9787426.3125, 'tokens': 336}
{'loss': 346.0, 'grad_norm_square': 5924682.09375, 'tokens': 334}
{'loss': 294.0, 'grad_norm_square': 5919961.96875, 'tokens': 312}
{'loss': 426.0, 'grad_norm_square': 11217792.34375, 'tokens': 332}
{'loss': 256.0, 'grad_norm_square': 4863643.015625, 'tokens': 272}
{'loss': 230.0, 'grad_norm_square': 5106371.421875, 'tokens': 258}
{'loss': 408.0, 'grad_norm_square': 7086254.53125, 'tokens': 314}
{'loss': 225.0, 'grad_norm_square': 3067593.8359375, 'tokens': 261}
{'loss': 340.0, 'grad_norm_square': 8373466.53125, 'tokens': 291}
{'loss': 490.0, 'grad_norm_square': 11676034.8125, 'tokens': 383}
{'loss': 416.0, 'grad_norm_square': 8694498.796875, 'tokens': 323}
{'loss': 372.0, 'grad_norm_square': 7451955.21875, 'tokens': 350}
{'loss': 320.0, 'grad_norm_square': 5723310.96875, 'tokens': 358}
{'loss': 300.0, 'grad_norm_square': 6297308.171875, 'tokens': 240}
{'loss': 278.0, 'grad_norm_square': 5792332.84375, 'tokens': 256}
{'loss': 350.0, 'grad_norm_square': 7598530.1875, 'tokens': 314}
{'loss': 256.0, 'grad_norm_square': 4329809.578125, 'tokens': 249}
{'loss': 406.0, 'grad_norm_square': 9130109.390625, 'tokens': 352}
{'loss': 370.0, 'grad_norm_square': 7562517.9375, 'tokens': 330}
{'loss': 292.0, 'grad_norm_square': 6509158.875, 'tokens': 243}
{'loss': 274.0, 'grad_norm_square': 5257503.0, 'tokens': 292}
{'loss': 348.0, 'grad_norm_square': 7848779.25, 'tokens': 293}
{'loss': 308.0, 'grad_norm_square': 4954246.6875, 'tokens': 327}
{'loss': 370.0, 'grad_norm_square': 5866807.109375, 'tokens': 310}
{'loss': 278.0, 'grad_norm_square': 4400002.46875, 'tokens': 254}
{'loss': 466.0, 'grad_norm_square': 10133933.0, 'tokens': 433}
{'loss': 482.0, 'grad_norm_square': 10176102.53125, 'tokens': 352}
{'loss': 204.0, 'grad_norm_square': 3674652.484375, 'tokens': 206}
{'loss': 314.0, 'grad_norm_square': 12046867.703125, 'tokens': 243}
{'loss': 336.0, 'grad_norm_square': 5931477.125, 'tokens': 312}
{'loss': 484.0, 'grad_norm_square': 11312871.4375, 'tokens': 374}
{'loss': 338.0, 'grad_norm_square': 6107000.46875, 'tokens': 279}
{'loss': 234.0, 'grad_norm_square': 4708465.03125, 'tokens': 286}
{'loss': 252.0, 'grad_norm_square': 4970598.859375, 'tokens': 288}
{'loss': 288.0, 'grad_norm_square': 4993871.6875, 'tokens': 270}
{'loss': 338.0, 'grad_norm_square': 6222340.7890625, 'tokens': 309}
{'loss': 332.0, 'grad_norm_square': 6404590.90625, 'tokens': 319}
