{'model_params': 2506172416, 'peft_params': 1256696}
{'loss': 580.0, 'grad_norm_square': 92672.0, 'tokens': 455}
{'loss': 380.0, 'grad_norm_square': 73728.0, 'tokens': 312}
{'loss': 624.0, 'grad_norm_square': 109056.0, 'tokens': 432}
{'loss': 628.0, 'grad_norm_square': 66048.0, 'tokens': 471}
{'loss': 314.0, 'grad_norm_square': 46592.0, 'tokens': 327}
{'loss': 316.0, 'grad_norm_square': 43264.0, 'tokens': 314}
{'loss': 576.0, 'grad_norm_square': 80384.0, 'tokens': 457}
{'loss': 236.0, 'grad_norm_square': 52224.0, 'tokens': 255}
{'loss': 416.0, 'grad_norm_square': 55040.0, 'tokens': 437}
{'loss': 260.0, 'grad_norm_square': 43520.0, 'tokens': 371}
{'loss': 516.0, 'grad_norm_square': 72704.0, 'tokens': 471}
{'loss': 416.0, 'grad_norm_square': 52992.0, 'tokens': 452}
{'loss': 258.0, 'grad_norm_square': 39424.0, 'tokens': 261}
{'loss': 486.0, 'grad_norm_square': 45568.0, 'tokens': 419}
{'loss': 532.0, 'grad_norm_square': 53504.0, 'tokens': 450}
{'loss': 384.0, 'grad_norm_square': 61440.0, 'tokens': 446}
{'loss': 584.0, 'grad_norm_square': 67584.0, 'tokens': 452}
{'loss': 219.0, 'grad_norm_square': 37120.0, 'tokens': 262}
{'loss': 416.0, 'grad_norm_square': 69120.0, 'tokens': 375}
{'loss': 484.0, 'grad_norm_square': 77824.0, 'tokens': 405}
{'loss': 430.0, 'grad_norm_square': 44032.0, 'tokens': 409}
{'loss': 374.0, 'grad_norm_square': 47360.0, 'tokens': 410}
{'loss': 462.0, 'grad_norm_square': 60416.0, 'tokens': 429}
{'loss': 416.0, 'grad_norm_square': 43520.0, 'tokens': 408}
{'loss': 390.0, 'grad_norm_square': 57344.0, 'tokens': 427}
{'loss': 516.0, 'grad_norm_square': 56832.0, 'tokens': 445}
{'loss': 436.0, 'grad_norm_square': 88576.0, 'tokens': 461}
{'loss': 432.0, 'grad_norm_square': 50944.0, 'tokens': 444}
{'loss': 440.0, 'grad_norm_square': 49408.0, 'tokens': 459}
{'loss': 306.0, 'grad_norm_square': 45056.0, 'tokens': 295}
{'loss': 520.0, 'grad_norm_square': 62464.0, 'tokens': 420}
{'loss': 488.0, 'grad_norm_square': 67072.0, 'tokens': 476}
