{'model_params': 2506172416, 'peft_params': 1104880}
{'loss': 580.0, 'grad_norm_square': 229376.0, 'tokens': 455}
{'loss': 406.0, 'grad_norm_square': 296960.0, 'tokens': 312}
{'loss': 688.0, 'grad_norm_square': 307200.0, 'tokens': 432}
{'loss': 696.0, 'grad_norm_square': 222208.0, 'tokens': 471}
{'loss': 326.0, 'grad_norm_square': 132096.0, 'tokens': 327}
{'loss': 338.0, 'grad_norm_square': 117760.0, 'tokens': 314}
{'loss': 616.0, 'grad_norm_square': 180224.0, 'tokens': 457}
{'loss': 258.0, 'grad_norm_square': 121344.0, 'tokens': 255}
{'loss': 448.0, 'grad_norm_square': 144384.0, 'tokens': 437}
{'loss': 286.0, 'grad_norm_square': 102400.0, 'tokens': 371}
{'loss': 556.0, 'grad_norm_square': 160768.0, 'tokens': 471}
{'loss': 464.0, 'grad_norm_square': 132096.0, 'tokens': 452}
{'loss': 274.0, 'grad_norm_square': 103424.0, 'tokens': 261}
{'loss': 544.0, 'grad_norm_square': 138240.0, 'tokens': 419}
{'loss': 580.0, 'grad_norm_square': 138240.0, 'tokens': 450}
{'loss': 410.0, 'grad_norm_square': 148480.0, 'tokens': 446}
{'loss': 620.0, 'grad_norm_square': 152576.0, 'tokens': 452}
{'loss': 235.0, 'grad_norm_square': 95744.0, 'tokens': 262}
{'loss': 434.0, 'grad_norm_square': 125952.0, 'tokens': 375}
{'loss': 510.0, 'grad_norm_square': 145408.0, 'tokens': 405}
{'loss': 458.0, 'grad_norm_square': 110080.0, 'tokens': 409}
{'loss': 408.0, 'grad_norm_square': 116736.0, 'tokens': 410}
{'loss': 506.0, 'grad_norm_square': 204800.0, 'tokens': 429}
{'loss': 442.0, 'grad_norm_square': 138240.0, 'tokens': 408}
{'loss': 428.0, 'grad_norm_square': 162816.0, 'tokens': 427}
{'loss': 584.0, 'grad_norm_square': 161792.0, 'tokens': 445}
{'loss': 454.0, 'grad_norm_square': 218112.0, 'tokens': 461}
{'loss': 478.0, 'grad_norm_square': 188416.0, 'tokens': 444}
{'loss': 474.0, 'grad_norm_square': 153600.0, 'tokens': 459}
{'loss': 330.0, 'grad_norm_square': 133120.0, 'tokens': 295}
{'loss': 540.0, 'grad_norm_square': 159744.0, 'tokens': 420}
{'loss': 532.0, 'grad_norm_square': 178176.0, 'tokens': 476}
{'loss': 470.0, 'grad_norm_square': 160768.0, 'tokens': 430}
{'loss': 474.0, 'grad_norm_square': 145408.0, 'tokens': 441}
{'loss': 406.0, 'grad_norm_square': 163840.0, 'tokens': 402}
{'loss': 426.0, 'grad_norm_square': 122368.0, 'tokens': 328}
{'loss': 432.0, 'grad_norm_square': 154624.0, 'tokens': 453}
{'loss': 322.0, 'grad_norm_square': 132096.0, 'tokens': 375}
{'loss': 456.0, 'grad_norm_square': 145408.0, 'tokens': 434}
{'loss': 316.0, 'grad_norm_square': 119296.0, 'tokens': 383}
{'loss': 438.0, 'grad_norm_square': 125952.0, 'tokens': 411}
{'loss': 476.0, 'grad_norm_square': 126464.0, 'tokens': 469}
{'loss': 394.0, 'grad_norm_square': 119808.0, 'tokens': 392}
{'loss': 376.0, 'grad_norm_square': 118272.0, 'tokens': 460}
{'loss': 356.0, 'grad_norm_square': 121344.0, 'tokens': 398}
{'loss': 248.0, 'grad_norm_square': 114688.0, 'tokens': 284}
{'loss': 169.0, 'grad_norm_square': 88064.0, 'tokens': 275}
{'loss': 446.0, 'grad_norm_square': 136192.0, 'tokens': 435}
{'loss': 199.0, 'grad_norm_square': 102400.0, 'tokens': 287}
{'loss': 440.0, 'grad_norm_square': 168960.0, 'tokens': 440}
