{'loss': 580.0, 'grad_norm_square': 64512.0, 'tokens': 455}
{'loss': 390.0, 'grad_norm_square': 63232.0, 'tokens': 312}
{'loss': 644.0, 'grad_norm_square': 79872.0, 'tokens': 432}
{'loss': 652.0, 'grad_norm_square': 52992.0, 'tokens': 471}
{'loss': 318.0, 'grad_norm_square': 34816.0, 'tokens': 327}
{'loss': 324.0, 'grad_norm_square': 30464.0, 'tokens': 314}
{'loss': 588.0, 'grad_norm_square': 49920.0, 'tokens': 457}
{'loss': 240.0, 'grad_norm_square': 36352.0, 'tokens': 255}
{'loss': 426.0, 'grad_norm_square': 38400.0, 'tokens': 437}
{'loss': 266.0, 'grad_norm_square': 26240.0, 'tokens': 371}
{'loss': 528.0, 'grad_norm_square': 50432.0, 'tokens': 471}
{'loss': 434.0, 'grad_norm_square': 34560.0, 'tokens': 452}
{'loss': 266.0, 'grad_norm_square': 28288.0, 'tokens': 261}
{'loss': 502.0, 'grad_norm_square': 37632.0, 'tokens': 419}
{'loss': 544.0, 'grad_norm_square': 38656.0, 'tokens': 450}
{'loss': 388.0, 'grad_norm_square': 40192.0, 'tokens': 446}
{'loss': 588.0, 'grad_norm_square': 38912.0, 'tokens': 452}
{'loss': 218.0, 'grad_norm_square': 27264.0, 'tokens': 262}
{'loss': 418.0, 'grad_norm_square': 44800.0, 'tokens': 375}
{'loss': 488.0, 'grad_norm_square': 50176.0, 'tokens': 405}
{'loss': 436.0, 'grad_norm_square': 31872.0, 'tokens': 409}
{'loss': 368.0, 'grad_norm_square': 32000.0, 'tokens': 410}
{'loss': 468.0, 'grad_norm_square': 48128.0, 'tokens': 429}
{'loss': 410.0, 'grad_norm_square': 37120.0, 'tokens': 408}
{'loss': 392.0, 'grad_norm_square': 45568.0, 'tokens': 427}
{'loss': 528.0, 'grad_norm_square': 45056.0, 'tokens': 445}
{'loss': 426.0, 'grad_norm_square': 65536.0, 'tokens': 461}
{'loss': 438.0, 'grad_norm_square': 45824.0, 'tokens': 444}
{'loss': 434.0, 'grad_norm_square': 36352.0, 'tokens': 459}
