{'model_params': 2506172416, 'peft_params': 2506172416}
{'loss': 466.0, 'grad_norm_square': 25999342.4375, 'tokens': 319}
{'loss': 434.0, 'grad_norm_square': 81244371.125, 'tokens': 252}
{'loss': 548.0, 'grad_norm_square': 13887386943.0, 'tokens': 311}
{'loss': 416.0, 'grad_norm_square': 22062508.375, 'tokens': 308}
{'loss': 600.0, 'grad_norm_square': 31368085.5, 'tokens': 335}
{'loss': 800.0, 'grad_norm_square': 67826650.1875, 'tokens': 434}
{'loss': 560.0, 'grad_norm_square': 45157037.375, 'tokens': 378}
{'loss': 410.0, 'grad_norm_square': 11052000.6875, 'tokens': 299}
{'loss': 540.0, 'grad_norm_square': 23485582.375, 'tokens': 377}
{'loss': 464.0, 'grad_norm_square': 21111487.3125, 'tokens': 294}
{'loss': 336.0, 'grad_norm_square': 10197178.703125, 'tokens': 315}
{'loss': 374.0, 'grad_norm_square': 10657660.4375, 'tokens': 328}
{'loss': 492.0, 'grad_norm_square': 22109439.375, 'tokens': 394}
{'loss': 364.0, 'grad_norm_square': 11462790.015625, 'tokens': 291}
{'loss': 334.0, 'grad_norm_square': 7442303.9375, 'tokens': 274}
{'loss': 424.0, 'grad_norm_square': 17343142.6875, 'tokens': 342}
{'loss': 406.0, 'grad_norm_square': 20850216.6875, 'tokens': 441}
{'loss': 390.0, 'grad_norm_square': 12137907.96875, 'tokens': 360}
{'loss': 404.0, 'grad_norm_square': 10224145.390625, 'tokens': 306}
{'loss': 306.0, 'grad_norm_square': 8941868.71875, 'tokens': 343}
{'loss': 255.0, 'grad_norm_square': 8030026.65625, 'tokens': 230}
{'loss': 532.0, 'grad_norm_square': 20926220.9375, 'tokens': 438}
{'loss': 366.0, 'grad_norm_square': 9903939.03125, 'tokens': 330}
{'loss': 556.0, 'grad_norm_square': 26426047.53125, 'tokens': 488}
{'loss': 336.0, 'grad_norm_square': 7757618.90625, 'tokens': 343}
{'loss': 454.0, 'grad_norm_square': 9919187.65625, 'tokens': 360}
{'loss': 314.0, 'grad_norm_square': 7194077.7421875, 'tokens': 227}
{'loss': 512.0, 'grad_norm_square': 12717765.53125, 'tokens': 400}
{'loss': 380.0, 'grad_norm_square': 36479428.125, 'tokens': 389}
{'loss': 426.0, 'grad_norm_square': 19354761.0, 'tokens': 347}
{'loss': 364.0, 'grad_norm_square': 10699271.5625, 'tokens': 281}
{'loss': 276.0, 'grad_norm_square': 9109548.125, 'tokens': 299}
{'loss': 370.0, 'grad_norm_square': 11595128.40625, 'tokens': 305}
{'loss': 512.0, 'grad_norm_square': 26876953.5, 'tokens': 304}
{'loss': 256.0, 'grad_norm_square': 5414895.640625, 'tokens': 289}
{'loss': 524.0, 'grad_norm_square': 15456880.78125, 'tokens': 381}
{'loss': 388.0, 'grad_norm_square': 8918800.96875, 'tokens': 395}
{'loss': 290.0, 'grad_norm_square': 6771322.875, 'tokens': 267}
{'loss': 410.0, 'grad_norm_square': 5744998.421875, 'tokens': 299}
{'loss': 428.0, 'grad_norm_square': 15731381.4375, 'tokens': 407}
{'loss': 374.0, 'grad_norm_square': 6899794.734375, 'tokens': 347}
{'loss': 272.0, 'grad_norm_square': 8610771.703125, 'tokens': 248}
{'loss': 440.0, 'grad_norm_square': 9544628.1875, 'tokens': 309}
{'loss': 364.0, 'grad_norm_square': 7315929.5546875, 'tokens': 335}
{'loss': 472.0, 'grad_norm_square': 15698518.0, 'tokens': 420}
{'loss': 334.0, 'grad_norm_square': 9627719.46875, 'tokens': 293}
{'loss': 266.0, 'grad_norm_square': 4522826.953125, 'tokens': 251}
{'loss': 446.0, 'grad_norm_square': 9717968.625, 'tokens': 348}
{'loss': 500.0, 'grad_norm_square': 12781313.15625, 'tokens': 336}
{'loss': 366.0, 'grad_norm_square': 7060740.625, 'tokens': 334}
{'loss': 308.0, 'grad_norm_square': 7761512.4375, 'tokens': 312}
{'loss': 438.0, 'grad_norm_square': 14763083.625, 'tokens': 332}
{'loss': 266.0, 'grad_norm_square': 5335943.1875, 'tokens': 272}
{'loss': 228.0, 'grad_norm_square': 5569686.703125, 'tokens': 258}
{'loss': 424.0, 'grad_norm_square': 7028495.0, 'tokens': 314}
{'loss': 232.0, 'grad_norm_square': 3043569.390625, 'tokens': 261}
{'loss': 340.0, 'grad_norm_square': 7909674.625, 'tokens': 291}
{'loss': 504.0, 'grad_norm_square': 17764438.1875, 'tokens': 383}
{'loss': 434.0, 'grad_norm_square': 8950552.109375, 'tokens': 323}
{'loss': 376.0, 'grad_norm_square': 7453509.78125, 'tokens': 350}
{'loss': 318.0, 'grad_norm_square': 4945872.25, 'tokens': 358}
{'loss': 320.0, 'grad_norm_square': 8058650.71875, 'tokens': 240}
{'loss': 284.0, 'grad_norm_square': 7492479.84375, 'tokens': 256}
{'loss': 360.0, 'grad_norm_square': 9030344.078125, 'tokens': 314}
{'loss': 264.0, 'grad_norm_square': 5628884.4140625, 'tokens': 249}
{'loss': 442.0, 'grad_norm_square': 16045499.125, 'tokens': 352}
{'loss': 386.0, 'grad_norm_square': 11251148.96875, 'tokens': 330}
{'loss': 310.0, 'grad_norm_square': 7038557.734375, 'tokens': 243}
{'loss': 290.0, 'grad_norm_square': 5845027.140625, 'tokens': 292}
{'loss': 348.0, 'grad_norm_square': 8075748.59375, 'tokens': 293}
{'loss': 320.0, 'grad_norm_square': 6041168.875, 'tokens': 327}
{'loss': 386.0, 'grad_norm_square': 9420641.6875, 'tokens': 310}
{'loss': 288.0, 'grad_norm_square': 4936033.9375, 'tokens': 254}
{'loss': 476.0, 'grad_norm_square': 8856581.375, 'tokens': 433}
{'loss': 498.0, 'grad_norm_square': 8869640.96875, 'tokens': 352}
{'loss': 213.0, 'grad_norm_square': 3714503.921875, 'tokens': 206}
{'loss': 318.0, 'grad_norm_square': 9750470.796875, 'tokens': 243}
{'loss': 340.0, 'grad_norm_square': 6096234.703125, 'tokens': 312}
{'loss': 488.0, 'grad_norm_square': 13412052.0625, 'tokens': 374}
{'loss': 362.0, 'grad_norm_square': 7602239.3125, 'tokens': 279}
{'loss': 238.0, 'grad_norm_square': 4046635.03125, 'tokens': 286}
{'loss': 266.0, 'grad_norm_square': 4352882.125, 'tokens': 288}
{'loss': 296.0, 'grad_norm_square': 6187693.4609375, 'tokens': 270}
{'loss': 344.0, 'grad_norm_square': 5642614.2421875, 'tokens': 309}
{'loss': 346.0, 'grad_norm_square': 7282273.9375, 'tokens': 319}
{'loss': 195.0, 'grad_norm_square': 2764226.625, 'tokens': 210}
{'loss': 316.0, 'grad_norm_square': 6737059.1875, 'tokens': 347}
{'loss': 274.0, 'grad_norm_square': 6191297.875, 'tokens': 336}
{'loss': 406.0, 'grad_norm_square': 10985107.0, 'tokens': 375}
{'loss': 224.0, 'grad_norm_square': 3866499.796875, 'tokens': 237}
{'loss': 568.0, 'grad_norm_square': 10291356.875, 'tokens': 464}
{'loss': 318.0, 'grad_norm_square': 6991026.578125, 'tokens': 354}
{'loss': 306.0, 'grad_norm_square': 4591598.046875, 'tokens': 300}
{'loss': 330.0, 'grad_norm_square': 5188029.6875, 'tokens': 419}
{'loss': 334.0, 'grad_norm_square': 5943035.546875, 'tokens': 338}
{'loss': 346.0, 'grad_norm_square': 5890283.4375, 'tokens': 314}
{'loss': 460.0, 'grad_norm_square': 10149907.0, 'tokens': 334}
{'loss': 356.0, 'grad_norm_square': 5288295.203125, 'tokens': 354}
{'loss': 528.0, 'grad_norm_square': 15729275.375, 'tokens': 389}
{'loss': 294.0, 'grad_norm_square': 4493200.34375, 'tokens': 348}
{'loss': 374.0, 'grad_norm_square': 10980739.78125, 'tokens': 431}
{'loss': 278.0, 'grad_norm_square': 5461610.125, 'tokens': 254}
{'loss': 364.0, 'grad_norm_square': 12513099.5625, 'tokens': 408}
{'loss': 382.0, 'grad_norm_square': 23843176.75, 'tokens': 378}
{'loss': 320.0, 'grad_norm_square': 4944543.296875, 'tokens': 412}
{'loss': 374.0, 'grad_norm_square': 9513950.140625, 'tokens': 319}
{'loss': 374.0, 'grad_norm_square': 6131633.640625, 'tokens': 389}
{'loss': 470.0, 'grad_norm_square': 8672610.109375, 'tokens': 379}
{'loss': 194.0, 'grad_norm_square': 4262523.984375, 'tokens': 230}
{'loss': 278.0, 'grad_norm_square': 6350551.71875, 'tokens': 328}
{'loss': 306.0, 'grad_norm_square': 5464988.46875, 'tokens': 279}
{'loss': 296.0, 'grad_norm_square': 7490258.25, 'tokens': 289}
{'loss': 374.0, 'grad_norm_square': 7500934.125, 'tokens': 406}
{'loss': 320.0, 'grad_norm_square': 4860728.5625, 'tokens': 284}
{'loss': 400.0, 'grad_norm_square': 5431348.125, 'tokens': 300}
{'loss': 310.0, 'grad_norm_square': 6994722.328125, 'tokens': 263}
{'loss': 376.0, 'grad_norm_square': 7347576.84375, 'tokens': 315}
{'loss': 354.0, 'grad_norm_square': 8675208.5, 'tokens': 289}
{'loss': 298.0, 'grad_norm_square': 7504769.71875, 'tokens': 287}
{'loss': 548.0, 'grad_norm_square': 13219711.75, 'tokens': 445}
