{'loss': 580.0, 'grad_norm_square': 54016.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 92160.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 117760.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 72192.0, 'tokens': 471}
{'loss': 360.0, 'grad_norm_square': 44544.0, 'tokens': 327}
{'loss': 384.0, 'grad_norm_square': 45824.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 67584.0, 'tokens': 457}
{'loss': 320.0, 'grad_norm_square': 67072.0, 'tokens': 255}
{'loss': 552.0, 'grad_norm_square': 80384.0, 'tokens': 437}
{'loss': 394.0, 'grad_norm_square': 81408.0, 'tokens': 371}
{'loss': 692.0, 'grad_norm_square': 75776.0, 'tokens': 471}
{'loss': 604.0, 'grad_norm_square': 69632.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 40192.0, 'tokens': 261}
{'loss': 684.0, 'grad_norm_square': 68608.0, 'tokens': 419}
{'loss': 736.0, 'grad_norm_square': 108032.0, 'tokens': 450}
{'loss': 540.0, 'grad_norm_square': 62720.0, 'tokens': 446}
{'loss': 736.0, 'grad_norm_square': 54528.0, 'tokens': 452}
{'loss': 288.0, 'grad_norm_square': 46592.0, 'tokens': 262}
{'loss': 544.0, 'grad_norm_square': 68608.0, 'tokens': 375}
{'loss': 632.0, 'grad_norm_square': 76800.0, 'tokens': 405}
{'loss': 576.0, 'grad_norm_square': 57600.0, 'tokens': 409}
{'loss': 536.0, 'grad_norm_square': 61952.0, 'tokens': 410}
{'loss': 604.0, 'grad_norm_square': 58880.0, 'tokens': 429}
{'loss': 584.0, 'grad_norm_square': 59136.0, 'tokens': 408}
{'loss': 592.0, 'grad_norm_square': 102400.0, 'tokens': 427}
{'loss': 820.0, 'grad_norm_square': 105472.0, 'tokens': 445}
{'loss': 736.0, 'grad_norm_square': 179200.0, 'tokens': 461}
{'loss': 664.0, 'grad_norm_square': 78848.0, 'tokens': 444}
{'loss': 656.0, 'grad_norm_square': 66048.0, 'tokens': 459}
{'loss': 400.0, 'grad_norm_square': 39168.0, 'tokens': 295}
{'loss': 656.0, 'grad_norm_square': 55808.0, 'tokens': 420}
