{'model_params': 2506172416, 'peft_params': 4902912}
{'loss': 466.21319580078125, 'grad_norm_square': 215810048.0, 'tokens': 319}
{'loss': 392.0008544921875, 'grad_norm_square': 139547791.5, 'tokens': 252}
{'loss': 321.606201171875, 'grad_norm_square': 141950544.0, 'tokens': 311}
{'loss': 340.2960510253906, 'grad_norm_square': 103718628.0, 'tokens': 308}
{'loss': 511.7586669921875, 'grad_norm_square': 224599856.0, 'tokens': 335}
{'loss': 626.56494140625, 'grad_norm_square': 161953480.0, 'tokens': 434}
{'loss': 389.3409423828125, 'grad_norm_square': 174616500.0, 'tokens': 378}
{'loss': 353.18548583984375, 'grad_norm_square': 111990156.0, 'tokens': 299}
{'loss': 398.28558349609375, 'grad_norm_square': 173136164.0, 'tokens': 377}
{'loss': 376.86578369140625, 'grad_norm_square': 147305548.0, 'tokens': 294}
{'loss': 292.178466796875, 'grad_norm_square': 129186476.0, 'tokens': 315}
{'loss': 297.088623046875, 'grad_norm_square': 93812110.0, 'tokens': 328}
{'loss': 381.308349609375, 'grad_norm_square': 139505532.0, 'tokens': 394}
{'loss': 289.8671569824219, 'grad_norm_square': 157318324.0, 'tokens': 291}
{'loss': 269.07928466796875, 'grad_norm_square': 89870268.0, 'tokens': 274}
{'loss': 361.530517578125, 'grad_norm_square': 192764216.0, 'tokens': 342}
{'loss': 296.7560119628906, 'grad_norm_square': 146737694.0, 'tokens': 441}
{'loss': 367.006591796875, 'grad_norm_square': 245741808.0, 'tokens': 360}
{'loss': 329.2239074707031, 'grad_norm_square': 117986530.0, 'tokens': 306}
{'loss': 281.1595153808594, 'grad_norm_square': 145573532.0, 'tokens': 343}
{'loss': 204.5625457763672, 'grad_norm_square': 74586795.0, 'tokens': 230}
{'loss': 416.134765625, 'grad_norm_square': 268605328.0, 'tokens': 438}
{'loss': 305.42218017578125, 'grad_norm_square': 80103068.0, 'tokens': 330}
{'loss': 474.42974853515625, 'grad_norm_square': 176498272.0, 'tokens': 488}
{'loss': 303.8775329589844, 'grad_norm_square': 88964696.0, 'tokens': 343}
{'loss': 404.739013671875, 'grad_norm_square': 175279760.0, 'tokens': 360}
{'loss': 244.51730346679688, 'grad_norm_square': 78127848.0, 'tokens': 227}
{'loss': 448.7427062988281, 'grad_norm_square': 144483480.0, 'tokens': 400}
{'loss': 301.94329833984375, 'grad_norm_square': 92738680.0, 'tokens': 389}
{'loss': 348.94659423828125, 'grad_norm_square': 96379496.0, 'tokens': 347}
{'loss': 306.1766052246094, 'grad_norm_square': 68473068.0, 'tokens': 281}
{'loss': 218.40011596679688, 'grad_norm_square': 46577019.0, 'tokens': 299}
{'loss': 317.3599853515625, 'grad_norm_square': 66538624.0, 'tokens': 305}
{'loss': 419.0224609375, 'grad_norm_square': 117356962.0, 'tokens': 304}
{'loss': 216.2723846435547, 'grad_norm_square': 51350700.0, 'tokens': 289}
{'loss': 447.998779296875, 'grad_norm_square': 92736052.0, 'tokens': 381}
{'loss': 333.3712158203125, 'grad_norm_square': 135102856.0, 'tokens': 395}
{'loss': 262.7284240722656, 'grad_norm_square': 72573264.0, 'tokens': 267}
{'loss': 367.1610107421875, 'grad_norm_square': 96382128.0, 'tokens': 299}
{'loss': 404.43646240234375, 'grad_norm_square': 154739544.0, 'tokens': 407}
{'loss': 343.1393737792969, 'grad_norm_square': 153186880.0, 'tokens': 347}
{'loss': 220.26046752929688, 'grad_norm_square': 66853604.0, 'tokens': 248}
{'loss': 394.1790466308594, 'grad_norm_square': 122810728.0, 'tokens': 309}
{'loss': 327.5248107910156, 'grad_norm_square': 61398184.0, 'tokens': 335}
{'loss': 373.2778015136719, 'grad_norm_square': 225023996.0, 'tokens': 420}
{'loss': 296.5165100097656, 'grad_norm_square': 70383108.0, 'tokens': 293}
{'loss': 243.4219970703125, 'grad_norm_square': 53189652.0, 'tokens': 251}
{'loss': 368.76611328125, 'grad_norm_square': 90521752.0, 'tokens': 348}
{'loss': 455.13623046875, 'grad_norm_square': 95611704.0, 'tokens': 336}
{'loss': 335.05242919921875, 'grad_norm_square': 68702972.0, 'tokens': 334}
{'loss': 264.14068603515625, 'grad_norm_square': 71605888.0, 'tokens': 312}
{'loss': 414.29034423828125, 'grad_norm_square': 112523488.0, 'tokens': 332}
{'loss': 243.76242065429688, 'grad_norm_square': 61213340.0, 'tokens': 272}
{'loss': 183.45858764648438, 'grad_norm_square': 51027116.0, 'tokens': 258}
{'loss': 374.0941162109375, 'grad_norm_square': 109061756.0, 'tokens': 314}
{'loss': 212.15345764160156, 'grad_norm_square': 44588460.0, 'tokens': 261}
{'loss': 284.4754943847656, 'grad_norm_square': 67477668.0, 'tokens': 291}
{'loss': 453.1459655761719, 'grad_norm_square': 153562288.0, 'tokens': 383}
{'loss': 390.1232604980469, 'grad_norm_square': 83005056.0, 'tokens': 323}
{'loss': 347.75482177734375, 'grad_norm_square': 94645148.0, 'tokens': 350}
{'loss': 279.4886474609375, 'grad_norm_square': 55235720.0, 'tokens': 358}
{'loss': 262.58489990234375, 'grad_norm_square': 63358132.0, 'tokens': 240}
{'loss': 223.9837646484375, 'grad_norm_square': 54698328.0, 'tokens': 256}
{'loss': 313.04962158203125, 'grad_norm_square': 71256874.0, 'tokens': 314}
{'loss': 227.77284240722656, 'grad_norm_square': 39558772.0, 'tokens': 249}
