{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 473460014841856.0, 'tokens': 319}
{'loss': 25843.76171875, 'grad_norm_square': 3.5323805728195478e+19, 'tokens': 252}
{'loss': 52140.12109375, 'grad_norm_square': 7.52603518132149e+20, 'tokens': 311}
{'loss': 45779.2265625, 'grad_norm_square': 5.1493587658955366e+17, 'tokens': 308}
{'loss': 180823.625, 'grad_norm_square': 1.630002012996835e+21, 'tokens': 335}
{'loss': 19593.625, 'grad_norm_square': 4.056383613755624e+19, 'tokens': 434}
{'loss': 17118.48828125, 'grad_norm_square': 5.808246322336731e+17, 'tokens': 378}
{'loss': 8843.546875, 'grad_norm_square': 2.926271534042218e+17, 'tokens': 299}
{'loss': 6004.1162109375, 'grad_norm_square': 1.0096139383627686e+16, 'tokens': 377}
{'loss': 5469.04345703125, 'grad_norm_square': 3776027268149363.0, 'tokens': 294}
{'loss': 4930.0078125, 'grad_norm_square': 1713003028642296.5, 'tokens': 315}
{'loss': 4736.9482421875, 'grad_norm_square': 1773076392032080.2, 'tokens': 328}
{'loss': 5656.70556640625, 'grad_norm_square': 2799469545033174.5, 'tokens': 394}
{'loss': 3412.413818359375, 'grad_norm_square': 3.115616423216482e+16, 'tokens': 291}
{'loss': 3294.133544921875, 'grad_norm_square': 793377234204135.4, 'tokens': 274}
{'loss': 3704.689453125, 'grad_norm_square': 702967629044233.1, 'tokens': 342}
{'loss': 5466.47119140625, 'grad_norm_square': 1556896920226173.2, 'tokens': 441}
{'loss': 4154.0419921875, 'grad_norm_square': 779388409772985.6, 'tokens': 360}
{'loss': 3494.777587890625, 'grad_norm_square': 514408218118005.3, 'tokens': 306}
{'loss': 3500.7880859375, 'grad_norm_square': 197686746944121.1, 'tokens': 343}
{'loss': 2561.67822265625, 'grad_norm_square': 112484831164266.78, 'tokens': 230}
{'loss': 5013.1904296875, 'grad_norm_square': 539696523127039.5, 'tokens': 438}
{'loss': 3561.013671875, 'grad_norm_square': 789152829098195.1, 'tokens': 330}
{'loss': 5709.177734375, 'grad_norm_square': 1480220112746393.5, 'tokens': 488}
{'loss': 3508.68505859375, 'grad_norm_square': 319573368806823.1, 'tokens': 343}
{'loss': 3996.8408203125, 'grad_norm_square': 118829122440594.97, 'tokens': 360}
{'loss': 2468.19677734375, 'grad_norm_square': 49632331029115.2, 'tokens': 227}
{'loss': 4183.5966796875, 'grad_norm_square': 219148672342871.6, 'tokens': 400}
{'loss': 3981.6748046875, 'grad_norm_square': 156214031080669.03, 'tokens': 389}
{'loss': 3528.93017578125, 'grad_norm_square': 95322794837364.03, 'tokens': 347}
{'loss': 3082.134033203125, 'grad_norm_square': 98702819999968.03, 'tokens': 281}
{'loss': 3065.16845703125, 'grad_norm_square': 67687916186701.805, 'tokens': 299}
{'loss': 3464.368896484375, 'grad_norm_square': 75867986896609.22, 'tokens': 305}
{'loss': 3404.29541015625, 'grad_norm_square': 136835514600698.36, 'tokens': 304}
{'loss': 2797.51708984375, 'grad_norm_square': 346011162156503.4, 'tokens': 289}
{'loss': 4062.5205078125, 'grad_norm_square': 124839273704204.6, 'tokens': 381}
{'loss': 3984.126220703125, 'grad_norm_square': 99096677221567.3, 'tokens': 395}
{'loss': 2751.925048828125, 'grad_norm_square': 71017539275655.86, 'tokens': 267}
{'loss': 3111.704833984375, 'grad_norm_square': 101235004745114.25, 'tokens': 299}
{'loss': 3889.914306640625, 'grad_norm_square': 99003924565772.11, 'tokens': 407}
{'loss': 3708.212646484375, 'grad_norm_square': 168867639670829.03, 'tokens': 347}
{'loss': 2453.4345703125, 'grad_norm_square': 52605093521877.805, 'tokens': 248}
{'loss': 3136.18505859375, 'grad_norm_square': 43429291810423.07, 'tokens': 309}
{'loss': 3208.2939453125, 'grad_norm_square': 96014953055446.77, 'tokens': 335}
{'loss': 3969.63134765625, 'grad_norm_square': 165362271068211.34, 'tokens': 420}
{'loss': 2790.783203125, 'grad_norm_square': 68077698959712.65, 'tokens': 293}
{'loss': 2376.8154296875, 'grad_norm_square': 49212573662302.0, 'tokens': 251}
{'loss': 3566.564208984375, 'grad_norm_square': 54262160169633.2, 'tokens': 348}
{'loss': 3417.779296875, 'grad_norm_square': 50009352063710.164, 'tokens': 336}
{'loss': 3045.41552734375, 'grad_norm_square': 115023337541467.19, 'tokens': 334}
{'loss': 2634.130859375, 'grad_norm_square': 94374524348037.02, 'tokens': 312}
