{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 1054141841408.0, 'tokens': 319}
{'loss': 5711.31640625, 'grad_norm_square': 7587563174887424.0, 'tokens': 252}
{'loss': 15426.0810546875, 'grad_norm_square': 1.085846879207424e+17, 'tokens': 311}
{'loss': 16130.005859375, 'grad_norm_square': 4644665188941824.0, 'tokens': 308}
{'loss': 374210.25, 'grad_norm_square': 1.5774674917083054e+18, 'tokens': 335}
{'loss': 19991.07421875, 'grad_norm_square': 5473956274944000.0, 'tokens': 434}
{'loss': 27977.32421875, 'grad_norm_square': 8750323750074572.0, 'tokens': 378}
{'loss': 12998.06640625, 'grad_norm_square': 763550397416874.5, 'tokens': 299}
{'loss': 10518.01171875, 'grad_norm_square': 178754151130703.28, 'tokens': 377}
{'loss': 10739.134765625, 'grad_norm_square': 14277540226499.4, 'tokens': 294}
{'loss': 8334.3017578125, 'grad_norm_square': 9107110352969.428, 'tokens': 315}
{'loss': 11341.384765625, 'grad_norm_square': 863553464926819.0, 'tokens': 328}
{'loss': 22735.498046875, 'grad_norm_square': 1.239961530893134e+19, 'tokens': 394}
{'loss': 71989.25, 'grad_norm_square': 4.543397408651087e+18, 'tokens': 291}
{'loss': 6300.798828125, 'grad_norm_square': 536052582814712.56, 'tokens': 274}
{'loss': 5704.28125, 'grad_norm_square': 11223766313126.074, 'tokens': 342}
{'loss': 8322.90625, 'grad_norm_square': 19351013618507.97, 'tokens': 441}
{'loss': 5898.416015625, 'grad_norm_square': 2580812798613.8726, 'tokens': 360}
{'loss': 5164.76708984375, 'grad_norm_square': 34086527148607.0, 'tokens': 306}
{'loss': 4800.953125, 'grad_norm_square': 64932007203477.09, 'tokens': 343}
{'loss': 3998.2060546875, 'grad_norm_square': 151267350523405.3, 'tokens': 230}
{'loss': 8063.447265625, 'grad_norm_square': 4547874467495.783, 'tokens': 438}
{'loss': 4894.619140625, 'grad_norm_square': 1831089947241.9844, 'tokens': 330}
{'loss': 7301.49462890625, 'grad_norm_square': 2523371589319.188, 'tokens': 488}
{'loss': 4406.58642578125, 'grad_norm_square': 1163435144745.1858, 'tokens': 343}
{'loss': 4708.07421875, 'grad_norm_square': 991503590503.6757, 'tokens': 360}
{'loss': 2603.8984375, 'grad_norm_square': 819043949591.2085, 'tokens': 227}
{'loss': 5229.24169921875, 'grad_norm_square': 1828831599924.0996, 'tokens': 400}
{'loss': 4372.357421875, 'grad_norm_square': 1875862570109.3342, 'tokens': 389}
{'loss': 3960.53466796875, 'grad_norm_square': 715806225029.0549, 'tokens': 347}
{'loss': 3411.30078125, 'grad_norm_square': 653195672515.4487, 'tokens': 281}
{'loss': 3010.897705078125, 'grad_norm_square': 652324954954.8762, 'tokens': 299}
{'loss': 3525.879638671875, 'grad_norm_square': 883307319634.6439, 'tokens': 305}
{'loss': 3735.12548828125, 'grad_norm_square': 760216058907.1079, 'tokens': 304}
{'loss': 2754.380615234375, 'grad_norm_square': 864818282050.6274, 'tokens': 289}
{'loss': 3721.20263671875, 'grad_norm_square': 1773218913826.4324, 'tokens': 381}
{'loss': 3765.16943359375, 'grad_norm_square': 1629742728799.146, 'tokens': 395}
{'loss': 2631.091552734375, 'grad_norm_square': 250039250250.7587, 'tokens': 267}
{'loss': 3029.6162109375, 'grad_norm_square': 249943038201.8183, 'tokens': 299}
{'loss': 3670.37158203125, 'grad_norm_square': 596753026023.9938, 'tokens': 407}
{'loss': 3424.19384765625, 'grad_norm_square': 1080920434164.8245, 'tokens': 347}
{'loss': 2311.103759765625, 'grad_norm_square': 315863862687.0991, 'tokens': 248}
{'loss': 2864.95751953125, 'grad_norm_square': 294474584998.03503, 'tokens': 309}
{'loss': 2887.454833984375, 'grad_norm_square': 412876211918.5911, 'tokens': 335}
{'loss': 3579.4228515625, 'grad_norm_square': 845341332667.2628, 'tokens': 420}
{'loss': 2587.800048828125, 'grad_norm_square': 193977447025.49738, 'tokens': 293}
{'loss': 2135.83544921875, 'grad_norm_square': 131699239738.51636, 'tokens': 251}
{'loss': 3092.130859375, 'grad_norm_square': 261039266092.8656, 'tokens': 348}
{'loss': 2945.98828125, 'grad_norm_square': 294598408846.4802, 'tokens': 336}
{'loss': 2546.187255859375, 'grad_norm_square': 174094609294.16702, 'tokens': 334}
{'loss': 2184.0009765625, 'grad_norm_square': 167953692424.71335, 'tokens': 312}
{'loss': 2830.1220703125, 'grad_norm_square': 178080357373.71875, 'tokens': 332}
{'loss': 2105.07373046875, 'grad_norm_square': 93384850024.363, 'tokens': 272}
{'loss': 1912.517333984375, 'grad_norm_square': 64537107183.47253, 'tokens': 258}
{'loss': 2343.40771484375, 'grad_norm_square': 112210941971.0723, 'tokens': 314}
{'loss': 1672.61767578125, 'grad_norm_square': 98789635200.73404, 'tokens': 261}
{'loss': 2341.2705078125, 'grad_norm_square': 127051414667.17465, 'tokens': 291}
{'loss': 3027.636962890625, 'grad_norm_square': 202809253286.95352, 'tokens': 383}
{'loss': 2623.5830078125, 'grad_norm_square': 95149381219.93712, 'tokens': 323}
{'loss': 2467.389404296875, 'grad_norm_square': 136063112960.29884, 'tokens': 350}
{'loss': 2338.44970703125, 'grad_norm_square': 135282726446.00311, 'tokens': 358}
{'loss': 1739.741943359375, 'grad_norm_square': 40964123922.68861, 'tokens': 240}
{'loss': 2052.743896484375, 'grad_norm_square': 94737576569.50902, 'tokens': 256}
{'loss': 2182.67138671875, 'grad_norm_square': 73321075568.85428, 'tokens': 314}
{'loss': 1855.42431640625, 'grad_norm_square': 75919760922.5055, 'tokens': 249}
{'loss': 2555.46875, 'grad_norm_square': 87925915955.68571, 'tokens': 352}
{'loss': 2531.09423828125, 'grad_norm_square': 141606283237.1272, 'tokens': 330}
{'loss': 2016.160400390625, 'grad_norm_square': 72727236014.90997, 'tokens': 243}
{'loss': 1851.835693359375, 'grad_norm_square': 596322152624.1774, 'tokens': 292}
{'loss': 2277.31689453125, 'grad_norm_square': 89261711770.27303, 'tokens': 293}
{'loss': 2178.115478515625, 'grad_norm_square': 156085837490.2503, 'tokens': 327}
{'loss': 2148.121337890625, 'grad_norm_square': 128066631531.22502, 'tokens': 310}
{'loss': 1870.6962890625, 'grad_norm_square': 92739510448.81767, 'tokens': 254}
{'loss': 2892.0078125, 'grad_norm_square': 192582582418.0819, 'tokens': 433}
{'loss': 2692.556396484375, 'grad_norm_square': 298168493950.0222, 'tokens': 352}
{'loss': 1500.38623046875, 'grad_norm_square': 38732982705.88975, 'tokens': 206}
{'loss': 1871.068115234375, 'grad_norm_square': 122484859611.41672, 'tokens': 243}
{'loss': 2196.4130859375, 'grad_norm_square': 133299580871.76561, 'tokens': 312}
{'loss': 3105.36376953125, 'grad_norm_square': 199614786866.43585, 'tokens': 374}
{'loss': 2071.5849609375, 'grad_norm_square': 241938437783.41867, 'tokens': 279}
{'loss': 2054.9208984375, 'grad_norm_square': 304830929693.11725, 'tokens': 286}
{'loss': 1894.068359375, 'grad_norm_square': 141343798937.9707, 'tokens': 288}
{'loss': 1989.7205810546875, 'grad_norm_square': 129811320892.25197, 'tokens': 270}
{'loss': 2074.500732421875, 'grad_norm_square': 159237663282.19403, 'tokens': 309}
{'loss': 2149.56591796875, 'grad_norm_square': 294456927571.12695, 'tokens': 319}
{'loss': 1463.903564453125, 'grad_norm_square': 78803154398.30426, 'tokens': 210}
{'loss': 2185.12060546875, 'grad_norm_square': 137423179862.11142, 'tokens': 347}
