{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.0, 'grad_norm_square': 2755584000.0, 'tokens': 319}
{'loss': 336.0, 'grad_norm_square': 837802120.0, 'tokens': 252}
{'loss': 300.0, 'grad_norm_square': 7263421840.0, 'tokens': 311}
{'loss': 306.0, 'grad_norm_square': 792742432.0, 'tokens': 308}
{'loss': 480.0, 'grad_norm_square': 2473133568.0, 'tokens': 335}
{'loss': 608.0, 'grad_norm_square': 1418559104.0, 'tokens': 434}
{'loss': 378.0, 'grad_norm_square': 2221462784.0, 'tokens': 378}
{'loss': 344.0, 'grad_norm_square': 1381038208.0, 'tokens': 299}
{'loss': 410.0, 'grad_norm_square': 1279618048.0, 'tokens': 377}
{'loss': 354.0, 'grad_norm_square': 992678912.0, 'tokens': 294}
{'loss': 294.0, 'grad_norm_square': 980868736.0, 'tokens': 315}
{'loss': 314.0, 'grad_norm_square': 1072890880.0, 'tokens': 328}
{'loss': 390.0, 'grad_norm_square': 1200761344.0, 'tokens': 394}
{'loss': 306.0, 'grad_norm_square': 1933198336.0, 'tokens': 291}
{'loss': 278.0, 'grad_norm_square': 650753792.0, 'tokens': 274}
{'loss': 374.0, 'grad_norm_square': 1599454208.0, 'tokens': 342}
{'loss': 338.0, 'grad_norm_square': 3959602944.0, 'tokens': 441}
{'loss': 364.0, 'grad_norm_square': 1063082752.0, 'tokens': 360}
{'loss': 350.0, 'grad_norm_square': 696621696.0, 'tokens': 306}
{'loss': 288.0, 'grad_norm_square': 508670144.0, 'tokens': 343}
{'loss': 212.0, 'grad_norm_square': 715795584.0, 'tokens': 230}
{'loss': 466.0, 'grad_norm_square': 3598361600.0, 'tokens': 438}
{'loss': 320.0, 'grad_norm_square': 577599232.0, 'tokens': 330}
{'loss': 494.0, 'grad_norm_square': 1653406208.0, 'tokens': 488}
{'loss': 320.0, 'grad_norm_square': 1215744640.0, 'tokens': 343}
{'loss': 428.0, 'grad_norm_square': 1192960512.0, 'tokens': 360}
{'loss': 308.0, 'grad_norm_square': 1648498944.0, 'tokens': 227}
{'loss': 462.0, 'grad_norm_square': 1469221376.0, 'tokens': 400}
{'loss': 310.0, 'grad_norm_square': 737703552.0, 'tokens': 389}
{'loss': 362.0, 'grad_norm_square': 795195520.0, 'tokens': 347}
{'loss': 322.0, 'grad_norm_square': 607276288.0, 'tokens': 281}
{'loss': 239.0, 'grad_norm_square': 583958784.0, 'tokens': 299}
{'loss': 338.0, 'grad_norm_square': 857503104.0, 'tokens': 305}
{'loss': 426.0, 'grad_norm_square': 975693824.0, 'tokens': 304}
{'loss': 213.0, 'grad_norm_square': 598627200.0, 'tokens': 289}
{'loss': 466.0, 'grad_norm_square': 986313472.0, 'tokens': 381}
{'loss': 346.0, 'grad_norm_square': 1212217600.0, 'tokens': 395}
{'loss': 268.0, 'grad_norm_square': 456326016.0, 'tokens': 267}
{'loss': 392.0, 'grad_norm_square': 984729088.0, 'tokens': 299}
{'loss': 422.0, 'grad_norm_square': 2136306688.0, 'tokens': 407}
{'loss': 360.0, 'grad_norm_square': 1025393920.0, 'tokens': 347}
{'loss': 226.0, 'grad_norm_square': 549425408.0, 'tokens': 248}
{'loss': 418.0, 'grad_norm_square': 1097049088.0, 'tokens': 309}
