{'model_params': 2506172416, 'peft_params': 10515456}
{'loss': 466.0, 'grad_norm_square': 8745765.21875, 'tokens': 319}
{'loss': 414.0, 'grad_norm_square': 7996143.489418745, 'tokens': 252}
{'loss': 366.0, 'grad_norm_square': 11882399.04529953, 'tokens': 311}
{'loss': 392.0, 'grad_norm_square': 5794502.019672394, 'tokens': 308}
{'loss': 560.0, 'grad_norm_square': 7174099.101799011, 'tokens': 335}
{'loss': 656.0, 'grad_norm_square': 5507830.903213501, 'tokens': 434}
{'loss': 418.0, 'grad_norm_square': 4795409.45565033, 'tokens': 378}
{'loss': 398.0, 'grad_norm_square': 3352469.694829941, 'tokens': 299}
{'loss': 440.0, 'grad_norm_square': 4794153.202610016, 'tokens': 377}
{'loss': 424.0, 'grad_norm_square': 3812577.4741973877, 'tokens': 294}
{'loss': 340.0, 'grad_norm_square': 3243319.2146873474, 'tokens': 315}
{'loss': 364.0, 'grad_norm_square': 3576006.827732086, 'tokens': 328}
{'loss': 430.0, 'grad_norm_square': 3910070.7407455444, 'tokens': 394}
{'loss': 340.0, 'grad_norm_square': 4268479.462249756, 'tokens': 291}
{'loss': 338.0, 'grad_norm_square': 2777973.6400642395, 'tokens': 274}
{'loss': 426.0, 'grad_norm_square': 4859245.018196106, 'tokens': 342}
{'loss': 342.0, 'grad_norm_square': 2775225.7636528015, 'tokens': 441}
{'loss': 442.0, 'grad_norm_square': 3991386.0646972656, 'tokens': 360}
{'loss': 384.0, 'grad_norm_square': 3474403.081138611, 'tokens': 306}
{'loss': 312.0, 'grad_norm_square': 2166458.8556022644, 'tokens': 343}
{'loss': 268.0, 'grad_norm_square': 2220574.025856018, 'tokens': 230}
{'loss': 478.0, 'grad_norm_square': 7342963.052978516, 'tokens': 438}
{'loss': 362.0, 'grad_norm_square': 3226109.385910034, 'tokens': 330}
{'loss': 540.0, 'grad_norm_square': 7217957.612289429, 'tokens': 488}
{'loss': 340.0, 'grad_norm_square': 3110616.309829712, 'tokens': 343}
{'loss': 436.0, 'grad_norm_square': 3786124.9717712402, 'tokens': 360}
{'loss': 282.0, 'grad_norm_square': 2675630.594039917, 'tokens': 227}
{'loss': 474.0, 'grad_norm_square': 4293557.446151733, 'tokens': 400}
{'loss': 324.0, 'grad_norm_square': 2854164.766281128, 'tokens': 389}
{'loss': 390.0, 'grad_norm_square': 3335830.4270401, 'tokens': 347}
{'loss': 334.0, 'grad_norm_square': 2545919.898540497, 'tokens': 281}
{'loss': 243.0, 'grad_norm_square': 1906467.3143844604, 'tokens': 299}
{'loss': 362.0, 'grad_norm_square': 2825190.655593872, 'tokens': 305}
{'loss': 434.0, 'grad_norm_square': 3788602.8099823, 'tokens': 304}
{'loss': 235.0, 'grad_norm_square': 2096739.3099365234, 'tokens': 289}
{'loss': 486.0, 'grad_norm_square': 4126003.2947540283, 'tokens': 381}
{'loss': 358.0, 'grad_norm_square': 3448520.4205474854, 'tokens': 395}
{'loss': 276.0, 'grad_norm_square': 2166692.073574066, 'tokens': 267}
{'loss': 396.0, 'grad_norm_square': 3130450.248916626, 'tokens': 299}
{'loss': 428.0, 'grad_norm_square': 5000263.018707275, 'tokens': 407}
{'loss': 376.0, 'grad_norm_square': 3634844.473953247, 'tokens': 347}
{'loss': 236.0, 'grad_norm_square': 1935467.1875991821, 'tokens': 248}
