{'model_params': 2506172416, 'peft_params': 8717296}
{'loss': 466.0, 'grad_norm_square': 10752.0, 'tokens': 319}
{'loss': 362.0, 'grad_norm_square': 8512.0, 'tokens': 252}
{'loss': 302.0, 'grad_norm_square': 11712.0, 'tokens': 311}
{'loss': 328.0, 'grad_norm_square': 11712.0, 'tokens': 308}
{'loss': 498.0, 'grad_norm_square': 12608.0, 'tokens': 335}
{'loss': 620.0, 'grad_norm_square': 11648.0, 'tokens': 434}
{'loss': 376.0, 'grad_norm_square': 10560.0, 'tokens': 378}
{'loss': 338.0, 'grad_norm_square': 8768.0, 'tokens': 299}
{'loss': 388.0, 'grad_norm_square': 10944.0, 'tokens': 377}
{'loss': 360.0, 'grad_norm_square': 7616.0, 'tokens': 294}
{'loss': 286.0, 'grad_norm_square': 10496.0, 'tokens': 315}
{'loss': 298.0, 'grad_norm_square': 11328.0, 'tokens': 328}
{'loss': 370.0, 'grad_norm_square': 11904.0, 'tokens': 394}
{'loss': 290.0, 'grad_norm_square': 8768.0, 'tokens': 291}
{'loss': 274.0, 'grad_norm_square': 10432.0, 'tokens': 274}
{'loss': 364.0, 'grad_norm_square': 10688.0, 'tokens': 342}
{'loss': 304.0, 'grad_norm_square': 9472.0, 'tokens': 441}
{'loss': 354.0, 'grad_norm_square': 7936.0, 'tokens': 360}
{'loss': 328.0, 'grad_norm_square': 7424.0, 'tokens': 306}
{'loss': 278.0, 'grad_norm_square': 6400.0, 'tokens': 343}
{'loss': 203.0, 'grad_norm_square': 5600.0, 'tokens': 230}
{'loss': 414.0, 'grad_norm_square': 10304.0, 'tokens': 438}
{'loss': 308.0, 'grad_norm_square': 5792.0, 'tokens': 330}
{'loss': 476.0, 'grad_norm_square': 8704.0, 'tokens': 488}
{'loss': 300.0, 'grad_norm_square': 9216.0, 'tokens': 343}
{'loss': 412.0, 'grad_norm_square': 13184.0, 'tokens': 360}
{'loss': 245.0, 'grad_norm_square': 7680.0, 'tokens': 227}
{'loss': 450.0, 'grad_norm_square': 8000.0, 'tokens': 400}
{'loss': 294.0, 'grad_norm_square': 7264.0, 'tokens': 389}
