{'model_params': 2506172416, 'peft_params': 19611648}
{'loss': 466.21319580078125, 'grad_norm_square': 203311104.0, 'tokens': 319}
{'loss': 365.0917663574219, 'grad_norm_square': 87406344.0, 'tokens': 252}
{'loss': 298.0539245605469, 'grad_norm_square': 76258314.0, 'tokens': 311}
{'loss': 324.4996032714844, 'grad_norm_square': 78478203.0, 'tokens': 308}
{'loss': 491.4613342285156, 'grad_norm_square': 187916604.0, 'tokens': 335}
{'loss': 623.002197265625, 'grad_norm_square': 142757198.0, 'tokens': 434}
{'loss': 380.49334716796875, 'grad_norm_square': 118706644.0, 'tokens': 378}
{'loss': 339.36492919921875, 'grad_norm_square': 70544452.0, 'tokens': 299}
{'loss': 388.5255432128906, 'grad_norm_square': 106203716.0, 'tokens': 377}
{'loss': 358.7485656738281, 'grad_norm_square': 87726452.0, 'tokens': 294}
{'loss': 285.04901123046875, 'grad_norm_square': 69074612.0, 'tokens': 315}
{'loss': 292.019287109375, 'grad_norm_square': 57454816.0, 'tokens': 328}
{'loss': 372.754150390625, 'grad_norm_square': 91276920.0, 'tokens': 394}
{'loss': 289.49359130859375, 'grad_norm_square': 81043776.0, 'tokens': 291}
{'loss': 268.8721008300781, 'grad_norm_square': 54673708.0, 'tokens': 274}
{'loss': 368.1214599609375, 'grad_norm_square': 124407968.0, 'tokens': 342}
{'loss': 298.3125, 'grad_norm_square': 74469448.0, 'tokens': 441}
{'loss': 359.30975341796875, 'grad_norm_square': 111824048.0, 'tokens': 360}
{'loss': 328.400146484375, 'grad_norm_square': 61224716.0, 'tokens': 306}
{'loss': 272.40936279296875, 'grad_norm_square': 40471432.0, 'tokens': 343}
{'loss': 200.52862548828125, 'grad_norm_square': 33208528.0, 'tokens': 230}
{'loss': 414.8575439453125, 'grad_norm_square': 157633040.0, 'tokens': 438}
{'loss': 307.989990234375, 'grad_norm_square': 52923388.0, 'tokens': 330}
{'loss': 478.2126159667969, 'grad_norm_square': 109910928.0, 'tokens': 488}
{'loss': 299.08551025390625, 'grad_norm_square': 47157496.0, 'tokens': 343}
{'loss': 401.07977294921875, 'grad_norm_square': 85012832.0, 'tokens': 360}
{'loss': 247.1442108154297, 'grad_norm_square': 53593164.0, 'tokens': 227}
{'loss': 458.55242919921875, 'grad_norm_square': 100453632.0, 'tokens': 400}
{'loss': 300.34014892578125, 'grad_norm_square': 62613576.0, 'tokens': 389}
{'loss': 350.4185791015625, 'grad_norm_square': 65668584.0, 'tokens': 347}
{'loss': 308.0653991699219, 'grad_norm_square': 51448356.0, 'tokens': 281}
