{'model_params': 2506172416, 'peft_params': 10515456}
{'loss': 466.0, 'grad_norm_square': 5672997.21875, 'tokens': 319}
{'loss': 430.0, 'grad_norm_square': 7026920.246582031, 'tokens': 252}
{'loss': 390.0, 'grad_norm_square': 13731352.236328125, 'tokens': 311}
{'loss': 426.0, 'grad_norm_square': 6277380.52734375, 'tokens': 308}
{'loss': 604.0, 'grad_norm_square': 7604118.37890625, 'tokens': 335}
{'loss': 692.0, 'grad_norm_square': 5545327.109375, 'tokens': 434}
{'loss': 458.0, 'grad_norm_square': 5151893.046875, 'tokens': 378}
{'loss': 452.0, 'grad_norm_square': 4065080.4296875, 'tokens': 299}
{'loss': 512.0, 'grad_norm_square': 25262563.3125, 'tokens': 377}
{'loss': 476.0, 'grad_norm_square': 5466572.34375, 'tokens': 294}
{'loss': 408.0, 'grad_norm_square': 5830893.625, 'tokens': 315}
{'loss': 430.0, 'grad_norm_square': 5875848.9375, 'tokens': 328}
{'loss': 486.0, 'grad_norm_square': 4227354.4375, 'tokens': 394}
{'loss': 426.0, 'grad_norm_square': 18648185.171875, 'tokens': 291}
{'loss': 396.0, 'grad_norm_square': 4958709.21875, 'tokens': 274}
{'loss': 480.0, 'grad_norm_square': 5205256.015625, 'tokens': 342}
{'loss': 398.0, 'grad_norm_square': 4435721.15625, 'tokens': 441}
{'loss': 500.0, 'grad_norm_square': 4068335.875, 'tokens': 360}
{'loss': 434.0, 'grad_norm_square': 4022885.21875, 'tokens': 306}
{'loss': 368.0, 'grad_norm_square': 4421133.375, 'tokens': 343}
{'loss': 326.0, 'grad_norm_square': 3601866.1875, 'tokens': 230}
{'loss': 536.0, 'grad_norm_square': 7334732.25, 'tokens': 438}
{'loss': 414.0, 'grad_norm_square': 4291312.78125, 'tokens': 330}
{'loss': 592.0, 'grad_norm_square': 7850199.46875, 'tokens': 488}
{'loss': 396.0, 'grad_norm_square': 6276329.703125, 'tokens': 343}
{'loss': 480.0, 'grad_norm_square': 4252323.609375, 'tokens': 360}
{'loss': 332.0, 'grad_norm_square': 3241419.4375, 'tokens': 227}
{'loss': 520.0, 'grad_norm_square': 4297412.625, 'tokens': 400}
{'loss': 374.0, 'grad_norm_square': 3093618.484375, 'tokens': 389}
{'loss': 440.0, 'grad_norm_square': 3388123.75, 'tokens': 347}
{'loss': 378.0, 'grad_norm_square': 2557978.703125, 'tokens': 281}
{'loss': 300.0, 'grad_norm_square': 2668711.3359375, 'tokens': 299}
{'loss': 414.0, 'grad_norm_square': 3389607.671875, 'tokens': 305}
{'loss': 478.0, 'grad_norm_square': 4639855.53125, 'tokens': 304}
{'loss': 282.0, 'grad_norm_square': 2257950.1796875, 'tokens': 289}
{'loss': 540.0, 'grad_norm_square': 5012196.578125, 'tokens': 381}
{'loss': 410.0, 'grad_norm_square': 3475431.984375, 'tokens': 395}
{'loss': 326.0, 'grad_norm_square': 2581211.28125, 'tokens': 267}
{'loss': 446.0, 'grad_norm_square': 3382899.875, 'tokens': 299}
{'loss': 480.0, 'grad_norm_square': 6061330.859375, 'tokens': 407}
{'loss': 430.0, 'grad_norm_square': 4435077.234375, 'tokens': 347}
{'loss': 282.0, 'grad_norm_square': 2231164.03125, 'tokens': 248}
{'loss': 452.0, 'grad_norm_square': 4463407.796875, 'tokens': 309}
{'loss': 408.0, 'grad_norm_square': 3306838.84375, 'tokens': 335}
{'loss': 448.0, 'grad_norm_square': 6882368.15625, 'tokens': 420}
{'loss': 352.0, 'grad_norm_square': 3831642.390625, 'tokens': 293}
{'loss': 326.0, 'grad_norm_square': 3287284.5078125, 'tokens': 251}
{'loss': 414.0, 'grad_norm_square': 3575111.578125, 'tokens': 348}
{'loss': 506.0, 'grad_norm_square': 3766612.9375, 'tokens': 336}
{'loss': 406.0, 'grad_norm_square': 3989890.859375, 'tokens': 334}
{'loss': 328.0, 'grad_norm_square': 3157160.953125, 'tokens': 312}
{'loss': 486.0, 'grad_norm_square': 3898273.625, 'tokens': 332}
{'loss': 308.0, 'grad_norm_square': 2654395.265625, 'tokens': 272}
{'loss': 249.0, 'grad_norm_square': 3090088.046875, 'tokens': 258}
{'loss': 444.0, 'grad_norm_square': 4013195.921875, 'tokens': 314}
{'loss': 258.0, 'grad_norm_square': 1961243.34375, 'tokens': 261}
{'loss': 352.0, 'grad_norm_square': 5059152.6953125, 'tokens': 291}
{'loss': 502.0, 'grad_norm_square': 5421810.515625, 'tokens': 383}
{'loss': 448.0, 'grad_norm_square': 4686282.0625, 'tokens': 323}
{'loss': 406.0, 'grad_norm_square': 4398557.28125, 'tokens': 350}
{'loss': 320.0, 'grad_norm_square': 3328252.671875, 'tokens': 358}
{'loss': 316.0, 'grad_norm_square': 2834542.03125, 'tokens': 240}
{'loss': 272.0, 'grad_norm_square': 2540093.5234375, 'tokens': 256}
{'loss': 350.0, 'grad_norm_square': 3563342.53125, 'tokens': 314}
{'loss': 272.0, 'grad_norm_square': 2827818.40625, 'tokens': 249}
{'loss': 406.0, 'grad_norm_square': 5525610.625, 'tokens': 352}
{'loss': 416.0, 'grad_norm_square': 6474845.0390625, 'tokens': 330}
{'loss': 300.0, 'grad_norm_square': 2928807.859375, 'tokens': 243}
{'loss': 322.0, 'grad_norm_square': 5154622.53125, 'tokens': 292}
{'loss': 356.0, 'grad_norm_square': 4268795.859375, 'tokens': 293}
{'loss': 356.0, 'grad_norm_square': 4792878.1875, 'tokens': 327}
{'loss': 368.0, 'grad_norm_square': 5335332.453125, 'tokens': 310}
{'loss': 336.0, 'grad_norm_square': 5181950.78125, 'tokens': 254}
{'loss': 480.0, 'grad_norm_square': 6653801.1875, 'tokens': 433}
{'loss': 422.0, 'grad_norm_square': 3746571.078125, 'tokens': 352}
{'loss': 244.0, 'grad_norm_square': 2454647.7109375, 'tokens': 206}
{'loss': 322.0, 'grad_norm_square': 4228484.25, 'tokens': 243}
{'loss': 336.0, 'grad_norm_square': 4690665.484375, 'tokens': 312}
{'loss': 462.0, 'grad_norm_square': 7173254.171875, 'tokens': 374}
{'loss': 338.0, 'grad_norm_square': 4757308.46875, 'tokens': 279}
{'loss': 237.0, 'grad_norm_square': 3131091.515625, 'tokens': 286}
{'loss': 260.0, 'grad_norm_square': 4215479.640625, 'tokens': 288}
{'loss': 290.0, 'grad_norm_square': 2899266.0, 'tokens': 270}
{'loss': 344.0, 'grad_norm_square': 2980513.15625, 'tokens': 309}
{'loss': 336.0, 'grad_norm_square': 4882481.640625, 'tokens': 319}
{'loss': 222.0, 'grad_norm_square': 2456573.0, 'tokens': 210}
{'loss': 300.0, 'grad_norm_square': 4046795.0546875, 'tokens': 347}
{'loss': 266.0, 'grad_norm_square': 4086472.34375, 'tokens': 336}
{'loss': 382.0, 'grad_norm_square': 6216506.03125, 'tokens': 375}
{'loss': 236.0, 'grad_norm_square': 4084855.0, 'tokens': 237}
{'loss': 532.0, 'grad_norm_square': 6830706.65625, 'tokens': 464}
