{'model_params': 2506172416, 'peft_params': 10515456}
{'loss': 464.0, 'grad_norm_square': 136269824.0, 'tokens': 319}
{'loss': 342.0, 'grad_norm_square': 58690990.5, 'tokens': 252}
{'loss': 346.0, 'grad_norm_square': 6515425646.0, 'tokens': 311}
{'loss': 326.0, 'grad_norm_square': 88941524.0, 'tokens': 308}
{'loss': 502.0, 'grad_norm_square': 233503280.0, 'tokens': 335}
{'loss': 628.0, 'grad_norm_square': 1153668464.0, 'tokens': 434}
{'loss': 406.0, 'grad_norm_square': 182456296.0, 'tokens': 378}
{'loss': 424.0, 'grad_norm_square': 138254312.0, 'tokens': 299}
{'loss': 428.0, 'grad_norm_square': 54421064.0, 'tokens': 377}
{'loss': 410.0, 'grad_norm_square': 151213424.0, 'tokens': 294}
{'loss': 316.0, 'grad_norm_square': 52888112.0, 'tokens': 315}
{'loss': 344.0, 'grad_norm_square': 137371800.0, 'tokens': 328}
{'loss': 418.0, 'grad_norm_square': 74501728.0, 'tokens': 394}
{'loss': 324.0, 'grad_norm_square': 81016784.0, 'tokens': 291}
{'loss': 288.0, 'grad_norm_square': 95559664.0, 'tokens': 274}
{'loss': 376.0, 'grad_norm_square': 64104728.0, 'tokens': 342}
{'loss': 334.0, 'grad_norm_square': 159964468.0, 'tokens': 441}
{'loss': 384.0, 'grad_norm_square': 65802672.0, 'tokens': 360}
{'loss': 364.0, 'grad_norm_square': 43644296.0, 'tokens': 306}
{'loss': 306.0, 'grad_norm_square': 30779160.0, 'tokens': 343}
{'loss': 223.0, 'grad_norm_square': 120912504.0, 'tokens': 230}
{'loss': 494.0, 'grad_norm_square': 226029328.0, 'tokens': 438}
{'loss': 332.0, 'grad_norm_square': 31322648.0, 'tokens': 330}
{'loss': 520.0, 'grad_norm_square': 233418704.0, 'tokens': 488}
{'loss': 340.0, 'grad_norm_square': 121433472.0, 'tokens': 343}
{'loss': 436.0, 'grad_norm_square': 85729296.0, 'tokens': 360}
{'loss': 290.0, 'grad_norm_square': 35215472.0, 'tokens': 227}
{'loss': 496.0, 'grad_norm_square': 492707168.0, 'tokens': 400}
{'loss': 336.0, 'grad_norm_square': 59827144.0, 'tokens': 389}
{'loss': 402.0, 'grad_norm_square': 569726464.0, 'tokens': 347}
{'loss': 354.0, 'grad_norm_square': 165576656.0, 'tokens': 281}
{'loss': 258.0, 'grad_norm_square': 96115040.0, 'tokens': 299}
{'loss': 354.0, 'grad_norm_square': 328189264.0, 'tokens': 305}
{'loss': 504.0, 'grad_norm_square': 505242096.0, 'tokens': 304}
{'loss': 223.0, 'grad_norm_square': 34827400.0, 'tokens': 289}
{'loss': 500.0, 'grad_norm_square': 62493024.0, 'tokens': 381}
{'loss': 388.0, 'grad_norm_square': 146350816.0, 'tokens': 395}
{'loss': 286.0, 'grad_norm_square': 98477864.0, 'tokens': 267}
{'loss': 414.0, 'grad_norm_square': 110482672.0, 'tokens': 299}
{'loss': 448.0, 'grad_norm_square': 72848864.0, 'tokens': 407}
{'loss': 418.0, 'grad_norm_square': 229650640.0, 'tokens': 347}
{'loss': 244.0, 'grad_norm_square': 57306976.0, 'tokens': 248}
{'loss': 428.0, 'grad_norm_square': 116282080.0, 'tokens': 309}
{'loss': 366.0, 'grad_norm_square': 85278592.0, 'tokens': 335}
{'loss': 424.0, 'grad_norm_square': 72455792.0, 'tokens': 420}
{'loss': 330.0, 'grad_norm_square': 73522256.0, 'tokens': 293}
{'loss': 282.0, 'grad_norm_square': 42725848.0, 'tokens': 251}
{'loss': 432.0, 'grad_norm_square': 77131600.0, 'tokens': 348}
{'loss': 496.0, 'grad_norm_square': 122613536.0, 'tokens': 336}
{'loss': 380.0, 'grad_norm_square': 47798120.0, 'tokens': 334}
{'loss': 326.0, 'grad_norm_square': 98255392.0, 'tokens': 312}
{'loss': 444.0, 'grad_norm_square': 124108984.0, 'tokens': 332}
{'loss': 268.0, 'grad_norm_square': 42415880.0, 'tokens': 272}
{'loss': 231.0, 'grad_norm_square': 88101112.0, 'tokens': 258}
{'loss': 434.0, 'grad_norm_square': 47451760.0, 'tokens': 314}
{'loss': 266.0, 'grad_norm_square': 41112720.0, 'tokens': 261}
{'loss': 342.0, 'grad_norm_square': 53204544.0, 'tokens': 291}
{'loss': 510.0, 'grad_norm_square': 165814768.0, 'tokens': 383}
{'loss': 424.0, 'grad_norm_square': 54277120.0, 'tokens': 323}
{'loss': 374.0, 'grad_norm_square': 50734616.0, 'tokens': 350}
{'loss': 320.0, 'grad_norm_square': 38205840.0, 'tokens': 358}
{'loss': 318.0, 'grad_norm_square': 37274232.0, 'tokens': 240}
{'loss': 278.0, 'grad_norm_square': 66319656.0, 'tokens': 256}
{'loss': 362.0, 'grad_norm_square': 119027504.0, 'tokens': 314}
{'loss': 270.0, 'grad_norm_square': 87597664.0, 'tokens': 249}
{'loss': 420.0, 'grad_norm_square': 80372400.0, 'tokens': 352}
{'loss': 402.0, 'grad_norm_square': 94171728.0, 'tokens': 330}
{'loss': 314.0, 'grad_norm_square': 104954592.0, 'tokens': 243}
{'loss': 302.0, 'grad_norm_square': 1605271984.0, 'tokens': 292}
{'loss': 372.0, 'grad_norm_square': 78651456.0, 'tokens': 293}
{'loss': 358.0, 'grad_norm_square': 73856752.0, 'tokens': 327}
{'loss': 384.0, 'grad_norm_square': 29344848.0, 'tokens': 310}
{'loss': 296.0, 'grad_norm_square': 46107504.0, 'tokens': 254}
{'loss': 502.0, 'grad_norm_square': 167600320.0, 'tokens': 433}
{'loss': 478.0, 'grad_norm_square': 203296240.0, 'tokens': 352}
{'loss': 229.0, 'grad_norm_square': 55808344.0, 'tokens': 206}
{'loss': 332.0, 'grad_norm_square': 93064144.0, 'tokens': 243}
{'loss': 372.0, 'grad_norm_square': 106736032.0, 'tokens': 312}
{'loss': 500.0, 'grad_norm_square': 97450368.0, 'tokens': 374}
{'loss': 372.0, 'grad_norm_square': 89521504.0, 'tokens': 279}
{'loss': 258.0, 'grad_norm_square': 57983152.0, 'tokens': 286}
{'loss': 352.0, 'grad_norm_square': 2649701824.0, 'tokens': 288}
{'loss': 288.0, 'grad_norm_square': 39607728.0, 'tokens': 270}
{'loss': 362.0, 'grad_norm_square': 42499504.0, 'tokens': 309}
{'loss': 380.0, 'grad_norm_square': 189628128.0, 'tokens': 319}
{'loss': 246.0, 'grad_norm_square': 43949904.0, 'tokens': 210}
{'loss': 396.0, 'grad_norm_square': 103328096.0, 'tokens': 347}
{'loss': 302.0, 'grad_norm_square': 45553872.0, 'tokens': 336}
{'loss': 478.0, 'grad_norm_square': 152771040.0, 'tokens': 375}
{'loss': 241.0, 'grad_norm_square': 37126376.0, 'tokens': 237}
{'loss': 636.0, 'grad_norm_square': 151756080.0, 'tokens': 464}
{'loss': 350.0, 'grad_norm_square': 55682944.0, 'tokens': 354}
{'loss': 368.0, 'grad_norm_square': 83046960.0, 'tokens': 300}
{'loss': 364.0, 'grad_norm_square': 107274784.0, 'tokens': 419}
{'loss': 370.0, 'grad_norm_square': 91020864.0, 'tokens': 338}
{'loss': 368.0, 'grad_norm_square': 133045680.0, 'tokens': 314}
{'loss': 484.0, 'grad_norm_square': 264627376.0, 'tokens': 334}
{'loss': 396.0, 'grad_norm_square': 121370304.0, 'tokens': 354}
{'loss': 572.0, 'grad_norm_square': 277796960.0, 'tokens': 389}
{'loss': 304.0, 'grad_norm_square': 26583424.0, 'tokens': 348}
{'loss': 414.0, 'grad_norm_square': 116597376.0, 'tokens': 431}
{'loss': 294.0, 'grad_norm_square': 115156544.0, 'tokens': 254}
{'loss': 400.0, 'grad_norm_square': 167521376.0, 'tokens': 408}
{'loss': 410.0, 'grad_norm_square': 111236480.0, 'tokens': 378}
{'loss': 346.0, 'grad_norm_square': 85061904.0, 'tokens': 412}
{'loss': 390.0, 'grad_norm_square': 44950704.0, 'tokens': 319}
{'loss': 446.0, 'grad_norm_square': 146640864.0, 'tokens': 389}
{'loss': 500.0, 'grad_norm_square': 102980288.0, 'tokens': 379}
{'loss': 223.0, 'grad_norm_square': 61013648.0, 'tokens': 230}
{'loss': 294.0, 'grad_norm_square': 114591136.0, 'tokens': 328}
{'loss': 314.0, 'grad_norm_square': 42743456.0, 'tokens': 279}
{'loss': 310.0, 'grad_norm_square': 60874416.0, 'tokens': 289}
{'loss': 386.0, 'grad_norm_square': 85357024.0, 'tokens': 406}
{'loss': 332.0, 'grad_norm_square': 53855392.0, 'tokens': 284}
{'loss': 414.0, 'grad_norm_square': 246353728.0, 'tokens': 300}
{'loss': 324.0, 'grad_norm_square': 102242800.0, 'tokens': 263}
{'loss': 380.0, 'grad_norm_square': 61942816.0, 'tokens': 315}
{'loss': 372.0, 'grad_norm_square': 160059712.0, 'tokens': 289}
