{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.0, 'grad_norm_square': 9221648.0, 'tokens': 319}
{'loss': 430.0, 'grad_norm_square': 11615478.806152344, 'tokens': 252}
{'loss': 388.0, 'grad_norm_square': 20925392.719726562, 'tokens': 311}
{'loss': 424.0, 'grad_norm_square': 9672281.11328125, 'tokens': 308}
{'loss': 604.0, 'grad_norm_square': 11631621.7109375, 'tokens': 335}
{'loss': 692.0, 'grad_norm_square': 9648661.5078125, 'tokens': 434}
{'loss': 458.0, 'grad_norm_square': 8745963.46484375, 'tokens': 378}
{'loss': 448.0, 'grad_norm_square': 7462302.8984375, 'tokens': 299}
{'loss': 508.0, 'grad_norm_square': 33053615.53125, 'tokens': 377}
{'loss': 470.0, 'grad_norm_square': 8487589.03125, 'tokens': 294}
{'loss': 400.0, 'grad_norm_square': 9186712.171875, 'tokens': 315}
{'loss': 424.0, 'grad_norm_square': 8661688.65625, 'tokens': 328}
{'loss': 480.0, 'grad_norm_square': 6850996.46875, 'tokens': 394}
{'loss': 416.0, 'grad_norm_square': 23254711.578125, 'tokens': 291}
{'loss': 388.0, 'grad_norm_square': 6594341.84375, 'tokens': 274}
{'loss': 472.0, 'grad_norm_square': 9159689.9375, 'tokens': 342}
{'loss': 392.0, 'grad_norm_square': 6259828.546875, 'tokens': 441}
{'loss': 492.0, 'grad_norm_square': 6541692.34375, 'tokens': 360}
{'loss': 430.0, 'grad_norm_square': 6388772.875, 'tokens': 306}
{'loss': 360.0, 'grad_norm_square': 5544264.9921875, 'tokens': 343}
{'loss': 318.0, 'grad_norm_square': 4494029.6875, 'tokens': 230}
{'loss': 528.0, 'grad_norm_square': 12327359.6875, 'tokens': 438}
{'loss': 406.0, 'grad_norm_square': 6059290.1875, 'tokens': 330}
{'loss': 588.0, 'grad_norm_square': 11398175.9375, 'tokens': 488}
{'loss': 390.0, 'grad_norm_square': 8793424.484375, 'tokens': 343}
{'loss': 474.0, 'grad_norm_square': 6576749.015625, 'tokens': 360}
{'loss': 328.0, 'grad_norm_square': 5568057.3125, 'tokens': 227}
{'loss': 516.0, 'grad_norm_square': 7704497.53125, 'tokens': 400}
{'loss': 370.0, 'grad_norm_square': 4356180.984375, 'tokens': 389}
{'loss': 436.0, 'grad_norm_square': 5789018.71875, 'tokens': 347}
{'loss': 376.0, 'grad_norm_square': 4398664.6875, 'tokens': 281}
{'loss': 296.0, 'grad_norm_square': 3775769.09375, 'tokens': 299}
{'loss': 410.0, 'grad_norm_square': 5210345.265625, 'tokens': 305}
{'loss': 476.0, 'grad_norm_square': 7348930.375, 'tokens': 304}
{'loss': 280.0, 'grad_norm_square': 3454618.328125, 'tokens': 289}
{'loss': 536.0, 'grad_norm_square': 7845456.3125, 'tokens': 381}
{'loss': 408.0, 'grad_norm_square': 6195998.390625, 'tokens': 395}
{'loss': 324.0, 'grad_norm_square': 3862714.984375, 'tokens': 267}
{'loss': 444.0, 'grad_norm_square': 4906978.375, 'tokens': 299}
{'loss': 476.0, 'grad_norm_square': 9559699.9375, 'tokens': 407}
{'loss': 426.0, 'grad_norm_square': 6901891.9375, 'tokens': 347}
{'loss': 280.0, 'grad_norm_square': 3502713.28125, 'tokens': 248}
{'loss': 450.0, 'grad_norm_square': 6932247.25, 'tokens': 309}
{'loss': 404.0, 'grad_norm_square': 5527016.96875, 'tokens': 335}
{'loss': 442.0, 'grad_norm_square': 9302856.0, 'tokens': 420}
{'loss': 350.0, 'grad_norm_square': 5773111.5625, 'tokens': 293}
{'loss': 322.0, 'grad_norm_square': 5138587.8125, 'tokens': 251}
{'loss': 412.0, 'grad_norm_square': 5432395.84375, 'tokens': 348}
{'loss': 502.0, 'grad_norm_square': 6168707.125, 'tokens': 336}
{'loss': 402.0, 'grad_norm_square': 6014304.8125, 'tokens': 334}
{'loss': 324.0, 'grad_norm_square': 4365435.046875, 'tokens': 312}
{'loss': 484.0, 'grad_norm_square': 5852235.09375, 'tokens': 332}
{'loss': 304.0, 'grad_norm_square': 3747591.65625, 'tokens': 272}
{'loss': 246.0, 'grad_norm_square': 4269047.75, 'tokens': 258}
{'loss': 442.0, 'grad_norm_square': 5992752.125, 'tokens': 314}
{'loss': 255.0, 'grad_norm_square': 2757031.78125, 'tokens': 261}
{'loss': 350.0, 'grad_norm_square': 8178170.78125, 'tokens': 291}
{'loss': 498.0, 'grad_norm_square': 8191747.25, 'tokens': 383}
{'loss': 446.0, 'grad_norm_square': 6791600.875, 'tokens': 323}
{'loss': 402.0, 'grad_norm_square': 6130854.375, 'tokens': 350}
{'loss': 318.0, 'grad_norm_square': 5003427.28125, 'tokens': 358}
{'loss': 314.0, 'grad_norm_square': 4107626.359375, 'tokens': 240}
{'loss': 270.0, 'grad_norm_square': 3745686.171875, 'tokens': 256}
{'loss': 350.0, 'grad_norm_square': 5160073.921875, 'tokens': 314}
{'loss': 270.0, 'grad_norm_square': 4193143.171875, 'tokens': 249}
{'loss': 404.0, 'grad_norm_square': 8002728.4375, 'tokens': 352}
{'loss': 414.0, 'grad_norm_square': 9406036.6875, 'tokens': 330}
{'loss': 298.0, 'grad_norm_square': 4126977.96875, 'tokens': 243}
{'loss': 320.0, 'grad_norm_square': 7692396.0625, 'tokens': 292}
{'loss': 354.0, 'grad_norm_square': 6114544.6875, 'tokens': 293}
{'loss': 354.0, 'grad_norm_square': 6497850.0625, 'tokens': 327}
{'loss': 366.0, 'grad_norm_square': 7704648.546875, 'tokens': 310}
{'loss': 336.0, 'grad_norm_square': 7392295.5625, 'tokens': 254}
{'loss': 478.0, 'grad_norm_square': 9692514.46875, 'tokens': 433}
{'loss': 420.0, 'grad_norm_square': 5566712.75, 'tokens': 352}
{'loss': 243.0, 'grad_norm_square': 3473794.765625, 'tokens': 206}
{'loss': 322.0, 'grad_norm_square': 6085069.28125, 'tokens': 243}
{'loss': 336.0, 'grad_norm_square': 6650667.375, 'tokens': 312}
{'loss': 464.0, 'grad_norm_square': 10024659.09375, 'tokens': 374}
{'loss': 340.0, 'grad_norm_square': 6585729.609375, 'tokens': 279}
{'loss': 237.0, 'grad_norm_square': 4572918.5625, 'tokens': 286}
{'loss': 262.0, 'grad_norm_square': 5756352.234375, 'tokens': 288}
{'loss': 290.0, 'grad_norm_square': 3876807.84375, 'tokens': 270}
{'loss': 346.0, 'grad_norm_square': 4359666.125, 'tokens': 309}
{'loss': 338.0, 'grad_norm_square': 7347164.5625, 'tokens': 319}
{'loss': 222.0, 'grad_norm_square': 3354579.3203125, 'tokens': 210}
{'loss': 302.0, 'grad_norm_square': 5674294.90625, 'tokens': 347}
{'loss': 268.0, 'grad_norm_square': 5752219.09375, 'tokens': 336}
{'loss': 380.0, 'grad_norm_square': 9367568.671875, 'tokens': 375}
{'loss': 236.0, 'grad_norm_square': 5739757.5, 'tokens': 237}
{'loss': 532.0, 'grad_norm_square': 9653459.96875, 'tokens': 464}
{'loss': 318.0, 'grad_norm_square': 7527511.0625, 'tokens': 354}
{'loss': 330.0, 'grad_norm_square': 7017585.5, 'tokens': 300}
{'loss': 330.0, 'grad_norm_square': 7915336.625, 'tokens': 419}
{'loss': 322.0, 'grad_norm_square': 8689022.5625, 'tokens': 338}
{'loss': 330.0, 'grad_norm_square': 6145669.0, 'tokens': 314}
{'loss': 404.0, 'grad_norm_square': 5834122.25, 'tokens': 334}
{'loss': 358.0, 'grad_norm_square': 5213208.75, 'tokens': 354}
{'loss': 520.0, 'grad_norm_square': 12069292.5, 'tokens': 389}
{'loss': 292.0, 'grad_norm_square': 4216828.3125, 'tokens': 348}
{'loss': 348.0, 'grad_norm_square': 8578995.5625, 'tokens': 431}
{'loss': 270.0, 'grad_norm_square': 5023627.3125, 'tokens': 254}
{'loss': 344.0, 'grad_norm_square': 7697217.875, 'tokens': 408}
{'loss': 360.0, 'grad_norm_square': 8824386.4375, 'tokens': 378}
{'loss': 314.0, 'grad_norm_square': 6390950.34375, 'tokens': 412}
{'loss': 350.0, 'grad_norm_square': 5428955.71875, 'tokens': 319}
{'loss': 382.0, 'grad_norm_square': 6615268.9375, 'tokens': 389}
{'loss': 414.0, 'grad_norm_square': 8324190.421875, 'tokens': 379}
{'loss': 192.0, 'grad_norm_square': 4539421.515625, 'tokens': 230}
{'loss': 256.0, 'grad_norm_square': 6094842.53125, 'tokens': 328}
{'loss': 284.0, 'grad_norm_square': 8491933.375, 'tokens': 279}
{'loss': 266.0, 'grad_norm_square': 6154423.90625, 'tokens': 289}
{'loss': 368.0, 'grad_norm_square': 10443493.90625, 'tokens': 406}
