{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.0, 'grad_norm_square': 1710.46875, 'tokens': 319}
{'loss': 436.0, 'grad_norm_square': 2391.9759924411774, 'tokens': 252}
{'loss': 398.0, 'grad_norm_square': 4924.5379366874695, 'tokens': 311}
{'loss': 440.0, 'grad_norm_square': 2329.62824344635, 'tokens': 308}
{'loss': 624.0, 'grad_norm_square': 2875.7420291900635, 'tokens': 335}
{'loss': 708.0, 'grad_norm_square': 2303.19584274292, 'tokens': 434}
{'loss': 480.0, 'grad_norm_square': 2426.1569499969482, 'tokens': 378}
{'loss': 476.0, 'grad_norm_square': 1580.1270027160645, 'tokens': 299}
{'loss': 560.0, 'grad_norm_square': 13624.21086883545, 'tokens': 377}
{'loss': 504.0, 'grad_norm_square': 2157.0745391845703, 'tokens': 294}
{'loss': 442.0, 'grad_norm_square': 3038.3802032470703, 'tokens': 315}
{'loss': 474.0, 'grad_norm_square': 4724.162467956543, 'tokens': 328}
{'loss': 528.0, 'grad_norm_square': 2711.158203125, 'tokens': 394}
{'loss': 494.0, 'grad_norm_square': 15276.561141967773, 'tokens': 291}
{'loss': 450.0, 'grad_norm_square': 4029.7792205810547, 'tokens': 274}
{'loss': 532.0, 'grad_norm_square': 4039.027099609375, 'tokens': 342}
{'loss': 460.0, 'grad_norm_square': 3981.77099609375, 'tokens': 441}
{'loss': 556.0, 'grad_norm_square': 3069.1217651367188, 'tokens': 360}
{'loss': 486.0, 'grad_norm_square': 3579.508430480957, 'tokens': 306}
{'loss': 430.0, 'grad_norm_square': 3501.6418075561523, 'tokens': 343}
{'loss': 384.0, 'grad_norm_square': 2558.4425354003906, 'tokens': 230}
{'loss': 608.0, 'grad_norm_square': 8887.726989746094, 'tokens': 438}
{'loss': 476.0, 'grad_norm_square': 4018.5209045410156, 'tokens': 330}
{'loss': 672.0, 'grad_norm_square': 5856.239044189453, 'tokens': 488}
{'loss': 480.0, 'grad_norm_square': 8204.183959960938, 'tokens': 343}
{'loss': 540.0, 'grad_norm_square': 3598.878448486328, 'tokens': 360}
{'loss': 404.0, 'grad_norm_square': 5582.550384521484, 'tokens': 227}
