{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 203584768.0, 'tokens': 319}
{'loss': 358.5354919433594, 'grad_norm_square': 81407128.5, 'tokens': 252}
{'loss': 294.7126159667969, 'grad_norm_square': 102323406.5, 'tokens': 311}
{'loss': 319.1015625, 'grad_norm_square': 84659978.0, 'tokens': 308}
{'loss': 489.277099609375, 'grad_norm_square': 205079688.0, 'tokens': 335}
{'loss': 621.8438110351562, 'grad_norm_square': 172897446.0, 'tokens': 434}
{'loss': 376.87396240234375, 'grad_norm_square': 128276016.0, 'tokens': 378}
{'loss': 338.42822265625, 'grad_norm_square': 75747952.0, 'tokens': 299}
{'loss': 390.7474670410156, 'grad_norm_square': 135550052.0, 'tokens': 377}
{'loss': 360.9149169921875, 'grad_norm_square': 88360152.0, 'tokens': 294}
{'loss': 280.44476318359375, 'grad_norm_square': 54964508.0, 'tokens': 315}
{'loss': 293.96771240234375, 'grad_norm_square': 51959300.0, 'tokens': 328}
{'loss': 368.9162292480469, 'grad_norm_square': 73286586.0, 'tokens': 394}
{'loss': 288.9098815917969, 'grad_norm_square': 143730992.0, 'tokens': 291}
{'loss': 271.24481201171875, 'grad_norm_square': 48638822.0, 'tokens': 274}
{'loss': 362.7903747558594, 'grad_norm_square': 96677872.0, 'tokens': 342}
{'loss': 297.5313720703125, 'grad_norm_square': 62042572.0, 'tokens': 441}
{'loss': 357.0683898925781, 'grad_norm_square': 82156884.0, 'tokens': 360}
{'loss': 327.27069091796875, 'grad_norm_square': 55865590.0, 'tokens': 306}
{'loss': 271.2481689453125, 'grad_norm_square': 32779419.0, 'tokens': 343}
{'loss': 201.51699829101562, 'grad_norm_square': 32277970.0, 'tokens': 230}
{'loss': 419.77972412109375, 'grad_norm_square': 184111440.0, 'tokens': 438}
{'loss': 308.60003662109375, 'grad_norm_square': 49087330.0, 'tokens': 330}
{'loss': 479.5415344238281, 'grad_norm_square': 100617900.0, 'tokens': 488}
{'loss': 307.80609130859375, 'grad_norm_square': 71361568.0, 'tokens': 343}
{'loss': 403.80718994140625, 'grad_norm_square': 85534304.0, 'tokens': 360}
{'loss': 250.58494567871094, 'grad_norm_square': 59524116.0, 'tokens': 227}
{'loss': 449.4692077636719, 'grad_norm_square': 78903136.0, 'tokens': 400}
{'loss': 297.8826904296875, 'grad_norm_square': 47797668.0, 'tokens': 389}
{'loss': 351.6649169921875, 'grad_norm_square': 65532976.0, 'tokens': 347}
{'loss': 307.4398193359375, 'grad_norm_square': 40224108.0, 'tokens': 281}
{'loss': 219.1776580810547, 'grad_norm_square': 27850156.0, 'tokens': 299}
{'loss': 318.7499084472656, 'grad_norm_square': 52357496.0, 'tokens': 305}
{'loss': 430.6185302734375, 'grad_norm_square': 89329052.0, 'tokens': 304}
{'loss': 211.01805114746094, 'grad_norm_square': 25751804.0, 'tokens': 289}
{'loss': 448.2603759765625, 'grad_norm_square': 63520922.0, 'tokens': 381}
{'loss': 333.038818359375, 'grad_norm_square': 60582128.0, 'tokens': 395}
{'loss': 262.87359619140625, 'grad_norm_square': 32641012.0, 'tokens': 267}
{'loss': 371.74957275390625, 'grad_norm_square': 54233344.0, 'tokens': 299}
{'loss': 400.8229675292969, 'grad_norm_square': 84583492.0, 'tokens': 407}
{'loss': 344.21875, 'grad_norm_square': 41471288.0, 'tokens': 347}
{'loss': 217.34536743164062, 'grad_norm_square': 35534612.0, 'tokens': 248}
{'loss': 402.8101806640625, 'grad_norm_square': 62594836.0, 'tokens': 309}
{'loss': 327.6439208984375, 'grad_norm_square': 33998424.0, 'tokens': 335}
{'loss': 383.75244140625, 'grad_norm_square': 140003024.0, 'tokens': 420}
{'loss': 293.4730224609375, 'grad_norm_square': 40894268.0, 'tokens': 293}
{'loss': 249.00222778320312, 'grad_norm_square': 31185494.0, 'tokens': 251}
{'loss': 376.00433349609375, 'grad_norm_square': 55838672.0, 'tokens': 348}
{'loss': 455.93084716796875, 'grad_norm_square': 55126344.0, 'tokens': 336}
{'loss': 338.05340576171875, 'grad_norm_square': 47400340.0, 'tokens': 334}
{'loss': 274.6358947753906, 'grad_norm_square': 55827224.0, 'tokens': 312}
{'loss': 420.3404235839844, 'grad_norm_square': 64734172.0, 'tokens': 332}
{'loss': 243.75057983398438, 'grad_norm_square': 28949512.0, 'tokens': 272}
{'loss': 191.18295288085938, 'grad_norm_square': 31700466.0, 'tokens': 258}
{'loss': 369.29913330078125, 'grad_norm_square': 39706096.0, 'tokens': 314}
{'loss': 211.54591369628906, 'grad_norm_square': 19963116.0, 'tokens': 261}
{'loss': 284.67083740234375, 'grad_norm_square': 41961608.0, 'tokens': 291}
{'loss': 470.65191650390625, 'grad_norm_square': 117852352.0, 'tokens': 383}
{'loss': 388.30059814453125, 'grad_norm_square': 45640552.0, 'tokens': 323}
{'loss': 351.898681640625, 'grad_norm_square': 59791952.0, 'tokens': 350}
{'loss': 287.576171875, 'grad_norm_square': 34227840.0, 'tokens': 358}
{'loss': 266.5667724609375, 'grad_norm_square': 36089660.0, 'tokens': 240}
{'loss': 226.5630645751953, 'grad_norm_square': 33448416.0, 'tokens': 256}
{'loss': 316.2125244140625, 'grad_norm_square': 39313174.0, 'tokens': 314}
{'loss': 232.40945434570312, 'grad_norm_square': 23758904.0, 'tokens': 249}
{'loss': 368.950439453125, 'grad_norm_square': 66344344.0, 'tokens': 352}
{'loss': 357.66436767578125, 'grad_norm_square': 60254240.0, 'tokens': 330}
{'loss': 267.729248046875, 'grad_norm_square': 45232600.0, 'tokens': 243}
{'loss': 260.33624267578125, 'grad_norm_square': 29759492.0, 'tokens': 292}
{'loss': 309.517333984375, 'grad_norm_square': 40664584.0, 'tokens': 293}
{'loss': 286.8090515136719, 'grad_norm_square': 50707280.0, 'tokens': 327}
{'loss': 352.11126708984375, 'grad_norm_square': 46604360.0, 'tokens': 310}
{'loss': 268.4600830078125, 'grad_norm_square': 45573576.0, 'tokens': 254}
{'loss': 424.81719970703125, 'grad_norm_square': 58209432.0, 'tokens': 433}
{'loss': 408.595947265625, 'grad_norm_square': 43247856.0, 'tokens': 352}
{'loss': 200.36642456054688, 'grad_norm_square': 26507984.0, 'tokens': 206}
{'loss': 280.22076416015625, 'grad_norm_square': 39068068.0, 'tokens': 243}
{'loss': 304.9994201660156, 'grad_norm_square': 42315972.0, 'tokens': 312}
{'loss': 444.3425598144531, 'grad_norm_square': 55192508.0, 'tokens': 374}
{'loss': 321.880126953125, 'grad_norm_square': 43744296.0, 'tokens': 279}
{'loss': 217.15249633789062, 'grad_norm_square': 20890024.0, 'tokens': 286}
{'loss': 242.94142150878906, 'grad_norm_square': 30338324.0, 'tokens': 288}
{'loss': 262.26837158203125, 'grad_norm_square': 26497636.0, 'tokens': 270}
{'loss': 321.5377502441406, 'grad_norm_square': 28363960.0, 'tokens': 309}
{'loss': 313.59814453125, 'grad_norm_square': 38969280.0, 'tokens': 319}
{'loss': 192.69528198242188, 'grad_norm_square': 21482920.0, 'tokens': 210}
{'loss': 282.4682312011719, 'grad_norm_square': 36125816.0, 'tokens': 347}
{'loss': 236.96533203125, 'grad_norm_square': 30528028.0, 'tokens': 336}
{'loss': 359.9971923828125, 'grad_norm_square': 63583040.0, 'tokens': 375}
{'loss': 197.42935180664062, 'grad_norm_square': 25985276.0, 'tokens': 237}
{'loss': 513.7233276367188, 'grad_norm_square': 69971416.0, 'tokens': 464}
{'loss': 276.9669494628906, 'grad_norm_square': 32027288.0, 'tokens': 354}
{'loss': 283.877197265625, 'grad_norm_square': 31154840.0, 'tokens': 300}
{'loss': 302.8253479003906, 'grad_norm_square': 30890936.0, 'tokens': 419}
{'loss': 303.9869384765625, 'grad_norm_square': 47226292.0, 'tokens': 338}
{'loss': 310.0065002441406, 'grad_norm_square': 27533364.0, 'tokens': 314}
{'loss': 404.933349609375, 'grad_norm_square': 56622128.0, 'tokens': 334}
{'loss': 327.4150085449219, 'grad_norm_square': 31713748.0, 'tokens': 354}
{'loss': 479.8394775390625, 'grad_norm_square': 80874080.0, 'tokens': 389}
{'loss': 271.5159606933594, 'grad_norm_square': 31095388.0, 'tokens': 348}
{'loss': 342.08905029296875, 'grad_norm_square': 73618216.0, 'tokens': 431}
{'loss': 242.66351318359375, 'grad_norm_square': 26266248.0, 'tokens': 254}
{'loss': 321.51885986328125, 'grad_norm_square': 35144304.0, 'tokens': 408}
{'loss': 361.85125732421875, 'grad_norm_square': 207242096.0, 'tokens': 378}
{'loss': 285.850341796875, 'grad_norm_square': 26598152.0, 'tokens': 412}
{'loss': 327.1310729980469, 'grad_norm_square': 27398720.0, 'tokens': 319}
{'loss': 350.7395324707031, 'grad_norm_square': 40133332.0, 'tokens': 389}
{'loss': 398.98724365234375, 'grad_norm_square': 54530792.0, 'tokens': 379}
{'loss': 185.0089874267578, 'grad_norm_square': 24201408.0, 'tokens': 230}
{'loss': 235.2621612548828, 'grad_norm_square': 27137080.0, 'tokens': 328}
{'loss': 259.8690185546875, 'grad_norm_square': 32934344.0, 'tokens': 279}
{'loss': 254.08319091796875, 'grad_norm_square': 43402232.0, 'tokens': 289}
{'loss': 335.6725158691406, 'grad_norm_square': 43440760.0, 'tokens': 406}
{'loss': 288.0526123046875, 'grad_norm_square': 30983392.0, 'tokens': 284}
{'loss': 371.82440185546875, 'grad_norm_square': 38684712.0, 'tokens': 300}
{'loss': 277.15911865234375, 'grad_norm_square': 36609192.0, 'tokens': 263}
{'loss': 323.559326171875, 'grad_norm_square': 59348272.0, 'tokens': 315}
{'loss': 312.1468505859375, 'grad_norm_square': 48543792.0, 'tokens': 289}
{'loss': 264.94183349609375, 'grad_norm_square': 29057312.0, 'tokens': 287}
{'loss': 505.351806640625, 'grad_norm_square': 115055792.0, 'tokens': 445}
{'loss': 296.94781494140625, 'grad_norm_square': 37991360.0, 'tokens': 312}
{'loss': 341.21392822265625, 'grad_norm_square': 58747544.0, 'tokens': 386}
{'loss': 199.68881225585938, 'grad_norm_square': 39766004.0, 'tokens': 246}
{'loss': 379.69061279296875, 'grad_norm_square': 47274128.0, 'tokens': 366}
{'loss': 403.887451171875, 'grad_norm_square': 57235720.0, 'tokens': 367}
{'loss': 285.7998352050781, 'grad_norm_square': 27469088.0, 'tokens': 387}
{'loss': 200.15042114257812, 'grad_norm_square': 34006300.0, 'tokens': 288}
{'loss': 255.4638214111328, 'grad_norm_square': 53527952.0, 'tokens': 284}
{'loss': 313.6170654296875, 'grad_norm_square': 38368300.0, 'tokens': 291}
{'loss': 263.1950988769531, 'grad_norm_square': 29981424.0, 'tokens': 313}
{'loss': 383.7974853515625, 'grad_norm_square': 85408480.0, 'tokens': 404}
{'loss': 246.13731384277344, 'grad_norm_square': 24813112.0, 'tokens': 301}
{'loss': 383.5853271484375, 'grad_norm_square': 70562496.0, 'tokens': 417}
{'loss': 284.39642333984375, 'grad_norm_square': 79664712.0, 'tokens': 269}
{'loss': 330.6060485839844, 'grad_norm_square': 79419776.0, 'tokens': 286}
{'loss': 269.5848083496094, 'grad_norm_square': 34022340.0, 'tokens': 282}
{'loss': 255.54701232910156, 'grad_norm_square': 28535384.0, 'tokens': 330}
{'loss': 464.0999755859375, 'grad_norm_square': 62228424.0, 'tokens': 420}
{'loss': 349.9825744628906, 'grad_norm_square': 39018344.0, 'tokens': 342}
{'loss': 329.02301025390625, 'grad_norm_square': 39194664.0, 'tokens': 366}
{'loss': 269.35205078125, 'grad_norm_square': 30937816.0, 'tokens': 267}
{'loss': 232.587890625, 'grad_norm_square': 27082848.0, 'tokens': 284}
{'loss': 222.32559204101562, 'grad_norm_square': 20583616.0, 'tokens': 226}
