{'model_params': 2506172416, 'peft_params': 549360}
{'loss': 466.0, 'grad_norm_square': 1288175616.0, 'tokens': 319}
{'loss': 384.0, 'grad_norm_square': 881625384.0, 'tokens': 252}
{'loss': 312.0, 'grad_norm_square': 753193174.0, 'tokens': 311}
{'loss': 340.0, 'grad_norm_square': 775018644.0, 'tokens': 308}
{'loss': 512.0, 'grad_norm_square': 2297875440.0, 'tokens': 335}
{'loss': 632.0, 'grad_norm_square': 1622161412.0, 'tokens': 434}
{'loss': 390.0, 'grad_norm_square': 1155829788.0, 'tokens': 378}
{'loss': 354.0, 'grad_norm_square': 751495308.0, 'tokens': 299}
{'loss': 392.0, 'grad_norm_square': 916734148.0, 'tokens': 377}
{'loss': 372.0, 'grad_norm_square': 825592992.0, 'tokens': 294}
{'loss': 290.0, 'grad_norm_square': 657779676.0, 'tokens': 315}
{'loss': 298.0, 'grad_norm_square': 533082204.0, 'tokens': 328}
{'loss': 384.0, 'grad_norm_square': 947202040.0, 'tokens': 394}
{'loss': 290.0, 'grad_norm_square': 1460130900.0, 'tokens': 291}
{'loss': 268.0, 'grad_norm_square': 494295504.0, 'tokens': 274}
{'loss': 368.0, 'grad_norm_square': 1190522616.0, 'tokens': 342}
{'loss': 298.0, 'grad_norm_square': 962980896.0, 'tokens': 441}
{'loss': 366.0, 'grad_norm_square': 999659816.0, 'tokens': 360}
{'loss': 336.0, 'grad_norm_square': 824822152.0, 'tokens': 306}
{'loss': 276.0, 'grad_norm_square': 479190500.0, 'tokens': 343}
{'loss': 210.0, 'grad_norm_square': 447110392.0, 'tokens': 230}
{'loss': 426.0, 'grad_norm_square': 1231969280.0, 'tokens': 438}
{'loss': 312.0, 'grad_norm_square': 448678120.0, 'tokens': 330}
{'loss': 488.0, 'grad_norm_square': 993126400.0, 'tokens': 488}
{'loss': 304.0, 'grad_norm_square': 587638304.0, 'tokens': 343}
{'loss': 408.0, 'grad_norm_square': 772655072.0, 'tokens': 360}
{'loss': 249.0, 'grad_norm_square': 713054320.0, 'tokens': 227}
{'loss': 454.0, 'grad_norm_square': 753961056.0, 'tokens': 400}
{'loss': 302.0, 'grad_norm_square': 501770552.0, 'tokens': 389}
{'loss': 348.0, 'grad_norm_square': 688937648.0, 'tokens': 347}
{'loss': 314.0, 'grad_norm_square': 356024580.0, 'tokens': 281}
{'loss': 219.0, 'grad_norm_square': 245921908.0, 'tokens': 299}
{'loss': 324.0, 'grad_norm_square': 397589096.0, 'tokens': 305}
{'loss': 430.0, 'grad_norm_square': 613845656.0, 'tokens': 304}
{'loss': 218.0, 'grad_norm_square': 290325312.0, 'tokens': 289}
{'loss': 446.0, 'grad_norm_square': 452323916.0, 'tokens': 381}
{'loss': 340.0, 'grad_norm_square': 834343808.0, 'tokens': 395}
{'loss': 264.0, 'grad_norm_square': 325951852.0, 'tokens': 267}
