{'model_params': 2506172416, 'peft_params': 10515456}
{'loss': 466.0, 'grad_norm_square': 818446229.21875, 'tokens': 319}
{'loss': 336.0, 'grad_norm_square': 217600848.9765625, 'tokens': 252}
{'loss': 286.0, 'grad_norm_square': 303104492.296875, 'tokens': 311}
{'loss': 312.0, 'grad_norm_square': 210588691.234375, 'tokens': 308}
{'loss': 488.0, 'grad_norm_square': 686397638.625, 'tokens': 335}
{'loss': 612.0, 'grad_norm_square': 449510980.25, 'tokens': 434}
{'loss': 378.0, 'grad_norm_square': 347712952.125, 'tokens': 378}
{'loss': 336.0, 'grad_norm_square': 171947107.734375, 'tokens': 299}
{'loss': 400.0, 'grad_norm_square': 284221774.21875, 'tokens': 377}
{'loss': 366.0, 'grad_norm_square': 300132555.265625, 'tokens': 294}
{'loss': 286.0, 'grad_norm_square': 178467574.75, 'tokens': 315}
{'loss': 306.0, 'grad_norm_square': 166173694.53125, 'tokens': 328}
{'loss': 378.0, 'grad_norm_square': 240295679.09375, 'tokens': 394}
{'loss': 284.0, 'grad_norm_square': 191351034.515625, 'tokens': 291}
{'loss': 268.0, 'grad_norm_square': 139848580.6171875, 'tokens': 274}
{'loss': 362.0, 'grad_norm_square': 254863512.21875, 'tokens': 342}
{'loss': 304.0, 'grad_norm_square': 216586687.90625, 'tokens': 441}
{'loss': 364.0, 'grad_norm_square': 257253618.5625, 'tokens': 360}
{'loss': 334.0, 'grad_norm_square': 161602040.640625, 'tokens': 306}
{'loss': 274.0, 'grad_norm_square': 108244380.5, 'tokens': 343}
{'loss': 203.0, 'grad_norm_square': 104180933.796875, 'tokens': 230}
{'loss': 434.0, 'grad_norm_square': 394242338.46875, 'tokens': 438}
{'loss': 316.0, 'grad_norm_square': 128263554.15625, 'tokens': 330}
{'loss': 486.0, 'grad_norm_square': 407455835.65625, 'tokens': 488}
{'loss': 308.0, 'grad_norm_square': 205519468.203125, 'tokens': 343}
{'loss': 422.0, 'grad_norm_square': 275258104.359375, 'tokens': 360}
{'loss': 266.0, 'grad_norm_square': 174796516.421875, 'tokens': 227}
{'loss': 460.0, 'grad_norm_square': 338496205.984375, 'tokens': 400}
{'loss': 310.0, 'grad_norm_square': 169221360.70703125, 'tokens': 389}
{'loss': 356.0, 'grad_norm_square': 179107101.0625, 'tokens': 347}
{'loss': 312.0, 'grad_norm_square': 151689320.0625, 'tokens': 281}
{'loss': 233.0, 'grad_norm_square': 101636992.19140625, 'tokens': 299}
{'loss': 318.0, 'grad_norm_square': 213107659.5546875, 'tokens': 305}
{'loss': 436.0, 'grad_norm_square': 380426048.828125, 'tokens': 304}
{'loss': 218.0, 'grad_norm_square': 86229275.1875, 'tokens': 289}
{'loss': 456.0, 'grad_norm_square': 198827389.703125, 'tokens': 381}
{'loss': 342.0, 'grad_norm_square': 238441016.671875, 'tokens': 395}
{'loss': 256.0, 'grad_norm_square': 96400638.921875, 'tokens': 267}
{'loss': 376.0, 'grad_norm_square': 186453786.5, 'tokens': 299}
{'loss': 406.0, 'grad_norm_square': 348666298.03125, 'tokens': 407}
{'loss': 354.0, 'grad_norm_square': 162998057.78125, 'tokens': 347}
{'loss': 226.0, 'grad_norm_square': 117250349.53125, 'tokens': 248}
{'loss': 406.0, 'grad_norm_square': 220698088.796875, 'tokens': 309}
{'loss': 332.0, 'grad_norm_square': 148282081.8046875, 'tokens': 335}
{'loss': 378.0, 'grad_norm_square': 302957126.09375, 'tokens': 420}
{'loss': 308.0, 'grad_norm_square': 133491308.265625, 'tokens': 293}
{'loss': 250.0, 'grad_norm_square': 112677670.953125, 'tokens': 251}
{'loss': 390.0, 'grad_norm_square': 189587606.40625, 'tokens': 348}
{'loss': 476.0, 'grad_norm_square': 209039685.53125, 'tokens': 336}
