{'model_params': 2506172416, 'peft_params': 5612544}
{'loss': 580.0, 'grad_norm_square': 10944.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 17536.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 22528.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 15488.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 9408.0, 'tokens': 327}
{'loss': 384.0, 'grad_norm_square': 9152.0, 'tokens': 314}
{'loss': 736.0, 'grad_norm_square': 14400.0, 'tokens': 457}
{'loss': 322.0, 'grad_norm_square': 12160.0, 'tokens': 255}
{'loss': 556.0, 'grad_norm_square': 17408.0, 'tokens': 437}
{'loss': 398.0, 'grad_norm_square': 17024.0, 'tokens': 371}
{'loss': 696.0, 'grad_norm_square': 16320.0, 'tokens': 471}
{'loss': 604.0, 'grad_norm_square': 14784.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 7584.0, 'tokens': 261}
{'loss': 684.0, 'grad_norm_square': 15104.0, 'tokens': 419}
{'loss': 744.0, 'grad_norm_square': 22272.0, 'tokens': 450}
{'loss': 544.0, 'grad_norm_square': 16640.0, 'tokens': 446}
{'loss': 736.0, 'grad_norm_square': 12992.0, 'tokens': 452}
{'loss': 288.0, 'grad_norm_square': 7232.0, 'tokens': 262}
{'loss': 544.0, 'grad_norm_square': 24448.0, 'tokens': 375}
{'loss': 636.0, 'grad_norm_square': 18304.0, 'tokens': 405}
{'loss': 584.0, 'grad_norm_square': 14656.0, 'tokens': 409}
{'loss': 544.0, 'grad_norm_square': 14208.0, 'tokens': 410}
{'loss': 608.0, 'grad_norm_square': 12608.0, 'tokens': 429}
{'loss': 588.0, 'grad_norm_square': 13504.0, 'tokens': 408}
{'loss': 600.0, 'grad_norm_square': 28288.0, 'tokens': 427}
{'loss': 832.0, 'grad_norm_square': 23296.0, 'tokens': 445}
{'loss': 760.0, 'grad_norm_square': 44544.0, 'tokens': 461}
{'loss': 672.0, 'grad_norm_square': 17664.0, 'tokens': 444}
{'loss': 668.0, 'grad_norm_square': 17792.0, 'tokens': 459}
{'loss': 402.0, 'grad_norm_square': 6848.0, 'tokens': 295}
{'loss': 664.0, 'grad_norm_square': 11264.0, 'tokens': 420}
{'loss': 804.0, 'grad_norm_square': 26624.0, 'tokens': 476}
{'loss': 608.0, 'grad_norm_square': 16384.0, 'tokens': 430}
{'loss': 660.0, 'grad_norm_square': 18688.0, 'tokens': 441}
{'loss': 548.0, 'grad_norm_square': 19712.0, 'tokens': 402}
{'loss': 516.0, 'grad_norm_square': 13056.0, 'tokens': 328}
{'loss': 580.0, 'grad_norm_square': 13440.0, 'tokens': 453}
{'loss': 380.0, 'grad_norm_square': 6112.0, 'tokens': 375}
