{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 30987840.0, 'tokens': 319}
{'loss': 394.033203125, 'grad_norm_square': 21316552.25, 'tokens': 252}
{'loss': 322.665283203125, 'grad_norm_square': 23500653.0, 'tokens': 311}
{'loss': 339.957763671875, 'grad_norm_square': 19532592.25, 'tokens': 308}
{'loss': 507.62445068359375, 'grad_norm_square': 45956236.0, 'tokens': 335}
{'loss': 627.6387939453125, 'grad_norm_square': 38219216.0, 'tokens': 434}
{'loss': 390.7271728515625, 'grad_norm_square': 47002102.0, 'tokens': 378}
{'loss': 351.1171569824219, 'grad_norm_square': 23844930.0, 'tokens': 299}
{'loss': 397.64483642578125, 'grad_norm_square': 36429890.0, 'tokens': 377}
{'loss': 372.8280334472656, 'grad_norm_square': 34642028.0, 'tokens': 294}
{'loss': 286.985595703125, 'grad_norm_square': 24843692.0, 'tokens': 315}
{'loss': 293.13592529296875, 'grad_norm_square': 17625036.0, 'tokens': 328}
{'loss': 373.5841369628906, 'grad_norm_square': 24569740.0, 'tokens': 394}
{'loss': 284.7762756347656, 'grad_norm_square': 31092358.0, 'tokens': 291}
{'loss': 266.9912109375, 'grad_norm_square': 18354688.0, 'tokens': 274}
{'loss': 362.9736022949219, 'grad_norm_square': 39133946.0, 'tokens': 342}
{'loss': 300.1385192871094, 'grad_norm_square': 31957994.0, 'tokens': 441}
{'loss': 365.43304443359375, 'grad_norm_square': 44393122.0, 'tokens': 360}
{'loss': 324.80108642578125, 'grad_norm_square': 22678594.0, 'tokens': 306}
{'loss': 279.61212158203125, 'grad_norm_square': 23067536.0, 'tokens': 343}
{'loss': 206.4532470703125, 'grad_norm_square': 18037389.5, 'tokens': 230}
{'loss': 412.6784362792969, 'grad_norm_square': 52584892.0, 'tokens': 438}
{'loss': 308.1483459472656, 'grad_norm_square': 18506186.0, 'tokens': 330}
{'loss': 478.5063781738281, 'grad_norm_square': 37202932.0, 'tokens': 488}
{'loss': 303.43475341796875, 'grad_norm_square': 16412956.0, 'tokens': 343}
{'loss': 404.71917724609375, 'grad_norm_square': 26367440.0, 'tokens': 360}
{'loss': 244.30441284179688, 'grad_norm_square': 15008650.0, 'tokens': 227}
{'loss': 451.25439453125, 'grad_norm_square': 27868260.0, 'tokens': 400}
{'loss': 294.089599609375, 'grad_norm_square': 19604705.0, 'tokens': 389}
{'loss': 343.3652038574219, 'grad_norm_square': 17673112.0, 'tokens': 347}
{'loss': 306.5531921386719, 'grad_norm_square': 12858768.0, 'tokens': 281}
{'loss': 219.9703369140625, 'grad_norm_square': 12309946.5, 'tokens': 299}
{'loss': 316.8074035644531, 'grad_norm_square': 14460515.0, 'tokens': 305}
{'loss': 425.26507568359375, 'grad_norm_square': 31561909.0, 'tokens': 304}
{'loss': 213.30599975585938, 'grad_norm_square': 10612559.0, 'tokens': 289}
{'loss': 450.01873779296875, 'grad_norm_square': 26071678.0, 'tokens': 381}
{'loss': 331.6573486328125, 'grad_norm_square': 25336560.0, 'tokens': 395}
{'loss': 263.51947021484375, 'grad_norm_square': 15146545.0, 'tokens': 267}
{'loss': 373.7100830078125, 'grad_norm_square': 18723152.0, 'tokens': 299}
{'loss': 400.5212707519531, 'grad_norm_square': 29969480.0, 'tokens': 407}
{'loss': 345.0921325683594, 'grad_norm_square': 16291294.0, 'tokens': 347}
{'loss': 218.62255859375, 'grad_norm_square': 14342113.0, 'tokens': 248}
{'loss': 398.4871826171875, 'grad_norm_square': 21658000.0, 'tokens': 309}
{'loss': 329.09063720703125, 'grad_norm_square': 14031050.0, 'tokens': 335}
{'loss': 378.10986328125, 'grad_norm_square': 54991556.0, 'tokens': 420}
{'loss': 297.1681823730469, 'grad_norm_square': 25359408.0, 'tokens': 293}
{'loss': 242.76303100585938, 'grad_norm_square': 11984368.0, 'tokens': 251}
{'loss': 375.1888427734375, 'grad_norm_square': 21134268.0, 'tokens': 348}
{'loss': 451.6946105957031, 'grad_norm_square': 27721924.0, 'tokens': 336}
{'loss': 335.41473388671875, 'grad_norm_square': 17158695.0, 'tokens': 334}
{'loss': 267.1722412109375, 'grad_norm_square': 27383284.0, 'tokens': 312}
{'loss': 412.579833984375, 'grad_norm_square': 22716342.0, 'tokens': 332}
{'loss': 246.68446350097656, 'grad_norm_square': 14619268.0, 'tokens': 272}
{'loss': 185.73904418945312, 'grad_norm_square': 14287846.0, 'tokens': 258}
{'loss': 372.1883239746094, 'grad_norm_square': 18546110.0, 'tokens': 314}
{'loss': 211.8139190673828, 'grad_norm_square': 8249166.0, 'tokens': 261}
{'loss': 287.9239501953125, 'grad_norm_square': 18047352.0, 'tokens': 291}
{'loss': 460.996826171875, 'grad_norm_square': 43919252.0, 'tokens': 383}
{'loss': 382.47393798828125, 'grad_norm_square': 16078488.0, 'tokens': 323}
{'loss': 353.4934387207031, 'grad_norm_square': 21422240.0, 'tokens': 350}
{'loss': 280.7757568359375, 'grad_norm_square': 11612848.0, 'tokens': 358}
{'loss': 264.1425476074219, 'grad_norm_square': 14676754.0, 'tokens': 240}
