{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 283417509888.0, 'tokens': 319}
{'loss': 2887.954833984375, 'grad_norm_square': 782764445921344.0, 'tokens': 252}
{'loss': 89011.34375, 'grad_norm_square': 8.485892995039437e+16, 'tokens': 311}
{'loss': 17007.4453125, 'grad_norm_square': 2.118076341448676e+16, 'tokens': 308}
{'loss': 12836.96484375, 'grad_norm_square': 3.400938393681048e+16, 'tokens': 335}
{'loss': 54308.0234375, 'grad_norm_square': 1936126802425357.0, 'tokens': 434}
{'loss': 14834.3671875, 'grad_norm_square': 175635863211113.22, 'tokens': 378}
{'loss': 14195.3349609375, 'grad_norm_square': 7.834845577611077e+16, 'tokens': 299}
{'loss': 139739.65625, 'grad_norm_square': 9.429036124024512e+16, 'tokens': 377}
{'loss': 134409.59375, 'grad_norm_square': 1.0315452422389973e+19, 'tokens': 294}
{'loss': 18950.64453125, 'grad_norm_square': 1.285570449319493e+18, 'tokens': 315}
{'loss': 7559.65234375, 'grad_norm_square': 19114838306745.742, 'tokens': 328}
{'loss': 9015.998046875, 'grad_norm_square': 8381300007564877.0, 'tokens': 394}
{'loss': 8926.31640625, 'grad_norm_square': 4396261995682577.0, 'tokens': 291}
{'loss': 6328.388671875, 'grad_norm_square': 36826876567592.836, 'tokens': 274}
{'loss': 4923.537109375, 'grad_norm_square': 1166624589149505.2, 'tokens': 342}
{'loss': 8782.3017578125, 'grad_norm_square': 7694511017548019.0, 'tokens': 441}
{'loss': 6646.23876953125, 'grad_norm_square': 542711422313144.0, 'tokens': 360}
{'loss': 7091.7509765625, 'grad_norm_square': 7594483032008.41, 'tokens': 306}
{'loss': 6471.802734375, 'grad_norm_square': 5129860098102.437, 'tokens': 343}
{'loss': 5385.30078125, 'grad_norm_square': 3601207933225.1665, 'tokens': 230}
{'loss': 11566.34765625, 'grad_norm_square': 77255471315829.66, 'tokens': 438}
{'loss': 6636.5673828125, 'grad_norm_square': 2890369528401.7476, 'tokens': 330}
{'loss': 9954.05078125, 'grad_norm_square': 4682115172070.97, 'tokens': 488}
{'loss': 5365.55712890625, 'grad_norm_square': 1567107205145.9062, 'tokens': 343}
{'loss': 6391.58251953125, 'grad_norm_square': 1963349931167.5693, 'tokens': 360}
{'loss': 3611.2763671875, 'grad_norm_square': 783826055456.9363, 'tokens': 227}
{'loss': 7051.0048828125, 'grad_norm_square': 3565653608365.0825, 'tokens': 400}
{'loss': 5435.017578125, 'grad_norm_square': 2549552641207.659, 'tokens': 389}
{'loss': 4687.3720703125, 'grad_norm_square': 1899381021589.546, 'tokens': 347}
{'loss': 4234.25439453125, 'grad_norm_square': 805167992276.6708, 'tokens': 281}
{'loss': 3810.701171875, 'grad_norm_square': 1.6224686332448702e+20, 'tokens': 299}
{'loss': 4386.28173828125, 'grad_norm_square': 1808843137673.4568, 'tokens': 305}
{'loss': 4718.4873046875, 'grad_norm_square': 2273269271724.715, 'tokens': 304}
{'loss': 3656.08447265625, 'grad_norm_square': 10195833474967.871, 'tokens': 289}
{'loss': 5064.2333984375, 'grad_norm_square': 56061584703442.555, 'tokens': 381}
{'loss': 5771.2041015625, 'grad_norm_square': 1218195273762058.8, 'tokens': 395}
{'loss': 4056.94091796875, 'grad_norm_square': 139504501326312.98, 'tokens': 267}
{'loss': 5091.1083984375, 'grad_norm_square': 3566569667276058.5, 'tokens': 299}
{'loss': 5746.6376953125, 'grad_norm_square': 893093344098172.1, 'tokens': 407}
{'loss': 5267.51513671875, 'grad_norm_square': 2175012863753022.8, 'tokens': 347}
{'loss': 3729.857421875, 'grad_norm_square': 18620069189398.438, 'tokens': 248}
{'loss': 4240.8623046875, 'grad_norm_square': 4549719759787.531, 'tokens': 309}
{'loss': 4679.02099609375, 'grad_norm_square': 8843031482320.922, 'tokens': 335}
{'loss': 5578.18115234375, 'grad_norm_square': 10483475314569.098, 'tokens': 420}
{'loss': 4187.54833984375, 'grad_norm_square': 8651264332572.822, 'tokens': 293}
{'loss': 3175.9462890625, 'grad_norm_square': 450537308429553.56, 'tokens': 251}
{'loss': 4867.9716796875, 'grad_norm_square': 18276371817295.887, 'tokens': 348}
{'loss': 4505.2890625, 'grad_norm_square': 9636581329194.188, 'tokens': 336}
{'loss': 4228.3505859375, 'grad_norm_square': 23972062960494.617, 'tokens': 334}
{'loss': 3727.21484375, 'grad_norm_square': 2281825957140.623, 'tokens': 312}
{'loss': 4043.2333984375, 'grad_norm_square': 8299980680016067.0, 'tokens': 332}
{'loss': 3406.68212890625, 'grad_norm_square': 1315084804651.719, 'tokens': 272}
{'loss': 3086.171875, 'grad_norm_square': 3103379337659.3906, 'tokens': 258}
{'loss': 3646.98681640625, 'grad_norm_square': 29612379839394.414, 'tokens': 314}
{'loss': 2852.325439453125, 'grad_norm_square': 7245055472299.634, 'tokens': 261}
{'loss': 3378.59912109375, 'grad_norm_square': 1111859796751.1006, 'tokens': 291}
{'loss': 4501.296875, 'grad_norm_square': 1000211393401629.0, 'tokens': 383}
{'loss': 3860.249267578125, 'grad_norm_square': 4845497418751.833, 'tokens': 323}
{'loss': 3884.194091796875, 'grad_norm_square': 24399427091808.87, 'tokens': 350}
