{'model_params': 2506172416, 'peft_params': 10515456}
{'loss': 466.0, 'grad_norm_square': 71037.306640625, 'tokens': 319}
{'loss': 434.0, 'grad_norm_square': 81090.20303153992, 'tokens': 252}
{'loss': 398.0, 'grad_norm_square': 95644.14183425903, 'tokens': 311}
{'loss': 438.0, 'grad_norm_square': 56130.87795257568, 'tokens': 308}
{'loss': 624.0, 'grad_norm_square': 78183.4002456665, 'tokens': 335}
{'loss': 708.0, 'grad_norm_square': 64453.053215026855, 'tokens': 434}
{'loss': 482.0, 'grad_norm_square': 102642.09895324707, 'tokens': 378}
{'loss': 476.0, 'grad_norm_square': 43155.46908569336, 'tokens': 299}
{'loss': 560.0, 'grad_norm_square': 437259.8101501465, 'tokens': 377}
{'loss': 506.0, 'grad_norm_square': 70109.41711425781, 'tokens': 294}
{'loss': 444.0, 'grad_norm_square': 71861.26641845703, 'tokens': 315}
{'loss': 476.0, 'grad_norm_square': 119859.1732788086, 'tokens': 328}
{'loss': 532.0, 'grad_norm_square': 70547.03834533691, 'tokens': 394}
{'loss': 502.0, 'grad_norm_square': 379477.8428955078, 'tokens': 291}
{'loss': 456.0, 'grad_norm_square': 89736.1792602539, 'tokens': 274}
{'loss': 536.0, 'grad_norm_square': 102474.3217163086, 'tokens': 342}
{'loss': 468.0, 'grad_norm_square': 133472.5711669922, 'tokens': 441}
{'loss': 560.0, 'grad_norm_square': 74557.26098632812, 'tokens': 360}
{'loss': 492.0, 'grad_norm_square': 69525.31008911133, 'tokens': 306}
{'loss': 438.0, 'grad_norm_square': 68155.8745727539, 'tokens': 343}
{'loss': 390.0, 'grad_norm_square': 68038.44146728516, 'tokens': 230}
{'loss': 620.0, 'grad_norm_square': 214752.03662109375, 'tokens': 438}
{'loss': 486.0, 'grad_norm_square': 73479.52429199219, 'tokens': 330}
{'loss': 684.0, 'grad_norm_square': 120805.46948242188, 'tokens': 488}
{'loss': 494.0, 'grad_norm_square': 126653.59594726562, 'tokens': 343}
{'loss': 548.0, 'grad_norm_square': 75094.47985839844, 'tokens': 360}
{'loss': 416.0, 'grad_norm_square': 105284.57153320312, 'tokens': 227}
{'loss': 600.0, 'grad_norm_square': 80746.83264160156, 'tokens': 400}
{'loss': 460.0, 'grad_norm_square': 78866.94897460938, 'tokens': 389}
{'loss': 532.0, 'grad_norm_square': 115259.89477539062, 'tokens': 347}
{'loss': 454.0, 'grad_norm_square': 60589.87121582031, 'tokens': 281}
{'loss': 396.0, 'grad_norm_square': 87508.18115234375, 'tokens': 299}
{'loss': 510.0, 'grad_norm_square': 81287.16430664062, 'tokens': 305}
{'loss': 576.0, 'grad_norm_square': 198453.634765625, 'tokens': 304}
{'loss': 376.0, 'grad_norm_square': 70098.4501953125, 'tokens': 289}
{'loss': 656.0, 'grad_norm_square': 142617.54345703125, 'tokens': 381}
{'loss': 524.0, 'grad_norm_square': 359945.30627441406, 'tokens': 395}
{'loss': 436.0, 'grad_norm_square': 196859.22265625, 'tokens': 267}
{'loss': 544.0, 'grad_norm_square': 125941.94165039062, 'tokens': 299}
{'loss': 588.0, 'grad_norm_square': 93355.00390625, 'tokens': 407}
{'loss': 536.0, 'grad_norm_square': 118745.1103515625, 'tokens': 347}
{'loss': 384.0, 'grad_norm_square': 103732.90551757812, 'tokens': 248}
{'loss': 532.0, 'grad_norm_square': 89724.75244140625, 'tokens': 309}
{'loss': 506.0, 'grad_norm_square': 88780.681640625, 'tokens': 335}
{'loss': 576.0, 'grad_norm_square': 133519.505859375, 'tokens': 420}
{'loss': 452.0, 'grad_norm_square': 62302.7763671875, 'tokens': 293}
{'loss': 442.0, 'grad_norm_square': 399975.5390625, 'tokens': 251}
{'loss': 528.0, 'grad_norm_square': 124976.35815429688, 'tokens': 348}
{'loss': 600.0, 'grad_norm_square': 114754.45654296875, 'tokens': 336}
{'loss': 516.0, 'grad_norm_square': 151821.78125, 'tokens': 334}
{'loss': 442.0, 'grad_norm_square': 213006.982421875, 'tokens': 312}
{'loss': 588.0, 'grad_norm_square': 105938.462890625, 'tokens': 332}
{'loss': 416.0, 'grad_norm_square': 78525.28662109375, 'tokens': 272}
{'loss': 366.0, 'grad_norm_square': 73799.7060546875, 'tokens': 258}
{'loss': 536.0, 'grad_norm_square': 85283.46630859375, 'tokens': 314}
{'loss': 364.0, 'grad_norm_square': 48637.87451171875, 'tokens': 261}
{'loss': 462.0, 'grad_norm_square': 119075.7783203125, 'tokens': 291}
{'loss': 596.0, 'grad_norm_square': 119316.880859375, 'tokens': 383}
{'loss': 564.0, 'grad_norm_square': 138530.845703125, 'tokens': 323}
{'loss': 524.0, 'grad_norm_square': 134449.21337890625, 'tokens': 350}
{'loss': 438.0, 'grad_norm_square': 137664.263671875, 'tokens': 358}
{'loss': 414.0, 'grad_norm_square': 93855.02734375, 'tokens': 240}
{'loss': 360.0, 'grad_norm_square': 65644.8525390625, 'tokens': 256}
{'loss': 482.0, 'grad_norm_square': 188511.18798828125, 'tokens': 314}
{'loss': 374.0, 'grad_norm_square': 118390.912109375, 'tokens': 249}
{'loss': 540.0, 'grad_norm_square': 170212.1796875, 'tokens': 352}
{'loss': 540.0, 'grad_norm_square': 151292.779296875, 'tokens': 330}
{'loss': 392.0, 'grad_norm_square': 148267.17919921875, 'tokens': 243}
{'loss': 444.0, 'grad_norm_square': 195317.478515625, 'tokens': 292}
{'loss': 456.0, 'grad_norm_square': 113877.9931640625, 'tokens': 293}
