{'model_params': 8030261248, 'peft_params': 4004864}
{'loss': 432.0, 'grad_norm_square': 497116694708224.0, 'tokens': 258}
{'loss': 6368.0, 'grad_norm_square': 7.458334526552965e+18, 'tokens': 309}
{'loss': 6144.0, 'grad_norm_square': 3.4198198754914304e+16, 'tokens': 427}
{'loss': 2528.0, 'grad_norm_square': 223124803789608.0, 'tokens': 234}
{'loss': 5248.0, 'grad_norm_square': 4310958875546896.0, 'tokens': 318}
{'loss': 4928.0, 'grad_norm_square': 6631846062130560.0, 'tokens': 326}
{'loss': 3360.0, 'grad_norm_square': 22764851960412.625, 'tokens': 308}
{'loss': 3184.0, 'grad_norm_square': 15724082536010.219, 'tokens': 300}
{'loss': 2400.0, 'grad_norm_square': 5039630823817.901, 'tokens': 246}
{'loss': 3440.0, 'grad_norm_square': 6742241276978.109, 'tokens': 348}
{'loss': 3088.0, 'grad_norm_square': 5205837890646.275, 'tokens': 328}
{'loss': 3440.0, 'grad_norm_square': 6623546390546.417, 'tokens': 352}
{'loss': 4288.0, 'grad_norm_square': 14132878723533.527, 'tokens': 419}
{'loss': 3040.0, 'grad_norm_square': 4000565402212.204, 'tokens': 341}
{'loss': 2944.0, 'grad_norm_square': 951522714314.2863, 'tokens': 329}
{'loss': 2912.0, 'grad_norm_square': 672843038310.4895, 'tokens': 335}
{'loss': 2096.0, 'grad_norm_square': 606169284422.8485, 'tokens': 235}
{'loss': 2480.0, 'grad_norm_square': 1319861864191.2922, 'tokens': 263}
{'loss': 2784.0, 'grad_norm_square': 2484318053755.0654, 'tokens': 336}
{'loss': 3696.0, 'grad_norm_square': 1924127383986.3545, 'tokens': 411}
{'loss': 1960.0, 'grad_norm_square': 944163337882.6865, 'tokens': 250}
{'loss': 3072.0, 'grad_norm_square': 712447284198.0121, 'tokens': 377}
{'loss': 2272.0, 'grad_norm_square': 307901967686.61316, 'tokens': 277}
{'loss': 1952.0, 'grad_norm_square': 324193425221.3971, 'tokens': 240}
{'loss': 2784.0, 'grad_norm_square': 730230685240.8142, 'tokens': 323}
{'loss': 2816.0, 'grad_norm_square': 1061104772795.942, 'tokens': 334}
{'loss': 2608.0, 'grad_norm_square': 845317010749.8617, 'tokens': 306}
{'loss': 2672.0, 'grad_norm_square': 644565462484.9825, 'tokens': 325}
{'loss': 3344.0, 'grad_norm_square': 1111463786394.0005, 'tokens': 405}
{'loss': 3120.0, 'grad_norm_square': 517436441079.68756, 'tokens': 374}
{'loss': 1720.0, 'grad_norm_square': 231599466728.34845, 'tokens': 214}
{'loss': 1864.0, 'grad_norm_square': 166291735160.32437, 'tokens': 230}
{'loss': 2784.0, 'grad_norm_square': 389335303381.33887, 'tokens': 360}
{'loss': 2144.0, 'grad_norm_square': 271607678555.01154, 'tokens': 288}
{'loss': 2656.0, 'grad_norm_square': 381870806258.5872, 'tokens': 342}
{'loss': 2096.0, 'grad_norm_square': 216439998130.4006, 'tokens': 261}
{'loss': 2384.0, 'grad_norm_square': 179701064000.34256, 'tokens': 276}
{'loss': 3216.0, 'grad_norm_square': 348272899055.0321, 'tokens': 420}
{'loss': 2128.0, 'grad_norm_square': 138617296353.0402, 'tokens': 266}
{'loss': 2512.0, 'grad_norm_square': 204790593410.2561, 'tokens': 315}
{'loss': 2048.0, 'grad_norm_square': 217647716065.45837, 'tokens': 286}
{'loss': 2960.0, 'grad_norm_square': 471147825566.11774, 'tokens': 385}
{'loss': 2096.0, 'grad_norm_square': 192886523969.3034, 'tokens': 266}
{'loss': 2512.0, 'grad_norm_square': 192715209568.85968, 'tokens': 305}
{'loss': 1576.0, 'grad_norm_square': 81992103136.33374, 'tokens': 206}
{'loss': 2048.0, 'grad_norm_square': 111780438941.92801, 'tokens': 275}
{'loss': 1760.0, 'grad_norm_square': 108724701906.07089, 'tokens': 241}
{'loss': 1912.0, 'grad_norm_square': 83871553232.08925, 'tokens': 253}
{'loss': 1720.0, 'grad_norm_square': 154646485946.07565, 'tokens': 223}
{'loss': 2000.0, 'grad_norm_square': 132289508465.62718, 'tokens': 269}
{'loss': 1720.0, 'grad_norm_square': 144245442641.1531, 'tokens': 248}
{'loss': 3680.0, 'grad_norm_square': 730220390497.1904, 'tokens': 440}
{'loss': 1864.0, 'grad_norm_square': 158846169209.96558, 'tokens': 246}
{'loss': 2320.0, 'grad_norm_square': 282226339436.5552, 'tokens': 287}
{'loss': 1992.0, 'grad_norm_square': 96215817052.26361, 'tokens': 258}
{'loss': 2496.0, 'grad_norm_square': 172193227204.30157, 'tokens': 344}
{'loss': 2560.0, 'grad_norm_square': 197606656351.62405, 'tokens': 342}
{'loss': 2272.0, 'grad_norm_square': 167479656085.00156, 'tokens': 301}
{'loss': 2128.0, 'grad_norm_square': 145268124238.0492, 'tokens': 304}
{'loss': 1944.0, 'grad_norm_square': 144165418318.62714, 'tokens': 246}
{'loss': 2288.0, 'grad_norm_square': 134702950260.95117, 'tokens': 318}
{'loss': 1600.0, 'grad_norm_square': 78354428322.6061, 'tokens': 228}
{'loss': 1520.0, 'grad_norm_square': 109608098467.9271, 'tokens': 217}
{'loss': 1968.0, 'grad_norm_square': 173237069735.64807, 'tokens': 269}
