{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.0, 'grad_norm_square': 28443410432.0, 'tokens': 319}
{'loss': 596.0, 'grad_norm_square': 302063688368.71875, 'tokens': 252}
{'loss': 676.0, 'grad_norm_square': 166612630905.40625, 'tokens': 311}
{'loss': 528.0, 'grad_norm_square': 53009886243.28516, 'tokens': 308}
{'loss': 680.0, 'grad_norm_square': 100871784136.34375, 'tokens': 335}
{'loss': 1128.0, 'grad_norm_square': 1348294998317.25, 'tokens': 434}
{'loss': 10368.0, 'grad_norm_square': 502027932562176.0, 'tokens': 378}
{'loss': 752.0, 'grad_norm_square': 171788676003.875, 'tokens': 299}
{'loss': 1312.0, 'grad_norm_square': 400871032380.4375, 'tokens': 377}
{'loss': 1280.0, 'grad_norm_square': 478493946744.75, 'tokens': 294}
{'loss': 1720.0, 'grad_norm_square': 34215773454944.0, 'tokens': 315}
{'loss': 4048.0, 'grad_norm_square': 66340725103433.5, 'tokens': 328}
{'loss': 1576.0, 'grad_norm_square': 713226873891.5, 'tokens': 394}
{'loss': 868.0, 'grad_norm_square': 524310330972.4375, 'tokens': 291}
{'loss': 1104.0, 'grad_norm_square': 509686549371.375, 'tokens': 274}
{'loss': 1968.0, 'grad_norm_square': 66542385634136.0, 'tokens': 342}
{'loss': 2752.0, 'grad_norm_square': 2706632464060.75, 'tokens': 441}
{'loss': 2960.0, 'grad_norm_square': 1396756403854.5, 'tokens': 360}
{'loss': 2480.0, 'grad_norm_square': 922254530615.625, 'tokens': 306}
{'loss': 1968.0, 'grad_norm_square': 626765669722.625, 'tokens': 343}
{'loss': 1816.0, 'grad_norm_square': 436321153124.125, 'tokens': 230}
{'loss': 3088.0, 'grad_norm_square': 1739045180116.0, 'tokens': 438}
{'loss': 1104.0, 'grad_norm_square': 197491258299.9375, 'tokens': 330}
{'loss': 4480.0, 'grad_norm_square': 370975080581728.0, 'tokens': 488}
{'loss': 2960.0, 'grad_norm_square': 53747431132288.125, 'tokens': 343}
{'loss': 4080.0, 'grad_norm_square': 7944624680159.5, 'tokens': 360}
{'loss': 2064.0, 'grad_norm_square': 884847905250.875, 'tokens': 227}
{'loss': 4048.0, 'grad_norm_square': 2140417806979.0, 'tokens': 400}
{'loss': 2960.0, 'grad_norm_square': 1498476188752.0, 'tokens': 389}
{'loss': 4016.0, 'grad_norm_square': 1055866645328896.0, 'tokens': 347}
{'loss': 2912.0, 'grad_norm_square': 4825920339484.8125, 'tokens': 281}
{'loss': 2352.0, 'grad_norm_square': 3214270674307.6875, 'tokens': 299}
{'loss': 2624.0, 'grad_norm_square': 2757914577785.0, 'tokens': 305}
{'loss': 2384.0, 'grad_norm_square': 3630356473053.4688, 'tokens': 304}
{'loss': 19712.0, 'grad_norm_square': 7520839337556768.0, 'tokens': 289}
{'loss': 9792.0, 'grad_norm_square': 312371916062490.0, 'tokens': 381}
{'loss': 4960.0, 'grad_norm_square': 11050379618723.406, 'tokens': 395}
{'loss': 4672.0, 'grad_norm_square': 117060229730650.5, 'tokens': 267}
{'loss': 5440.0, 'grad_norm_square': 6793922040913.508, 'tokens': 299}
{'loss': 4800.0, 'grad_norm_square': 4776041671772.471, 'tokens': 407}
{'loss': 5440.0, 'grad_norm_square': 4007544017019.4004, 'tokens': 347}
{'loss': 3952.0, 'grad_norm_square': 2022807140320.9907, 'tokens': 248}
{'loss': 3664.0, 'grad_norm_square': 1822873626303.5671, 'tokens': 309}
{'loss': 4016.0, 'grad_norm_square': 3018809117930.608, 'tokens': 335}
{'loss': 4096.0, 'grad_norm_square': 923899718416.1108, 'tokens': 420}
{'loss': 3168.0, 'grad_norm_square': 1365950945067.9543, 'tokens': 293}
{'loss': 2224.0, 'grad_norm_square': 299970202175.27893, 'tokens': 251}
{'loss': 3456.0, 'grad_norm_square': 1467083740814.026, 'tokens': 348}
{'loss': 3360.0, 'grad_norm_square': 2178589733939.3806, 'tokens': 336}
{'loss': 2752.0, 'grad_norm_square': 330211592071.07745, 'tokens': 334}
{'loss': 2272.0, 'grad_norm_square': 400207938489.55365, 'tokens': 312}
{'loss': 2944.0, 'grad_norm_square': 711254530904.065, 'tokens': 332}
{'loss': 2240.0, 'grad_norm_square': 96741524147.26282, 'tokens': 272}
{'loss': 1976.0, 'grad_norm_square': 404243059839.4937, 'tokens': 258}
{'loss': 2480.0, 'grad_norm_square': 653908558664.0431, 'tokens': 314}
{'loss': 1768.0, 'grad_norm_square': 304082187589.12524, 'tokens': 261}
{'loss': 2400.0, 'grad_norm_square': 320762873758.1507, 'tokens': 291}
{'loss': 3168.0, 'grad_norm_square': 639820917403.3918, 'tokens': 383}
{'loss': 2544.0, 'grad_norm_square': 228753338337.02283, 'tokens': 323}
{'loss': 2368.0, 'grad_norm_square': 256757783373.90555, 'tokens': 350}
{'loss': 2368.0, 'grad_norm_square': 1030155149551.9415, 'tokens': 358}
{'loss': 1704.0, 'grad_norm_square': 102458046888.5744, 'tokens': 240}
{'loss': 2000.0, 'grad_norm_square': 489202477697.7174, 'tokens': 256}
{'loss': 2160.0, 'grad_norm_square': 209624585679.96982, 'tokens': 314}
{'loss': 1872.0, 'grad_norm_square': 95997872541.26074, 'tokens': 249}
{'loss': 2432.0, 'grad_norm_square': 229782224260.89908, 'tokens': 352}
{'loss': 2512.0, 'grad_norm_square': 401211579396.36694, 'tokens': 330}
{'loss': 1872.0, 'grad_norm_square': 59067222984.10902, 'tokens': 243}
{'loss': 1656.0, 'grad_norm_square': 54133987818.102325, 'tokens': 292}
{'loss': 2096.0, 'grad_norm_square': 205493545374.90756, 'tokens': 293}
{'loss': 1920.0, 'grad_norm_square': 178162908682.3355, 'tokens': 327}
{'loss': 1976.0, 'grad_norm_square': 280698621443.3753, 'tokens': 310}
{'loss': 1608.0, 'grad_norm_square': 65030120881.642235, 'tokens': 254}
{'loss': 2704.0, 'grad_norm_square': 1193064034004.8203, 'tokens': 433}
{'loss': 2464.0, 'grad_norm_square': 134313009245.64967, 'tokens': 352}
{'loss': 1328.0, 'grad_norm_square': 83364991622.65807, 'tokens': 206}
{'loss': 1896.0, 'grad_norm_square': 304769356797.89246, 'tokens': 243}
{'loss': 1976.0, 'grad_norm_square': 118115579622.07298, 'tokens': 312}
{'loss': 2800.0, 'grad_norm_square': 98418831169.73318, 'tokens': 374}
{'loss': 2040.0, 'grad_norm_square': 1678865417949.0122, 'tokens': 279}
{'loss': 1976.0, 'grad_norm_square': 94978877695.33215, 'tokens': 286}
{'loss': 1776.0, 'grad_norm_square': 92553429002.0954, 'tokens': 288}
{'loss': 2024.0, 'grad_norm_square': 192393997348.19803, 'tokens': 270}
{'loss': 2064.0, 'grad_norm_square': 225984747129.76855, 'tokens': 309}
{'loss': 2112.0, 'grad_norm_square': 184547015881.692, 'tokens': 319}
{'loss': 1288.0, 'grad_norm_square': 16379424225.512651, 'tokens': 210}
{'loss': 1952.0, 'grad_norm_square': 274034833207.23447, 'tokens': 347}
{'loss': 2048.0, 'grad_norm_square': 472771238901.6773, 'tokens': 336}
{'loss': 2576.0, 'grad_norm_square': 381038113168.70026, 'tokens': 375}
{'loss': 1480.0, 'grad_norm_square': 57527373457.4126, 'tokens': 237}
{'loss': 2816.0, 'grad_norm_square': 245233582419.2844, 'tokens': 464}
{'loss': 2336.0, 'grad_norm_square': 202182983319.72925, 'tokens': 354}
{'loss': 1728.0, 'grad_norm_square': 33833684271.191326, 'tokens': 300}
{'loss': 2400.0, 'grad_norm_square': 202269232121.62463, 'tokens': 419}
{'loss': 1944.0, 'grad_norm_square': 165365713188.7879, 'tokens': 338}
{'loss': 1784.0, 'grad_norm_square': 71520104583.17734, 'tokens': 314}
{'loss': 2040.0, 'grad_norm_square': 59239621127.05292, 'tokens': 334}
{'loss': 1960.0, 'grad_norm_square': 61397310840.24502, 'tokens': 354}
{'loss': 2976.0, 'grad_norm_square': 111149747832.73073, 'tokens': 389}
{'loss': 2128.0, 'grad_norm_square': 86582373017.01445, 'tokens': 348}
{'loss': 2688.0, 'grad_norm_square': 201194359511.2785, 'tokens': 431}
{'loss': 1416.0, 'grad_norm_square': 50809202445.07164, 'tokens': 254}
{'loss': 2496.0, 'grad_norm_square': 267275278801.6263, 'tokens': 408}
{'loss': 2128.0, 'grad_norm_square': 173558910166.86453, 'tokens': 378}
{'loss': 2448.0, 'grad_norm_square': 56244860387.58322, 'tokens': 412}
{'loss': 1984.0, 'grad_norm_square': 135136493727.70729, 'tokens': 319}
{'loss': 2528.0, 'grad_norm_square': 193945023988.14297, 'tokens': 389}
{'loss': 2496.0, 'grad_norm_square': 76889487586.44292, 'tokens': 379}
{'loss': 1160.0, 'grad_norm_square': 31124823329.850563, 'tokens': 230}
{'loss': 1784.0, 'grad_norm_square': 53667341635.33545, 'tokens': 328}
{'loss': 1640.0, 'grad_norm_square': 123698615998.42288, 'tokens': 279}
{'loss': 1608.0, 'grad_norm_square': 56992987703.73427, 'tokens': 289}
{'loss': 2024.0, 'grad_norm_square': 92260922950.49557, 'tokens': 406}
{'loss': 1632.0, 'grad_norm_square': 59890269524.67938, 'tokens': 284}
{'loss': 1912.0, 'grad_norm_square': 28844474919.548225, 'tokens': 300}
{'loss': 1552.0, 'grad_norm_square': 34026619962.605534, 'tokens': 263}
{'loss': 1664.0, 'grad_norm_square': 31673851185.758183, 'tokens': 315}
{'loss': 1856.0, 'grad_norm_square': 91225360344.80165, 'tokens': 289}
{'loss': 1616.0, 'grad_norm_square': 49760572452.97452, 'tokens': 287}
{'loss': 3168.0, 'grad_norm_square': 58625691990.686775, 'tokens': 445}
{'loss': 1944.0, 'grad_norm_square': 90903810781.2553, 'tokens': 312}
{'loss': 2384.0, 'grad_norm_square': 76653743949.23613, 'tokens': 386}
{'loss': 1352.0, 'grad_norm_square': 18182136332.173557, 'tokens': 246}
{'loss': 2016.0, 'grad_norm_square': 48967873316.48319, 'tokens': 366}
{'loss': 2080.0, 'grad_norm_square': 87112120663.87534, 'tokens': 367}
{'loss': 1920.0, 'grad_norm_square': 52649472341.459785, 'tokens': 387}
{'loss': 1592.0, 'grad_norm_square': 42903861870.44495, 'tokens': 288}
{'loss': 1648.0, 'grad_norm_square': 40559236611.12457, 'tokens': 284}
{'loss': 1800.0, 'grad_norm_square': 25347157082.35541, 'tokens': 291}
{'loss': 1552.0, 'grad_norm_square': 39273735754.82912, 'tokens': 313}
{'loss': 2432.0, 'grad_norm_square': 163985624972.27448, 'tokens': 404}
{'loss': 1480.0, 'grad_norm_square': 57211205149.139305, 'tokens': 301}
{'loss': 2528.0, 'grad_norm_square': 134263051741.60522, 'tokens': 417}
{'loss': 1480.0, 'grad_norm_square': 15210817886.817535, 'tokens': 269}
{'loss': 1488.0, 'grad_norm_square': 38802561538.27269, 'tokens': 286}
{'loss': 1456.0, 'grad_norm_square': 49774378778.269066, 'tokens': 282}
{'loss': 1744.0, 'grad_norm_square': 76810235487.3869, 'tokens': 330}
{'loss': 2384.0, 'grad_norm_square': 53863740200.832886, 'tokens': 420}
{'loss': 1800.0, 'grad_norm_square': 92656318647.41882, 'tokens': 342}
{'loss': 1952.0, 'grad_norm_square': 219661317649.78766, 'tokens': 366}
{'loss': 1376.0, 'grad_norm_square': 33196054341.492813, 'tokens': 267}
{'loss': 1448.0, 'grad_norm_square': 87398722204.66211, 'tokens': 284}
{'loss': 1112.0, 'grad_norm_square': 41562975824.77744, 'tokens': 226}
{'loss': 1352.0, 'grad_norm_square': 67792051214.05293, 'tokens': 249}
{'loss': 2768.0, 'grad_norm_square': 86977901002.92093, 'tokens': 477}
{'loss': 1592.0, 'grad_norm_square': 208873750710.54318, 'tokens': 305}
{'loss': 1672.0, 'grad_norm_square': 31437225444.413307, 'tokens': 300}
{'loss': 2144.0, 'grad_norm_square': 155322993212.12762, 'tokens': 339}
{'loss': 2208.0, 'grad_norm_square': 104164034367.5863, 'tokens': 331}
{'loss': 1488.0, 'grad_norm_square': 1215121772331.5376, 'tokens': 307}
{'loss': 1656.0, 'grad_norm_square': 140265458559.66193, 'tokens': 314}
{'loss': 1240.0, 'grad_norm_square': 43326249638.572685, 'tokens': 273}
{'loss': 2208.0, 'grad_norm_square': 245036226845.63547, 'tokens': 370}
{'loss': 2192.0, 'grad_norm_square': 167256828952.8328, 'tokens': 358}
{'loss': 2864.0, 'grad_norm_square': 929938221141.9746, 'tokens': 471}
{'loss': 1888.0, 'grad_norm_square': 336441403987.4724, 'tokens': 362}
{'loss': 1776.0, 'grad_norm_square': 72544753337.68016, 'tokens': 354}
{'loss': 1904.0, 'grad_norm_square': 259695767087.95374, 'tokens': 332}
{'loss': 1232.0, 'grad_norm_square': 119216277084.02048, 'tokens': 241}
{'loss': 1936.0, 'grad_norm_square': 114914455985.11996, 'tokens': 342}
{'loss': 1384.0, 'grad_norm_square': 175117516515.37137, 'tokens': 226}
{'loss': 1520.0, 'grad_norm_square': 54602153274.40073, 'tokens': 282}
{'loss': 1128.0, 'grad_norm_square': 56386749233.77836, 'tokens': 228}
{'loss': 1952.0, 'grad_norm_square': 101242152776.93924, 'tokens': 360}
{'loss': 1992.0, 'grad_norm_square': 77768393933.33429, 'tokens': 359}
{'loss': 1896.0, 'grad_norm_square': 382716375747.9156, 'tokens': 356}
{'loss': 1944.0, 'grad_norm_square': 204279750224.74734, 'tokens': 352}
{'loss': 1752.0, 'grad_norm_square': 106203660043.55106, 'tokens': 321}
{'loss': 2320.0, 'grad_norm_square': 206538546070.70584, 'tokens': 391}
{'loss': 1592.0, 'grad_norm_square': 26475953499.74967, 'tokens': 264}
{'loss': 1984.0, 'grad_norm_square': 130020394626.91629, 'tokens': 350}
{'loss': 1472.0, 'grad_norm_square': 71690320817.58464, 'tokens': 239}
{'loss': 1360.0, 'grad_norm_square': 17529772650.924515, 'tokens': 258}
{'loss': 1960.0, 'grad_norm_square': 112659443520.36552, 'tokens': 329}
{'loss': 1568.0, 'grad_norm_square': 84608073387.3936, 'tokens': 323}
{'loss': 2336.0, 'grad_norm_square': 47074233049.711975, 'tokens': 426}
{'loss': 1560.0, 'grad_norm_square': 99036723123.86676, 'tokens': 335}
{'loss': 1328.0, 'grad_norm_square': 54458809628.50754, 'tokens': 247}
{'loss': 1424.0, 'grad_norm_square': 17680052747.33339, 'tokens': 273}
{'loss': 1296.0, 'grad_norm_square': 53053804369.310104, 'tokens': 261}
{'loss': 1544.0, 'grad_norm_square': 100495597785.66711, 'tokens': 290}
{'loss': 1368.0, 'grad_norm_square': 28313777278.105637, 'tokens': 307}
{'loss': 1568.0, 'grad_norm_square': 47833536726.78946, 'tokens': 302}
{'loss': 1616.0, 'grad_norm_square': 87400348184.15854, 'tokens': 335}
{'loss': 1584.0, 'grad_norm_square': 27109164296.743988, 'tokens': 316}
{'loss': 2240.0, 'grad_norm_square': 101439885012.37732, 'tokens': 387}
{'loss': 1472.0, 'grad_norm_square': 67009774394.1582, 'tokens': 356}
{'loss': 1888.0, 'grad_norm_square': 27469100831.02382, 'tokens': 345}
{'loss': 1968.0, 'grad_norm_square': 59148150709.59067, 'tokens': 373}
{'loss': 1984.0, 'grad_norm_square': 46029240132.0184, 'tokens': 406}
{'loss': 1728.0, 'grad_norm_square': 80185241795.21039, 'tokens': 335}
{'loss': 1632.0, 'grad_norm_square': 49435270066.8313, 'tokens': 331}
{'loss': 2128.0, 'grad_norm_square': 46841423182.145386, 'tokens': 407}
{'loss': 1864.0, 'grad_norm_square': 37273911980.80945, 'tokens': 377}
{'loss': 1168.0, 'grad_norm_square': 33766646850.859024, 'tokens': 244}
{'loss': 1336.0, 'grad_norm_square': 43032030874.30914, 'tokens': 321}
