{'model_params': 2506172416, 'peft_params': 549360}
{'loss': 580.0, 'grad_norm_square': 121856.0, 'tokens': 455}
{'loss': 422.0, 'grad_norm_square': 201728.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 260096.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 160768.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 97280.0, 'tokens': 327}
{'loss': 382.0, 'grad_norm_square': 97280.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 148480.0, 'tokens': 457}
{'loss': 320.0, 'grad_norm_square': 138240.0, 'tokens': 255}
{'loss': 552.0, 'grad_norm_square': 164864.0, 'tokens': 437}
{'loss': 392.0, 'grad_norm_square': 168960.0, 'tokens': 371}
{'loss': 688.0, 'grad_norm_square': 161792.0, 'tokens': 471}
{'loss': 600.0, 'grad_norm_square': 148480.0, 'tokens': 452}
{'loss': 312.0, 'grad_norm_square': 83456.0, 'tokens': 261}
{'loss': 680.0, 'grad_norm_square': 144384.0, 'tokens': 419}
{'loss': 732.0, 'grad_norm_square': 218112.0, 'tokens': 450}
{'loss': 536.0, 'grad_norm_square': 141312.0, 'tokens': 446}
{'loss': 732.0, 'grad_norm_square': 122880.0, 'tokens': 452}
{'loss': 286.0, 'grad_norm_square': 92672.0, 'tokens': 262}
{'loss': 536.0, 'grad_norm_square': 145408.0, 'tokens': 375}
{'loss': 624.0, 'grad_norm_square': 161792.0, 'tokens': 405}
{'loss': 572.0, 'grad_norm_square': 121344.0, 'tokens': 409}
{'loss': 532.0, 'grad_norm_square': 128000.0, 'tokens': 410}
{'loss': 596.0, 'grad_norm_square': 121856.0, 'tokens': 429}
{'loss': 572.0, 'grad_norm_square': 122368.0, 'tokens': 408}
{'loss': 576.0, 'grad_norm_square': 193536.0, 'tokens': 427}
{'loss': 804.0, 'grad_norm_square': 201728.0, 'tokens': 445}
{'loss': 712.0, 'grad_norm_square': 350208.0, 'tokens': 461}
{'loss': 648.0, 'grad_norm_square': 156672.0, 'tokens': 444}
{'loss': 640.0, 'grad_norm_square': 137216.0, 'tokens': 459}
{'loss': 394.0, 'grad_norm_square': 80896.0, 'tokens': 295}
{'loss': 644.0, 'grad_norm_square': 116224.0, 'tokens': 420}
{'loss': 760.0, 'grad_norm_square': 234496.0, 'tokens': 476}
{'loss': 588.0, 'grad_norm_square': 110080.0, 'tokens': 430}
{'loss': 628.0, 'grad_norm_square': 155648.0, 'tokens': 441}
{'loss': 524.0, 'grad_norm_square': 116736.0, 'tokens': 402}
{'loss': 498.0, 'grad_norm_square': 90624.0, 'tokens': 328}
{'loss': 552.0, 'grad_norm_square': 102400.0, 'tokens': 453}
{'loss': 372.0, 'grad_norm_square': 70656.0, 'tokens': 375}
{'loss': 572.0, 'grad_norm_square': 104448.0, 'tokens': 434}
{'loss': 462.0, 'grad_norm_square': 105984.0, 'tokens': 383}
{'loss': 524.0, 'grad_norm_square': 97280.0, 'tokens': 411}
{'loss': 632.0, 'grad_norm_square': 207872.0, 'tokens': 469}
{'loss': 528.0, 'grad_norm_square': 149504.0, 'tokens': 392}
{'loss': 568.0, 'grad_norm_square': 113664.0, 'tokens': 460}
{'loss': 474.0, 'grad_norm_square': 110592.0, 'tokens': 398}
{'loss': 308.0, 'grad_norm_square': 96768.0, 'tokens': 284}
{'loss': 258.0, 'grad_norm_square': 205824.0, 'tokens': 275}
{'loss': 700.0, 'grad_norm_square': 152576.0, 'tokens': 435}
{'loss': 270.0, 'grad_norm_square': 60928.0, 'tokens': 287}
{'loss': 596.0, 'grad_norm_square': 120832.0, 'tokens': 440}
{'loss': 444.0, 'grad_norm_square': 92672.0, 'tokens': 326}
