{'model_params': 2506172416, 'peft_params': 1775088}
{'loss': 466.0, 'grad_norm_square': 135462912.0, 'tokens': 319}
{'loss': 406.0, 'grad_norm_square': 99022171.09375, 'tokens': 252}
{'loss': 334.0, 'grad_norm_square': 127540267.125, 'tokens': 311}
{'loss': 350.0, 'grad_norm_square': 104847884.0, 'tokens': 308}
{'loss': 520.0, 'grad_norm_square': 242802180.5, 'tokens': 335}
{'loss': 632.0, 'grad_norm_square': 224334988.5, 'tokens': 434}
{'loss': 390.0, 'grad_norm_square': 229697262.5, 'tokens': 378}
{'loss': 352.0, 'grad_norm_square': 147393562.5, 'tokens': 299}
{'loss': 398.0, 'grad_norm_square': 291211074.0, 'tokens': 377}
{'loss': 376.0, 'grad_norm_square': 229337000.5, 'tokens': 294}
{'loss': 290.0, 'grad_norm_square': 166967256.25, 'tokens': 315}
{'loss': 292.0, 'grad_norm_square': 118137238.0, 'tokens': 328}
{'loss': 380.0, 'grad_norm_square': 247166105.5, 'tokens': 394}
{'loss': 290.0, 'grad_norm_square': 400673950.5, 'tokens': 291}
{'loss': 270.0, 'grad_norm_square': 153868569.0, 'tokens': 274}
{'loss': 372.0, 'grad_norm_square': 303819825.5, 'tokens': 342}
{'loss': 306.0, 'grad_norm_square': 361759219.5, 'tokens': 441}
{'loss': 368.0, 'grad_norm_square': 216778333.0, 'tokens': 360}
{'loss': 332.0, 'grad_norm_square': 167077368.5, 'tokens': 306}
{'loss': 276.0, 'grad_norm_square': 96593876.375, 'tokens': 343}
{'loss': 211.0, 'grad_norm_square': 101083048.0, 'tokens': 230}
{'loss': 414.0, 'grad_norm_square': 245904967.0, 'tokens': 438}
{'loss': 308.0, 'grad_norm_square': 106372686.0, 'tokens': 330}
{'loss': 478.0, 'grad_norm_square': 200897652.0, 'tokens': 488}
{'loss': 308.0, 'grad_norm_square': 118717756.0, 'tokens': 343}
{'loss': 410.0, 'grad_norm_square': 212417039.0, 'tokens': 360}
{'loss': 244.0, 'grad_norm_square': 93626593.5, 'tokens': 227}
{'loss': 450.0, 'grad_norm_square': 167245002.0, 'tokens': 400}
{'loss': 296.0, 'grad_norm_square': 121507539.5, 'tokens': 389}
{'loss': 350.0, 'grad_norm_square': 113432570.5, 'tokens': 347}
{'loss': 308.0, 'grad_norm_square': 79150730.5, 'tokens': 281}
{'loss': 224.0, 'grad_norm_square': 60478061.75, 'tokens': 299}
{'loss': 324.0, 'grad_norm_square': 96009303.0, 'tokens': 305}
{'loss': 422.0, 'grad_norm_square': 254460578.0, 'tokens': 304}
{'loss': 218.0, 'grad_norm_square': 63591003.0, 'tokens': 289}
{'loss': 448.0, 'grad_norm_square': 134581512.0, 'tokens': 381}
{'loss': 332.0, 'grad_norm_square': 114433954.5, 'tokens': 395}
{'loss': 260.0, 'grad_norm_square': 73199510.0, 'tokens': 267}
{'loss': 366.0, 'grad_norm_square': 116533830.0, 'tokens': 299}
{'loss': 398.0, 'grad_norm_square': 160584986.0, 'tokens': 407}
{'loss': 352.0, 'grad_norm_square': 234255902.5, 'tokens': 347}
{'loss': 226.0, 'grad_norm_square': 102487605.0, 'tokens': 248}
{'loss': 406.0, 'grad_norm_square': 199220609.0, 'tokens': 309}
{'loss': 334.0, 'grad_norm_square': 75721143.0, 'tokens': 335}
{'loss': 380.0, 'grad_norm_square': 443620544.0, 'tokens': 420}
{'loss': 302.0, 'grad_norm_square': 117846854.0, 'tokens': 293}
{'loss': 245.0, 'grad_norm_square': 71722755.0, 'tokens': 251}
{'loss': 372.0, 'grad_norm_square': 117376427.0, 'tokens': 348}
{'loss': 460.0, 'grad_norm_square': 108374235.5, 'tokens': 336}
{'loss': 342.0, 'grad_norm_square': 100013274.0, 'tokens': 334}
{'loss': 270.0, 'grad_norm_square': 87377996.0, 'tokens': 312}
{'loss': 420.0, 'grad_norm_square': 124623536.0, 'tokens': 332}
{'loss': 245.0, 'grad_norm_square': 63117237.0, 'tokens': 272}
{'loss': 190.0, 'grad_norm_square': 56392133.0, 'tokens': 258}
{'loss': 372.0, 'grad_norm_square': 98289933.0, 'tokens': 314}
{'loss': 214.0, 'grad_norm_square': 61994759.5, 'tokens': 261}
{'loss': 290.0, 'grad_norm_square': 82283785.5, 'tokens': 291}
{'loss': 456.0, 'grad_norm_square': 194849619.5, 'tokens': 383}
{'loss': 378.0, 'grad_norm_square': 81932925.25, 'tokens': 323}
{'loss': 348.0, 'grad_norm_square': 105901673.5, 'tokens': 350}
{'loss': 284.0, 'grad_norm_square': 60470532.5, 'tokens': 358}
{'loss': 262.0, 'grad_norm_square': 71193471.75, 'tokens': 240}
{'loss': 230.0, 'grad_norm_square': 68734783.0, 'tokens': 256}
{'loss': 316.0, 'grad_norm_square': 81376798.25, 'tokens': 314}
{'loss': 227.0, 'grad_norm_square': 42319846.25, 'tokens': 249}
{'loss': 358.0, 'grad_norm_square': 113161897.75, 'tokens': 352}
{'loss': 356.0, 'grad_norm_square': 122742128.25, 'tokens': 330}
{'loss': 266.0, 'grad_norm_square': 95115124.5, 'tokens': 243}
{'loss': 268.0, 'grad_norm_square': 76395597.25, 'tokens': 292}
{'loss': 316.0, 'grad_norm_square': 76689996.0, 'tokens': 293}
{'loss': 296.0, 'grad_norm_square': 124460857.5, 'tokens': 327}
{'loss': 342.0, 'grad_norm_square': 93867943.5, 'tokens': 310}
{'loss': 276.0, 'grad_norm_square': 84017534.0, 'tokens': 254}
{'loss': 432.0, 'grad_norm_square': 113941622.0, 'tokens': 433}
{'loss': 402.0, 'grad_norm_square': 74338985.25, 'tokens': 352}
{'loss': 202.0, 'grad_norm_square': 45475993.75, 'tokens': 206}
{'loss': 286.0, 'grad_norm_square': 76387276.0, 'tokens': 243}
{'loss': 308.0, 'grad_norm_square': 75850583.75, 'tokens': 312}
{'loss': 442.0, 'grad_norm_square': 101800986.0, 'tokens': 374}
{'loss': 316.0, 'grad_norm_square': 73891148.0, 'tokens': 279}
{'loss': 216.0, 'grad_norm_square': 38690860.5, 'tokens': 286}
{'loss': 243.0, 'grad_norm_square': 54751645.5, 'tokens': 288}
{'loss': 262.0, 'grad_norm_square': 41238064.0, 'tokens': 270}
{'loss': 324.0, 'grad_norm_square': 43037887.0, 'tokens': 309}
{'loss': 314.0, 'grad_norm_square': 68033270.75, 'tokens': 319}
{'loss': 187.0, 'grad_norm_square': 35429006.125, 'tokens': 210}
{'loss': 284.0, 'grad_norm_square': 71568535.0, 'tokens': 347}
{'loss': 234.0, 'grad_norm_square': 68764322.5, 'tokens': 336}
{'loss': 354.0, 'grad_norm_square': 111079977.0, 'tokens': 375}
{'loss': 199.0, 'grad_norm_square': 43265110.0, 'tokens': 237}
{'loss': 516.0, 'grad_norm_square': 155773251.5, 'tokens': 464}
{'loss': 282.0, 'grad_norm_square': 54474556.75, 'tokens': 354}
{'loss': 282.0, 'grad_norm_square': 54413849.0, 'tokens': 300}
{'loss': 306.0, 'grad_norm_square': 59270825.0, 'tokens': 419}
{'loss': 308.0, 'grad_norm_square': 89892762.0, 'tokens': 338}
{'loss': 308.0, 'grad_norm_square': 57054626.0, 'tokens': 314}
{'loss': 398.0, 'grad_norm_square': 88200858.0, 'tokens': 334}
{'loss': 328.0, 'grad_norm_square': 45516295.5, 'tokens': 354}
{'loss': 482.0, 'grad_norm_square': 138864496.0, 'tokens': 389}
{'loss': 266.0, 'grad_norm_square': 44743561.25, 'tokens': 348}
{'loss': 336.0, 'grad_norm_square': 110822632.0, 'tokens': 431}
{'loss': 243.0, 'grad_norm_square': 2154895784.0, 'tokens': 254}
{'loss': 324.0, 'grad_norm_square': 56523660.0, 'tokens': 408}
{'loss': 352.0, 'grad_norm_square': 133205870.0, 'tokens': 378}
{'loss': 288.0, 'grad_norm_square': 46988577.0, 'tokens': 412}
{'loss': 330.0, 'grad_norm_square': 51021966.0, 'tokens': 319}
{'loss': 354.0, 'grad_norm_square': 63543999.5, 'tokens': 389}
{'loss': 392.0, 'grad_norm_square': 74513046.0, 'tokens': 379}
{'loss': 182.0, 'grad_norm_square': 29338032.25, 'tokens': 230}
{'loss': 236.0, 'grad_norm_square': 41449302.625, 'tokens': 328}
{'loss': 264.0, 'grad_norm_square': 51387352.0, 'tokens': 279}
{'loss': 252.0, 'grad_norm_square': 70825447.0, 'tokens': 289}
{'loss': 342.0, 'grad_norm_square': 63733636.0, 'tokens': 406}
{'loss': 282.0, 'grad_norm_square': 46633211.75, 'tokens': 284}
{'loss': 364.0, 'grad_norm_square': 64132437.0, 'tokens': 300}
{'loss': 270.0, 'grad_norm_square': 64305506.0, 'tokens': 263}
{'loss': 312.0, 'grad_norm_square': 75898506.0, 'tokens': 315}
{'loss': 304.0, 'grad_norm_square': 58154367.0, 'tokens': 289}
{'loss': 274.0, 'grad_norm_square': 55543438.75, 'tokens': 287}
{'loss': 516.0, 'grad_norm_square': 188082352.0, 'tokens': 445}
{'loss': 298.0, 'grad_norm_square': 61965734.0, 'tokens': 312}
{'loss': 338.0, 'grad_norm_square': 81251853.0, 'tokens': 386}
{'loss': 198.0, 'grad_norm_square': 55743962.5, 'tokens': 246}
{'loss': 370.0, 'grad_norm_square': 69623986.75, 'tokens': 366}
{'loss': 400.0, 'grad_norm_square': 101001363.0, 'tokens': 367}
{'loss': 290.0, 'grad_norm_square': 59119956.5, 'tokens': 387}
