{'model_params': 2506172416, 'peft_params': 10515456}
{'loss': 466.0, 'grad_norm_square': 866367.21875, 'tokens': 319}
{'loss': 424.0, 'grad_norm_square': 880058.6697998047, 'tokens': 252}
{'loss': 376.0, 'grad_norm_square': 1448677.5434570312, 'tokens': 311}
{'loss': 406.0, 'grad_norm_square': 701620.650390625, 'tokens': 308}
{'loss': 576.0, 'grad_norm_square': 968977.1484375, 'tokens': 335}
{'loss': 668.0, 'grad_norm_square': 687106.970703125, 'tokens': 434}
{'loss': 430.0, 'grad_norm_square': 643208.400390625, 'tokens': 378}
{'loss': 412.0, 'grad_norm_square': 404627.87109375, 'tokens': 299}
{'loss': 452.0, 'grad_norm_square': 672262.76953125, 'tokens': 377}
{'loss': 436.0, 'grad_norm_square': 537085.642578125, 'tokens': 294}
{'loss': 352.0, 'grad_norm_square': 460880.70703125, 'tokens': 315}
{'loss': 374.0, 'grad_norm_square': 519225.74609375, 'tokens': 328}
{'loss': 438.0, 'grad_norm_square': 503151.591796875, 'tokens': 394}
{'loss': 352.0, 'grad_norm_square': 699986.025390625, 'tokens': 291}
{'loss': 350.0, 'grad_norm_square': 366288.884765625, 'tokens': 274}
{'loss': 432.0, 'grad_norm_square': 610640.970703125, 'tokens': 342}
{'loss': 350.0, 'grad_norm_square': 390370.587890625, 'tokens': 441}
{'loss': 454.0, 'grad_norm_square': 580476.94140625, 'tokens': 360}
{'loss': 390.0, 'grad_norm_square': 490738.55078125, 'tokens': 306}
{'loss': 318.0, 'grad_norm_square': 315536.2802734375, 'tokens': 343}
{'loss': 274.0, 'grad_norm_square': 349728.654296875, 'tokens': 230}
{'loss': 482.0, 'grad_norm_square': 1194740.703125, 'tokens': 438}
{'loss': 366.0, 'grad_norm_square': 450590.0078125, 'tokens': 330}
{'loss': 540.0, 'grad_norm_square': 1208745.41015625, 'tokens': 488}
{'loss': 344.0, 'grad_norm_square': 509182.8984375, 'tokens': 343}
{'loss': 438.0, 'grad_norm_square': 560493.515625, 'tokens': 360}
{'loss': 284.0, 'grad_norm_square': 473545.1484375, 'tokens': 227}
{'loss': 478.0, 'grad_norm_square': 639892.712890625, 'tokens': 400}
{'loss': 324.0, 'grad_norm_square': 465731.8359375, 'tokens': 389}
{'loss': 388.0, 'grad_norm_square': 580965.04296875, 'tokens': 347}
{'loss': 336.0, 'grad_norm_square': 411824.708984375, 'tokens': 281}
{'loss': 241.0, 'grad_norm_square': 357719.1875, 'tokens': 299}
{'loss': 360.0, 'grad_norm_square': 515979.6875, 'tokens': 305}
{'loss': 434.0, 'grad_norm_square': 713447.43359375, 'tokens': 304}
{'loss': 232.0, 'grad_norm_square': 370505.064453125, 'tokens': 289}
{'loss': 484.0, 'grad_norm_square': 777122.046875, 'tokens': 381}
{'loss': 356.0, 'grad_norm_square': 649039.421875, 'tokens': 395}
{'loss': 270.0, 'grad_norm_square': 368019.228515625, 'tokens': 267}
{'loss': 388.0, 'grad_norm_square': 599787.875, 'tokens': 299}
{'loss': 428.0, 'grad_norm_square': 1082818.2734375, 'tokens': 407}
{'loss': 372.0, 'grad_norm_square': 715572.91015625, 'tokens': 347}
{'loss': 231.0, 'grad_norm_square': 397296.7265625, 'tokens': 248}
{'loss': 404.0, 'grad_norm_square': 947621.9921875, 'tokens': 309}
{'loss': 352.0, 'grad_norm_square': 535660.32421875, 'tokens': 335}
{'loss': 388.0, 'grad_norm_square': 1188957.701171875, 'tokens': 420}
{'loss': 306.0, 'grad_norm_square': 597983.119140625, 'tokens': 293}
{'loss': 258.0, 'grad_norm_square': 461479.2265625, 'tokens': 251}
{'loss': 370.0, 'grad_norm_square': 589407.76953125, 'tokens': 348}
{'loss': 460.0, 'grad_norm_square': 803855.287109375, 'tokens': 336}
{'loss': 344.0, 'grad_norm_square': 519626.337890625, 'tokens': 334}
{'loss': 272.0, 'grad_norm_square': 432830.615234375, 'tokens': 312}
{'loss': 438.0, 'grad_norm_square': 783327.828125, 'tokens': 332}
{'loss': 250.0, 'grad_norm_square': 391517.794921875, 'tokens': 272}
{'loss': 198.0, 'grad_norm_square': 534578.384765625, 'tokens': 258}
{'loss': 384.0, 'grad_norm_square': 559634.1484375, 'tokens': 314}
{'loss': 216.0, 'grad_norm_square': 322030.296875, 'tokens': 261}
{'loss': 296.0, 'grad_norm_square': 668224.68359375, 'tokens': 291}
{'loss': 464.0, 'grad_norm_square': 1036360.140625, 'tokens': 383}
{'loss': 398.0, 'grad_norm_square': 938941.75, 'tokens': 323}
{'loss': 364.0, 'grad_norm_square': 687495.69921875, 'tokens': 350}
{'loss': 288.0, 'grad_norm_square': 509536.09375, 'tokens': 358}
{'loss': 266.0, 'grad_norm_square': 455751.203125, 'tokens': 240}
{'loss': 229.0, 'grad_norm_square': 371136.943359375, 'tokens': 256}
{'loss': 314.0, 'grad_norm_square': 499786.064453125, 'tokens': 314}
{'loss': 234.0, 'grad_norm_square': 307303.79296875, 'tokens': 249}
{'loss': 370.0, 'grad_norm_square': 862444.26171875, 'tokens': 352}
{'loss': 364.0, 'grad_norm_square': 779725.029296875, 'tokens': 330}
{'loss': 266.0, 'grad_norm_square': 525674.046875, 'tokens': 243}
{'loss': 280.0, 'grad_norm_square': 695444.21875, 'tokens': 292}
{'loss': 320.0, 'grad_norm_square': 684171.380859375, 'tokens': 293}
{'loss': 310.0, 'grad_norm_square': 717812.765625, 'tokens': 327}
{'loss': 332.0, 'grad_norm_square': 515796.291015625, 'tokens': 310}
{'loss': 292.0, 'grad_norm_square': 890946.96875, 'tokens': 254}
{'loss': 440.0, 'grad_norm_square': 900127.16015625, 'tokens': 433}
{'loss': 400.0, 'grad_norm_square': 528027.44140625, 'tokens': 352}
{'loss': 214.0, 'grad_norm_square': 366103.037109375, 'tokens': 206}
{'loss': 290.0, 'grad_norm_square': 581103.7578125, 'tokens': 243}
{'loss': 304.0, 'grad_norm_square': 545576.23046875, 'tokens': 312}
{'loss': 438.0, 'grad_norm_square': 1022636.640625, 'tokens': 374}
{'loss': 322.0, 'grad_norm_square': 679260.70703125, 'tokens': 279}
{'loss': 214.0, 'grad_norm_square': 352273.8359375, 'tokens': 286}
{'loss': 239.0, 'grad_norm_square': 429985.287109375, 'tokens': 288}
{'loss': 270.0, 'grad_norm_square': 378600.9765625, 'tokens': 270}
{'loss': 326.0, 'grad_norm_square': 392126.76171875, 'tokens': 309}
{'loss': 312.0, 'grad_norm_square': 604518.51171875, 'tokens': 319}
