{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 211571712.0, 'tokens': 319}
{'loss': 358.1092529296875, 'grad_norm_square': 89404645.5, 'tokens': 252}
{'loss': 293.53729248046875, 'grad_norm_square': 108278501.0, 'tokens': 311}
{'loss': 318.54638671875, 'grad_norm_square': 83778236.0, 'tokens': 308}
{'loss': 486.0248718261719, 'grad_norm_square': 206882224.0, 'tokens': 335}
{'loss': 618.329345703125, 'grad_norm_square': 166018016.0, 'tokens': 434}
{'loss': 372.00091552734375, 'grad_norm_square': 148947636.0, 'tokens': 378}
{'loss': 335.9776611328125, 'grad_norm_square': 72093868.0, 'tokens': 299}
{'loss': 392.65667724609375, 'grad_norm_square': 147100968.0, 'tokens': 377}
{'loss': 360.0546875, 'grad_norm_square': 102664716.0, 'tokens': 294}
{'loss': 283.8232421875, 'grad_norm_square': 58553660.0, 'tokens': 315}
{'loss': 292.7409973144531, 'grad_norm_square': 52804560.0, 'tokens': 328}
{'loss': 370.6417236328125, 'grad_norm_square': 73375156.0, 'tokens': 394}
{'loss': 286.8034362792969, 'grad_norm_square': 74374008.0, 'tokens': 291}
{'loss': 266.18243408203125, 'grad_norm_square': 54521732.0, 'tokens': 274}
{'loss': 365.01361083984375, 'grad_norm_square': 116678784.0, 'tokens': 342}
{'loss': 298.713134765625, 'grad_norm_square': 70228794.0, 'tokens': 441}
{'loss': 356.86407470703125, 'grad_norm_square': 82438044.0, 'tokens': 360}
{'loss': 332.094482421875, 'grad_norm_square': 69294588.0, 'tokens': 306}
{'loss': 271.9283447265625, 'grad_norm_square': 43309876.0, 'tokens': 343}
{'loss': 201.39862060546875, 'grad_norm_square': 41658696.0, 'tokens': 230}
{'loss': 420.72271728515625, 'grad_norm_square': 174738272.0, 'tokens': 438}
{'loss': 308.60968017578125, 'grad_norm_square': 56385674.0, 'tokens': 330}
{'loss': 475.1171875, 'grad_norm_square': 113898528.0, 'tokens': 488}
{'loss': 309.163818359375, 'grad_norm_square': 70884448.0, 'tokens': 343}
{'loss': 409.51239013671875, 'grad_norm_square': 98970792.0, 'tokens': 360}
{'loss': 250.30496215820312, 'grad_norm_square': 73792612.0, 'tokens': 227}
{'loss': 456.00396728515625, 'grad_norm_square': 101324280.0, 'tokens': 400}
{'loss': 298.3675537109375, 'grad_norm_square': 57086264.0, 'tokens': 389}
{'loss': 347.7254333496094, 'grad_norm_square': 69884784.0, 'tokens': 347}
{'loss': 310.19012451171875, 'grad_norm_square': 54772516.0, 'tokens': 281}
{'loss': 221.59024047851562, 'grad_norm_square': 34960764.0, 'tokens': 299}
{'loss': 312.11431884765625, 'grad_norm_square': 56844304.0, 'tokens': 305}
{'loss': 425.6850280761719, 'grad_norm_square': 182703960.0, 'tokens': 304}
{'loss': 214.25140380859375, 'grad_norm_square': 56669360.0, 'tokens': 289}
{'loss': 453.44207763671875, 'grad_norm_square': 133886856.0, 'tokens': 381}
{'loss': 326.95916748046875, 'grad_norm_square': 68599600.0, 'tokens': 395}
{'loss': 265.52978515625, 'grad_norm_square': 39483312.0, 'tokens': 267}
{'loss': 370.6671447753906, 'grad_norm_square': 84333384.0, 'tokens': 299}
{'loss': 403.49993896484375, 'grad_norm_square': 119473760.0, 'tokens': 407}
{'loss': 343.64813232421875, 'grad_norm_square': 56962608.0, 'tokens': 347}
{'loss': 220.57656860351562, 'grad_norm_square': 45011428.0, 'tokens': 248}
{'loss': 392.9515075683594, 'grad_norm_square': 75891856.0, 'tokens': 309}
{'loss': 325.1551208496094, 'grad_norm_square': 45109760.0, 'tokens': 335}
{'loss': 381.6982421875, 'grad_norm_square': 181333392.0, 'tokens': 420}
{'loss': 289.04559326171875, 'grad_norm_square': 46034088.0, 'tokens': 293}
{'loss': 246.70205688476562, 'grad_norm_square': 35785112.0, 'tokens': 251}
{'loss': 372.8277282714844, 'grad_norm_square': 66489084.0, 'tokens': 348}
{'loss': 459.6722106933594, 'grad_norm_square': 71751032.0, 'tokens': 336}
{'loss': 338.15814208984375, 'grad_norm_square': 54638664.0, 'tokens': 334}
{'loss': 260.9315185546875, 'grad_norm_square': 41619064.0, 'tokens': 312}
{'loss': 414.235595703125, 'grad_norm_square': 88034560.0, 'tokens': 332}
{'loss': 247.55685424804688, 'grad_norm_square': 39573936.0, 'tokens': 272}
{'loss': 192.97640991210938, 'grad_norm_square': 44117312.0, 'tokens': 258}
{'loss': 367.1647033691406, 'grad_norm_square': 100957088.0, 'tokens': 314}
{'loss': 214.84292602539062, 'grad_norm_square': 50438016.0, 'tokens': 261}
{'loss': 288.88128662109375, 'grad_norm_square': 55839472.0, 'tokens': 291}
{'loss': 464.7380676269531, 'grad_norm_square': 182765120.0, 'tokens': 383}
{'loss': 384.5509033203125, 'grad_norm_square': 58251776.0, 'tokens': 323}
{'loss': 348.9779052734375, 'grad_norm_square': 80781080.0, 'tokens': 350}
{'loss': 287.2173156738281, 'grad_norm_square': 40214264.0, 'tokens': 358}
{'loss': 267.0101318359375, 'grad_norm_square': 50145120.0, 'tokens': 240}
{'loss': 230.2723388671875, 'grad_norm_square': 44474240.0, 'tokens': 256}
{'loss': 317.3945007324219, 'grad_norm_square': 60205204.0, 'tokens': 314}
{'loss': 239.4161376953125, 'grad_norm_square': 72807096.0, 'tokens': 249}
{'loss': 376.573974609375, 'grad_norm_square': 122761392.0, 'tokens': 352}
{'loss': 354.3225402832031, 'grad_norm_square': 79507344.0, 'tokens': 330}
{'loss': 269.97613525390625, 'grad_norm_square': 69003744.0, 'tokens': 243}
{'loss': 262.2558898925781, 'grad_norm_square': 42827064.0, 'tokens': 292}
{'loss': 312.798095703125, 'grad_norm_square': 52223464.0, 'tokens': 293}
{'loss': 280.89117431640625, 'grad_norm_square': 57540032.0, 'tokens': 327}
{'loss': 348.8795166015625, 'grad_norm_square': 58801552.0, 'tokens': 310}
{'loss': 264.3299560546875, 'grad_norm_square': 56504112.0, 'tokens': 254}
{'loss': 420.2104797363281, 'grad_norm_square': 73381280.0, 'tokens': 433}
{'loss': 425.92510986328125, 'grad_norm_square': 68909464.0, 'tokens': 352}
{'loss': 200.19540405273438, 'grad_norm_square': 34666360.0, 'tokens': 206}
{'loss': 293.077880859375, 'grad_norm_square': 60012120.0, 'tokens': 243}
{'loss': 311.13232421875, 'grad_norm_square': 63435904.0, 'tokens': 312}
{'loss': 453.2689514160156, 'grad_norm_square': 110982840.0, 'tokens': 374}
{'loss': 326.6693115234375, 'grad_norm_square': 97716832.0, 'tokens': 279}
{'loss': 221.9767303466797, 'grad_norm_square': 27713560.0, 'tokens': 286}
{'loss': 248.65634155273438, 'grad_norm_square': 41619840.0, 'tokens': 288}
{'loss': 265.7708435058594, 'grad_norm_square': 35112504.0, 'tokens': 270}
{'loss': 319.5928955078125, 'grad_norm_square': 37919804.0, 'tokens': 309}
{'loss': 321.79974365234375, 'grad_norm_square': 124053632.0, 'tokens': 319}
{'loss': 193.5489501953125, 'grad_norm_square': 30369988.0, 'tokens': 210}
{'loss': 294.2217102050781, 'grad_norm_square': 66667728.0, 'tokens': 347}
{'loss': 239.05950927734375, 'grad_norm_square': 40419824.0, 'tokens': 336}
{'loss': 360.54547119140625, 'grad_norm_square': 101033184.0, 'tokens': 375}
{'loss': 192.87640380859375, 'grad_norm_square': 55592128.0, 'tokens': 237}
{'loss': 526.3674926757812, 'grad_norm_square': 250957984.0, 'tokens': 464}
{'loss': 277.98602294921875, 'grad_norm_square': 52015744.0, 'tokens': 354}
{'loss': 288.2392578125, 'grad_norm_square': 48794976.0, 'tokens': 300}
{'loss': 310.5370178222656, 'grad_norm_square': 43598688.0, 'tokens': 419}
{'loss': 305.2251892089844, 'grad_norm_square': 57028024.0, 'tokens': 338}
{'loss': 313.65924072265625, 'grad_norm_square': 35624600.0, 'tokens': 314}
{'loss': 414.81158447265625, 'grad_norm_square': 69706576.0, 'tokens': 334}
{'loss': 330.9761657714844, 'grad_norm_square': 42863296.0, 'tokens': 354}
{'loss': 479.95294189453125, 'grad_norm_square': 113681568.0, 'tokens': 389}
{'loss': 269.0516052246094, 'grad_norm_square': 37806832.0, 'tokens': 348}
{'loss': 349.94073486328125, 'grad_norm_square': 91248520.0, 'tokens': 431}
{'loss': 247.91439819335938, 'grad_norm_square': 43980336.0, 'tokens': 254}
{'loss': 320.3886413574219, 'grad_norm_square': 60663456.0, 'tokens': 408}
{'loss': 343.50445556640625, 'grad_norm_square': 65777072.0, 'tokens': 378}
{'loss': 292.82806396484375, 'grad_norm_square': 35255232.0, 'tokens': 412}
{'loss': 333.3758544921875, 'grad_norm_square': 46799760.0, 'tokens': 319}
{'loss': 341.716064453125, 'grad_norm_square': 44484648.0, 'tokens': 389}
{'loss': 409.45159912109375, 'grad_norm_square': 96084096.0, 'tokens': 379}
{'loss': 192.87448120117188, 'grad_norm_square': 42786560.0, 'tokens': 230}
{'loss': 233.84205627441406, 'grad_norm_square': 41048400.0, 'tokens': 328}
