{'model_params': 2506172416, 'peft_params': 4902912}
{'loss': 580.0, 'grad_norm_square': 10688.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 18048.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 23168.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 14784.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 8832.0, 'tokens': 327}
{'loss': 382.0, 'grad_norm_square': 8832.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 13824.0, 'tokens': 457}
{'loss': 318.0, 'grad_norm_square': 12672.0, 'tokens': 255}
{'loss': 548.0, 'grad_norm_square': 14720.0, 'tokens': 437}
{'loss': 390.0, 'grad_norm_square': 15104.0, 'tokens': 371}
{'loss': 684.0, 'grad_norm_square': 14720.0, 'tokens': 471}
{'loss': 596.0, 'grad_norm_square': 13120.0, 'tokens': 452}
{'loss': 312.0, 'grad_norm_square': 7648.0, 'tokens': 261}
{'loss': 676.0, 'grad_norm_square': 12928.0, 'tokens': 419}
{'loss': 724.0, 'grad_norm_square': 18688.0, 'tokens': 450}
{'loss': 532.0, 'grad_norm_square': 12928.0, 'tokens': 446}
{'loss': 728.0, 'grad_norm_square': 10944.0, 'tokens': 452}
{'loss': 282.0, 'grad_norm_square': 8320.0, 'tokens': 262}
{'loss': 532.0, 'grad_norm_square': 12160.0, 'tokens': 375}
{'loss': 616.0, 'grad_norm_square': 13824.0, 'tokens': 405}
{'loss': 564.0, 'grad_norm_square': 10624.0, 'tokens': 409}
{'loss': 524.0, 'grad_norm_square': 11264.0, 'tokens': 410}
{'loss': 592.0, 'grad_norm_square': 10688.0, 'tokens': 429}
{'loss': 568.0, 'grad_norm_square': 10752.0, 'tokens': 408}
{'loss': 568.0, 'grad_norm_square': 16512.0, 'tokens': 427}
{'loss': 788.0, 'grad_norm_square': 17920.0, 'tokens': 445}
{'loss': 692.0, 'grad_norm_square': 28416.0, 'tokens': 461}
{'loss': 640.0, 'grad_norm_square': 13632.0, 'tokens': 444}
{'loss': 628.0, 'grad_norm_square': 12224.0, 'tokens': 459}
{'loss': 390.0, 'grad_norm_square': 7232.0, 'tokens': 295}
{'loss': 636.0, 'grad_norm_square': 10176.0, 'tokens': 420}
{'loss': 744.0, 'grad_norm_square': 18944.0, 'tokens': 476}
{'loss': 580.0, 'grad_norm_square': 9344.0, 'tokens': 430}
{'loss': 616.0, 'grad_norm_square': 13312.0, 'tokens': 441}
{'loss': 510.0, 'grad_norm_square': 10368.0, 'tokens': 402}
{'loss': 492.0, 'grad_norm_square': 7840.0, 'tokens': 328}
{'loss': 540.0, 'grad_norm_square': 8960.0, 'tokens': 453}
{'loss': 366.0, 'grad_norm_square': 6496.0, 'tokens': 375}
{'loss': 564.0, 'grad_norm_square': 8960.0, 'tokens': 434}
{'loss': 446.0, 'grad_norm_square': 9088.0, 'tokens': 383}
{'loss': 512.0, 'grad_norm_square': 8640.0, 'tokens': 411}
{'loss': 612.0, 'grad_norm_square': 15680.0, 'tokens': 469}
{'loss': 516.0, 'grad_norm_square': 11904.0, 'tokens': 392}
{'loss': 548.0, 'grad_norm_square': 9856.0, 'tokens': 460}
{'loss': 462.0, 'grad_norm_square': 9536.0, 'tokens': 398}
{'loss': 300.0, 'grad_norm_square': 7776.0, 'tokens': 284}
{'loss': 245.0, 'grad_norm_square': 15552.0, 'tokens': 275}
{'loss': 676.0, 'grad_norm_square': 12736.0, 'tokens': 435}
{'loss': 264.0, 'grad_norm_square': 5568.0, 'tokens': 287}
{'loss': 576.0, 'grad_norm_square': 10368.0, 'tokens': 440}
{'loss': 436.0, 'grad_norm_square': 8320.0, 'tokens': 326}
{'loss': 356.0, 'grad_norm_square': 6816.0, 'tokens': 349}
{'loss': 180.0, 'grad_norm_square': 5440.0, 'tokens': 255}
{'loss': 276.0, 'grad_norm_square': 6176.0, 'tokens': 281}
{'loss': 568.0, 'grad_norm_square': 9920.0, 'tokens': 435}
{'loss': 740.0, 'grad_norm_square': 9088.0, 'tokens': 393}
{'loss': 708.0, 'grad_norm_square': 12800.0, 'tokens': 480}
{'loss': 656.0, 'grad_norm_square': 10304.0, 'tokens': 459}
{'loss': 640.0, 'grad_norm_square': 12032.0, 'tokens': 477}
{'loss': 520.0, 'grad_norm_square': 12992.0, 'tokens': 464}
{'loss': 272.0, 'grad_norm_square': 5696.0, 'tokens': 263}
{'loss': 688.0, 'grad_norm_square': 23296.0, 'tokens': 489}
{'loss': 504.0, 'grad_norm_square': 7520.0, 'tokens': 376}
{'loss': 572.0, 'grad_norm_square': 12032.0, 'tokens': 455}
{'loss': 628.0, 'grad_norm_square': 10432.0, 'tokens': 420}
{'loss': 500.0, 'grad_norm_square': 8896.0, 'tokens': 414}
{'loss': 290.0, 'grad_norm_square': 6048.0, 'tokens': 260}
{'loss': 466.0, 'grad_norm_square': 8896.0, 'tokens': 379}
{'loss': 264.0, 'grad_norm_square': 6016.0, 'tokens': 257}
{'loss': 462.0, 'grad_norm_square': 7392.0, 'tokens': 413}
{'loss': 478.0, 'grad_norm_square': 7872.0, 'tokens': 386}
{'loss': 316.0, 'grad_norm_square': 4960.0, 'tokens': 258}
{'loss': 336.0, 'grad_norm_square': 6880.0, 'tokens': 281}
{'loss': 496.0, 'grad_norm_square': 7904.0, 'tokens': 472}
