{'model_params': 2506172416, 'peft_params': 4358648}
{'loss': 466.0, 'grad_norm_square': 11008.0, 'tokens': 319}
{'loss': 384.0, 'grad_norm_square': 10880.0, 'tokens': 252}
{'loss': 312.0, 'grad_norm_square': 10112.0, 'tokens': 311}
{'loss': 336.0, 'grad_norm_square': 8832.0, 'tokens': 308}
{'loss': 502.0, 'grad_norm_square': 14720.0, 'tokens': 335}
{'loss': 624.0, 'grad_norm_square': 13952.0, 'tokens': 434}
{'loss': 382.0, 'grad_norm_square': 11968.0, 'tokens': 378}
{'loss': 350.0, 'grad_norm_square': 13568.0, 'tokens': 299}
{'loss': 384.0, 'grad_norm_square': 10880.0, 'tokens': 377}
{'loss': 362.0, 'grad_norm_square': 10944.0, 'tokens': 294}
{'loss': 286.0, 'grad_norm_square': 10688.0, 'tokens': 315}
{'loss': 294.0, 'grad_norm_square': 9344.0, 'tokens': 328}
{'loss': 380.0, 'grad_norm_square': 12480.0, 'tokens': 394}
{'loss': 292.0, 'grad_norm_square': 11520.0, 'tokens': 291}
{'loss': 268.0, 'grad_norm_square': 9536.0, 'tokens': 274}
{'loss': 358.0, 'grad_norm_square': 10880.0, 'tokens': 342}
{'loss': 304.0, 'grad_norm_square': 12992.0, 'tokens': 441}
{'loss': 364.0, 'grad_norm_square': 11456.0, 'tokens': 360}
{'loss': 332.0, 'grad_norm_square': 9920.0, 'tokens': 306}
{'loss': 274.0, 'grad_norm_square': 7296.0, 'tokens': 343}
{'loss': 202.0, 'grad_norm_square': 7200.0, 'tokens': 230}
{'loss': 410.0, 'grad_norm_square': 14144.0, 'tokens': 438}
{'loss': 306.0, 'grad_norm_square': 9216.0, 'tokens': 330}
{'loss': 466.0, 'grad_norm_square': 13952.0, 'tokens': 488}
{'loss': 302.0, 'grad_norm_square': 9088.0, 'tokens': 343}
{'loss': 408.0, 'grad_norm_square': 14400.0, 'tokens': 360}
{'loss': 264.0, 'grad_norm_square': 18176.0, 'tokens': 227}
{'loss': 456.0, 'grad_norm_square': 10752.0, 'tokens': 400}
{'loss': 298.0, 'grad_norm_square': 9728.0, 'tokens': 389}
{'loss': 346.0, 'grad_norm_square': 8960.0, 'tokens': 347}
{'loss': 306.0, 'grad_norm_square': 7008.0, 'tokens': 281}
