{'model_params': 2506172416, 'peft_params': 10515456}
{'loss': 466.0, 'grad_norm_square': 2164877.21875, 'tokens': 319}
{'loss': 426.0, 'grad_norm_square': 2647688.15625, 'tokens': 252}
{'loss': 376.0, 'grad_norm_square': 5348736.40625, 'tokens': 311}
{'loss': 402.0, 'grad_norm_square': 3665799.15625, 'tokens': 308}
{'loss': 564.0, 'grad_norm_square': 5832045.5, 'tokens': 335}
{'loss': 656.0, 'grad_norm_square': 4479012.75, 'tokens': 434}
{'loss': 412.0, 'grad_norm_square': 4150076.671875, 'tokens': 378}
{'loss': 392.0, 'grad_norm_square': 3716190.8203125, 'tokens': 299}
{'loss': 428.0, 'grad_norm_square': 6849887.109375, 'tokens': 377}
{'loss': 416.0, 'grad_norm_square': 8115850.96875, 'tokens': 294}
{'loss': 324.0, 'grad_norm_square': 4426894.609375, 'tokens': 315}
{'loss': 342.0, 'grad_norm_square': 5455675.40625, 'tokens': 328}
{'loss': 414.0, 'grad_norm_square': 6935018.6875, 'tokens': 394}
{'loss': 310.0, 'grad_norm_square': 8037082.328125, 'tokens': 291}
{'loss': 306.0, 'grad_norm_square': 5991262.8828125, 'tokens': 274}
{'loss': 398.0, 'grad_norm_square': 11748037.296875, 'tokens': 342}
{'loss': 308.0, 'grad_norm_square': 7309085.109375, 'tokens': 441}
{'loss': 396.0, 'grad_norm_square': 11252940.53125, 'tokens': 360}
{'loss': 346.0, 'grad_norm_square': 12285825.984375, 'tokens': 306}
{'loss': 284.0, 'grad_norm_square': 8104733.53125, 'tokens': 343}
{'loss': 218.0, 'grad_norm_square': 8766567.5859375, 'tokens': 230}
{'loss': 432.0, 'grad_norm_square': 26700363.34375, 'tokens': 438}
{'loss': 320.0, 'grad_norm_square': 8814711.96875, 'tokens': 330}
{'loss': 488.0, 'grad_norm_square': 21622226.28125, 'tokens': 488}
{'loss': 298.0, 'grad_norm_square': 11008740.1875, 'tokens': 343}
{'loss': 414.0, 'grad_norm_square': 14144429.40625, 'tokens': 360}
{'loss': 250.0, 'grad_norm_square': 10888527.6484375, 'tokens': 227}
{'loss': 450.0, 'grad_norm_square': 13606962.65625, 'tokens': 400}
{'loss': 300.0, 'grad_norm_square': 11599854.6875, 'tokens': 389}
{'loss': 344.0, 'grad_norm_square': 9807151.125, 'tokens': 347}
{'loss': 310.0, 'grad_norm_square': 8528465.640625, 'tokens': 281}
{'loss': 224.0, 'grad_norm_square': 7972690.1171875, 'tokens': 299}
{'loss': 322.0, 'grad_norm_square': 7761057.828125, 'tokens': 305}
{'loss': 420.0, 'grad_norm_square': 16131286.96875, 'tokens': 304}
{'loss': 221.0, 'grad_norm_square': 7047667.8125, 'tokens': 289}
{'loss': 454.0, 'grad_norm_square': 10374957.046875, 'tokens': 381}
{'loss': 332.0, 'grad_norm_square': 7536162.953125, 'tokens': 395}
{'loss': 254.0, 'grad_norm_square': 3543433.109375, 'tokens': 267}
{'loss': 372.0, 'grad_norm_square': 8494059.734375, 'tokens': 299}
{'loss': 406.0, 'grad_norm_square': 14180797.15625, 'tokens': 407}
{'loss': 350.0, 'grad_norm_square': 18320071.6875, 'tokens': 347}
{'loss': 222.0, 'grad_norm_square': 4703088.171875, 'tokens': 248}
{'loss': 396.0, 'grad_norm_square': 12061515.953125, 'tokens': 309}
{'loss': 338.0, 'grad_norm_square': 9739141.015625, 'tokens': 335}
{'loss': 378.0, 'grad_norm_square': 18294872.3125, 'tokens': 420}
{'loss': 304.0, 'grad_norm_square': 14690893.9375, 'tokens': 293}
{'loss': 244.0, 'grad_norm_square': 4655808.28125, 'tokens': 251}
{'loss': 366.0, 'grad_norm_square': 7978032.9375, 'tokens': 348}
{'loss': 458.0, 'grad_norm_square': 6108972.375, 'tokens': 336}
{'loss': 340.0, 'grad_norm_square': 4817935.109375, 'tokens': 334}
{'loss': 264.0, 'grad_norm_square': 3622643.703125, 'tokens': 312}
{'loss': 426.0, 'grad_norm_square': 8680357.59375, 'tokens': 332}
{'loss': 245.0, 'grad_norm_square': 4027965.40625, 'tokens': 272}
{'loss': 192.0, 'grad_norm_square': 5574096.5625, 'tokens': 258}
{'loss': 376.0, 'grad_norm_square': 5792079.671875, 'tokens': 314}
{'loss': 215.0, 'grad_norm_square': 3370867.9921875, 'tokens': 261}
{'loss': 290.0, 'grad_norm_square': 5934553.90625, 'tokens': 291}
{'loss': 452.0, 'grad_norm_square': 11770592.625, 'tokens': 383}
{'loss': 390.0, 'grad_norm_square': 6995316.453125, 'tokens': 323}
{'loss': 348.0, 'grad_norm_square': 7363045.2734375, 'tokens': 350}
{'loss': 286.0, 'grad_norm_square': 4988061.8828125, 'tokens': 358}
{'loss': 262.0, 'grad_norm_square': 5475873.046875, 'tokens': 240}
{'loss': 224.0, 'grad_norm_square': 3807060.1328125, 'tokens': 256}
{'loss': 308.0, 'grad_norm_square': 5412640.3984375, 'tokens': 314}
{'loss': 229.0, 'grad_norm_square': 3082730.4609375, 'tokens': 249}
{'loss': 358.0, 'grad_norm_square': 9866566.28125, 'tokens': 352}
{'loss': 352.0, 'grad_norm_square': 8556607.296875, 'tokens': 330}
{'loss': 264.0, 'grad_norm_square': 6491506.421875, 'tokens': 243}
{'loss': 260.0, 'grad_norm_square': 5656463.875, 'tokens': 292}
{'loss': 312.0, 'grad_norm_square': 5771667.3125, 'tokens': 293}
{'loss': 300.0, 'grad_norm_square': 8579225.0, 'tokens': 327}
{'loss': 336.0, 'grad_norm_square': 6476845.5859375, 'tokens': 310}
{'loss': 276.0, 'grad_norm_square': 6517465.40625, 'tokens': 254}
{'loss': 426.0, 'grad_norm_square': 7928216.5, 'tokens': 433}
{'loss': 404.0, 'grad_norm_square': 7161321.8125, 'tokens': 352}
{'loss': 204.0, 'grad_norm_square': 3794772.390625, 'tokens': 206}
{'loss': 282.0, 'grad_norm_square': 6223546.5625, 'tokens': 243}
{'loss': 304.0, 'grad_norm_square': 5420461.140625, 'tokens': 312}
{'loss': 438.0, 'grad_norm_square': 8397036.5, 'tokens': 374}
{'loss': 320.0, 'grad_norm_square': 8516561.46875, 'tokens': 279}
{'loss': 214.0, 'grad_norm_square': 3093669.8984375, 'tokens': 286}
{'loss': 237.0, 'grad_norm_square': 4379568.140625, 'tokens': 288}
{'loss': 266.0, 'grad_norm_square': 3476956.6015625, 'tokens': 270}
