{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.0, 'grad_norm_square': 3280664.0, 'tokens': 319}
{'loss': 420.0, 'grad_norm_square': 3432099.56640625, 'tokens': 252}
{'loss': 370.0, 'grad_norm_square': 5335149.15625, 'tokens': 311}
{'loss': 396.0, 'grad_norm_square': 2682400.796875, 'tokens': 308}
{'loss': 560.0, 'grad_norm_square': 3490779.046875, 'tokens': 335}
{'loss': 656.0, 'grad_norm_square': 3048319.203125, 'tokens': 434}
{'loss': 418.0, 'grad_norm_square': 2734669.484375, 'tokens': 378}
{'loss': 396.0, 'grad_norm_square': 2024290.5625, 'tokens': 299}
{'loss': 432.0, 'grad_norm_square': 3207224.78125, 'tokens': 377}
{'loss': 418.0, 'grad_norm_square': 2314230.53125, 'tokens': 294}
{'loss': 332.0, 'grad_norm_square': 1812681.375, 'tokens': 315}
{'loss': 354.0, 'grad_norm_square': 2095954.703125, 'tokens': 328}
{'loss': 422.0, 'grad_norm_square': 2820065.0, 'tokens': 394}
{'loss': 328.0, 'grad_norm_square': 2932022.375, 'tokens': 291}
{'loss': 326.0, 'grad_norm_square': 2414485.40625, 'tokens': 274}
{'loss': 416.0, 'grad_norm_square': 3710400.8125, 'tokens': 342}
{'loss': 324.0, 'grad_norm_square': 2223962.6875, 'tokens': 441}
{'loss': 422.0, 'grad_norm_square': 3459302.9375, 'tokens': 360}
{'loss': 364.0, 'grad_norm_square': 3014950.84375, 'tokens': 306}
{'loss': 294.0, 'grad_norm_square': 1743021.09375, 'tokens': 343}
{'loss': 240.0, 'grad_norm_square': 2552206.609375, 'tokens': 230}
{'loss': 452.0, 'grad_norm_square': 9354349.5, 'tokens': 438}
{'loss': 338.0, 'grad_norm_square': 2764475.046875, 'tokens': 330}
{'loss': 508.0, 'grad_norm_square': 6795746.125, 'tokens': 488}
{'loss': 314.0, 'grad_norm_square': 3614852.0625, 'tokens': 343}
{'loss': 424.0, 'grad_norm_square': 4092193.4375, 'tokens': 360}
{'loss': 262.0, 'grad_norm_square': 4671802.3125, 'tokens': 227}
{'loss': 458.0, 'grad_norm_square': 4545278.8125, 'tokens': 400}
{'loss': 302.0, 'grad_norm_square': 3721224.625, 'tokens': 389}
{'loss': 354.0, 'grad_norm_square': 4053030.90625, 'tokens': 347}
{'loss': 316.0, 'grad_norm_square': 3054790.71875, 'tokens': 281}
{'loss': 227.0, 'grad_norm_square': 4408775.1875, 'tokens': 299}
{'loss': 332.0, 'grad_norm_square': 3206266.25, 'tokens': 305}
{'loss': 422.0, 'grad_norm_square': 5719385.59375, 'tokens': 304}
{'loss': 219.0, 'grad_norm_square': 2640277.90625, 'tokens': 289}
{'loss': 462.0, 'grad_norm_square': 6060647.78125, 'tokens': 381}
{'loss': 336.0, 'grad_norm_square': 3806142.8125, 'tokens': 395}
{'loss': 256.0, 'grad_norm_square': 1887725.140625, 'tokens': 267}
{'loss': 374.0, 'grad_norm_square': 3403552.53125, 'tokens': 299}
{'loss': 410.0, 'grad_norm_square': 5718713.625, 'tokens': 407}
{'loss': 356.0, 'grad_norm_square': 4363254.96875, 'tokens': 347}
{'loss': 221.0, 'grad_norm_square': 2303792.890625, 'tokens': 248}
{'loss': 398.0, 'grad_norm_square': 4637222.09375, 'tokens': 309}
{'loss': 338.0, 'grad_norm_square': 2736939.9375, 'tokens': 335}
{'loss': 374.0, 'grad_norm_square': 6053689.09375, 'tokens': 420}
{'loss': 298.0, 'grad_norm_square': 3105092.25, 'tokens': 293}
{'loss': 243.0, 'grad_norm_square': 2099581.40625, 'tokens': 251}
{'loss': 368.0, 'grad_norm_square': 3407513.34375, 'tokens': 348}
{'loss': 458.0, 'grad_norm_square': 3926347.9375, 'tokens': 336}
{'loss': 336.0, 'grad_norm_square': 2472280.1875, 'tokens': 334}
{'loss': 268.0, 'grad_norm_square': 2283950.390625, 'tokens': 312}
{'loss': 430.0, 'grad_norm_square': 4124802.3125, 'tokens': 332}
{'loss': 246.0, 'grad_norm_square': 1968749.453125, 'tokens': 272}
{'loss': 195.0, 'grad_norm_square': 2553623.84375, 'tokens': 258}
{'loss': 378.0, 'grad_norm_square': 3817773.15625, 'tokens': 314}
{'loss': 214.0, 'grad_norm_square': 1560215.703125, 'tokens': 261}
{'loss': 286.0, 'grad_norm_square': 2524396.96875, 'tokens': 291}
{'loss': 460.0, 'grad_norm_square': 5711175.8125, 'tokens': 383}
{'loss': 390.0, 'grad_norm_square': 4059573.0, 'tokens': 323}
{'loss': 358.0, 'grad_norm_square': 3338912.390625, 'tokens': 350}
{'loss': 286.0, 'grad_norm_square': 2319691.875, 'tokens': 358}
{'loss': 262.0, 'grad_norm_square': 2175878.34375, 'tokens': 240}
{'loss': 225.0, 'grad_norm_square': 1711839.953125, 'tokens': 256}
{'loss': 310.0, 'grad_norm_square': 2383105.484375, 'tokens': 314}
{'loss': 233.0, 'grad_norm_square': 1523289.109375, 'tokens': 249}
{'loss': 362.0, 'grad_norm_square': 4328471.78125, 'tokens': 352}
{'loss': 354.0, 'grad_norm_square': 3629313.375, 'tokens': 330}
{'loss': 260.0, 'grad_norm_square': 2476152.0625, 'tokens': 243}
{'loss': 268.0, 'grad_norm_square': 2922683.875, 'tokens': 292}
{'loss': 316.0, 'grad_norm_square': 2778267.09375, 'tokens': 293}
{'loss': 300.0, 'grad_norm_square': 3526699.5, 'tokens': 327}
{'loss': 330.0, 'grad_norm_square': 2253706.9375, 'tokens': 310}
{'loss': 276.0, 'grad_norm_square': 2778903.40625, 'tokens': 254}
{'loss': 432.0, 'grad_norm_square': 5454151.75, 'tokens': 433}
{'loss': 404.0, 'grad_norm_square': 2730868.75, 'tokens': 352}
{'loss': 208.0, 'grad_norm_square': 1730263.6875, 'tokens': 206}
{'loss': 284.0, 'grad_norm_square': 3003641.4375, 'tokens': 243}
{'loss': 302.0, 'grad_norm_square': 2473197.78125, 'tokens': 312}
{'loss': 436.0, 'grad_norm_square': 4646015.5, 'tokens': 374}
{'loss': 322.0, 'grad_norm_square': 4007271.84375, 'tokens': 279}
{'loss': 215.0, 'grad_norm_square': 1679614.46875, 'tokens': 286}
{'loss': 238.0, 'grad_norm_square': 1802350.84375, 'tokens': 288}
