{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 620568248320.0, 'tokens': 319}
{'loss': 3133.356689453125, 'grad_norm_square': 498783070472960.0, 'tokens': 252}
{'loss': 16409.03125, 'grad_norm_square': 1.7219140395448632e+16, 'tokens': 311}
{'loss': 10235.24609375, 'grad_norm_square': 102205612838720.27, 'tokens': 308}
{'loss': 9675.1328125, 'grad_norm_square': 756254660964042.1, 'tokens': 335}
{'loss': 18484.8125, 'grad_norm_square': 266674485890689.03, 'tokens': 434}
{'loss': 161338.046875, 'grad_norm_square': 9.832322352539056e+16, 'tokens': 378}
{'loss': 36564.40625, 'grad_norm_square': 9.451365405433217e+18, 'tokens': 299}
{'loss': 10823.669921875, 'grad_norm_square': 85155456927771.31, 'tokens': 377}
{'loss': 12282.3193359375, 'grad_norm_square': 22208484964564.66, 'tokens': 294}
{'loss': 9758.1201171875, 'grad_norm_square': 55575523038817.68, 'tokens': 315}
{'loss': 8495.830078125, 'grad_norm_square': 1062797811003927.8, 'tokens': 328}
{'loss': 11663.521484375, 'grad_norm_square': 78653741402671.03, 'tokens': 394}
{'loss': 6552.20556640625, 'grad_norm_square': 49523656893124.82, 'tokens': 291}
{'loss': 6458.732421875, 'grad_norm_square': 456663003332526.94, 'tokens': 274}
{'loss': 13662.5625, 'grad_norm_square': 6.34237840939353e+17, 'tokens': 342}
{'loss': 12574.5830078125, 'grad_norm_square': 1.7474064656661932e+16, 'tokens': 441}
{'loss': 7653.2265625, 'grad_norm_square': 3292353157208098.0, 'tokens': 360}
{'loss': 6415.8447265625, 'grad_norm_square': 173781273004123.97, 'tokens': 306}
{'loss': 4753.669921875, 'grad_norm_square': 454615141375321.6, 'tokens': 343}
{'loss': 3303.0380859375, 'grad_norm_square': 39577861395803.21, 'tokens': 230}
{'loss': 6996.345703125, 'grad_norm_square': 3.547932217765023e+16, 'tokens': 438}
{'loss': 3773.955078125, 'grad_norm_square': 8739905581744037.0, 'tokens': 330}
{'loss': 6122.859375, 'grad_norm_square': 86946555748178.75, 'tokens': 488}
{'loss': 3883.1162109375, 'grad_norm_square': 21261319681253.523, 'tokens': 343}
{'loss': 5306.8759765625, 'grad_norm_square': 16927965810835.918, 'tokens': 360}
{'loss': 3566.7646484375, 'grad_norm_square': 13759952064013.652, 'tokens': 227}
{'loss': 6248.96533203125, 'grad_norm_square': 28923550356681.18, 'tokens': 400}
{'loss': 5866.95654296875, 'grad_norm_square': 51321343113579.3, 'tokens': 389}
{'loss': 4051.040771484375, 'grad_norm_square': 8552217097184.261, 'tokens': 347}
{'loss': 3662.36669921875, 'grad_norm_square': 5884445810014.723, 'tokens': 281}
{'loss': 3387.93505859375, 'grad_norm_square': 7682845766327.504, 'tokens': 299}
{'loss': 3594.95849609375, 'grad_norm_square': 1904812753036.812, 'tokens': 305}
{'loss': 3948.24755859375, 'grad_norm_square': 3811525979501.879, 'tokens': 304}
{'loss': 2670.0908203125, 'grad_norm_square': 659478353473.4185, 'tokens': 289}
{'loss': 3963.00537109375, 'grad_norm_square': 1904094189060.988, 'tokens': 381}
{'loss': 3766.1943359375, 'grad_norm_square': 564633447899.6061, 'tokens': 395}
{'loss': 2787.259765625, 'grad_norm_square': 3344666463217.917, 'tokens': 267}
{'loss': 2849.111083984375, 'grad_norm_square': 330714846975.62866, 'tokens': 299}
{'loss': 3493.0869140625, 'grad_norm_square': 933820513051.009, 'tokens': 407}
{'loss': 3465.197998046875, 'grad_norm_square': 664284162760.5477, 'tokens': 347}
{'loss': 2225.45849609375, 'grad_norm_square': 709713771918.7257, 'tokens': 248}
{'loss': 2692.1904296875, 'grad_norm_square': 478820319538.9797, 'tokens': 309}
{'loss': 2763.36474609375, 'grad_norm_square': 965087858299.7185, 'tokens': 335}
{'loss': 3505.406494140625, 'grad_norm_square': 783916416220.7593, 'tokens': 420}
{'loss': 2404.1015625, 'grad_norm_square': 189346272298.16003, 'tokens': 293}
{'loss': 2031.13427734375, 'grad_norm_square': 210856579996.41263, 'tokens': 251}
{'loss': 3205.79248046875, 'grad_norm_square': 857272016321.9089, 'tokens': 348}
{'loss': 3061.13427734375, 'grad_norm_square': 735200031166.9944, 'tokens': 336}
{'loss': 2544.349609375, 'grad_norm_square': 385596349079.141, 'tokens': 334}
{'loss': 2275.0859375, 'grad_norm_square': 498792163704.9977, 'tokens': 312}
{'loss': 2821.780517578125, 'grad_norm_square': 542940191422.0909, 'tokens': 332}
{'loss': 2159.978515625, 'grad_norm_square': 221569177016.1684, 'tokens': 272}
{'loss': 1788.68310546875, 'grad_norm_square': 91105152203.56131, 'tokens': 258}
{'loss': 2329.140625, 'grad_norm_square': 135266498044.47696, 'tokens': 314}
{'loss': 1649.8382568359375, 'grad_norm_square': 57634855467.057465, 'tokens': 261}
{'loss': 2405.3720703125, 'grad_norm_square': 141995403242.21564, 'tokens': 291}
{'loss': 3130.48779296875, 'grad_norm_square': 231382026137.3275, 'tokens': 383}
{'loss': 2599.01904296875, 'grad_norm_square': 110157120270.63283, 'tokens': 323}
{'loss': 2447.484130859375, 'grad_norm_square': 160036722170.6461, 'tokens': 350}
{'loss': 2382.697021484375, 'grad_norm_square': 174705244859.004, 'tokens': 358}
{'loss': 1814.2685546875, 'grad_norm_square': 73592648702.99135, 'tokens': 240}
{'loss': 2202.904541015625, 'grad_norm_square': 108757929326521.4, 'tokens': 256}
{'loss': 2199.2880859375, 'grad_norm_square': 89530679394.09753, 'tokens': 314}
{'loss': 1948.937744140625, 'grad_norm_square': 75964862184.11423, 'tokens': 249}
{'loss': 2561.15283203125, 'grad_norm_square': 145463771916.0704, 'tokens': 352}
{'loss': 2522.94287109375, 'grad_norm_square': 274670910904.11514, 'tokens': 330}
{'loss': 2042.9228515625, 'grad_norm_square': 64983283630.389694, 'tokens': 243}
{'loss': 1864.0125732421875, 'grad_norm_square': 162848176364.4976, 'tokens': 292}
{'loss': 2084.49951171875, 'grad_norm_square': 76684404662.46147, 'tokens': 293}
{'loss': 2231.28271484375, 'grad_norm_square': 218576752634.95654, 'tokens': 327}
{'loss': 2286.058837890625, 'grad_norm_square': 88729699737.46616, 'tokens': 310}
{'loss': 1764.20556640625, 'grad_norm_square': 58505961823.27221, 'tokens': 254}
{'loss': 2778.946533203125, 'grad_norm_square': 190872858607.9627, 'tokens': 433}
{'loss': 2638.267578125, 'grad_norm_square': 379458886888.82916, 'tokens': 352}
{'loss': 1450.78173828125, 'grad_norm_square': 43894642537.21355, 'tokens': 206}
{'loss': 1869.96826171875, 'grad_norm_square': 213559321581.32443, 'tokens': 243}
{'loss': 2135.86328125, 'grad_norm_square': 119450827680.48886, 'tokens': 312}
{'loss': 3049.2041015625, 'grad_norm_square': 292137659240.0365, 'tokens': 374}
{'loss': 2075.845703125, 'grad_norm_square': 298364853266.6936, 'tokens': 279}
