{'model_params': 2506172416, 'peft_params': 274400}
{'loss': 580.0, 'grad_norm_square': 20864.0, 'tokens': 455}
{'loss': 422.0, 'grad_norm_square': 34560.0, 'tokens': 312}
{'loss': 756.0, 'grad_norm_square': 43264.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 27392.0, 'tokens': 471}
{'loss': 364.0, 'grad_norm_square': 16640.0, 'tokens': 327}
{'loss': 384.0, 'grad_norm_square': 17280.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 25600.0, 'tokens': 457}
{'loss': 322.0, 'grad_norm_square': 27264.0, 'tokens': 255}
{'loss': 556.0, 'grad_norm_square': 30464.0, 'tokens': 437}
{'loss': 396.0, 'grad_norm_square': 30976.0, 'tokens': 371}
{'loss': 696.0, 'grad_norm_square': 29824.0, 'tokens': 471}
{'loss': 604.0, 'grad_norm_square': 26624.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 14976.0, 'tokens': 261}
{'loss': 688.0, 'grad_norm_square': 26880.0, 'tokens': 419}
{'loss': 740.0, 'grad_norm_square': 40704.0, 'tokens': 450}
{'loss': 544.0, 'grad_norm_square': 25856.0, 'tokens': 446}
{'loss': 736.0, 'grad_norm_square': 21888.0, 'tokens': 452}
{'loss': 288.0, 'grad_norm_square': 17024.0, 'tokens': 262}
{'loss': 544.0, 'grad_norm_square': 28416.0, 'tokens': 375}
{'loss': 636.0, 'grad_norm_square': 29312.0, 'tokens': 405}
{'loss': 580.0, 'grad_norm_square': 22912.0, 'tokens': 409}
{'loss': 540.0, 'grad_norm_square': 25472.0, 'tokens': 410}
{'loss': 608.0, 'grad_norm_square': 22400.0, 'tokens': 429}
{'loss': 588.0, 'grad_norm_square': 24192.0, 'tokens': 408}
{'loss': 596.0, 'grad_norm_square': 40704.0, 'tokens': 427}
{'loss': 832.0, 'grad_norm_square': 43008.0, 'tokens': 445}
{'loss': 752.0, 'grad_norm_square': 76288.0, 'tokens': 461}
{'loss': 672.0, 'grad_norm_square': 32000.0, 'tokens': 444}
{'loss': 664.0, 'grad_norm_square': 26880.0, 'tokens': 459}
{'loss': 404.0, 'grad_norm_square': 13568.0, 'tokens': 295}
{'loss': 660.0, 'grad_norm_square': 22144.0, 'tokens': 420}
{'loss': 800.0, 'grad_norm_square': 57856.0, 'tokens': 476}
{'loss': 608.0, 'grad_norm_square': 21760.0, 'tokens': 430}
{'loss': 656.0, 'grad_norm_square': 36608.0, 'tokens': 441}
{'loss': 544.0, 'grad_norm_square': 26880.0, 'tokens': 402}
{'loss': 512.0, 'grad_norm_square': 19584.0, 'tokens': 328}
{'loss': 576.0, 'grad_norm_square': 21248.0, 'tokens': 453}
{'loss': 378.0, 'grad_norm_square': 12736.0, 'tokens': 375}
{'loss': 600.0, 'grad_norm_square': 21376.0, 'tokens': 434}
{'loss': 488.0, 'grad_norm_square': 22144.0, 'tokens': 383}
{'loss': 540.0, 'grad_norm_square': 18176.0, 'tokens': 411}
{'loss': 684.0, 'grad_norm_square': 63232.0, 'tokens': 469}
{'loss': 564.0, 'grad_norm_square': 39936.0, 'tokens': 392}
{'loss': 604.0, 'grad_norm_square': 24960.0, 'tokens': 460}
{'loss': 498.0, 'grad_norm_square': 24832.0, 'tokens': 398}
{'loss': 328.0, 'grad_norm_square': 24576.0, 'tokens': 284}
{'loss': 288.0, 'grad_norm_square': 47616.0, 'tokens': 275}
{'loss': 756.0, 'grad_norm_square': 39424.0, 'tokens': 435}
{'loss': 284.0, 'grad_norm_square': 13120.0, 'tokens': 287}
{'loss': 632.0, 'grad_norm_square': 25088.0, 'tokens': 440}
{'loss': 466.0, 'grad_norm_square': 22272.0, 'tokens': 326}
{'loss': 380.0, 'grad_norm_square': 16256.0, 'tokens': 349}
{'loss': 207.0, 'grad_norm_square': 14400.0, 'tokens': 255}
{'loss': 300.0, 'grad_norm_square': 15168.0, 'tokens': 281}
{'loss': 636.0, 'grad_norm_square': 30080.0, 'tokens': 435}
{'loss': 784.0, 'grad_norm_square': 22144.0, 'tokens': 393}
{'loss': 808.0, 'grad_norm_square': 33792.0, 'tokens': 480}
{'loss': 728.0, 'grad_norm_square': 29056.0, 'tokens': 459}
{'loss': 712.0, 'grad_norm_square': 45824.0, 'tokens': 477}
{'loss': 596.0, 'grad_norm_square': 53760.0, 'tokens': 464}
{'loss': 292.0, 'grad_norm_square': 12096.0, 'tokens': 263}
{'loss': 776.0, 'grad_norm_square': 76800.0, 'tokens': 489}
{'loss': 544.0, 'grad_norm_square': 18560.0, 'tokens': 376}
{'loss': 664.0, 'grad_norm_square': 36352.0, 'tokens': 455}
{'loss': 720.0, 'grad_norm_square': 30592.0, 'tokens': 420}
{'loss': 560.0, 'grad_norm_square': 22656.0, 'tokens': 414}
{'loss': 332.0, 'grad_norm_square': 36608.0, 'tokens': 260}
{'loss': 532.0, 'grad_norm_square': 31872.0, 'tokens': 379}
{'loss': 294.0, 'grad_norm_square': 13504.0, 'tokens': 257}
{'loss': 520.0, 'grad_norm_square': 19456.0, 'tokens': 413}
{'loss': 532.0, 'grad_norm_square': 22656.0, 'tokens': 386}
{'loss': 346.0, 'grad_norm_square': 12800.0, 'tokens': 258}
{'loss': 374.0, 'grad_norm_square': 18048.0, 'tokens': 281}
{'loss': 560.0, 'grad_norm_square': 23552.0, 'tokens': 472}
{'loss': 376.0, 'grad_norm_square': 15680.0, 'tokens': 334}
{'loss': 788.0, 'grad_norm_square': 30336.0, 'tokens': 437}
{'loss': 820.0, 'grad_norm_square': 31744.0, 'tokens': 499}
{'loss': 636.0, 'grad_norm_square': 27520.0, 'tokens': 448}
{'loss': 298.0, 'grad_norm_square': 12736.0, 'tokens': 248}
{'loss': 384.0, 'grad_norm_square': 15936.0, 'tokens': 310}
{'loss': 406.0, 'grad_norm_square': 12480.0, 'tokens': 271}
{'loss': 612.0, 'grad_norm_square': 32512.0, 'tokens': 416}
{'loss': 760.0, 'grad_norm_square': 31232.0, 'tokens': 445}
{'loss': 290.0, 'grad_norm_square': 13376.0, 'tokens': 261}
{'loss': 368.0, 'grad_norm_square': 14528.0, 'tokens': 316}
{'loss': 338.0, 'grad_norm_square': 17024.0, 'tokens': 299}
