{'model_params': 8030261248, 'peft_params': 2033408}
{'loss': 432.0, 'grad_norm_square': 27011049324544.0, 'tokens': 258}
{'loss': 4832.0, 'grad_norm_square': 4.153162408217805e+16, 'tokens': 309}
{'loss': 8576.0, 'grad_norm_square': 2.205423452623995e+17, 'tokens': 427}
{'loss': 3648.0, 'grad_norm_square': 1066293267689472.0, 'tokens': 234}
{'loss': 3360.0, 'grad_norm_square': 14880625102848.0, 'tokens': 318}
{'loss': 2976.0, 'grad_norm_square': 10946999234838.285, 'tokens': 326}
{'loss': 2912.0, 'grad_norm_square': 6223973948316.0, 'tokens': 308}
{'loss': 2832.0, 'grad_norm_square': 6585277963114.375, 'tokens': 300}
{'loss': 2064.0, 'grad_norm_square': 1180304920271.3438, 'tokens': 246}
{'loss': 3168.0, 'grad_norm_square': 3876737714429.8906, 'tokens': 348}
{'loss': 2880.0, 'grad_norm_square': 4443391422841.399, 'tokens': 328}
{'loss': 3184.0, 'grad_norm_square': 3197840553615.7607, 'tokens': 352}
{'loss': 3824.0, 'grad_norm_square': 1135910585046.7656, 'tokens': 419}
{'loss': 2736.0, 'grad_norm_square': 1826245315046.9707, 'tokens': 341}
{'loss': 2768.0, 'grad_norm_square': 1693910403231.8708, 'tokens': 329}
{'loss': 2704.0, 'grad_norm_square': 779591281192.3193, 'tokens': 335}
{'loss': 1872.0, 'grad_norm_square': 145124611557.8188, 'tokens': 235}
{'loss': 2048.0, 'grad_norm_square': 867529111175.3789, 'tokens': 263}
{'loss': 2496.0, 'grad_norm_square': 1179052145379.1714, 'tokens': 336}
{'loss': 3328.0, 'grad_norm_square': 1296741402303.5732, 'tokens': 411}
{'loss': 1776.0, 'grad_norm_square': 164358772232.24442, 'tokens': 250}
{'loss': 2816.0, 'grad_norm_square': 437851765773.4164, 'tokens': 377}
{'loss': 2176.0, 'grad_norm_square': 367387126726.5582, 'tokens': 277}
{'loss': 1808.0, 'grad_norm_square': 232231403269.00275, 'tokens': 240}
{'loss': 2560.0, 'grad_norm_square': 565907312503.3085, 'tokens': 323}
{'loss': 2592.0, 'grad_norm_square': 333986254321.22577, 'tokens': 334}
{'loss': 2448.0, 'grad_norm_square': 216646331091.6826, 'tokens': 306}
{'loss': 2384.0, 'grad_norm_square': 159141423908.24146, 'tokens': 325}
{'loss': 3104.0, 'grad_norm_square': 363400840832.14856, 'tokens': 405}
{'loss': 2816.0, 'grad_norm_square': 281468886531.43243, 'tokens': 374}
{'loss': 1568.0, 'grad_norm_square': 74532506586.96687, 'tokens': 214}
{'loss': 1776.0, 'grad_norm_square': 82521609312.07217, 'tokens': 230}
{'loss': 2496.0, 'grad_norm_square': 244381717825.85464, 'tokens': 360}
{'loss': 2144.0, 'grad_norm_square': 150141708753.87646, 'tokens': 288}
{'loss': 2464.0, 'grad_norm_square': 206971536662.23196, 'tokens': 342}
{'loss': 1944.0, 'grad_norm_square': 106308344610.54602, 'tokens': 261}
{'loss': 2144.0, 'grad_norm_square': 140732690709.8341, 'tokens': 276}
{'loss': 3024.0, 'grad_norm_square': 159706290724.20493, 'tokens': 420}
{'loss': 2096.0, 'grad_norm_square': 90152526772.71295, 'tokens': 266}
{'loss': 2320.0, 'grad_norm_square': 85321421122.08191, 'tokens': 315}
{'loss': 1920.0, 'grad_norm_square': 106511844844.04614, 'tokens': 286}
{'loss': 2656.0, 'grad_norm_square': 143175319512.5951, 'tokens': 385}
{'loss': 1944.0, 'grad_norm_square': 100876323823.20203, 'tokens': 266}
{'loss': 2288.0, 'grad_norm_square': 110990123980.12799, 'tokens': 305}
{'loss': 1496.0, 'grad_norm_square': 51980273643.98732, 'tokens': 206}
{'loss': 1920.0, 'grad_norm_square': 71690631725.05603, 'tokens': 275}
{'loss': 1688.0, 'grad_norm_square': 69592911940.31354, 'tokens': 241}
{'loss': 1760.0, 'grad_norm_square': 51752551459.51565, 'tokens': 253}
{'loss': 1664.0, 'grad_norm_square': 78272941201.70837, 'tokens': 223}
{'loss': 1976.0, 'grad_norm_square': 93967768582.93735, 'tokens': 269}
{'loss': 1608.0, 'grad_norm_square': 89469737618.2591, 'tokens': 248}
{'loss': 3440.0, 'grad_norm_square': 332309979702.6575, 'tokens': 440}
{'loss': 1744.0, 'grad_norm_square': 72874386249.7753, 'tokens': 246}
{'loss': 2128.0, 'grad_norm_square': 137850065075.9602, 'tokens': 287}
{'loss': 1784.0, 'grad_norm_square': 73726970960.09438, 'tokens': 258}
{'loss': 2416.0, 'grad_norm_square': 90044298870.09285, 'tokens': 344}
{'loss': 2512.0, 'grad_norm_square': 115533099612.5073, 'tokens': 342}
{'loss': 2096.0, 'grad_norm_square': 97899753776.21329, 'tokens': 301}
{'loss': 2160.0, 'grad_norm_square': 105465704400.11299, 'tokens': 304}
{'loss': 1880.0, 'grad_norm_square': 94466832621.09262, 'tokens': 246}
{'loss': 2208.0, 'grad_norm_square': 85353451632.19505, 'tokens': 318}
{'loss': 1504.0, 'grad_norm_square': 48654507646.98013, 'tokens': 228}
{'loss': 1440.0, 'grad_norm_square': 58010945689.600006, 'tokens': 217}
{'loss': 1880.0, 'grad_norm_square': 103230473052.2669, 'tokens': 269}
{'loss': 2032.0, 'grad_norm_square': 120406899504.01378, 'tokens': 273}
{'loss': 1872.0, 'grad_norm_square': 71895092724.86044, 'tokens': 263}
{'loss': 1944.0, 'grad_norm_square': 101530223493.89313, 'tokens': 278}
{'loss': 2864.0, 'grad_norm_square': 174403337783.44717, 'tokens': 412}
{'loss': 1984.0, 'grad_norm_square': 96696067995.4673, 'tokens': 296}
{'loss': 2272.0, 'grad_norm_square': 206792580852.90442, 'tokens': 336}
{'loss': 1928.0, 'grad_norm_square': 71843010293.91125, 'tokens': 295}
{'loss': 2416.0, 'grad_norm_square': 150572980034.0767, 'tokens': 363}
{'loss': 2752.0, 'grad_norm_square': 203724316651.4058, 'tokens': 374}
{'loss': 2256.0, 'grad_norm_square': 120083086571.17815, 'tokens': 315}
{'loss': 1848.0, 'grad_norm_square': 103634656820.77579, 'tokens': 272}
{'loss': 1736.0, 'grad_norm_square': 85434444030.73592, 'tokens': 246}
{'loss': 2176.0, 'grad_norm_square': 88055498412.29967, 'tokens': 315}
{'loss': 1664.0, 'grad_norm_square': 56796624679.90833, 'tokens': 229}
{'loss': 1736.0, 'grad_norm_square': 77179276620.53171, 'tokens': 233}
{'loss': 2128.0, 'grad_norm_square': 106868640892.65479, 'tokens': 280}
{'loss': 2432.0, 'grad_norm_square': 170700501414.1799, 'tokens': 346}
{'loss': 1696.0, 'grad_norm_square': 69745741788.79025, 'tokens': 246}
{'loss': 1720.0, 'grad_norm_square': 107636869868.20898, 'tokens': 266}
{'loss': 2368.0, 'grad_norm_square': 170773965832.46332, 'tokens': 363}
{'loss': 2320.0, 'grad_norm_square': 156952556266.6048, 'tokens': 338}
{'loss': 2912.0, 'grad_norm_square': 204855360887.76862, 'tokens': 429}
{'loss': 1944.0, 'grad_norm_square': 106891643335.47755, 'tokens': 265}
{'loss': 1936.0, 'grad_norm_square': 69948300364.04655, 'tokens': 265}
{'loss': 2432.0, 'grad_norm_square': 134582718848.11514, 'tokens': 337}
{'loss': 2080.0, 'grad_norm_square': 102977365713.93372, 'tokens': 318}
{'loss': 1904.0, 'grad_norm_square': 48600694691.50775, 'tokens': 274}
{'loss': 2336.0, 'grad_norm_square': 177806026207.4553, 'tokens': 335}
{'loss': 1688.0, 'grad_norm_square': 76069274953.36443, 'tokens': 246}
{'loss': 2960.0, 'grad_norm_square': 264117790073.5332, 'tokens': 403}
{'loss': 2352.0, 'grad_norm_square': 167274090990.21512, 'tokens': 348}
{'loss': 1792.0, 'grad_norm_square': 73787709903.7217, 'tokens': 293}
{'loss': 2304.0, 'grad_norm_square': 93488688674.13647, 'tokens': 335}
{'loss': 2024.0, 'grad_norm_square': 121391545682.50586, 'tokens': 289}
{'loss': 1848.0, 'grad_norm_square': 110239479930.10217, 'tokens': 264}
{'loss': 2592.0, 'grad_norm_square': 304492476224.7311, 'tokens': 333}
{'loss': 2672.0, 'grad_norm_square': 148219613638.6754, 'tokens': 355}
{'loss': 1176.0, 'grad_norm_square': 42618162991.984024, 'tokens': 176}
