{'model_params': 2506172416, 'peft_params': 10515456}
{'loss': 466.0, 'grad_norm_square': 94196.78125, 'tokens': 319}
{'loss': 436.0, 'grad_norm_square': 112089.62502598022, 'tokens': 252}
{'loss': 396.0, 'grad_norm_square': 159065.56258857358, 'tokens': 311}
{'loss': 438.0, 'grad_norm_square': 86288.62517268222, 'tokens': 308}
{'loss': 624.0, 'grad_norm_square': 116274.90664129896, 'tokens': 335}
{'loss': 708.0, 'grad_norm_square': 94434.37534383556, 'tokens': 434}
{'loss': 480.0, 'grad_norm_square': 129146.37572112877, 'tokens': 378}
{'loss': 476.0, 'grad_norm_square': 62219.31313788565, 'tokens': 299}
{'loss': 560.0, 'grad_norm_square': 588807.5039698073, 'tokens': 377}
{'loss': 506.0, 'grad_norm_square': 92903.75122910459, 'tokens': 294}
{'loss': 444.0, 'grad_norm_square': 103992.56431041448, 'tokens': 315}
{'loss': 476.0, 'grad_norm_square': 170809.59730171994, 'tokens': 328}
{'loss': 528.0, 'grad_norm_square': 96153.62822133367, 'tokens': 394}
{'loss': 498.0, 'grad_norm_square': 557849.8853303576, 'tokens': 291}
{'loss': 454.0, 'grad_norm_square': 127135.06760947173, 'tokens': 274}
{'loss': 536.0, 'grad_norm_square': 135911.31851746165, 'tokens': 342}
{'loss': 466.0, 'grad_norm_square': 160585.85037327, 'tokens': 441}
{'loss': 560.0, 'grad_norm_square': 95284.13082009461, 'tokens': 360}
{'loss': 490.0, 'grad_norm_square': 95942.41052955762, 'tokens': 306}
{'loss': 436.0, 'grad_norm_square': 94691.6004279959, 'tokens': 343}
{'loss': 390.0, 'grad_norm_square': 82911.1766923361, 'tokens': 230}
{'loss': 620.0, 'grad_norm_square': 284283.3928257879, 'tokens': 438}
{'loss': 486.0, 'grad_norm_square': 90811.01068093278, 'tokens': 330}
{'loss': 680.0, 'grad_norm_square': 157856.6382937678, 'tokens': 488}
{'loss': 492.0, 'grad_norm_square': 184103.36299935682, 'tokens': 343}
{'loss': 548.0, 'grad_norm_square': 94696.53956807265, 'tokens': 360}
{'loss': 414.0, 'grad_norm_square': 125628.7338192407, 'tokens': 227}
{'loss': 600.0, 'grad_norm_square': 97685.25952368882, 'tokens': 400}
{'loss': 460.0, 'grad_norm_square': 99218.76202666713, 'tokens': 389}
{'loss': 532.0, 'grad_norm_square': 131458.1441908013, 'tokens': 347}
{'loss': 454.0, 'grad_norm_square': 67544.91394360922, 'tokens': 281}
{'loss': 396.0, 'grad_norm_square': 115669.64180705417, 'tokens': 299}
{'loss': 510.0, 'grad_norm_square': 92920.42222177424, 'tokens': 305}
{'loss': 576.0, 'grad_norm_square': 220643.77997688204, 'tokens': 304}
{'loss': 378.0, 'grad_norm_square': 82344.26933903852, 'tokens': 289}
{'loss': 656.0, 'grad_norm_square': 173828.53611240862, 'tokens': 381}
{'loss': 528.0, 'grad_norm_square': 393547.40046007186, 'tokens': 395}
{'loss': 436.0, 'grad_norm_square': 234389.00183319626, 'tokens': 267}
{'loss': 548.0, 'grad_norm_square': 136726.74728440773, 'tokens': 299}
{'loss': 592.0, 'grad_norm_square': 99127.02703716233, 'tokens': 407}
{'loss': 536.0, 'grad_norm_square': 138418.19149039872, 'tokens': 347}
{'loss': 386.0, 'grad_norm_square': 112735.47042429005, 'tokens': 248}
{'loss': 532.0, 'grad_norm_square': 96489.30264321901, 'tokens': 309}
{'loss': 508.0, 'grad_norm_square': 91245.74101423938, 'tokens': 335}
{'loss': 576.0, 'grad_norm_square': 139249.22834161483, 'tokens': 420}
{'loss': 456.0, 'grad_norm_square': 62855.46273769345, 'tokens': 293}
{'loss': 446.0, 'grad_norm_square': 422947.9691006206, 'tokens': 251}
{'loss': 532.0, 'grad_norm_square': 128719.27418051288, 'tokens': 348}
{'loss': 608.0, 'grad_norm_square': 114198.7805558499, 'tokens': 336}
{'loss': 520.0, 'grad_norm_square': 143082.98347273795, 'tokens': 334}
{'loss': 448.0, 'grad_norm_square': 193374.9779629903, 'tokens': 312}
{'loss': 592.0, 'grad_norm_square': 108474.91458737105, 'tokens': 332}
{'loss': 420.0, 'grad_norm_square': 71142.18963199947, 'tokens': 272}
{'loss': 372.0, 'grad_norm_square': 69207.24998217635, 'tokens': 258}
{'loss': 544.0, 'grad_norm_square': 80991.96361567732, 'tokens': 314}
{'loss': 368.0, 'grad_norm_square': 36297.68243095931, 'tokens': 261}
{'loss': 470.0, 'grad_norm_square': 106640.98349903338, 'tokens': 291}
{'loss': 604.0, 'grad_norm_square': 137892.25060601998, 'tokens': 383}
{'loss': 572.0, 'grad_norm_square': 123766.2754792776, 'tokens': 323}
{'loss': 532.0, 'grad_norm_square': 119492.60198793933, 'tokens': 350}
{'loss': 448.0, 'grad_norm_square': 119038.53582235612, 'tokens': 358}
{'loss': 424.0, 'grad_norm_square': 74165.23358902521, 'tokens': 240}
{'loss': 368.0, 'grad_norm_square': 63280.713972480036, 'tokens': 256}
{'loss': 494.0, 'grad_norm_square': 167646.78420194425, 'tokens': 314}
{'loss': 386.0, 'grad_norm_square': 101604.28143331409, 'tokens': 249}
{'loss': 556.0, 'grad_norm_square': 152315.14029395208, 'tokens': 352}
{'loss': 552.0, 'grad_norm_square': 123025.39466406405, 'tokens': 330}
{'loss': 400.0, 'grad_norm_square': 150410.00027942657, 'tokens': 243}
{'loss': 456.0, 'grad_norm_square': 181694.54700126592, 'tokens': 292}
{'loss': 470.0, 'grad_norm_square': 111443.73029490747, 'tokens': 293}
{'loss': 486.0, 'grad_norm_square': 81493.74136403203, 'tokens': 327}
{'loss': 492.0, 'grad_norm_square': 63100.9891853584, 'tokens': 310}
{'loss': 446.0, 'grad_norm_square': 73409.21360449865, 'tokens': 254}
{'loss': 644.0, 'grad_norm_square': 143933.96876659244, 'tokens': 433}
{'loss': 536.0, 'grad_norm_square': 94404.57662350684, 'tokens': 352}
{'loss': 360.0, 'grad_norm_square': 49513.33137735352, 'tokens': 206}
{'loss': 440.0, 'grad_norm_square': 83388.4469346106, 'tokens': 243}
{'loss': 498.0, 'grad_norm_square': 191640.4329683408, 'tokens': 312}
{'loss': 596.0, 'grad_norm_square': 155856.82998305, 'tokens': 374}
{'loss': 492.0, 'grad_norm_square': 122458.1333382409, 'tokens': 279}
{'loss': 380.0, 'grad_norm_square': 138687.67488572747, 'tokens': 286}
{'loss': 414.0, 'grad_norm_square': 124719.93274608627, 'tokens': 288}
{'loss': 418.0, 'grad_norm_square': 125681.75724199414, 'tokens': 270}
{'loss': 474.0, 'grad_norm_square': 91100.72244534642, 'tokens': 309}
{'loss': 472.0, 'grad_norm_square': 110383.71040341258, 'tokens': 319}
{'loss': 374.0, 'grad_norm_square': 57721.51753231138, 'tokens': 210}
{'loss': 442.0, 'grad_norm_square': 179531.50547531247, 'tokens': 347}
{'loss': 424.0, 'grad_norm_square': 77443.83082700707, 'tokens': 336}
{'loss': 516.0, 'grad_norm_square': 84467.60307037085, 'tokens': 375}
{'loss': 404.0, 'grad_norm_square': 206602.65132487006, 'tokens': 237}
{'loss': 688.0, 'grad_norm_square': 213085.61365908757, 'tokens': 464}
{'loss': 484.0, 'grad_norm_square': 105913.72477913834, 'tokens': 354}
{'loss': 496.0, 'grad_norm_square': 173395.86653088778, 'tokens': 300}
{'loss': 486.0, 'grad_norm_square': 130829.853370931, 'tokens': 419}
{'loss': 462.0, 'grad_norm_square': 98605.64942405745, 'tokens': 338}
{'loss': 478.0, 'grad_norm_square': 174846.58216232806, 'tokens': 314}
{'loss': 584.0, 'grad_norm_square': 906579.6658690237, 'tokens': 334}
{'loss': 508.0, 'grad_norm_square': 87389.72324421257, 'tokens': 354}
{'loss': 652.0, 'grad_norm_square': 124240.40123917162, 'tokens': 389}
{'loss': 446.0, 'grad_norm_square': 63699.94860075787, 'tokens': 348}
{'loss': 502.0, 'grad_norm_square': 108102.49304650724, 'tokens': 431}
