{'model_params': 2506172416, 'peft_params': 1831424}
{'loss': 580.0, 'grad_norm_square': 91136.0, 'tokens': 455}
{'loss': 416.0, 'grad_norm_square': 140288.0, 'tokens': 312}
{'loss': 732.0, 'grad_norm_square': 163840.0, 'tokens': 432}
{'loss': 740.0, 'grad_norm_square': 107520.0, 'tokens': 471}
{'loss': 346.0, 'grad_norm_square': 64768.0, 'tokens': 327}
{'loss': 364.0, 'grad_norm_square': 56576.0, 'tokens': 314}
{'loss': 680.0, 'grad_norm_square': 93184.0, 'tokens': 457}
{'loss': 288.0, 'grad_norm_square': 63744.0, 'tokens': 255}
{'loss': 494.0, 'grad_norm_square': 87040.0, 'tokens': 437}
{'loss': 324.0, 'grad_norm_square': 62976.0, 'tokens': 371}
{'loss': 604.0, 'grad_norm_square': 78336.0, 'tokens': 471}
{'loss': 512.0, 'grad_norm_square': 74752.0, 'tokens': 452}
{'loss': 288.0, 'grad_norm_square': 48640.0, 'tokens': 261}
{'loss': 588.0, 'grad_norm_square': 64512.0, 'tokens': 419}
{'loss': 624.0, 'grad_norm_square': 67584.0, 'tokens': 450}
{'loss': 452.0, 'grad_norm_square': 69632.0, 'tokens': 446}
{'loss': 652.0, 'grad_norm_square': 64768.0, 'tokens': 452}
{'loss': 247.0, 'grad_norm_square': 39424.0, 'tokens': 262}
{'loss': 462.0, 'grad_norm_square': 50688.0, 'tokens': 375}
{'loss': 532.0, 'grad_norm_square': 60416.0, 'tokens': 405}
{'loss': 488.0, 'grad_norm_square': 49152.0, 'tokens': 409}
{'loss': 446.0, 'grad_norm_square': 56320.0, 'tokens': 410}
{'loss': 532.0, 'grad_norm_square': 72192.0, 'tokens': 429}
{'loss': 472.0, 'grad_norm_square': 56320.0, 'tokens': 408}
{'loss': 464.0, 'grad_norm_square': 59648.0, 'tokens': 427}
{'loss': 636.0, 'grad_norm_square': 67072.0, 'tokens': 445}
{'loss': 506.0, 'grad_norm_square': 79872.0, 'tokens': 461}
{'loss': 532.0, 'grad_norm_square': 72704.0, 'tokens': 444}
{'loss': 516.0, 'grad_norm_square': 59392.0, 'tokens': 459}
{'loss': 352.0, 'grad_norm_square': 50688.0, 'tokens': 295}
{'loss': 568.0, 'grad_norm_square': 65024.0, 'tokens': 420}
{'loss': 588.0, 'grad_norm_square': 68096.0, 'tokens': 476}
{'loss': 502.0, 'grad_norm_square': 57344.0, 'tokens': 430}
{'loss': 520.0, 'grad_norm_square': 58880.0, 'tokens': 441}
{'loss': 440.0, 'grad_norm_square': 56832.0, 'tokens': 402}
{'loss': 444.0, 'grad_norm_square': 46592.0, 'tokens': 328}
{'loss': 478.0, 'grad_norm_square': 59648.0, 'tokens': 453}
{'loss': 338.0, 'grad_norm_square': 51456.0, 'tokens': 375}
{'loss': 488.0, 'grad_norm_square': 60416.0, 'tokens': 434}
{'loss': 352.0, 'grad_norm_square': 46336.0, 'tokens': 383}
{'loss': 454.0, 'grad_norm_square': 47872.0, 'tokens': 411}
{'loss': 516.0, 'grad_norm_square': 53248.0, 'tokens': 469}
{'loss': 430.0, 'grad_norm_square': 50432.0, 'tokens': 392}
{'loss': 426.0, 'grad_norm_square': 47616.0, 'tokens': 460}
{'loss': 390.0, 'grad_norm_square': 46080.0, 'tokens': 398}
{'loss': 266.0, 'grad_norm_square': 41216.0, 'tokens': 284}
{'loss': 184.0, 'grad_norm_square': 32000.0, 'tokens': 275}
{'loss': 516.0, 'grad_norm_square': 58624.0, 'tokens': 435}
{'loss': 226.0, 'grad_norm_square': 42240.0, 'tokens': 287}
