{'model_params': 2506172416, 'peft_params': 2180080}
{'loss': 580.0, 'grad_norm_square': 60416.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 93696.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 125440.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 82944.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 48640.0, 'tokens': 327}
{'loss': 384.0, 'grad_norm_square': 48384.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 77312.0, 'tokens': 457}
{'loss': 318.0, 'grad_norm_square': 71680.0, 'tokens': 255}
{'loss': 552.0, 'grad_norm_square': 84992.0, 'tokens': 437}
{'loss': 394.0, 'grad_norm_square': 86016.0, 'tokens': 371}
{'loss': 692.0, 'grad_norm_square': 83456.0, 'tokens': 471}
{'loss': 600.0, 'grad_norm_square': 75776.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 45568.0, 'tokens': 261}
{'loss': 680.0, 'grad_norm_square': 75264.0, 'tokens': 419}
{'loss': 732.0, 'grad_norm_square': 112128.0, 'tokens': 450}
{'loss': 536.0, 'grad_norm_square': 72704.0, 'tokens': 446}
{'loss': 732.0, 'grad_norm_square': 61440.0, 'tokens': 452}
{'loss': 286.0, 'grad_norm_square': 50688.0, 'tokens': 262}
{'loss': 536.0, 'grad_norm_square': 71168.0, 'tokens': 375}
{'loss': 624.0, 'grad_norm_square': 81408.0, 'tokens': 405}
{'loss': 572.0, 'grad_norm_square': 62464.0, 'tokens': 409}
{'loss': 532.0, 'grad_norm_square': 70656.0, 'tokens': 410}
{'loss': 600.0, 'grad_norm_square': 63744.0, 'tokens': 429}
{'loss': 576.0, 'grad_norm_square': 63744.0, 'tokens': 408}
{'loss': 584.0, 'grad_norm_square': 107008.0, 'tokens': 427}
{'loss': 808.0, 'grad_norm_square': 108032.0, 'tokens': 445}
{'loss': 720.0, 'grad_norm_square': 187392.0, 'tokens': 461}
{'loss': 656.0, 'grad_norm_square': 81408.0, 'tokens': 444}
{'loss': 648.0, 'grad_norm_square': 70656.0, 'tokens': 459}
{'loss': 396.0, 'grad_norm_square': 40704.0, 'tokens': 295}
{'loss': 648.0, 'grad_norm_square': 60672.0, 'tokens': 420}
{'loss': 772.0, 'grad_norm_square': 132096.0, 'tokens': 476}
{'loss': 592.0, 'grad_norm_square': 59392.0, 'tokens': 430}
{'loss': 636.0, 'grad_norm_square': 85504.0, 'tokens': 441}
{'loss': 524.0, 'grad_norm_square': 66560.0, 'tokens': 402}
{'loss': 500.0, 'grad_norm_square': 49664.0, 'tokens': 328}
{'loss': 556.0, 'grad_norm_square': 54784.0, 'tokens': 453}
{'loss': 374.0, 'grad_norm_square': 36608.0, 'tokens': 375}
{'loss': 580.0, 'grad_norm_square': 55296.0, 'tokens': 434}
