{'model_params': 8030261248, 'peft_params': 4004864}
{'loss': 432.0, 'grad_norm_square': 27642409517056.0, 'tokens': 258}
{'loss': 3872.0, 'grad_norm_square': 5.014693597508096e+16, 'tokens': 309}
{'loss': 11392.0, 'grad_norm_square': 1023779406843584.0, 'tokens': 427}
{'loss': 14080.0, 'grad_norm_square': 65079338164398.12, 'tokens': 234}
{'loss': 8192.0, 'grad_norm_square': 33321382188231.414, 'tokens': 318}
{'loss': 4096.0, 'grad_norm_square': 5108870767557.096, 'tokens': 326}
{'loss': 4352.0, 'grad_norm_square': 3508672810745.67, 'tokens': 308}
{'loss': 3664.0, 'grad_norm_square': 1313070119157.6362, 'tokens': 300}
{'loss': 3024.0, 'grad_norm_square': 2270503311307.514, 'tokens': 246}
{'loss': 4032.0, 'grad_norm_square': 3141389831746.5815, 'tokens': 348}
{'loss': 3344.0, 'grad_norm_square': 184158485817.15952, 'tokens': 328}
{'loss': 3520.0, 'grad_norm_square': 142103219254.22778, 'tokens': 352}
{'loss': 4576.0, 'grad_norm_square': 377041676280.0922, 'tokens': 419}
{'loss': 3472.0, 'grad_norm_square': 213906426924.67657, 'tokens': 341}
{'loss': 3328.0, 'grad_norm_square': 168552981034.07407, 'tokens': 329}
{'loss': 3232.0, 'grad_norm_square': 114365984298.67812, 'tokens': 335}
{'loss': 2192.0, 'grad_norm_square': 39253479999.78004, 'tokens': 235}
{'loss': 2560.0, 'grad_norm_square': 53430025010.87769, 'tokens': 263}
{'loss': 2864.0, 'grad_norm_square': 79153879965.22238, 'tokens': 336}
{'loss': 3712.0, 'grad_norm_square': 141295503577.78406, 'tokens': 411}
{'loss': 2144.0, 'grad_norm_square': 50531364767.259636, 'tokens': 250}
{'loss': 3168.0, 'grad_norm_square': 90217053918.143, 'tokens': 377}
{'loss': 2352.0, 'grad_norm_square': 41248031022.91038, 'tokens': 277}
{'loss': 2000.0, 'grad_norm_square': 18684595351.568264, 'tokens': 240}
{'loss': 2784.0, 'grad_norm_square': 23010273800.081398, 'tokens': 323}
{'loss': 2816.0, 'grad_norm_square': 23709447304.235905, 'tokens': 334}
{'loss': 2688.0, 'grad_norm_square': 28625333295.186195, 'tokens': 306}
{'loss': 2544.0, 'grad_norm_square': 23694461662.317745, 'tokens': 325}
{'loss': 3440.0, 'grad_norm_square': 53414033517.4932, 'tokens': 405}
{'loss': 3088.0, 'grad_norm_square': 28769500520.010624, 'tokens': 374}
{'loss': 1720.0, 'grad_norm_square': 13816398207.017782, 'tokens': 214}
{'loss': 1888.0, 'grad_norm_square': 12087023150.365854, 'tokens': 230}
{'loss': 2736.0, 'grad_norm_square': 29543587907.701584, 'tokens': 360}
{'loss': 2240.0, 'grad_norm_square': 16305205372.144285, 'tokens': 288}
{'loss': 2688.0, 'grad_norm_square': 24209517218.446827, 'tokens': 342}
{'loss': 1984.0, 'grad_norm_square': 9167191170.455961, 'tokens': 261}
{'loss': 2336.0, 'grad_norm_square': 14979965307.070032, 'tokens': 276}
{'loss': 3120.0, 'grad_norm_square': 20785625054.01255, 'tokens': 420}
{'loss': 2176.0, 'grad_norm_square': 9107606164.073252, 'tokens': 266}
{'loss': 2400.0, 'grad_norm_square': 9932178909.84401, 'tokens': 315}
{'loss': 2032.0, 'grad_norm_square': 19232091107.964718, 'tokens': 286}
{'loss': 2784.0, 'grad_norm_square': 30234057798.25897, 'tokens': 385}
{'loss': 2128.0, 'grad_norm_square': 11601895984.259216, 'tokens': 266}
{'loss': 2480.0, 'grad_norm_square': 9594468068.260723, 'tokens': 305}
{'loss': 1576.0, 'grad_norm_square': 5365353150.541697, 'tokens': 206}
{'loss': 2008.0, 'grad_norm_square': 6814969366.114309, 'tokens': 275}
{'loss': 1696.0, 'grad_norm_square': 5753158631.698816, 'tokens': 241}
{'loss': 1896.0, 'grad_norm_square': 4492325342.80245, 'tokens': 253}
{'loss': 1696.0, 'grad_norm_square': 10755890559.694742, 'tokens': 223}
{'loss': 1944.0, 'grad_norm_square': 11994572157.111738, 'tokens': 269}
{'loss': 1712.0, 'grad_norm_square': 6116157132.893993, 'tokens': 248}
{'loss': 3536.0, 'grad_norm_square': 49390381475.74061, 'tokens': 440}
{'loss': 1808.0, 'grad_norm_square': 8926612878.665302, 'tokens': 246}
{'loss': 2272.0, 'grad_norm_square': 14337646705.091022, 'tokens': 287}
{'loss': 1904.0, 'grad_norm_square': 7856688816.069608, 'tokens': 258}
{'loss': 2512.0, 'grad_norm_square': 10133858198.14002, 'tokens': 344}
{'loss': 2640.0, 'grad_norm_square': 11566869298.976093, 'tokens': 342}
{'loss': 2240.0, 'grad_norm_square': 8781659422.541431, 'tokens': 301}
{'loss': 2112.0, 'grad_norm_square': 12018336748.69424, 'tokens': 304}
{'loss': 1960.0, 'grad_norm_square': 9505869909.933819, 'tokens': 246}
{'loss': 2224.0, 'grad_norm_square': 9538487479.947405, 'tokens': 318}
{'loss': 1496.0, 'grad_norm_square': 4282705195.294883, 'tokens': 228}
{'loss': 1488.0, 'grad_norm_square': 6149521616.318822, 'tokens': 217}
{'loss': 1896.0, 'grad_norm_square': 10496549816.601398, 'tokens': 269}
{'loss': 2048.0, 'grad_norm_square': 10239104023.993011, 'tokens': 273}
{'loss': 1952.0, 'grad_norm_square': 6807271665.832077, 'tokens': 263}
{'loss': 1976.0, 'grad_norm_square': 9179734307.913628, 'tokens': 278}
{'loss': 3008.0, 'grad_norm_square': 15779562531.838726, 'tokens': 412}
{'loss': 2080.0, 'grad_norm_square': 8433844276.919239, 'tokens': 296}
{'loss': 2288.0, 'grad_norm_square': 14286937420.351337, 'tokens': 336}
{'loss': 1992.0, 'grad_norm_square': 5878488449.029167, 'tokens': 295}
{'loss': 2528.0, 'grad_norm_square': 11622003975.17797, 'tokens': 363}
{'loss': 2784.0, 'grad_norm_square': 17356914269.96225, 'tokens': 374}
{'loss': 2352.0, 'grad_norm_square': 11180148897.126122, 'tokens': 315}
{'loss': 1840.0, 'grad_norm_square': 7205893409.132001, 'tokens': 272}
{'loss': 1776.0, 'grad_norm_square': 5954450903.455555, 'tokens': 246}
{'loss': 2288.0, 'grad_norm_square': 7023930193.203047, 'tokens': 315}
{'loss': 1688.0, 'grad_norm_square': 5061286753.030148, 'tokens': 229}
{'loss': 1856.0, 'grad_norm_square': 5917154488.0939455, 'tokens': 233}
{'loss': 2208.0, 'grad_norm_square': 8861846274.591587, 'tokens': 280}
{'loss': 2400.0, 'grad_norm_square': 15778587636.518143, 'tokens': 346}
{'loss': 1744.0, 'grad_norm_square': 5429337703.315036, 'tokens': 246}
{'loss': 1792.0, 'grad_norm_square': 10342391120.532019, 'tokens': 266}
{'loss': 2480.0, 'grad_norm_square': 12760360016.726414, 'tokens': 363}
{'loss': 2304.0, 'grad_norm_square': 12676590061.561443, 'tokens': 338}
{'loss': 2992.0, 'grad_norm_square': 18007769301.880844, 'tokens': 429}
{'loss': 2016.0, 'grad_norm_square': 6863198963.348114, 'tokens': 265}
{'loss': 1936.0, 'grad_norm_square': 6057104715.363258, 'tokens': 265}
{'loss': 2544.0, 'grad_norm_square': 10007319790.254827, 'tokens': 337}
{'loss': 2112.0, 'grad_norm_square': 8077101956.930641, 'tokens': 318}
{'loss': 1920.0, 'grad_norm_square': 4201655759.213539, 'tokens': 274}
{'loss': 2544.0, 'grad_norm_square': 14439582229.279259, 'tokens': 335}
{'loss': 1728.0, 'grad_norm_square': 7398888828.722837, 'tokens': 246}
{'loss': 2896.0, 'grad_norm_square': 17911928239.943752, 'tokens': 403}
{'loss': 2448.0, 'grad_norm_square': 11986402328.160543, 'tokens': 348}
{'loss': 1936.0, 'grad_norm_square': 5968282104.460046, 'tokens': 293}
{'loss': 2320.0, 'grad_norm_square': 9018601242.495792, 'tokens': 335}
{'loss': 2128.0, 'grad_norm_square': 8984352558.75253, 'tokens': 289}
{'loss': 1904.0, 'grad_norm_square': 9624233690.516855, 'tokens': 264}
{'loss': 2656.0, 'grad_norm_square': 23237496400.186893, 'tokens': 333}
{'loss': 2720.0, 'grad_norm_square': 11741443647.157381, 'tokens': 355}
{'loss': 1192.0, 'grad_norm_square': 3602915777.0229955, 'tokens': 176}
{'loss': 1912.0, 'grad_norm_square': 12234059570.04953, 'tokens': 292}
{'loss': 2432.0, 'grad_norm_square': 12153324389.028543, 'tokens': 333}
{'loss': 2048.0, 'grad_norm_square': 7814187238.623647, 'tokens': 296}
{'loss': 1992.0, 'grad_norm_square': 7427654245.144321, 'tokens': 286}
{'loss': 1424.0, 'grad_norm_square': 5652548976.698605, 'tokens': 224}
{'loss': 2192.0, 'grad_norm_square': 8402136267.477886, 'tokens': 317}
{'loss': 1936.0, 'grad_norm_square': 7629918534.419616, 'tokens': 283}
{'loss': 1688.0, 'grad_norm_square': 7815965240.073483, 'tokens': 264}
{'loss': 2016.0, 'grad_norm_square': 7280752306.667081, 'tokens': 306}
{'loss': 2064.0, 'grad_norm_square': 8127552846.36382, 'tokens': 312}
{'loss': 2336.0, 'grad_norm_square': 7572555445.465027, 'tokens': 326}
{'loss': 2192.0, 'grad_norm_square': 5438022607.675953, 'tokens': 325}
{'loss': 2304.0, 'grad_norm_square': 12779024512.996538, 'tokens': 341}
{'loss': 1416.0, 'grad_norm_square': 3812618232.4735794, 'tokens': 215}
{'loss': 2464.0, 'grad_norm_square': 11681770648.121853, 'tokens': 354}
{'loss': 2336.0, 'grad_norm_square': 8742958421.041544, 'tokens': 358}
{'loss': 2496.0, 'grad_norm_square': 12873781062.911867, 'tokens': 366}
{'loss': 1336.0, 'grad_norm_square': 3753667927.98448, 'tokens': 205}
{'loss': 2752.0, 'grad_norm_square': 14620063903.080961, 'tokens': 414}
{'loss': 2448.0, 'grad_norm_square': 8764129687.05529, 'tokens': 364}
{'loss': 2176.0, 'grad_norm_square': 8388463600.181426, 'tokens': 325}
{'loss': 1928.0, 'grad_norm_square': 14528572325.073046, 'tokens': 278}
{'loss': 2384.0, 'grad_norm_square': 16661638662.617529, 'tokens': 347}
{'loss': 1656.0, 'grad_norm_square': 4193927845.9696684, 'tokens': 255}
{'loss': 1968.0, 'grad_norm_square': 5870621470.751564, 'tokens': 275}
{'loss': 2016.0, 'grad_norm_square': 7115006027.310432, 'tokens': 292}
{'loss': 1672.0, 'grad_norm_square': 12873855016.139006, 'tokens': 244}
{'loss': 2656.0, 'grad_norm_square': 14430717604.377632, 'tokens': 345}
{'loss': 2464.0, 'grad_norm_square': 14472459691.764381, 'tokens': 344}
{'loss': 1960.0, 'grad_norm_square': 6463437244.187361, 'tokens': 267}
{'loss': 2224.0, 'grad_norm_square': 8460859301.387802, 'tokens': 321}
{'loss': 2784.0, 'grad_norm_square': 26101564875.107944, 'tokens': 393}
{'loss': 2384.0, 'grad_norm_square': 7354587367.87715, 'tokens': 355}
{'loss': 1536.0, 'grad_norm_square': 5077757950.004368, 'tokens': 236}
{'loss': 1560.0, 'grad_norm_square': 3148017234.99179, 'tokens': 234}
{'loss': 3120.0, 'grad_norm_square': 32856941517.506783, 'tokens': 413}
{'loss': 1536.0, 'grad_norm_square': 5035762911.098829, 'tokens': 222}
{'loss': 2176.0, 'grad_norm_square': 5845975713.997026, 'tokens': 321}
{'loss': 1360.0, 'grad_norm_square': 9198938443.944424, 'tokens': 200}
{'loss': 1392.0, 'grad_norm_square': 8170303972.858553, 'tokens': 219}
{'loss': 2112.0, 'grad_norm_square': 5614316712.124117, 'tokens': 301}
{'loss': 2656.0, 'grad_norm_square': 16135289119.723576, 'tokens': 388}
{'loss': 2640.0, 'grad_norm_square': 10663149648.673738, 'tokens': 379}
{'loss': 2288.0, 'grad_norm_square': 11411634683.28766, 'tokens': 327}
{'loss': 1696.0, 'grad_norm_square': 6161140915.545224, 'tokens': 276}
{'loss': 2080.0, 'grad_norm_square': 6420159671.18664, 'tokens': 320}
{'loss': 2224.0, 'grad_norm_square': 8856682985.241217, 'tokens': 330}
{'loss': 2656.0, 'grad_norm_square': 14184542784.71001, 'tokens': 372}
{'loss': 2464.0, 'grad_norm_square': 11931637629.00859, 'tokens': 374}
{'loss': 2672.0, 'grad_norm_square': 27679491131.89828, 'tokens': 345}
{'loss': 1728.0, 'grad_norm_square': 8989731156.100662, 'tokens': 241}
{'loss': 2336.0, 'grad_norm_square': 11196014841.205431, 'tokens': 306}
{'loss': 2208.0, 'grad_norm_square': 9689315544.391237, 'tokens': 283}
{'loss': 2336.0, 'grad_norm_square': 15311995763.27452, 'tokens': 357}
{'loss': 1944.0, 'grad_norm_square': 8671866097.92064, 'tokens': 295}
{'loss': 2336.0, 'grad_norm_square': 13615426924.298536, 'tokens': 332}
{'loss': 1272.0, 'grad_norm_square': 5667251462.982948, 'tokens': 205}
{'loss': 2384.0, 'grad_norm_square': 23362361669.52443, 'tokens': 340}
{'loss': 2144.0, 'grad_norm_square': 12612993351.414227, 'tokens': 329}
{'loss': 1592.0, 'grad_norm_square': 4618932730.526306, 'tokens': 237}
{'loss': 2040.0, 'grad_norm_square': 12763499382.202692, 'tokens': 322}
{'loss': 1304.0, 'grad_norm_square': 5802164628.550295, 'tokens': 199}
{'loss': 1544.0, 'grad_norm_square': 6121122909.395079, 'tokens': 255}
{'loss': 2560.0, 'grad_norm_square': 21297396715.772015, 'tokens': 337}
{'loss': 2352.0, 'grad_norm_square': 13380866345.271168, 'tokens': 341}
{'loss': 1816.0, 'grad_norm_square': 14539220202.60431, 'tokens': 267}
{'loss': 2096.0, 'grad_norm_square': 15095501455.328644, 'tokens': 296}
{'loss': 1952.0, 'grad_norm_square': 6861702158.995625, 'tokens': 301}
{'loss': 2592.0, 'grad_norm_square': 12043576202.458632, 'tokens': 365}
{'loss': 1616.0, 'grad_norm_square': 4781700870.517059, 'tokens': 223}
{'loss': 2208.0, 'grad_norm_square': 10236125525.959812, 'tokens': 330}
{'loss': 2368.0, 'grad_norm_square': 12289000263.216856, 'tokens': 341}
{'loss': 1848.0, 'grad_norm_square': 10613277196.292162, 'tokens': 275}
{'loss': 1800.0, 'grad_norm_square': 8437923187.234109, 'tokens': 269}
{'loss': 1672.0, 'grad_norm_square': 10663915517.621792, 'tokens': 246}
{'loss': 2032.0, 'grad_norm_square': 8168331444.347792, 'tokens': 277}
{'loss': 2496.0, 'grad_norm_square': 18503218827.551456, 'tokens': 363}
{'loss': 2832.0, 'grad_norm_square': 22471766448.6642, 'tokens': 417}
