{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.0, 'grad_norm_square': 221652.0, 'tokens': 319}
{'loss': 432.0, 'grad_norm_square': 291387.10852241516, 'tokens': 252}
{'loss': 390.0, 'grad_norm_square': 540160.0355987549, 'tokens': 311}
{'loss': 428.0, 'grad_norm_square': 245786.77098083496, 'tokens': 308}
{'loss': 608.0, 'grad_norm_square': 303061.26486206055, 'tokens': 335}
{'loss': 696.0, 'grad_norm_square': 229207.50537109375, 'tokens': 434}
{'loss': 462.0, 'grad_norm_square': 224311.12786865234, 'tokens': 378}
{'loss': 456.0, 'grad_norm_square': 162459.79467773438, 'tokens': 299}
{'loss': 520.0, 'grad_norm_square': 983566.059967041, 'tokens': 377}
{'loss': 480.0, 'grad_norm_square': 196225.51696777344, 'tokens': 294}
{'loss': 412.0, 'grad_norm_square': 220008.64324951172, 'tokens': 315}
{'loss': 436.0, 'grad_norm_square': 226913.056640625, 'tokens': 328}
{'loss': 492.0, 'grad_norm_square': 168143.53451538086, 'tokens': 394}
{'loss': 436.0, 'grad_norm_square': 690806.4794311523, 'tokens': 291}
{'loss': 406.0, 'grad_norm_square': 192825.9111328125, 'tokens': 274}
{'loss': 488.0, 'grad_norm_square': 214691.93481445312, 'tokens': 342}
{'loss': 410.0, 'grad_norm_square': 184401.6600341797, 'tokens': 441}
{'loss': 510.0, 'grad_norm_square': 157590.79821777344, 'tokens': 360}
{'loss': 442.0, 'grad_norm_square': 149195.7694091797, 'tokens': 306}
{'loss': 382.0, 'grad_norm_square': 160310.39324951172, 'tokens': 343}
{'loss': 340.0, 'grad_norm_square': 141567.61181640625, 'tokens': 230}
{'loss': 548.0, 'grad_norm_square': 318803.56494140625, 'tokens': 438}
{'loss': 428.0, 'grad_norm_square': 165241.05078125, 'tokens': 330}
{'loss': 612.0, 'grad_norm_square': 252517.6180419922, 'tokens': 488}
{'loss': 416.0, 'grad_norm_square': 198162.88049316406, 'tokens': 343}
{'loss': 492.0, 'grad_norm_square': 156389.78735351562, 'tokens': 360}
{'loss': 346.0, 'grad_norm_square': 149757.8765258789, 'tokens': 227}
{'loss': 536.0, 'grad_norm_square': 184377.87744140625, 'tokens': 400}
{'loss': 394.0, 'grad_norm_square': 155626.3828125, 'tokens': 389}
{'loss': 456.0, 'grad_norm_square': 154023.16064453125, 'tokens': 347}
{'loss': 394.0, 'grad_norm_square': 107846.09008789062, 'tokens': 281}
{'loss': 318.0, 'grad_norm_square': 168952.11322021484, 'tokens': 299}
{'loss': 434.0, 'grad_norm_square': 129180.72888183594, 'tokens': 305}
{'loss': 490.0, 'grad_norm_square': 187912.830078125, 'tokens': 304}
