{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 47408873472.0, 'tokens': 319}
{'loss': 28970.43359375, 'grad_norm_square': 1707978356424704.0, 'tokens': 252}
{'loss': 52534.81640625, 'grad_norm_square': 9.130878391916954e+16, 'tokens': 311}
{'loss': 162833.375, 'grad_norm_square': 3.644295849414656e+16, 'tokens': 308}
{'loss': 32178.53125, 'grad_norm_square': 32311240947554.03, 'tokens': 335}
{'loss': 13474.669921875, 'grad_norm_square': 2906609913193.67, 'tokens': 434}
{'loss': 54767.4921875, 'grad_norm_square': 554948617928112.56, 'tokens': 378}
{'loss': 8081.90869140625, 'grad_norm_square': 1419729354758.273, 'tokens': 299}
{'loss': 10105.455078125, 'grad_norm_square': 2039568282919.3457, 'tokens': 377}
{'loss': 11141.3779296875, 'grad_norm_square': 945994319579.803, 'tokens': 294}
{'loss': 8990.0078125, 'grad_norm_square': 309627731782.48047, 'tokens': 315}
{'loss': 8863.4892578125, 'grad_norm_square': 459876389731.8522, 'tokens': 328}
{'loss': 11100.529296875, 'grad_norm_square': 599913758503.8774, 'tokens': 394}
{'loss': 5562.83203125, 'grad_norm_square': 111206536632.48677, 'tokens': 291}
{'loss': 6338.552734375, 'grad_norm_square': 75906988356.87537, 'tokens': 274}
{'loss': 5753.294921875, 'grad_norm_square': 117496313052.3398, 'tokens': 342}
{'loss': 8652.931640625, 'grad_norm_square': 263085978201.06378, 'tokens': 441}
{'loss': 6545.4384765625, 'grad_norm_square': 109664156636.00783, 'tokens': 360}
{'loss': 5600.58740234375, 'grad_norm_square': 69680669442.24057, 'tokens': 306}
{'loss': 4937.39208984375, 'grad_norm_square': 70144352549.04202, 'tokens': 343}
{'loss': 4235.048828125, 'grad_norm_square': 54882126099.46406, 'tokens': 230}
{'loss': 8549.69140625, 'grad_norm_square': 239729174406.47626, 'tokens': 438}
{'loss': 5054.6484375, 'grad_norm_square': 113416485065.51195, 'tokens': 330}
{'loss': 7551.162109375, 'grad_norm_square': 171960675795.45206, 'tokens': 488}
{'loss': 4194.8232421875, 'grad_norm_square': 72808123540.79417, 'tokens': 343}
{'loss': 4521.6865234375, 'grad_norm_square': 69751151012.72731, 'tokens': 360}
{'loss': 2531.05908203125, 'grad_norm_square': 24613850346.9899, 'tokens': 227}
{'loss': 4687.7685546875, 'grad_norm_square': 201723981596.6107, 'tokens': 400}
{'loss': 4649.203125, 'grad_norm_square': 2745634222297.137, 'tokens': 389}
{'loss': 3521.0078125, 'grad_norm_square': 182054818815.1675, 'tokens': 347}
{'loss': 3397.818359375, 'grad_norm_square': 97726363980.81377, 'tokens': 281}
{'loss': 3206.652587890625, 'grad_norm_square': 69026907055.86006, 'tokens': 299}
{'loss': 4004.17138671875, 'grad_norm_square': 94244588334.49321, 'tokens': 305}
{'loss': 4352.552734375, 'grad_norm_square': 117348079081.39372, 'tokens': 304}
{'loss': 2939.09033203125, 'grad_norm_square': 52823807729.38829, 'tokens': 289}
{'loss': 4112.462890625, 'grad_norm_square': 104012671949.05074, 'tokens': 381}
{'loss': 3799.52294921875, 'grad_norm_square': 42899184293.02022, 'tokens': 395}
{'loss': 2739.850341796875, 'grad_norm_square': 6056264936.210213, 'tokens': 267}
{'loss': 3196.15576171875, 'grad_norm_square': 28093861060.403454, 'tokens': 299}
{'loss': 4067.699951171875, 'grad_norm_square': 440312340711.57916, 'tokens': 407}
{'loss': 3887.08544921875, 'grad_norm_square': 29624415560.255733, 'tokens': 347}
{'loss': 2533.05517578125, 'grad_norm_square': 12069076806.919132, 'tokens': 248}
{'loss': 3055.87451171875, 'grad_norm_square': 7206607049.859592, 'tokens': 309}
{'loss': 2965.64111328125, 'grad_norm_square': 9154031996.121353, 'tokens': 335}
{'loss': 3630.22900390625, 'grad_norm_square': 21100553502.75747, 'tokens': 420}
{'loss': 2988.12109375, 'grad_norm_square': 23978740926.040302, 'tokens': 293}
{'loss': 2375.60546875, 'grad_norm_square': 9885322263.735548, 'tokens': 251}
{'loss': 3449.962646484375, 'grad_norm_square': 25756736032.65413, 'tokens': 348}
{'loss': 3264.16455078125, 'grad_norm_square': 20256348859.90969, 'tokens': 336}
{'loss': 2878.344482421875, 'grad_norm_square': 11028554690.594978, 'tokens': 334}
{'loss': 2409.1640625, 'grad_norm_square': 16423889872.970695, 'tokens': 312}
{'loss': 3033.732177734375, 'grad_norm_square': 10785344674.668123, 'tokens': 332}
{'loss': 2686.2939453125, 'grad_norm_square': 14746311797.12886, 'tokens': 272}
{'loss': 2169.950439453125, 'grad_norm_square': 16673028674.969942, 'tokens': 258}
{'loss': 2637.384765625, 'grad_norm_square': 18833593876.01735, 'tokens': 314}
{'loss': 1897.46044921875, 'grad_norm_square': 5196269682.87004, 'tokens': 261}
{'loss': 2565.85693359375, 'grad_norm_square': 9290255878.227808, 'tokens': 291}
{'loss': 3516.39111328125, 'grad_norm_square': 29007372200.992554, 'tokens': 383}
{'loss': 2826.095458984375, 'grad_norm_square': 18021644641.944557, 'tokens': 323}
{'loss': 2703.735107421875, 'grad_norm_square': 6205188274.341238, 'tokens': 350}
{'loss': 2664.1162109375, 'grad_norm_square': 3861796780.736875, 'tokens': 358}
{'loss': 1922.083740234375, 'grad_norm_square': 1789431528.6481862, 'tokens': 240}
{'loss': 2244.70068359375, 'grad_norm_square': 6383841150.942796, 'tokens': 256}
{'loss': 2538.75390625, 'grad_norm_square': 19480625537.881447, 'tokens': 314}
{'loss': 2016.233642578125, 'grad_norm_square': 1897776162.0581493, 'tokens': 249}
{'loss': 2784.878173828125, 'grad_norm_square': 4306043072.878561, 'tokens': 352}
{'loss': 2932.742919921875, 'grad_norm_square': 10682365300.25168, 'tokens': 330}
{'loss': 2154.1767578125, 'grad_norm_square': 2217705602.671684, 'tokens': 243}
{'loss': 1886.7098388671875, 'grad_norm_square': 7298868619.249308, 'tokens': 292}
{'loss': 2341.099365234375, 'grad_norm_square': 2314711747.553081, 'tokens': 293}
{'loss': 2312.232421875, 'grad_norm_square': 5607082775.319554, 'tokens': 327}
{'loss': 2466.21044921875, 'grad_norm_square': 2885742151.7479725, 'tokens': 310}
{'loss': 1999.5643310546875, 'grad_norm_square': 1674718964.6599796, 'tokens': 254}
{'loss': 3012.96337890625, 'grad_norm_square': 6643967368.925062, 'tokens': 433}
{'loss': 2849.8935546875, 'grad_norm_square': 9558492421.06441, 'tokens': 352}
{'loss': 1604.162109375, 'grad_norm_square': 1701476316.3748324, 'tokens': 206}
