{'model_params': 2506172416, 'peft_params': 9175544}
{'loss': 466.0, 'grad_norm_square': 1336147968.0, 'tokens': 319}
{'loss': 342.0, 'grad_norm_square': 421880125.5, 'tokens': 252}
{'loss': 292.0, 'grad_norm_square': 462237517.0, 'tokens': 311}
{'loss': 310.0, 'grad_norm_square': 383805488.0, 'tokens': 308}
{'loss': 486.0, 'grad_norm_square': 1209198692.0, 'tokens': 335}
{'loss': 604.0, 'grad_norm_square': 648298868.0, 'tokens': 434}
{'loss': 380.0, 'grad_norm_square': 1494863653.5, 'tokens': 378}
{'loss': 342.0, 'grad_norm_square': 447387520.25, 'tokens': 299}
{'loss': 402.0, 'grad_norm_square': 607726736.0, 'tokens': 377}
{'loss': 360.0, 'grad_norm_square': 441970368.0, 'tokens': 294}
{'loss': 282.0, 'grad_norm_square': 253847287.0, 'tokens': 315}
{'loss': 314.0, 'grad_norm_square': 652006160.0, 'tokens': 328}
{'loss': 376.0, 'grad_norm_square': 585298304.0, 'tokens': 394}
{'loss': 300.0, 'grad_norm_square': 473019268.0, 'tokens': 291}
{'loss': 270.0, 'grad_norm_square': 271392092.0, 'tokens': 274}
{'loss': 370.0, 'grad_norm_square': 456903448.0, 'tokens': 342}
{'loss': 308.0, 'grad_norm_square': 397539852.0, 'tokens': 441}
{'loss': 350.0, 'grad_norm_square': 455524192.0, 'tokens': 360}
{'loss': 338.0, 'grad_norm_square': 349740560.0, 'tokens': 306}
{'loss': 276.0, 'grad_norm_square': 219752184.0, 'tokens': 343}
{'loss': 199.0, 'grad_norm_square': 187704092.0, 'tokens': 230}
{'loss': 412.0, 'grad_norm_square': 707029400.0, 'tokens': 438}
{'loss': 312.0, 'grad_norm_square': 231872668.0, 'tokens': 330}
{'loss': 482.0, 'grad_norm_square': 550791792.0, 'tokens': 488}
{'loss': 314.0, 'grad_norm_square': 368629672.0, 'tokens': 343}
{'loss': 428.0, 'grad_norm_square': 624877592.0, 'tokens': 360}
{'loss': 254.0, 'grad_norm_square': 208266572.0, 'tokens': 227}
{'loss': 462.0, 'grad_norm_square': 519697900.0, 'tokens': 400}
{'loss': 304.0, 'grad_norm_square': 300325428.0, 'tokens': 389}
{'loss': 356.0, 'grad_norm_square': 293560776.0, 'tokens': 347}
{'loss': 314.0, 'grad_norm_square': 211393272.0, 'tokens': 281}
{'loss': 231.0, 'grad_norm_square': 309228266.0, 'tokens': 299}
{'loss': 320.0, 'grad_norm_square': 253572960.0, 'tokens': 305}
{'loss': 432.0, 'grad_norm_square': 552266816.0, 'tokens': 304}
{'loss': 220.0, 'grad_norm_square': 128247464.0, 'tokens': 289}
{'loss': 452.0, 'grad_norm_square': 290208980.0, 'tokens': 381}
{'loss': 326.0, 'grad_norm_square': 249479024.0, 'tokens': 395}
{'loss': 258.0, 'grad_norm_square': 133042244.0, 'tokens': 267}
{'loss': 376.0, 'grad_norm_square': 272671116.0, 'tokens': 299}
{'loss': 412.0, 'grad_norm_square': 431155072.0, 'tokens': 407}
{'loss': 362.0, 'grad_norm_square': 453364192.0, 'tokens': 347}
{'loss': 225.0, 'grad_norm_square': 175890426.0, 'tokens': 248}
{'loss': 404.0, 'grad_norm_square': 337315334.0, 'tokens': 309}
{'loss': 330.0, 'grad_norm_square': 177819532.0, 'tokens': 335}
{'loss': 382.0, 'grad_norm_square': 799857624.0, 'tokens': 420}
{'loss': 298.0, 'grad_norm_square': 218284492.0, 'tokens': 293}
{'loss': 248.0, 'grad_norm_square': 130414052.0, 'tokens': 251}
{'loss': 376.0, 'grad_norm_square': 223897400.0, 'tokens': 348}
{'loss': 466.0, 'grad_norm_square': 290663088.0, 'tokens': 336}
{'loss': 338.0, 'grad_norm_square': 226628274.0, 'tokens': 334}
{'loss': 264.0, 'grad_norm_square': 285685400.0, 'tokens': 312}
{'loss': 420.0, 'grad_norm_square': 280183824.0, 'tokens': 332}
{'loss': 247.0, 'grad_norm_square': 134580810.0, 'tokens': 272}
{'loss': 193.0, 'grad_norm_square': 149731480.0, 'tokens': 258}
{'loss': 372.0, 'grad_norm_square': 211135864.0, 'tokens': 314}
{'loss': 213.0, 'grad_norm_square': 84917460.0, 'tokens': 261}
{'loss': 296.0, 'grad_norm_square': 232281164.0, 'tokens': 291}
{'loss': 462.0, 'grad_norm_square': 459324576.0, 'tokens': 383}
{'loss': 392.0, 'grad_norm_square': 209470608.0, 'tokens': 323}
{'loss': 344.0, 'grad_norm_square': 226952312.0, 'tokens': 350}
{'loss': 288.0, 'grad_norm_square': 135755088.0, 'tokens': 358}
{'loss': 266.0, 'grad_norm_square': 125682030.0, 'tokens': 240}
{'loss': 232.0, 'grad_norm_square': 185980684.5, 'tokens': 256}
{'loss': 320.0, 'grad_norm_square': 189013586.0, 'tokens': 314}
{'loss': 233.0, 'grad_norm_square': 159070144.0, 'tokens': 249}
{'loss': 374.0, 'grad_norm_square': 239571056.0, 'tokens': 352}
{'loss': 348.0, 'grad_norm_square': 221325464.0, 'tokens': 330}
{'loss': 272.0, 'grad_norm_square': 199518584.0, 'tokens': 243}
{'loss': 272.0, 'grad_norm_square': 168670776.0, 'tokens': 292}
{'loss': 320.0, 'grad_norm_square': 151524832.0, 'tokens': 293}
{'loss': 288.0, 'grad_norm_square': 169296892.0, 'tokens': 327}
{'loss': 346.0, 'grad_norm_square': 143717544.0, 'tokens': 310}
{'loss': 266.0, 'grad_norm_square': 151676572.0, 'tokens': 254}
{'loss': 432.0, 'grad_norm_square': 237811924.0, 'tokens': 433}
{'loss': 416.0, 'grad_norm_square': 189826668.0, 'tokens': 352}
