{'model_params': 2506172416, 'peft_params': 1090040}
{'loss': 580.0, 'grad_norm_square': 31744.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 48384.0, 'tokens': 312}
{'loss': 756.0, 'grad_norm_square': 65280.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 41216.0, 'tokens': 471}
{'loss': 364.0, 'grad_norm_square': 24576.0, 'tokens': 327}
{'loss': 382.0, 'grad_norm_square': 25344.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 38400.0, 'tokens': 457}
{'loss': 320.0, 'grad_norm_square': 36352.0, 'tokens': 255}
{'loss': 552.0, 'grad_norm_square': 45568.0, 'tokens': 437}
{'loss': 396.0, 'grad_norm_square': 43520.0, 'tokens': 371}
{'loss': 692.0, 'grad_norm_square': 44800.0, 'tokens': 471}
{'loss': 604.0, 'grad_norm_square': 39168.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 22912.0, 'tokens': 261}
{'loss': 688.0, 'grad_norm_square': 37888.0, 'tokens': 419}
{'loss': 740.0, 'grad_norm_square': 58624.0, 'tokens': 450}
{'loss': 540.0, 'grad_norm_square': 37120.0, 'tokens': 446}
{'loss': 736.0, 'grad_norm_square': 30720.0, 'tokens': 452}
{'loss': 288.0, 'grad_norm_square': 25216.0, 'tokens': 262}
{'loss': 544.0, 'grad_norm_square': 36352.0, 'tokens': 375}
{'loss': 632.0, 'grad_norm_square': 42240.0, 'tokens': 405}
{'loss': 580.0, 'grad_norm_square': 33792.0, 'tokens': 409}
{'loss': 540.0, 'grad_norm_square': 36096.0, 'tokens': 410}
{'loss': 604.0, 'grad_norm_square': 32768.0, 'tokens': 429}
{'loss': 584.0, 'grad_norm_square': 33792.0, 'tokens': 408}
{'loss': 592.0, 'grad_norm_square': 60928.0, 'tokens': 427}
{'loss': 824.0, 'grad_norm_square': 57856.0, 'tokens': 445}
{'loss': 744.0, 'grad_norm_square': 106496.0, 'tokens': 461}
{'loss': 668.0, 'grad_norm_square': 43520.0, 'tokens': 444}
{'loss': 660.0, 'grad_norm_square': 38656.0, 'tokens': 459}
{'loss': 400.0, 'grad_norm_square': 20480.0, 'tokens': 295}
{'loss': 660.0, 'grad_norm_square': 31232.0, 'tokens': 420}
{'loss': 796.0, 'grad_norm_square': 75264.0, 'tokens': 476}
{'loss': 604.0, 'grad_norm_square': 30464.0, 'tokens': 430}
{'loss': 652.0, 'grad_norm_square': 49152.0, 'tokens': 441}
{'loss': 540.0, 'grad_norm_square': 34560.0, 'tokens': 402}
{'loss': 510.0, 'grad_norm_square': 27008.0, 'tokens': 328}
{'loss': 572.0, 'grad_norm_square': 31104.0, 'tokens': 453}
{'loss': 376.0, 'grad_norm_square': 17024.0, 'tokens': 375}
{'loss': 592.0, 'grad_norm_square': 29312.0, 'tokens': 434}
