{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 66702016512.0, 'tokens': 319}
{'loss': 1257.7901611328125, 'grad_norm_square': 85130193063936.0, 'tokens': 252}
{'loss': 1190.6534423828125, 'grad_norm_square': 4989329449472.0, 'tokens': 311}
{'loss': 1001.5904541015625, 'grad_norm_square': 36525159145472.0, 'tokens': 308}
{'loss': 4427.42236328125, 'grad_norm_square': 84880309649408.0, 'tokens': 335}
{'loss': 3335.9091796875, 'grad_norm_square': 15915258361856.0, 'tokens': 434}
{'loss': 10370.162109375, 'grad_norm_square': 4090526067326976.0, 'tokens': 378}
{'loss': 4088.083984375, 'grad_norm_square': 21014317047808.0, 'tokens': 299}
{'loss': 3370.86962890625, 'grad_norm_square': 10533945458688.0, 'tokens': 377}
{'loss': 8084.18359375, 'grad_norm_square': 3657635043737600.0, 'tokens': 294}
{'loss': 4908.93701171875, 'grad_norm_square': 76518773211136.0, 'tokens': 315}
{'loss': 5690.1533203125, 'grad_norm_square': 58619268562944.0, 'tokens': 328}
{'loss': 5784.880859375, 'grad_norm_square': 478668606406656.0, 'tokens': 394}
{'loss': 4173.849609375, 'grad_norm_square': 5002205158400.0, 'tokens': 291}
{'loss': 4609.68798828125, 'grad_norm_square': 4405156669440.0, 'tokens': 274}
{'loss': 3646.76708984375, 'grad_norm_square': 3538701298688.0, 'tokens': 342}
{'loss': 4575.37841796875, 'grad_norm_square': 6557920264192.0, 'tokens': 441}
{'loss': 3059.306640625, 'grad_norm_square': 4360477839360.0, 'tokens': 360}
{'loss': 1856.5474853515625, 'grad_norm_square': 3939739418624.0, 'tokens': 306}
{'loss': 34536.54296875, 'grad_norm_square': 2.231893398598451e+16, 'tokens': 343}
{'loss': 3868.044921875, 'grad_norm_square': 9264634929152.0, 'tokens': 230}
{'loss': 10300.923828125, 'grad_norm_square': 46321099489280.0, 'tokens': 438}
{'loss': 5506.42431640625, 'grad_norm_square': 17727952216064.0, 'tokens': 330}
{'loss': 7775.3623046875, 'grad_norm_square': 56358181609472.0, 'tokens': 488}
{'loss': 3730.598388671875, 'grad_norm_square': 3734069999616.0, 'tokens': 343}
{'loss': 4242.3125, 'grad_norm_square': 5283231168512.0, 'tokens': 360}
{'loss': 2134.00390625, 'grad_norm_square': 8717656846336.0, 'tokens': 227}
{'loss': 4125.6396484375, 'grad_norm_square': 26510254587904.0, 'tokens': 400}
{'loss': 193369.65625, 'grad_norm_square': 1.5282002098871337e+18, 'tokens': 389}
{'loss': 4234.74267578125, 'grad_norm_square': 5225574414848.0, 'tokens': 347}
{'loss': 3581.460693359375, 'grad_norm_square': 3807483050688.0, 'tokens': 281}
{'loss': 3715.31298828125, 'grad_norm_square': 62048557624320.0, 'tokens': 299}
{'loss': 4329.6650390625, 'grad_norm_square': 14736267224448.0, 'tokens': 305}
{'loss': 4317.92236328125, 'grad_norm_square': 8380310766400.0, 'tokens': 304}
{'loss': 2702.0634765625, 'grad_norm_square': 1868397461744.0, 'tokens': 289}
{'loss': 3901.552001953125, 'grad_norm_square': 10798519794208.0, 'tokens': 381}
{'loss': 3410.228515625, 'grad_norm_square': 1500463851584.0, 'tokens': 395}
{'loss': 2671.332275390625, 'grad_norm_square': 1644852676672.0, 'tokens': 267}
{'loss': 2866.0322265625, 'grad_norm_square': 2308845717856.0, 'tokens': 299}
{'loss': 3185.7197265625, 'grad_norm_square': 2147876460096.0, 'tokens': 407}
{'loss': 3082.68212890625, 'grad_norm_square': 925918147168.0, 'tokens': 347}
{'loss': 1985.61572265625, 'grad_norm_square': 466379189710.0, 'tokens': 248}
