{'model_params': 2506172416, 'peft_params': 1829856}
{'loss': 580.0, 'grad_norm_square': 342016.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 552960.0, 'tokens': 312}
{'loss': 748.0, 'grad_norm_square': 700416.0, 'tokens': 432}
{'loss': 756.0, 'grad_norm_square': 432128.0, 'tokens': 471}
{'loss': 358.0, 'grad_norm_square': 266240.0, 'tokens': 327}
{'loss': 378.0, 'grad_norm_square': 250880.0, 'tokens': 314}
{'loss': 720.0, 'grad_norm_square': 387072.0, 'tokens': 457}
{'loss': 308.0, 'grad_norm_square': 339968.0, 'tokens': 255}
{'loss': 536.0, 'grad_norm_square': 413696.0, 'tokens': 437}
{'loss': 372.0, 'grad_norm_square': 387072.0, 'tokens': 371}
{'loss': 660.0, 'grad_norm_square': 372736.0, 'tokens': 471}
{'loss': 572.0, 'grad_norm_square': 356352.0, 'tokens': 452}
{'loss': 304.0, 'grad_norm_square': 231424.0, 'tokens': 261}
{'loss': 648.0, 'grad_norm_square': 319488.0, 'tokens': 419}
{'loss': 688.0, 'grad_norm_square': 403456.0, 'tokens': 450}
{'loss': 504.0, 'grad_norm_square': 317440.0, 'tokens': 446}
{'loss': 704.0, 'grad_norm_square': 288768.0, 'tokens': 452}
{'loss': 270.0, 'grad_norm_square': 204800.0, 'tokens': 262}
{'loss': 508.0, 'grad_norm_square': 251904.0, 'tokens': 375}
{'loss': 584.0, 'grad_norm_square': 292864.0, 'tokens': 405}
{'loss': 532.0, 'grad_norm_square': 250880.0, 'tokens': 409}
{'loss': 494.0, 'grad_norm_square': 278528.0, 'tokens': 410}
{'loss': 560.0, 'grad_norm_square': 278528.0, 'tokens': 429}
{'loss': 532.0, 'grad_norm_square': 272384.0, 'tokens': 408}
{'loss': 524.0, 'grad_norm_square': 325632.0, 'tokens': 427}
{'loss': 724.0, 'grad_norm_square': 352256.0, 'tokens': 445}
{'loss': 604.0, 'grad_norm_square': 452608.0, 'tokens': 461}
{'loss': 596.0, 'grad_norm_square': 354304.0, 'tokens': 444}
{'loss': 580.0, 'grad_norm_square': 282624.0, 'tokens': 459}
{'loss': 374.0, 'grad_norm_square': 207872.0, 'tokens': 295}
{'loss': 608.0, 'grad_norm_square': 272384.0, 'tokens': 420}
{'loss': 672.0, 'grad_norm_square': 368640.0, 'tokens': 476}
{'loss': 544.0, 'grad_norm_square': 247808.0, 'tokens': 430}
{'loss': 568.0, 'grad_norm_square': 288768.0, 'tokens': 441}
{'loss': 476.0, 'grad_norm_square': 261120.0, 'tokens': 402}
{'loss': 468.0, 'grad_norm_square': 179200.0, 'tokens': 328}
{'loss': 504.0, 'grad_norm_square': 231424.0, 'tokens': 453}
{'loss': 354.0, 'grad_norm_square': 180224.0, 'tokens': 375}
{'loss': 524.0, 'grad_norm_square': 221184.0, 'tokens': 434}
{'loss': 400.0, 'grad_norm_square': 220160.0, 'tokens': 383}
{'loss': 484.0, 'grad_norm_square': 215040.0, 'tokens': 411}
{'loss': 556.0, 'grad_norm_square': 245760.0, 'tokens': 469}
