{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.21319580078125, 'grad_norm_square': 34535112704.0, 'tokens': 319}
{'loss': 1239.22802734375, 'grad_norm_square': 58141895549344.0, 'tokens': 252}
{'loss': 718.9529418945312, 'grad_norm_square': 1356215379216.0, 'tokens': 311}
{'loss': 1476.6357421875, 'grad_norm_square': 7976208819264.0, 'tokens': 308}
{'loss': 11905.439453125, 'grad_norm_square': 2535967827099648.0, 'tokens': 335}
{'loss': 18227.734375, 'grad_norm_square': 307049572139008.0, 'tokens': 434}
{'loss': 7488.884765625, 'grad_norm_square': 76941994584576.0, 'tokens': 378}
{'loss': 2963.72021484375, 'grad_norm_square': 1797053069440.0, 'tokens': 299}
{'loss': 22115.349609375, 'grad_norm_square': 8533751121838080.0, 'tokens': 377}
{'loss': 6017.2421875, 'grad_norm_square': 2766308654592.0, 'tokens': 294}
{'loss': 5451.88916015625, 'grad_norm_square': 2655221874432.0, 'tokens': 315}
{'loss': 5643.25537109375, 'grad_norm_square': 2439946722432.0, 'tokens': 328}
{'loss': 7424.767578125, 'grad_norm_square': 4765925710848.0, 'tokens': 394}
{'loss': 3290.847412109375, 'grad_norm_square': 2742714145536.0, 'tokens': 291}
{'loss': 4672.64990234375, 'grad_norm_square': 515836695740416.0, 'tokens': 274}
{'loss': 2700.02294921875, 'grad_norm_square': 4268129790976.0, 'tokens': 342}
{'loss': 13366.130859375, 'grad_norm_square': 1.7884216066834432e+16, 'tokens': 441}
{'loss': 6237.89501953125, 'grad_norm_square': 3618090915808.0, 'tokens': 360}
{'loss': 5002.7490234375, 'grad_norm_square': 5498075932716.0, 'tokens': 306}
{'loss': 4057.01171875, 'grad_norm_square': 2135381885931.0, 'tokens': 343}
{'loss': 3104.689208984375, 'grad_norm_square': 5868760185274.0, 'tokens': 230}
{'loss': 5167.09375, 'grad_norm_square': 3802719866184.0, 'tokens': 438}
{'loss': 3815.43310546875, 'grad_norm_square': 37003239054848.0, 'tokens': 330}
{'loss': 7395.6572265625, 'grad_norm_square': 9937905476823.0, 'tokens': 488}
{'loss': 4016.568359375, 'grad_norm_square': 1579113117486.0, 'tokens': 343}
{'loss': 4651.1650390625, 'grad_norm_square': 2445582654562.0, 'tokens': 360}
{'loss': 2584.53662109375, 'grad_norm_square': 571745697607.75, 'tokens': 227}
{'loss': 4609.03564453125, 'grad_norm_square': 1137008042213.375, 'tokens': 400}
{'loss': 3937.04638671875, 'grad_norm_square': 1414725360747.5, 'tokens': 389}
{'loss': 3482.74072265625, 'grad_norm_square': 1562094804671.0, 'tokens': 347}
{'loss': 2833.51123046875, 'grad_norm_square': 569007674039.0, 'tokens': 281}
{'loss': 2631.80078125, 'grad_norm_square': 455413930917.0, 'tokens': 299}
{'loss': 3226.25732421875, 'grad_norm_square': 445678179054.0, 'tokens': 305}
{'loss': 3048.854248046875, 'grad_norm_square': 310291310314.0, 'tokens': 304}
{'loss': 2606.985107421875, 'grad_norm_square': 78636108467712.0, 'tokens': 289}
{'loss': 3212.109130859375, 'grad_norm_square': 555942726579.25, 'tokens': 381}
{'loss': 3099.43603515625, 'grad_norm_square': 165935527117.90625, 'tokens': 395}
{'loss': 2290.1572265625, 'grad_norm_square': 222768839320.6875, 'tokens': 267}
{'loss': 2606.876953125, 'grad_norm_square': 343894299349.625, 'tokens': 299}
{'loss': 3114.73583984375, 'grad_norm_square': 422236439381.0, 'tokens': 407}
{'loss': 3035.45458984375, 'grad_norm_square': 338989278054.75, 'tokens': 347}
{'loss': 1837.695068359375, 'grad_norm_square': 478420832012.625, 'tokens': 248}
{'loss': 2422.50732421875, 'grad_norm_square': 1443383492558.0, 'tokens': 309}
{'loss': 2345.89697265625, 'grad_norm_square': 76359894020.25, 'tokens': 335}
{'loss': 3122.24658203125, 'grad_norm_square': 359661116340.375, 'tokens': 420}
{'loss': 2330.2880859375, 'grad_norm_square': 276150594163.875, 'tokens': 293}
{'loss': 1928.267578125, 'grad_norm_square': 68538233800.171875, 'tokens': 251}
{'loss': 2716.98193359375, 'grad_norm_square': 85322342003.03125, 'tokens': 348}
{'loss': 2668.38037109375, 'grad_norm_square': 79111241991.34375, 'tokens': 336}
{'loss': 2358.450927734375, 'grad_norm_square': 266873048451.85938, 'tokens': 334}
{'loss': 2054.87158203125, 'grad_norm_square': 297968112121.5, 'tokens': 312}
{'loss': 2408.98486328125, 'grad_norm_square': 44716545635.484375, 'tokens': 332}
{'loss': 1970.928466796875, 'grad_norm_square': 27273724626.382812, 'tokens': 272}
{'loss': 1673.081298828125, 'grad_norm_square': 35459125350.24219, 'tokens': 258}
{'loss': 2070.65576171875, 'grad_norm_square': 38789680583.71875, 'tokens': 314}
{'loss': 1556.475341796875, 'grad_norm_square': 64358925741.828125, 'tokens': 261}
{'loss': 2095.204345703125, 'grad_norm_square': 115836777132.54688, 'tokens': 291}
{'loss': 2763.97216796875, 'grad_norm_square': 48621748927.8125, 'tokens': 383}
{'loss': 2191.8505859375, 'grad_norm_square': 56205271595.515625, 'tokens': 323}
{'loss': 2255.0625, 'grad_norm_square': 213881108400.375, 'tokens': 350}
{'loss': 2222.427734375, 'grad_norm_square': 89468969266.48438, 'tokens': 358}
{'loss': 1599.8792724609375, 'grad_norm_square': 31591589640.29492, 'tokens': 240}
{'loss': 1761.8968505859375, 'grad_norm_square': 30669571071.32422, 'tokens': 256}
{'loss': 1909.71533203125, 'grad_norm_square': 57778786833.453125, 'tokens': 314}
{'loss': 1721.906005859375, 'grad_norm_square': 87006583329.28125, 'tokens': 249}
{'loss': 2290.73876953125, 'grad_norm_square': 199086508563.6875, 'tokens': 352}
{'loss': 2328.0322265625, 'grad_norm_square': 48967883047.57031, 'tokens': 330}
{'loss': 1702.7781982421875, 'grad_norm_square': 242490697914.21484, 'tokens': 243}
{'loss': 1647.166015625, 'grad_norm_square': 452066037221.53125, 'tokens': 292}
{'loss': 1858.700927734375, 'grad_norm_square': 28041929031.09375, 'tokens': 293}
{'loss': 1847.97314453125, 'grad_norm_square': 95367594566.75, 'tokens': 327}
{'loss': 1835.21630859375, 'grad_norm_square': 87447657332.90625, 'tokens': 310}
{'loss': 1585.1568603515625, 'grad_norm_square': 34417886262.79492, 'tokens': 254}
{'loss': 2362.93603515625, 'grad_norm_square': 56817700235.0625, 'tokens': 433}
{'loss': 2360.8603515625, 'grad_norm_square': 46498489309.28906, 'tokens': 352}
{'loss': 1206.9017333984375, 'grad_norm_square': 18672739590.226562, 'tokens': 206}
{'loss': 1698.6064453125, 'grad_norm_square': 49310835320.42969, 'tokens': 243}
{'loss': 1905.925537109375, 'grad_norm_square': 130132725382.5625, 'tokens': 312}
{'loss': 2701.265625, 'grad_norm_square': 99916086862.1875, 'tokens': 374}
{'loss': 1793.407470703125, 'grad_norm_square': 42269057920.49219, 'tokens': 279}
{'loss': 1702.85009765625, 'grad_norm_square': 24379827845.476562, 'tokens': 286}
{'loss': 1692.7811279296875, 'grad_norm_square': 37575677088.21094, 'tokens': 288}
{'loss': 1744.078125, 'grad_norm_square': 96185298824.59375, 'tokens': 270}
{'loss': 1779.4326171875, 'grad_norm_square': 89236644741.85156, 'tokens': 309}
{'loss': 1937.2255859375, 'grad_norm_square': 49627310727.33594, 'tokens': 319}
{'loss': 1196.1875, 'grad_norm_square': 180865202614.9375, 'tokens': 210}
{'loss': 1760.206298828125, 'grad_norm_square': 95588678799.21094, 'tokens': 347}
{'loss': 1858.3896484375, 'grad_norm_square': 31848491952.90625, 'tokens': 336}
{'loss': 2464.66845703125, 'grad_norm_square': 127093045565.7539, 'tokens': 375}
{'loss': 1391.604736328125, 'grad_norm_square': 28055492033.046875, 'tokens': 237}
{'loss': 2600.851806640625, 'grad_norm_square': 69639678602.14062, 'tokens': 464}
{'loss': 2034.082763671875, 'grad_norm_square': 23752552382.216797, 'tokens': 354}
{'loss': 1580.3995361328125, 'grad_norm_square': 48544030039.03125, 'tokens': 300}
{'loss': 2311.418701171875, 'grad_norm_square': 139621087736.10938, 'tokens': 419}
{'loss': 1701.478515625, 'grad_norm_square': 33113825225.4375, 'tokens': 338}
{'loss': 1562.11669921875, 'grad_norm_square': 22065372098.828125, 'tokens': 314}
{'loss': 1942.8194580078125, 'grad_norm_square': 107066900616.0625, 'tokens': 334}
{'loss': 1954.061279296875, 'grad_norm_square': 92546734839.125, 'tokens': 354}
{'loss': 2839.6982421875, 'grad_norm_square': 259058684427.375, 'tokens': 389}
{'loss': 1953.01318359375, 'grad_norm_square': 81230438682.625, 'tokens': 348}
{'loss': 2516.277587890625, 'grad_norm_square': 156914589832.78125, 'tokens': 431}
{'loss': 1405.2666015625, 'grad_norm_square': 229305039614.75, 'tokens': 254}
{'loss': 2198.9150390625, 'grad_norm_square': 37976807531.1875, 'tokens': 408}
{'loss': 2054.01611328125, 'grad_norm_square': 117133648952.78125, 'tokens': 378}
{'loss': 2289.12109375, 'grad_norm_square': 180157239630.9375, 'tokens': 412}
{'loss': 1818.235107421875, 'grad_norm_square': 75975644614.0625, 'tokens': 319}
{'loss': 2349.796875, 'grad_norm_square': 42007802818.046875, 'tokens': 389}
{'loss': 2405.474365234375, 'grad_norm_square': 75462998921.0625, 'tokens': 379}
{'loss': 1132.3319091796875, 'grad_norm_square': 307563616081.75, 'tokens': 230}
{'loss': 1627.3785400390625, 'grad_norm_square': 71142892588.6875, 'tokens': 328}
{'loss': 1504.588134765625, 'grad_norm_square': 27475944930.648438, 'tokens': 279}
{'loss': 1568.281982421875, 'grad_norm_square': 61997029592.71875, 'tokens': 289}
{'loss': 1983.881103515625, 'grad_norm_square': 113128286719.75, 'tokens': 406}
{'loss': 1567.0623779296875, 'grad_norm_square': 59658943035.5625, 'tokens': 284}
{'loss': 1782.765625, 'grad_norm_square': 20644312160.117188, 'tokens': 300}
{'loss': 1440.948974609375, 'grad_norm_square': 55929970733.8125, 'tokens': 263}
{'loss': 1670.988525390625, 'grad_norm_square': 339272984214.25, 'tokens': 315}
{'loss': 1711.078369140625, 'grad_norm_square': 35497050512.15234, 'tokens': 289}
{'loss': 1492.8516845703125, 'grad_norm_square': 22512377554.4375, 'tokens': 287}
{'loss': 3082.85302734375, 'grad_norm_square': 215664219475.5, 'tokens': 445}
{'loss': 1727.036865234375, 'grad_norm_square': 49895746092.6875, 'tokens': 312}
{'loss': 2225.102294921875, 'grad_norm_square': 65254444407.28125, 'tokens': 386}
{'loss': 1260.275390625, 'grad_norm_square': 86334826100.0625, 'tokens': 246}
{'loss': 1903.406494140625, 'grad_norm_square': 119099862494.53125, 'tokens': 366}
{'loss': 2001.387451171875, 'grad_norm_square': 52767480049.9375, 'tokens': 367}
{'loss': 1761.5531005859375, 'grad_norm_square': 32074895820.65625, 'tokens': 387}
{'loss': 1438.98828125, 'grad_norm_square': 48244434235.546875, 'tokens': 288}
{'loss': 1650.1636962890625, 'grad_norm_square': 68782328835.625, 'tokens': 284}
{'loss': 1717.2401123046875, 'grad_norm_square': 30681301718.78125, 'tokens': 291}
{'loss': 1435.51953125, 'grad_norm_square': 84854914311.125, 'tokens': 313}
{'loss': 2292.3525390625, 'grad_norm_square': 77727560362.8125, 'tokens': 404}
{'loss': 1397.289306640625, 'grad_norm_square': 68872920360.8125, 'tokens': 301}
{'loss': 2343.22021484375, 'grad_norm_square': 47817414631.5, 'tokens': 417}
{'loss': 1393.832763671875, 'grad_norm_square': 33755736268.734375, 'tokens': 269}
{'loss': 1422.0126953125, 'grad_norm_square': 25834820048.53125, 'tokens': 286}
{'loss': 1363.571044921875, 'grad_norm_square': 15126256369.40625, 'tokens': 282}
{'loss': 1546.4208984375, 'grad_norm_square': 22479686472.65625, 'tokens': 330}
{'loss': 2213.4404296875, 'grad_norm_square': 72109471998.5, 'tokens': 420}
{'loss': 1729.379150390625, 'grad_norm_square': 46211616570.65625, 'tokens': 342}
{'loss': 1835.6060791015625, 'grad_norm_square': 51417478630.875, 'tokens': 366}
{'loss': 1288.060546875, 'grad_norm_square': 32578298945.0, 'tokens': 267}
{'loss': 1337.708251953125, 'grad_norm_square': 38935410801.40625, 'tokens': 284}
{'loss': 994.3209228515625, 'grad_norm_square': 34227055786.8125, 'tokens': 226}
{'loss': 1261.713623046875, 'grad_norm_square': 78613243075.875, 'tokens': 249}
{'loss': 2687.4072265625, 'grad_norm_square': 1137039029875.75, 'tokens': 477}
{'loss': 1448.1668701171875, 'grad_norm_square': 71246400787.8125, 'tokens': 305}
{'loss': 1810.151123046875, 'grad_norm_square': 151783772540.75, 'tokens': 300}
{'loss': 2483.31494140625, 'grad_norm_square': 276665339203.375, 'tokens': 339}
{'loss': 2273.7353515625, 'grad_norm_square': 159117608860.9375, 'tokens': 331}
{'loss': 1373.902099609375, 'grad_norm_square': 122199689138.75, 'tokens': 307}
