{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.0, 'grad_norm_square': 3060432.0, 'tokens': 319}
{'loss': 420.0, 'grad_norm_square': 3128106.516866684, 'tokens': 252}
{'loss': 370.0, 'grad_norm_square': 4729256.228042603, 'tokens': 311}
{'loss': 400.0, 'grad_norm_square': 2384389.5039367676, 'tokens': 308}
{'loss': 568.0, 'grad_norm_square': 3104948.24269104, 'tokens': 335}
{'loss': 664.0, 'grad_norm_square': 2473897.0875701904, 'tokens': 434}
{'loss': 426.0, 'grad_norm_square': 2126404.234680176, 'tokens': 378}
{'loss': 408.0, 'grad_norm_square': 1467873.9039459229, 'tokens': 299}
{'loss': 448.0, 'grad_norm_square': 2123898.323699951, 'tokens': 377}
{'loss': 432.0, 'grad_norm_square': 1657327.5306243896, 'tokens': 294}
{'loss': 352.0, 'grad_norm_square': 1554261.7108154297, 'tokens': 315}
{'loss': 374.0, 'grad_norm_square': 1783335.9179077148, 'tokens': 328}
{'loss': 438.0, 'grad_norm_square': 1695297.5166015625, 'tokens': 394}
{'loss': 354.0, 'grad_norm_square': 1962582.5680236816, 'tokens': 291}
{'loss': 348.0, 'grad_norm_square': 1202438.3356018066, 'tokens': 274}
{'loss': 434.0, 'grad_norm_square': 1837678.4565429688, 'tokens': 342}
{'loss': 352.0, 'grad_norm_square': 1038158.9053955078, 'tokens': 441}
{'loss': 454.0, 'grad_norm_square': 1577337.134399414, 'tokens': 360}
{'loss': 396.0, 'grad_norm_square': 1335707.5337219238, 'tokens': 306}
{'loss': 322.0, 'grad_norm_square': 817490.0169372559, 'tokens': 343}
{'loss': 280.0, 'grad_norm_square': 796518.5368041992, 'tokens': 230}
{'loss': 486.0, 'grad_norm_square': 3154851.750732422, 'tokens': 438}
{'loss': 374.0, 'grad_norm_square': 1272051.8941955566, 'tokens': 330}
{'loss': 552.0, 'grad_norm_square': 2868445.4896850586, 'tokens': 488}
{'loss': 354.0, 'grad_norm_square': 1177504.3861694336, 'tokens': 343}
{'loss': 450.0, 'grad_norm_square': 1521017.1718139648, 'tokens': 360}
{'loss': 296.0, 'grad_norm_square': 1164841.1286010742, 'tokens': 227}
{'loss': 488.0, 'grad_norm_square': 1659455.2138061523, 'tokens': 400}
