{'model_params': 2506172416, 'peft_params': 10780672}
{'loss': 466.0, 'grad_norm_square': 13632.0, 'tokens': 319}
{'loss': 350.0, 'grad_norm_square': 8256.0, 'tokens': 252}
{'loss': 292.0, 'grad_norm_square': 8704.0, 'tokens': 311}
{'loss': 320.0, 'grad_norm_square': 8832.0, 'tokens': 308}
{'loss': 484.0, 'grad_norm_square': 13056.0, 'tokens': 335}
{'loss': 624.0, 'grad_norm_square': 12288.0, 'tokens': 434}
{'loss': 368.0, 'grad_norm_square': 9216.0, 'tokens': 378}
{'loss': 332.0, 'grad_norm_square': 6688.0, 'tokens': 299}
{'loss': 394.0, 'grad_norm_square': 9024.0, 'tokens': 377}
{'loss': 356.0, 'grad_norm_square': 8640.0, 'tokens': 294}
{'loss': 286.0, 'grad_norm_square': 7488.0, 'tokens': 315}
{'loss': 300.0, 'grad_norm_square': 7072.0, 'tokens': 328}
{'loss': 376.0, 'grad_norm_square': 8576.0, 'tokens': 394}
{'loss': 298.0, 'grad_norm_square': 9344.0, 'tokens': 291}
{'loss': 270.0, 'grad_norm_square': 7136.0, 'tokens': 274}
{'loss': 372.0, 'grad_norm_square': 10560.0, 'tokens': 342}
{'loss': 314.0, 'grad_norm_square': 8320.0, 'tokens': 441}
{'loss': 354.0, 'grad_norm_square': 8320.0, 'tokens': 360}
{'loss': 338.0, 'grad_norm_square': 8064.0, 'tokens': 306}
{'loss': 280.0, 'grad_norm_square': 6496.0, 'tokens': 343}
{'loss': 200.0, 'grad_norm_square': 6112.0, 'tokens': 230}
{'loss': 422.0, 'grad_norm_square': 11584.0, 'tokens': 438}
{'loss': 306.0, 'grad_norm_square': 6048.0, 'tokens': 330}
{'loss': 474.0, 'grad_norm_square': 9600.0, 'tokens': 488}
{'loss': 314.0, 'grad_norm_square': 9024.0, 'tokens': 343}
{'loss': 412.0, 'grad_norm_square': 8960.0, 'tokens': 360}
{'loss': 278.0, 'grad_norm_square': 9024.0, 'tokens': 227}
{'loss': 464.0, 'grad_norm_square': 10304.0, 'tokens': 400}
{'loss': 308.0, 'grad_norm_square': 7776.0, 'tokens': 389}
{'loss': 350.0, 'grad_norm_square': 7424.0, 'tokens': 347}
{'loss': 306.0, 'grad_norm_square': 6592.0, 'tokens': 281}
{'loss': 226.0, 'grad_norm_square': 6272.0, 'tokens': 299}
{'loss': 318.0, 'grad_norm_square': 7360.0, 'tokens': 305}
{'loss': 420.0, 'grad_norm_square': 9280.0, 'tokens': 304}
{'loss': 215.0, 'grad_norm_square': 5760.0, 'tokens': 289}
{'loss': 448.0, 'grad_norm_square': 8192.0, 'tokens': 381}
{'loss': 330.0, 'grad_norm_square': 10112.0, 'tokens': 395}
{'loss': 260.0, 'grad_norm_square': 5600.0, 'tokens': 267}
{'loss': 376.0, 'grad_norm_square': 7840.0, 'tokens': 299}
{'loss': 400.0, 'grad_norm_square': 9472.0, 'tokens': 407}
{'loss': 350.0, 'grad_norm_square': 7648.0, 'tokens': 347}
{'loss': 227.0, 'grad_norm_square': 6304.0, 'tokens': 248}
{'loss': 408.0, 'grad_norm_square': 8832.0, 'tokens': 309}
{'loss': 332.0, 'grad_norm_square': 7136.0, 'tokens': 335}
{'loss': 372.0, 'grad_norm_square': 9472.0, 'tokens': 420}
{'loss': 294.0, 'grad_norm_square': 6432.0, 'tokens': 293}
{'loss': 250.0, 'grad_norm_square': 5984.0, 'tokens': 251}
{'loss': 376.0, 'grad_norm_square': 9024.0, 'tokens': 348}
{'loss': 456.0, 'grad_norm_square': 7616.0, 'tokens': 336}
