{'model_params': 2506172416, 'peft_params': 10515456}
{'loss': 580.0, 'grad_norm_square': 11008.0, 'tokens': 455}
{'loss': 422.0, 'grad_norm_square': 18048.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 22272.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 15424.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 9344.0, 'tokens': 327}
{'loss': 384.0, 'grad_norm_square': 9216.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 14272.0, 'tokens': 457}
{'loss': 320.0, 'grad_norm_square': 11904.0, 'tokens': 255}
{'loss': 552.0, 'grad_norm_square': 17280.0, 'tokens': 437}
{'loss': 396.0, 'grad_norm_square': 16768.0, 'tokens': 371}
{'loss': 692.0, 'grad_norm_square': 16064.0, 'tokens': 471}
{'loss': 604.0, 'grad_norm_square': 14528.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 7008.0, 'tokens': 261}
{'loss': 684.0, 'grad_norm_square': 14848.0, 'tokens': 419}
{'loss': 736.0, 'grad_norm_square': 21504.0, 'tokens': 450}
{'loss': 540.0, 'grad_norm_square': 16256.0, 'tokens': 446}
{'loss': 736.0, 'grad_norm_square': 12608.0, 'tokens': 452}
{'loss': 288.0, 'grad_norm_square': 7040.0, 'tokens': 262}
{'loss': 544.0, 'grad_norm_square': 23936.0, 'tokens': 375}
{'loss': 632.0, 'grad_norm_square': 17920.0, 'tokens': 405}
{'loss': 580.0, 'grad_norm_square': 14400.0, 'tokens': 409}
{'loss': 536.0, 'grad_norm_square': 13312.0, 'tokens': 410}
{'loss': 604.0, 'grad_norm_square': 11904.0, 'tokens': 429}
{'loss': 580.0, 'grad_norm_square': 12608.0, 'tokens': 408}
{'loss': 592.0, 'grad_norm_square': 26368.0, 'tokens': 427}
{'loss': 820.0, 'grad_norm_square': 21632.0, 'tokens': 445}
{'loss': 740.0, 'grad_norm_square': 40192.0, 'tokens': 461}
{'loss': 664.0, 'grad_norm_square': 16000.0, 'tokens': 444}
{'loss': 656.0, 'grad_norm_square': 17152.0, 'tokens': 459}
